player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Colby Reeder,30285,LB,IOWA STATE,3,1,0,193,70.1,4,1,26,30.3,19.2,5,0,9.6,0,89,27,5,0,63.9,1,0,5,45.5,20.0,1,10.0,0,11,5,1
Kyle Pugh,35900,LB,N ILLINOIS,3,0,0,254,59.5,1,2,7,13.3,14.3,1,0,21.4,0,60,8,3,0,76.9,0,1,2,13.6,0.0,0,25.0,0,22,3,1
Jordan Carmouche,39951,LB,ARK STATE,3,0,0,113,60.8,1,5,10,10.9,10.0,1,1,30.0,0,92,10,6,0,57.0,0,4,7,21.2,14.3,1,28.6,0,33,7,4
Bricen Garner,42520,S,W MICHIGAN,3,0,0,347,58.6,0,0,2,3.3,0.0,0,0,0.0,0,60,2,0,0,,0,0,0,0.0,,0,,0,14,0,0
Brandon Moore,42620,CB,NEBRASKA,2,0,0,238,60.0,0,0,1,9.1,0.0,0,1,0.0,0,11,1,0,0,,0,0,0,,,0,,0,0,0,0
Anthony Watts,42807,DI,MARSHALL,3,0,0,214,58.6,0,2,48,100.0,6.3,3,1,2.1,0,50,50,2,0,55.7,0,1,24,100.0,8.3,2,2.1,0,25,25,1
Ryan McWood,43189,LB,MIAMI OH,3,0,0,221,77.0,2,1,10,9.4,30.0,3,0,25.0,1,106,10,4,0,73.2,1,0,5,10.9,20.0,1,30.0,1,46,5,2
Jaydon Grant,43354,S,OREGON ST,3,0,0,265,55.0,1,1,2,1.7,50.0,1,0,50.0,0,117,2,2,0,,0,0,0,0.0,,0,,0,49,0,0
Linwood Crump,43401,CB,NEW MEX ST,3,0,0,242,59.5,0,1,2,7.1,0.0,0,1,25.0,0,28,2,1,0,,0,0,0,0.0,,0,,0,10,0,0
Jon-Michael Terry,43635,LB,TULSA,3,0,0,320,64.9,0,8,18,23.5,38.9,7,0,22.2,0,81,19,8,0,69.5,0,6,11,57.1,45.5,5,27.3,0,21,12,6
Tyrone Hopper,43714,ED,MISSOURI,3,0,0,229,57.5,0,0,20,83.3,5.0,1,0,0.0,0,24,20,0,0,57.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Sione Tupou,44093,LB,TEXAS ST,3,0,0,314,70.4,0,1,8,8.1,25.0,2,0,6.3,0,111,9,1,0,55.5,0,0,2,9.4,0.0,0,0.0,0,32,3,0
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,3,0,0,174,51.2,0,1,8,20.0,0.0,0,0,6.3,0,55,11,1,0,52.5,0,0,5,26.1,0.0,0,0.0,0,23,6,0
Alden Tofa,51983,ED,BYU,3,0,0,128,55.6,0,0,6,60.0,0.0,0,0,0.0,0,10,6,0,0,57.9,0,0,2,66.7,0.0,0,0.0,0,3,2,0
Earl Tuioti-Mariner,51992,DI,BYU,2,0,0,128,56.8,0,1,19,100.0,5.3,1,0,2.6,0,20,20,1,0,54.4,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Lorenzo Fauatea,52005,DI,BYU,3,0,0,128,57.1,1,0,39,100.0,2.6,1,1,3.8,1,41,41,2,0,54.0,0,0,12,100.0,0.0,0,0.0,0,13,13,0
Penei Pavihi,52079,LB,HAWAII,4,0,0,180,62.4,0,0,14,14.0,7.1,1,1,7.1,1,107,15,1,0,61.9,0,0,6,21.9,16.7,1,0.0,0,32,7,0
George Nyakwol,52203,S,RICE,3,0,0,275,57.3,3,0,5,7.4,0.0,0,0,30.0,0,68,5,3,0,,0,0,0,0.0,,0,,0,27,0,0
Kenneth Orji,52209,ED,RICE,1,0,0,275,54.8,0,1,7,100.0,0.0,0,0,7.1,0,7,7,1,0,54.8,0,1,5,100.0,0.0,0,10.0,0,5,5,1
Trey Schuman,52216,ED,RICE,3,0,0,275,76.8,2,2,34,94.6,20.6,7,0,5.9,0,37,35,4,0,72.9,2,2,15,94.1,26.7,4,13.3,0,17,16,4
Alii Matau,52219,LB,S JOSE ST,2,0,0,285,57.0,0,1,16,25.8,6.3,1,0,3.1,0,62,16,1,0,53.5,0,1,6,42.9,16.7,1,8.3,0,14,6,1
Rico Tolefree,52250,LB,S JOSE ST,2,0,0,285,56.4,0,0,4,20.0,0.0,0,1,0.0,0,20,4,0,0,59.7,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Sinjun Astani,52257,DI,USC,1,0,0,326,59.8,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,59.8,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Gabe Reid,52273,ED,UTAH,2,0,0,328,75.7,1,4,20,91.7,35.0,7,0,12.5,0,24,22,5,0,73.2,1,2,7,100.0,42.9,3,21.4,0,7,7,3
Ryan Johnson,52282,ED,NWESTERN,3,2,0,256,66.0,1,2,43,97.8,11.6,5,0,5.8,1,45,44,4,1,64.1,0,1,18,95.0,11.1,2,8.3,1,20,19,2
Darrien Grant,52293,DI,USF,3,0,0,327,65.6,0,1,26,100.0,11.5,3,0,1.9,0,26,26,1,0,64.4,0,0,6,100.0,16.7,1,0.0,0,6,6,0
Mekhi LaPointe,52315,S,USF,3,0,0,327,62.4,0,0,1,1.3,100.0,1,0,100.0,1,78,1,1,0,,0,0,0,0.0,,0,,0,17,0,0
Nick Roberts,52318,S,SMU,3,0,0,287,60.0,0,0,1,1.1,0.0,0,0,0.0,0,91,1,0,0,,0,0,0,0.0,,0,,0,31,0,0
Bryce Dugan,52425,ED,OHIO,2,0,0,259,48.5,0,1,12,100.0,0.0,0,0,4.2,0,12,12,1,0,46.7,0,1,4,100.0,0.0,0,12.5,0,4,4,1
Malik Vann,52555,ED,CINCINNATI,2,0,0,138,60.1,0,1,27,96.6,7.4,2,1,1.9,0,29,28,1,0,60.0,0,0,7,100.0,14.3,1,0.0,0,8,8,0
Tyler Bentley,52790,DI,PITTSBURGH,3,0,0,268,59.4,0,0,36,100.0,2.8,1,0,0.0,0,37,37,0,0,54.0,0,0,14,100.0,0.0,0,0.0,0,14,14,0
Xavier Peters,52819,ED,FAU,4,0,0,165,58.9,2,0,26,81.1,11.5,3,1,3.8,0,37,30,2,0,61.8,2,0,14,88.9,21.4,3,7.1,0,18,16,2
Cole Pearce,52970,LB,BALL ST,3,0,0,117,58.1,0,0,14,13.3,7.1,1,0,0.0,0,105,14,0,0,63.9,0,0,5,17.2,20.0,1,0.0,0,29,5,0
Deshawn Pace,53549,LB,CINCINNATI,3,0,0,138,73.8,1,3,8,14.3,25.0,2,1,25.0,0,56,8,4,0,70.7,1,0,3,25.0,33.3,1,16.7,0,12,3,1
Eric Phillips,53572,ED,CINCINNATI,3,0,0,138,70.0,3,2,42,97.7,16.7,7,1,6.0,0,43,42,5,0,65.6,2,1,9,100.0,44.4,4,16.7,0,9,9,3
Ivan Pace Jr.,53587,LB,CINCINNATI,3,0,0,138,81.1,4,3,25,35.2,36.0,9,1,22.0,2,71,25,9,0,81.6,1,3,8,50.0,50.0,4,25.0,0,16,8,4
Ryan Mullaney,53704,ED,CINCINNATI,2,0,0,138,54.1,0,1,10,100.0,10.0,1,0,5.0,0,10,10,1,0,66.2,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Carrington Valentine,53750,CB,KENTUCKY,3,0,1,202,49.0,0,2,2,2.1,50.0,1,3,50.0,0,95,2,2,0,49.0,0,2,2,8.0,50.0,1,50.0,0,25,2,2
Jaheim Thomas,54193,LB,CINCINNATI,3,0,0,138,83.0,2,0,10,36.4,30.0,3,0,10.0,0,33,12,2,0,69.7,2,0,5,85.7,20.0,1,20.0,0,7,6,2
Tim Terry,55020,LB,AKRON,2,0,0,102,45.3,0,1,4,10.8,25.0,1,0,12.5,0,37,4,1,0,46.5,0,1,1,11.1,100.0,1,50.0,0,9,1,1
Chibueze Onwuka,55044,DI,BOSTON COL,3,0,0,121,61.6,0,5,62,98.5,4.8,3,0,5.6,1,68,67,6,0,58.1,0,3,19,100.0,5.3,1,7.9,0,22,22,3
Devonni Reed,55046,S,S CAROLINA,3,0,0,289,55.0,0,0,3,5.4,0.0,0,0,0.0,0,56,3,0,0,56.3,0,0,2,16.7,0.0,0,0.0,0,12,2,0
Troy Brown,55050,LB,OLE MISS,3,1,0,226,78.2,0,2,5,7.1,40.0,2,1,20.0,0,70,5,2,0,66.2,0,1,2,18.2,50.0,1,25.0,0,11,2,1
Angelo Howze,55073,ED,AKRON,1,0,0,102,57.2,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jabari Taylor,55075,ED,CINCINNATI,3,0,0,138,55.5,0,4,55,96.6,10.9,6,0,5.5,1,58,56,5,0,51.3,0,1,13,100.0,0.0,0,3.8,0,14,14,1
Wilson Huber,55090,LB,CINCINNATI,3,0,0,138,63.3,0,4,15,22.7,20.0,3,1,13.3,0,66,15,4,0,59.4,0,2,8,53.3,12.5,1,12.5,0,15,8,2
Ian Swenson,55104,LB,UCONN,4,0,0,146,62.1,3,0,20,16.8,15.0,3,0,7.5,0,131,22,3,0,57.2,1,0,8,25.0,12.5,1,6.3,0,40,10,1
Caleb Thomas,55105,DI,LA MONROE,3,0,0,209,56.8,0,2,50,100.0,4.0,2,0,2.0,0,50,50,2,0,55.6,0,2,12,100.0,8.3,1,8.3,0,12,12,2
Chris Bacon,55196,S,BOWL GREEN,3,0,0,122,56.4,0,2,3,2.1,33.3,1,0,33.3,0,140,3,2,0,57.0,0,2,2,3.5,50.0,1,50.0,0,57,2,2
Jaylon Jones,55197,CB,GA STATE,3,0,0,175,60.0,0,0,1,1.8,0.0,0,1,0.0,0,57,1,0,0,,0,0,0,0.0,,0,,0,19,0,0
Jordan Strachan,55198,ED,S CAROLINA,2,0,0,289,58.7,0,1,28,81.1,10.7,3,0,5.4,1,37,30,2,0,63.4,0,0,10,91.7,20.0,2,10.0,1,12,11,1
Zachary Ford,55353,CB,TOLEDO,3,0,0,316,55.8,0,0,3,5.4,0.0,0,0,0.0,0,56,3,0,0,58.9,0,0,1,4.8,0.0,0,0.0,0,21,1,0
