player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Turner Corcoran,129684,G,NEBRASKA,4,100.0,0,238,53.7,44.2,55.7,0,7,147,100.0,100.0,96.3,2,9,2,300,0,222,64,300,154,154,0,8,146,6
Bryce Benhart,98531,T,NEBRASKA,4,100.0,0,238,66.1,60.5,67.5,0,5,147,100.0,100.0,96.9,2,7,2,300,0,0,10,300,154,154,0,269,146,21
Trent Hixson,59905,C,NEBRASKA,4,100.0,0,238,65.9,77.5,60.4,0,2,147,100.0,100.0,99.3,0,2,0,300,300,0,0,300,154,154,0,0,146,0
Grant Starck,128245,T,NEVADA,4,100.0,2,239,74.1,65.8,75.7,2,5,134,100.0,100.0,97.4,2,7,0,299,0,99,200,299,143,143,0,0,156,0
Bryce Petersen,77557,C,NEVADA,4,100.0,0,239,58.1,60.4,56.8,1,4,132,100.0,100.0,97.3,1,6,1,297,297,0,0,297,141,141,0,0,156,0
Gabe Blair,145323,G,N TEXAS,4,100.0,0,251,68.7,79.3,65.6,0,0,119,100.0,100.0,100.0,1,0,0,293,0,290,0,293,126,126,3,0,167,0
Eliki Tanuvasa,79663,C,HAWAII,4,100.0,0,180,61.8,71.2,58.4,0,7,169,100.0,100.0,97.9,1,7,0,285,285,0,0,285,172,172,0,0,113,0
Austin Hopp,65055,T,HAWAII,4,99.6,1,180,53.8,55.0,54.0,1,9,168,99.4,99.4,96.4,1,11,1,284,0,0,0,285,171,172,0,281,113,4
Elijah Klein,81912,G,UTEP,4,100.0,0,330,66.0,70.6,65.6,1,5,184,100.0,100.0,98.4,1,6,0,284,0,0,0,284,194,194,284,0,90,0
Manase Mose,59950,C,N TEXAS,4,100.0,0,251,66.1,42.5,74.5,1,1,119,100.0,100.0,99.2,4,2,0,283,283,0,0,283,126,126,0,0,157,0
Jeremiah Byers,100806,T,UTEP,4,100.0,0,330,74.6,81.6,73.8,0,2,182,100.0,100.0,98.9,3,3,1,281,0,0,0,281,192,192,0,281,89,0
Justin Mayers,100808,G,UTEP,4,100.0,0,330,66.6,79.0,63.3,1,1,182,100.0,100.0,99.5,1,2,0,281,0,281,0,281,192,192,0,0,89,0
Micah Vanterpool,52075,G,HAWAII,4,100.0,0,180,69.6,72.5,68.2,1,3,167,100.0,100.0,98.8,0,4,0,280,0,2,0,280,170,170,278,0,110,0
Ilm Manning,75852,T,HAWAII,4,100.0,0,180,57.9,70.0,63.0,0,3,166,100.0,100.0,97.3,7,6,3,278,0,0,277,278,169,169,0,1,109,0
Ethan Wiederkehr,59969,T,NWESTERN,3,100.0,0,256,59.3,58.9,59.3,2,2,147,100.0,100.0,98.6,1,4,0,274,0,0,0,274,155,155,89,184,119,1
Peter Skoronski,129737,T,NWESTERN,3,100.0,0,256,90.8,92.5,85.5,0,0,147,100.0,100.0,100.0,1,0,0,274,0,0,273,274,155,155,0,0,119,1
Charlie Schmidt,81772,C,NWESTERN,3,100.0,0,256,72.3,60.9,72.6,0,3,147,100.0,100.0,99.0,0,3,0,274,274,0,0,274,155,155,0,0,119,0
