player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jayle Stacks,131695,HB,COLORADO,2,-5.0,0,100.0,,0,0,0,0.0,0,0,143,0,66.7,72.6,60.9,63.5,58.8,7.1,1,0,2,35.7,5,14,0,1,64.3,9,0.0,0,79.2,1,0,7.1,1,2,7,7.0,2.0,0.22
Makiya Tongue,99231,WR,OREGON ST,2,19.0,0,0.0,,0,0,0,100.0,1,0,265,0,16.4,,48.9,,45.4,0.0,0,0,0,0.0,0,6,0,0,100.0,6,16.7,1,39.6,1,0,83.3,5,0,0,,,0.0
Cooper Shults,131724,TE,NEVADA,1,5.0,0,100.0,,0,0,0,0.0,0,0,239,0,66.7,61.0,53.3,,57.3,60.0,3,0,6,0.0,0,5,0,1,100.0,5,40.0,2,91.7,1,0,0.0,0,6,1,1.0,6.0,1.2
Jack Mashburn,99195,TE,LSU,1,-2.0,0,100.0,,0,0,0,0.0,0,1,211,0,66.7,61.0,52.0,,60.0,62.5,5,0,10,0.0,0,8,0,1,100.0,8,25.0,2,108.3,1,0,0.0,0,10,12,12.0,10.0,1.25
Caleb Robinson,131780,HB,STANFORD,2,-4.0,0,0.0,,0,0,0,,0,0,300,0,,68.6,56.4,19.8,57.5,0.0,0,0,0,25.0,1,4,0,0,75.0,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Sevaughn Clark,99159,HB,GEORGIA,1,3.0,1,100.0,,0,0,0,0.0,0,0,173,0,66.7,61.0,61.1,,65.7,0.0,0,0,4,0.0,0,1,0,1,100.0,1,0.0,0,83.3,1,0,0.0,0,4,1,1.0,4.0,4.0
Tavierre Dunlap,132720,HB,MICHIGAN,3,-4.0,1,100.0,,0,0,0,0.0,0,0,222,0,66.7,70.7,65.5,41.4,58.8,0.0,0,0,5,33.3,3,9,0,1,66.7,6,22.2,2,87.5,1,0,0.0,0,5,9,9.0,5.0,0.83
David Larkins,133685,TE,APP STATE,3,7.0,0,100.0,,0,0,0,0.0,0,1,108,0,66.7,61.0,80.8,,65.6,62.5,5,0,7,0.0,0,8,0,1,100.0,8,37.5,3,95.8,1,0,0.0,0,7,0,0.0,7.0,0.88
Drake Owen,136162,WR,WASH STATE,1,7.0,0,0.0,,0,0,0,,0,0,341,0,,73.7,52.8,,55.3,0.0,0,0,0,0.0,0,4,0,0,100.0,4,100.0,4,39.6,1,0,0.0,0,0,0,,,0.0
Marvin Landy,136896,FB,FAU,4,14.0,0,100.0,,0,0,0,0.0,0,1,165,0,66.7,61.0,65.4,,81.8,45.5,5,0,24,0.0,0,11,0,1,90.9,10,0.0,0,118.8,1,0,9.1,1,24,10,10.0,24.0,2.4
Kaelon Black,138448,HB,JAMES MAD,2,2.0,0,100.0,,0,0,0,0.0,0,1,197,0,66.7,76.3,68.8,21.4,62.9,0.0,0,0,25,35.3,6,17,0,1,64.7,11,0.0,0,118.8,1,0,11.8,2,25,23,23.0,25.0,2.27
Kelly Mitchell,138459,TE,JAMES MAD,1,6.0,0,100.0,100.0,1,1,0,0.0,0,1,197,0,66.7,61.0,79.9,61.1,75.5,33.3,1,0,6,33.3,1,3,0,1,66.7,2,66.7,2,91.7,1,0,0.0,0,6,0,0.0,6.0,3.0
Nay'Quan Wright,98803,HB,FLORIDA,3,9.0,0,0.0,,0,0,0,,0,0,163,0,,78.0,57.5,23.6,50.2,0.0,0,1,0,21.1,8,38,1,0,73.7,28,5.3,2,0.0,1,0,18.4,7,0,0,,,0.0
Lawrence Dixon,138479,WR,NEW MEX ST,1,5.0,0,100.0,,0,0,0,0.0,0,1,242,0,66.7,74.5,73.0,,72.0,0.0,0,0,11,0.0,0,2,0,1,100.0,2,0.0,0,112.5,1,0,100.0,2,11,6,6.0,11.0,5.5
Thomaz Whitford,138497,TE,NEW MEX ST,4,2.0,0,100.0,,0,0,0,0.0,0,0,242,0,66.7,61.0,39.4,33.8,48.6,49.0,25,0,3,23.5,12,51,0,1,68.6,35,35.3,18,79.2,1,0,2.0,1,3,1,1.0,3.0,0.09
Andre Greene Jr.,162748,WR,N CAROLINA,3,13.0,0,0.0,,0,0,0,,0,0,245,0,,,49.8,,49.0,0.0,0,0,0,0.0,0,10,0,0,90.0,9,0.0,0,39.6,1,0,100.0,10,0,0,,,0.0
