player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Mikel Barkley,98748,WR,TOLEDO,2,3,0,316,17.3,0,33.3,,0,0,0.0,0,1,0,66.7,68.6,0,10,0.0,0,5,1,100.0,5,43.8,3,100.0,0,10,3,3.0,10.0,2.0,0,,0,,,0,0,,0,0,0,,56.6,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Joseph Griffin Jr.,162664,WR,BOSTON COL,2,3,0,121,8.5,0,50.0,,0,0,0.0,0,0,0,66.7,58.8,0,6,0.0,0,5,1,100.0,5,56.3,2,66.7,0,6,3,3.0,6.0,1.2,0,,0,,,0,0,,0,0,0,,52.5,0,0,0.0,0,18,0,100.0,18,0.0,0,0.0,0,0,0,,,0.0
Jakari Norwood,83678,HB,TEMPLE,2,3,0,306,-3.0,0,0.0,,0,0,100.0,1,0,0,16.4,28.2,0,0,40.0,2,5,0,60.0,3,39.6,1,33.3,0,0,0,,,0.0,0,-3.0,0,0.0,,0,0,100.0,1,0,0,16.4,31.8,0,0,0.0,0,14,0,100.0,14,39.6,1,33.3,0,0,0,,,0.0
Charlie Offerdahl,146314,HB,COLORADO,3,3,0,143,4.0,0,0.0,0.0,0,1,,0,0,0,,58.1,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,3.5,0,0.0,,0,0,,0,0,0,,53.2,0,0,9.5,2,21,0,90.5,19,39.6,2,66.7,0,0,0,,,0.0
Jaylon Jackson,139386,HB,E MICHIGAN,3,3,0,160,,0,,,0,0,,0,0,0,66.7,59.5,0,0,12.5,1,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,0,-0.3,0,66.7,,0,0,0.0,0,1,0,70.7,81.9,0,9,14.3,3,21,2,85.7,18,82.6,3,100.0,0,18,14,7.0,9.0,1.0
Lewis Bond,143817,WR,BOSTON COL,3,3,0,121,,0,,,0,0,,0,0,0,,56.5,0,0,0.0,0,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,1,100.0,,0,0,0.0,0,2,0,73.1,64.9,0,19,0.0,0,9,3,100.0,9,112.5,3,100.0,0,33,36,12.0,11.0,3.67
Justin Ball,98576,TE,VANDERBILT,4,3,0,333,-2.0,0,100.0,,0,0,0.0,0,0,0,66.7,55.9,0,5,20.0,2,10,1,80.0,8,87.5,1,33.3,0,5,7,7.0,5.0,0.63,0,18.0,0,100.0,,0,0,0.0,0,1,0,66.7,63.7,0,36,12.5,3,24,1,87.5,21,118.8,1,33.3,0,36,18,18.0,36.0,1.71
Patrick Herbert,100625,TE,OREGON,3,3,0,264,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,0,11.0,0,0.0,,0,0,,0,0,0,,51.3,1,0,6.3,1,16,0,87.5,14,0.0,1,33.3,0,0,0,,,0.0
Romello Brinson,143936,WR,MIAMI FL,3,3,0,220,,0,,,0,0,,0,0,0,,55.7,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,0,9.7,1,66.7,100.0,1,1,0.0,0,1,0,70.7,61.2,0,18,0.0,0,27,2,96.3,26,96.5,3,100.0,0,28,10,5.0,14.0,1.08
Daniel Parker Jr.,82343,TE,OKLAHOMA,2,3,0,261,1.0,0,100.0,,0,0,0.0,0,1,0,66.7,68.0,0,5,0.0,0,5,1,100.0,5,87.5,1,33.3,0,5,4,4.0,5.0,1.0,0,7.5,1,100.0,,0,0,0.0,0,2,0,70.7,83.8,0,12,12.5,1,8,2,75.0,6,110.4,2,66.7,0,21,6,3.0,10.5,3.5
