player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,3,3,1,54.5,0,0,193,79.3,81.4,81.0,70.1,75.8,66.6,4,1,2,9,7.1,1,1,0,23.1,6,0,64,1,62,134,20,0,0,20,0,0,114,27,45,49,6,10,11,5,0,40,22,6.7
Kyle Pugh,35900,LB,N ILLINOIS,3,10,0,0.0,0,0,254,73.4,69.5,78.3,59.5,63.0,79.1,1,2,0,,7.4,2,0,0,39.6,0,0,126,0,52,132,3,0,0,3,0,1,129,8,72,2,6,15,1,3,0,0,0,
Jordan Carmouche,39951,LB,ARK STATE,3,5,0,75.0,0,0,113,52.5,54.4,0.0,60.8,60.6,62.2,1,5,0,51,11.8,2,0,1,156.3,3,0,165,0,82,172,4,0,0,4,0,0,168,10,80,3,7,10,4,6,2,84,54,28.0
Monte McGary,42477,CB,KANSAS,1,1,0,,0,0,198,65.9,66.5,73.2,,60.7,73.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,18,8,18,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,
Bricen Garner,42520,S,W MICHIGAN,3,3,0,50.0,0,0,347,60.5,60.3,79.6,58.6,59.7,51.7,0,0,0,37,23.1,6,0,0,95.8,1,0,67,1,58,148,0,0,0,0,0,73,148,2,88,7,4,17,2,0,0,37,17,37.0
Brandon Moore,42620,CB,NEBRASKA,3,0,0,100.0,0,0,238,71.8,64.9,0.0,60.0,61.5,73.5,0,0,0,5,0.0,0,0,1,87.5,1,0,1,15,10,18,2,0,0,2,0,0,16,1,7,0,0,1,1,0,0,5,1,5.0
Clifford Chattman,42657,S,UTSA,3,2,0,66.7,0,0,331,61.7,64.5,81.4,,67.5,72.0,0,0,0,42,10.5,2,2,0,149.3,4,0,63,4,68,149,3,0,0,3,0,37,146,0,81,42,3,15,6,0,1,75,7,18.8
Anthony Watts,42807,DI,MARSHALL,3,2,0,,0,0,214,61.0,68.3,10.4,58.6,78.2,57.8,0,2,0,,14.3,1,0,1,0.0,0,0,0,0,0,79,79,18,37,2,22,0,0,50,29,0,3,4,0,2,0,0,0,
Justin Clark,43185,CB,WISCONSIN,1,0,0,0.0,0,0,349,64.2,64.6,73.6,,60.2,,0,0,0,,,0,0,0,39.6,0,0,0,20,14,20,0,0,0,0,0,0,20,0,6,0,0,0,2,0,0,0,0,
Ryan McWood,43189,LB,MIAMI OH,3,6,0,100.0,0,0,221,43.9,50.0,78.6,77.0,53.0,57.5,2,1,1,19,14.3,4,0,0,78.1,12,1,156,0,96,170,4,0,0,4,0,0,166,10,64,10,12,18,12,4,0,133,81,11.1
Jaydon Grant,43354,S,OREGON ST,3,2,0,58.3,0,1,265,79.2,80.4,81.8,55.0,81.8,87.4,1,1,2,60,0.0,0,1,0,48.3,7,0,33,3,115,186,0,0,0,0,0,83,186,2,69,67,6,11,12,2,0,107,41,15.3
Linwood Crump,43401,CB,NEW MEX ST,3,0,0,50.0,0,0,242,74.9,67.1,77.5,59.5,44.1,28.9,0,1,0,19,40.0,2,1,1,76.0,2,0,7,59,26,69,3,0,0,3,0,0,66,2,41,0,0,3,4,1,0,31,-2,15.5
Jon-Michael Terry,43635,LB,TULSA,3,7,0,75.0,0,0,320,60.7,61.5,81.3,64.9,59.2,65.8,0,8,0,11,16.7,3,0,0,82.3,3,0,116,0,62,172,42,0,0,41,1,0,130,19,91,14,3,8,4,8,0,17,11,5.7
Tyrone Hopper,43714,ED,MISSOURI,3,0,0,,0,0,229,61.7,59.4,77.6,57.5,59.2,23.9,0,0,0,,100.0,1,0,0,0.0,0,0,1,0,4,44,43,0,2,39,2,0,1,20,20,0,0,0,0,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,3,6,0,71.4,0,0,314,67.2,73.4,80.1,70.4,75.1,88.5,0,1,1,45,0.0,0,1,0,102.7,10,0,171,0,102,191,2,0,0,2,0,1,189,9,80,17,10,17,14,1,1,158,81,15.8
Semisi Fakasiieiki,44340,LB,PURDUE,1,0,0,,0,0,273,60.9,73.6,69.6,63.3,62.1,,0,0,0,,,0,0,0,0.0,0,0,6,0,3,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,
Antwaine Richardson,49364,S,KENT STATE,3,5,0,57.1,0,0,201,62.7,65.7,81.8,,73.2,70.1,0,0,0,20,11.1,2,0,0,74.7,4,0,25,1,104,175,0,0,0,0,0,84,175,0,71,65,4,11,7,0,0,42,7,10.5
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,3,5,0,80.0,0,0,174,40.6,54.1,77.9,51.2,69.1,35.3,0,1,0,24,27.3,6,1,0,156.3,4,0,100,0,44,119,11,0,0,11,0,0,108,11,64,8,6,11,5,1,1,60,14,15.0
Alden Tofa,51983,ED,BYU,3,2,0,,0,0,128,61.2,62.2,76.3,55.6,63.5,78.0,0,0,0,,0.0,0,0,0,0.0,0,0,6,0,4,28,22,0,0,14,8,0,6,6,18,0,1,2,0,0,0,0,0,
Earl Tuioti-Mariner,51992,DI,BYU,2,1,0,,0,0,128,,49.1,75.1,56.8,47.6,73.6,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,49,49,0,12,5,32,0,0,20,29,0,1,1,0,1,0,0,0,
Lorenzo Fauatea,52005,DI,BYU,3,1,0,,0,0,128,,45.4,14.5,57.1,44.5,76.5,1,0,0,,0.0,0,0,1,0.0,0,1,1,0,0,91,90,26,19,12,33,0,1,41,50,0,2,2,0,2,0,0,0,
Penei Pavihi,52079,LB,HAWAII,4,5,0,92.3,0,0,180,66.5,54.3,3.9,62.4,45.1,56.3,0,0,1,32,16.7,4,1,1,84.3,12,1,209,0,92,215,1,0,0,1,0,0,214,15,108,5,10,15,13,1,0,155,130,12.9
Kaleb Hayes,52137,CB,BYU,3,1,0,40.0,0,0,128,69.2,66.2,0.0,,65.2,70.4,0,0,0,18,12.5,1,1,1,56.3,2,0,19,74,39,99,0,0,0,0,0,2,99,0,60,3,1,6,5,0,0,25,0,12.5
Jared Reed,52173,CB,BOISE ST,1,0,0,,0,0,120,,60.0,61.7,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
George Nyakwol,52203,S,RICE,3,2,0,50.0,0,0,275,74.8,61.8,79.7,57.3,32.9,42.0,3,0,1,16,27.3,3,1,0,37.5,1,0,33,0,63,104,6,0,0,6,0,57,98,5,36,8,2,6,2,3,0,16,0,16.0
Kenneth Orji,52209,ED,RICE,1,0,0,,0,0,275,60.0,63.1,74.6,54.8,65.8,73.0,0,1,0,,0.0,0,0,0,0.0,0,0,1,0,0,14,13,0,0,13,0,0,1,7,7,0,0,1,0,1,0,0,0,
