"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","71","28","0.31","70","1.17","51.8","-39","Fred Warner","130","12","0.18","75","0.88","75.7"
"Kyle Pitts","97","16","0.2","56","1.03","61.8","-24","Foyesade Oluokun","110","10","0.15","82","0.64","71.1"
"Mark Andrews","66","20","0.35","69","1.21","60.2","-45","Grant Delpit","89","12","0.11","73","0.25","91.4"
"Dawson Knox","87","13","0.2","64","0.53","46.6","-8","David Long Jr.","54","11","0.29","100","1.81","75.8"
"Hayden Hurst","91","14","0.24","69","0.79","52.3","-41","Ivan Pace Jr.","42","7","0.12","100","0.48","82.3"
"Cole Kmet","85","18","0.25","73","1.22","63.7","-40","Josey Jewell","69","9","0.13","67","0.75","75.7"
"Drew Sample","24","4","0.07","100","0.29","55.5","-36","Jack Gibbens","67","3","0.04","100","0.12","81.3"
"David Njoku","95","12","0.2","91","0.97","51.9","-43","Patrick Queen","114","16","0.29","78","1.13","76.2"
"Jake Ferguson","62","27","0.37","59","1.13","73.9","17","Ja'Whaun Bentley","86","7","0.1","67","0.5","67.1"
"Adam Trautman","88","9","0.1","62","0.39","45.3","-23","Tremaine Edmunds","97","15","0.31","93","1.03","58.4"
"Sam LaPorta","83","27","0.51","82","2.24","80.6","5","Quay Walker","90","16","0.27","93","1.29","72.9"
"Luke Musgrave","89","17","0.26","73","1.39","62","2","Alex Anzalone","123","12","0.18","80","0.83","59.5"
"Dalton Schultz","109","12","0.11","54","0.43","44.9","-22","Cole Holcomb","100","9","0.17","78","1.04","65.3"
"Kylen Granson","91","15","0.24","64","0.7","50.3","-29","Ernest Jones","86","13","0.16","64","0.79","72.3"
"Evan Engram","109","19","0.32","86","1.59","72.3","0","Nate Landman","19","","","","","76.6"
"Travis Kelce","54","31","0.6","65","1.76","69.8","34","C.J. Mosley","113","11","0.16","75","0.85","67.2"
"Tyler Higbee","119","12","0.2","79","1.11","65.8","2","Zaire Franklin","113","16","0.24","83","1.1","68.4"
"Gerald Everett","63","19","0.33","92","1.56","71.7","24","Divine Deablo","81","12","0.24","80","0.7","68.4"
"Austin Hooper","61","5","0.11","100","0.66","54.8","-8","Nick Niemann","56","11","0.12","67","0.5","64.7"
"Durham Smythe","81","12","0.19","70","1.01","58.8","-32","Terrel Bernard","74","16","0.25","75","1.32","73.1"
"T.J. Hockenson","123","22","0.43","85","1.46","68.5","4","Frankie Luvu","66","23","0.41","80","1.39","74.7"
"Hunter Henry","107","17","0.35","72","1.17","68","20","Jayron Kearse","88","8","0.14","86","0.7","53"
"Juwan Johnson","86","14","0.15","58","0.71","51.6","-5","Lavonte David","107","16","0.24","88","0.95","62.2"
"Darren Waller","89","21","0.28","63","1.48","69.7","4","Jordyn Brooks","87","17","0.24","87","0.9","65.6"
"Tyler Conklin","76","14","0.22","82","1.03","60.3","-5","Willie Gay","43","14","0.18","50","1.07","57.9"
"Dallas Goedert","99","15","0.17","73","0.64","67","-3","Jamin Davis","59","17","0.25","80","1.17","72.5"
"Pat Freiermuth","77","12","0.28","56","0.6","60.1","31","Christian Harris","56","16","0.26","78","1.38","38.7"
"Noah Fant","52","17","0.34","89","1.87","71.5","0","Isaiah Simmons","24","25","0.36","83","1.5","68"
"George Kittle","83","22","0.32","72","1.67","77.9","59","Josh Woods","20","10","0.38","50","0.35","26.1"
"Cade Otton","80","14","0.21","82","0.95","52.2","-20","Tyrann Mathieu","127","9","0.14","64","0.81","68"
"Chigoziem Okonkwo","69","14","0.16","70","0.61","53.4","-9","Logan Wilson","94","19","0.21","61","0.98","60.3"
"John Bates","42","14","0.26","83","1.38","57","-46","Zach Cunningham","106","18","0.2","74","0.71","65.4"
