player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Marcedes Lewis,2973,TE,CHI,1,0,0,6,,,60.0,,,,60.0,,,60.9,0,0,2,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,3,0,0,1,,86.1,,,74.2,,60.3,,,62.2,0,0,15,0,17,0,0,0,0
Nick Folk,3794,K,TEN,3,0,0,31,,80.5,,,70.3,,60.2,,,62.0,0,0,11,0,13,0,0,0,0
Calais Campbell,4364,ED,ATL,3,0,0,2,58.5,,61.1,,,,59.6,,,66.0,0,0,13,10,0,0,0,0,0
Matthew Slater,4467,WR,NE,3,1,0,19,57.2,,,,,,63.5,,,75.1,1,0,0,14,12,15,17,16,0
JJ Jansen,4712,LS,CAR,3,0,0,5,,,68.1,,,82.5,77.3,,,65.2,0,0,11,0,0,0,15,0,1
Thomas Morstead,5088,P,NYJ,3,0,0,22,,,60.0,,60.0,,61.3,,73.0,66.6,0,0,8,0,4,0,17,0,0
Graham Gano,5443,K,NYG,3,0,0,21,,71.7,,,67.9,,60.2,,,61.9,0,0,9,0,11,0,0,0,0
Brandon Graham,5538,ED,PHI,3,0,0,24,59.3,,,,,,60.3,,,66.6,0,0,0,7,0,0,0,1,0
Al Woods,5646,DI,NYJ,3,0,0,22,58.7,,60.0,,,,59.6,,,67.4,0,0,2,15,0,0,0,1,0
Jon Weeks,5800,LS,HST,3,0,0,13,,,72.3,,,82.6,67.8,,,64.7,0,0,16,0,0,0,12,0,0
Morgan Cox,6020,LS,TEN,3,0,0,31,,,68.1,,,59.5,59.4,,,65.1,0,0,11,0,0,0,15,0,0
Patrick Peterson,6157,CB,PIT,3,0,0,25,59.5,,,,,,29.1,,,22.3,0,2,0,13,0,1,0,1,0
Tyron Smith,6161,T,DAL,2,0,0,9,,,61.5,,,,61.5,,,66.7,0,0,13,0,0,0,0,0,0
Cameron Jordan,6176,ED,NO,1,0,0,20,,,,,,,60.0,,,65.2,0,0,0,0,0,0,0,1,0
Cameron Heyward,6183,DI,PIT,1,0,0,25,59.0,,,,,,59.5,,,65.3,0,0,0,2,0,0,0,0,0
Randall Cobb,6216,WR,NYJ,1,0,0,22,,,,,,,60.0,,,61.2,0,0,0,0,0,1,0,0,0
Taiwan Jones,6277,HB,NYG,2,0,0,21,59.4,,,,,,48.3,,,73.8,2,0,0,12,7,1,6,6,0
Lawrence Guy Sr.,6385,DI,NE,3,0,0,19,58.1,,60.8,,,,61.0,,,74.9,0,0,10,14,0,0,0,5,0
Patrick Scales,6508,LS,CHI,3,0,0,6,,,63.0,,,81.9,63.3,,,65.1,0,0,7,0,0,0,14,0,0
Nick Bellore,6515,FB,SEA,3,0,0,29,60.0,,,,,,71.0,,,29.9,0,1,0,19,19,19,9,7,0
Kevin Zeitler,7032,G,BLT,3,0,0,3,,,62.8,,,,62.2,,,70.7,0,0,13,0,0,0,0,0,0
Bobby Wagner,7050,LB,SEA,3,0,0,29,60.0,,,,,,60.4,,,64.2,0,0,0,19,0,2,0,0,0
Lavonte David,7060,LB,TB,1,0,0,30,,,,,,,60.0,,,65.2,0,0,0,0,0,0,0,1,0
Bryan Anger,7072,P,DAL,3,0,0,9,,,60.2,,,,61.7,,64.6,69.6,0,0,17,0,0,0,8,0,0
Demario Davis,7079,LB,NO,1,0,0,20,,,,,,,60.0,,,63.3,0,0,0,0,0,0,0,1,0
Greg Zuerlein,7163,K,NYJ,2,0,0,22,,78.5,,,60.0,,60.0,,,61.7,0,1,6,0,6,0,0,0,0
Johnny Hekker,7252,P,CAR,3,0,0,5,,,60.0,,60.0,,61.4,,60.5,67.3,0,0,11,0,2,0,15,0,0
Rodney McLeod,7271,S,CLV,3,0,0,8,60.0,,,,,,62.2,,,70.4,0,0,0,7,0,0,15,9,1
Tashaun Gipson Sr.,7288,S,SF,3,0,0,28,,,,,,,60.1,,,64.8,0,0,0,0,6,0,0,0,0
Aaron Brewer,7301,LS,ARZ,3,0,0,1,,,56.1,,,23.1,51.4,,,64.5,0,0,15,0,0,0,10,0,0
Charley Hughlett,7336,LS,CLV,3,0,0,8,,,69.0,,,48.8,60.3,,,65.2,0,0,12,0,0,0,15,0,0
Brandon Bolden,7469,HB,LV,3,0,0,23,59.8,,,,,,68.0,,,69.9,0,0,0,5,11,17,9,9,0
Justin Tucker,7604,K,BLT,3,0,0,3,,65.5,,,72.4,,60.3,,,62.1,0,0,13,0,15,0,0,0,0
Andrew DePaola,7633,LS,MIN,3,0,0,18,,,68.1,,,81.8,78.0,,,64.7,0,0,11,0,0,0,11,0,1
Ty Nsekhe,7636,T,CLV,1,0,0,8,,,60.0,,,,60.8,,,66.8,0,0,5,0,0,0,0,0,0
Justin Bethel,7654,CB,MIA,3,0,0,17,60.0,,,,,,71.4,,,71.4,0,0,0,7,23,9,5,9,1
Greg Van Roten,7746,G,LV,3,0,0,23,,,60.4,,,,61.1,,,65.8,0,0,8,0,0,0,0,0,0
Josh Harris,7748,LS,LAC,3,0,0,27,,,71.6,,,70.5,72.4,,,64.7,0,0,15,0,0,0,12,0,1
Robert Woods,7822,WR,HST,3,0,0,13,,,,,,,60.2,62.4,,62.9,0,0,0,0,0,0,0,7,0
Johnathan Hankins,7830,DI,DAL,3,0,0,9,58.9,,,,,,60.1,,,69.7,0,0,0,8,0,0,0,1,0
John Jenkins,7863,DI,LV,3,0,0,23,59.4,,,,,,60.1,,,66.0,0,0,0,15,0,0,0,0,0
William Gholston,7908,DI,TB,3,0,0,30,58.2,,60.0,,,,59.0,,,67.4,0,0,12,11,0,0,0,0,0
Kyle Juszczyk,7912,FB,SF,1,0,0,28,,,,,,,59.5,,,62.9,0,0,0,0,0,0,3,0,0
Micah Hyde,7941,S,BUF,2,0,0,4,59.8,,,,,,60.0,,,61.7,0,0,0,6,0,0,0,0,0
Sam Martin,7947,P,BUF,3,0,0,4,,,60.2,,,,61.6,,69.7,70.2,1,0,17,0,0,0,5,0,0
David Quessenberry,7957,T,MIN,2,0,0,18,,,60.2,,,,61.1,,,66.1,0,0,8,0,0,0,0,0,0
Dustin Hopkins,7958,K,CLV,3,0,0,8,,72.1,,,55.2,,60.3,,,62.2,0,0,12,0,17,0,0,0,1
Jordan Poyer,8000,S,BUF,2,0,0,4,59.8,,,,,,60.1,,,63.0,0,0,0,6,0,0,0,0,0
Nick Williams,8006,DI,LAC,3,0,0,27,58.0,,61.6,,,,58.9,,,67.4,0,0,15,16,0,0,0,0,0
Chris Hubbard,8051,T,TEN,3,0,0,31,,,61.0,,,,61.5,,,68.8,0,0,11,0,0,0,0,0,0
Tress Way,8358,P,WAS,3,0,0,32,,,60.0,,,,61.4,,59.0,67.9,0,0,12,0,0,0,12,0,0
Brandon McManus,8437,K,JAX,3,0,0,15,,62.9,,,59.5,,60.2,,,62.0,0,0,13,0,13,0,0,0,0
Mike Purcell,8530,DI,DEN,2,0,0,10,58.4,,,,,,59.2,,,70.9,0,0,0,17,0,0,0,0,0
James Winchester,8580,LS,KC,3,0,0,16,,,70.8,,,8.5,51.9,,,64.5,0,0,14,0,0,0,10,0,0
Brett Maher,8585,K,LA,3,0,0,26,,68.8,,,60.0,,60.1,,,61.5,0,0,17,0,2,0,0,0,0
Jake Matthews,8641,T,ATL,3,0,0,2,,,61.5,,,,61.5,,,66.7,0,0,13,0,0,0,0,0,0
Aaron Donald,8648,DI,LA,1,0,0,26,,,,,,,60.0,,,66.3,0,0,0,0,0,0,0,1,0
C.J. Mosley,8652,LB,NYJ,3,0,0,22,60.0,,,,,,61.9,,,66.1,0,0,0,15,0,0,0,3,0
Joel Bitonio,8670,G,CLV,3,0,0,8,,,60.0,,,,60.8,,,64.3,0,0,12,0,0,0,0,0,0
Allen Robinson II,8696,WR,PIT,1,0,0,25,,,,,,,60.0,,,61.7,0,0,0,0,0,1,0,0,0
