player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kirk Cousins,7102,QB,MIN,3,5.13,0,148,18,77.0,122,129,9.1,2.84,0,3,2.2,67.4,87,48,7.4,139,93.9,7,47,,42.2,77.3,83.2,76.6,,54.0,3,2,146,16.7,108.5,5.8,8,2,0,4,9,2,1.4,1034,8.0,77.4,93,97,8.8,2.6,0,2,1.9,68.0,66,33,8.3,102,68.9,6,31,,29.9,72.9,82.4,72.2,,56.1,2,2,108,12.1,104.8,3.9,4,1,0,2,6,2,1.9,791,8.2,81.6,38,41,6.8,3.19,0,1,2.4,73.2,30,15,3.2,46,31.1,1,18,,80.0,79.5,77.7,78.8,,58.3,1,0,47,26.7,116.3,8.7,4,1,0,2,3,0,0.0,284,6.9,0,100.0,9,9,-3.7,1.99,0,0,0.0,100.0,9,0,0.0,9,6.1,0,2,,70.9,67.1,71.9,66.5,,,0,0,9,,85.6,0.0,0,0,0,0,0,0,0.0,41,4.6,-1.22
C.J. Stroud,129759,QB,HST,3,-5.63,0,140,13,71.6,102,109,9.6,2.83,0,2,1.7,61.5,67,51,8.2,126,90.0,6,43,,39.4,68.4,83.4,66.5,,66.0,1,0,133,21.6,97.8,8.7,11,6,3,3,4,4,3.0,844,7.7,74.7,91,96,8.0,2.52,0,0,0.0,65.6,63,38,7.4,107,76.4,5,35,,32.5,67.4,83.0,65.2,,68.0,1,0,113,18.4,101.2,6.5,7,3,3,1,4,3,2.7,703,7.3,73.9,23,25,9.5,3.26,0,2,7.7,60.0,15,15,11.8,33,23.6,2,8,,77.9,67.8,76.6,67.9,,59.2,0,0,34,26.7,85.9,12.1,4,3,0,2,0,1,2.9,203,8.1,0,100.0,12,12,-3.1,1.4,0,0,0.0,91.7,11,2,8.3,14,10.0,1,0,,72.8,64.5,73.5,64.0,,,0,0,14,0.0,88.2,0.0,0,0,0,0,0,0,0.0,62,5.2,0.8
Matthew Stafford,4924,QB,LA,3,7.84,0,139,26,70.4,108,117,10.2,2.7,2,10,8.3,58.1,68,50,10.5,130,93.5,8,46,,87.3,79.2,40.4,77.8,,67.0,0,4,136,14.0,69.8,5.4,7,6,1,6,1,3,2.2,862,7.4,69.8,96,102,8.6,2.49,1,4,3.8,58.8,60,41,10.4,112,80.6,7,36,,86.1,65.6,36.3,63.4,,73.9,0,4,116,14.6,67.7,5.4,6,4,1,4,2,3,2.6,647,6.3,81.0,21,24,11.7,3.22,1,6,23.1,66.7,16,10,5.9,27,19.4,1,12,,77.2,95.5,76.0,95.6,,52.3,0,0,29,10.0,104.3,3.7,1,2,0,2,0,0,0.0,269,11.2,0,88.9,9,9,-3.0,1.73,0,0,0.0,88.9,8,1,0.0,9,6.5,0,2,,70.9,61.7,71.9,61.4,,,0,0,9,0.0,128.7,0.0,0,0,0,0,1,0,0.0,54,6.0,4.87
Mac Jones,60323,QB,NE,3,12.14,0,135,19,67.3,101,105,11.4,2.54,0,4,3.7,61.0,64,48,5.9,115,85.2,4,37,,86.8,72.6,40.2,69.3,,75.4,2,2,121,12.5,87.8,5.2,6,4,0,2,5,4,3.3,680,6.5,68.6,102,105,10.0,2.41,0,4,3.7,62.9,66,44,5.7,115,85.2,4,31,,86.7,70.1,39.8,66.4,,77.6,2,2,119,13.6,79.2,5.2,6,4,0,1,3,4,3.4,583,5.6,88.2,17,20,3.8,2.18,2,0,0.0,75.0,15,4,0.0,20,14.8,0,8,,75.6,70.2,75.0,70.9,,58.3,0,0,22,0.0,132.3,0.0,0,0,0,1,2,1,4.5,165,8.3,0,94.4,18,20,-3.6,1.41,2,0,0.0,85.0,17,0,0.0,20,14.8,0,2,,75.1,57.8,74.7,57.7,,,0,0,20,,80.8,0.0,0,0,0,0,0,1,5.0,68,3.4,2.7
Justin Herbert,28237,QB,LAC,3,-4.59,0,135,27,74.5,98,103,10.4,2.72,0,6,5.4,69.9,72,36,1.4,115,85.2,1,45,,61.6,76.7,83.1,73.3,58.4,75.5,0,0,123,19.4,114.2,6.1,7,5,0,5,6,3,2.4,852,8.3,79.1,86,90,9.5,2.49,0,6,6.3,75.6,68,29,0.0,100,74.1,0,37,,57.6,77.0,82.8,75.4,58.4,63.6,0,0,105,24.1,112.0,7.0,7,2,0,4,3,3,2.9,774,8.6,76.7,30,31,5.4,2.47,0,0,0.0,71.0,22,8,4.3,35,25.9,1,12,,78.7,68.3,77.0,62.2,,78.2,0,0,38,0.0,115.5,0.0,0,3,0,1,3,0,0.0,164,5.3,0,100.0,18,18,-2.6,1.17,0,0,0.0,100.0,18,1,0.0,20,14.8,0,4,,75.1,67.0,74.7,66.3,,,0,0,20,0.0,86.6,0.0,0,0,0,0,0,0,0.0,86,4.8,-3.31
Trevor Lawrence,77632,QB,JAX,3,10.51,0,128,15,71.3,87,92,9.7,2.72,2,9,9.2,58.7,54,39,12.9,104,81.3,8,33,,59.9,87.4,35.2,87.0,,64.9,0,2,110,15.4,80.8,5.8,6,6,0,3,3,3,2.7,617,6.7,72.5,80,84,8.0,2.44,2,6,6.8,61.9,52,28,10.3,97,75.8,6,25,,57.5,78.3,33.2,79.3,60.0,60.0,0,1,101,17.9,85.4,5.2,5,6,0,2,3,2,2.0,500,6.0,88.9,27,29,5.8,2.47,1,3,9.7,72.4,21,11,12.5,31,24.2,3,14,,77.9,91.1,76.5,88.8,,64.4,0,1,33,9.1,82.3,3.2,1,1,0,1,0,1,3.0,238,8.2,0,100.0,20,21,-2.7,1.25,1,0,0.0,90.5,19,0,5.0,24,18.8,1,6,,75.9,64.4,75.5,65.8,60.0,58.3,0,0,24,,90.7,0.0,0,1,0,0,0,0,0.0,121,5.8,2.26
Joe Burrow,28022,QB,CIN,3,-17.68,0,127,7,66.0,100,111,8.0,2.38,2,3,2.5,52.3,58,32,12.1,117,92.1,8,28,,86.8,64.8,0.0,65.6,,58.4,4,2,124,15.6,63.7,4.3,5,1,1,4,2,1,0.8,521,4.7,68.5,92,99,6.9,2.24,2,2,1.9,58.6,58,26,7.9,105,82.7,5,21,,86.0,63.3,0.0,64.3,,58.4,3,1,111,19.2,71.6,4.8,5,1,1,1,2,1,0.9,431,4.4,70.6,17,22,7.7,2.57,0,1,4.3,40.9,9,6,25.0,22,17.3,3,7,,75.9,68.9,75.2,68.1,,,1,1,23,0.0,42.2,0.0,0,0,0,4,0,0,0.0,132,6.0,0,100.0,9,10,-3.0,1.37,0,0,0.0,90.0,9,0,0.0,10,7.9,0,0,,71.4,65.3,72.3,64.8,,,0,0,10,,84.2,0.0,0,0,0,1,0,0,0.0,42,4.2,1.65
Patrick Mahomes,11765,QB,KC,3,-2.67,0,126,16,67.0,97,100,9.3,3.18,0,5,4.7,61.0,61,36,6.2,113,89.7,4,40,,86.5,90.1,82.8,82.1,,90.9,0,2,120,2.8,95.6,0.9,1,12,0,3,6,3,2.5,745,7.5,70.1,87,89,7.8,2.89,0,4,4.3,65.2,58,29,4.9,98,77.8,3,35,,85.6,90.0,82.4,82.4,,90.1,0,2,104,0.0,99.0,0.0,0,9,0,2,6,3,2.9,631,7.1,72.7,22,24,8.3,3.48,0,1,4.0,62.5,15,9,6.3,28,22.2,1,9,,77.2,75.4,76.3,69.8,,74.8,0,0,29,11.1,98.1,3.6,1,3,0,2,1,0,0.0,173,7.2,0,100.0,12,13,-2.9,1.61,0,0,0.0,92.3,12,2,0.0,13,10.3,0,4,,72.8,66.5,73.6,65.8,,,0,0,13,0.0,111.2,0.0,0,0,0,1,1,0,0.0,59,4.5,0.12
Josh Allen,46601,QB,BUF,3,7.0,0,124,4,79.1,91,97,9.1,3.04,2,6,6.0,70.1,68,38,5.6,111,89.5,4,41,,55.1,73.5,83.0,70.6,,69.7,0,4,118,18.4,89.8,6.3,7,7,1,3,5,6,5.1,682,7.0,80.0,80,87,7.5,2.86,2,4,4.4,71.3,62,35,3.1,99,79.8,2,30,,51.4,66.9,82.7,63.0,,71.3,0,4,104,14.3,76.9,5.1,5,7,1,4,3,6,5.8,483,5.6,87.0,23,23,8.0,2.9,0,2,8.7,78.3,18,4,10.0,25,20.2,2,13,,76.8,86.1,75.8,85.5,,58.3,0,0,27,50.0,140.0,8.0,2,0,0,0,2,0,0.0,245,10.7,0,100.0,12,13,-3.7,1.45,0,0,0.0,92.3,12,1,0.0,13,10.5,0,2,,72.8,66.7,73.2,66.1,,,0,0,13,0.0,81.4,0.0,0,0,0,1,0,0,0.0,46,3.5,5.1
Sam Howell,97599,QB,WAS,3,-8.33,0,124,32,76.6,77,88,8.9,2.99,5,4,4.3,62.5,55,46,6.8,113,91.1,4,28,,54.9,58.3,82.9,54.5,,75.4,0,5,125,41.3,68.8,16.8,19,5,0,6,3,6,4.8,570,6.5,81.8,77,87,7.0,2.79,5,3,3.2,66.7,58,40,7.9,107,86.3,5,28,,52.8,58.7,82.8,53.7,,86.0,0,4,117,40.0,74.8,15.0,16,3,0,5,2,6,5.1,598,6.9,63.6,11,12,8.3,3.59,0,1,7.1,58.3,7,8,0.0,17,13.7,0,3,,75.4,61.8,74.9,65.8,,51.9,0,1,21,37.5,69.1,17.6,3,2,0,1,1,0,0.0,73,6.1,0,100.0,11,11,-4.8,1.92,0,0,0.0,90.9,10,2,9.1,11,8.9,1,3,,72.8,66.4,73.2,65.8,,,0,0,13,0.0,104.9,0.0,0,0,0,0,0,0,0.0,101,9.2,-0.79
