"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","142","24","0.3","65","1.03","51.6","-30","Ernest Jones","143","12","0.17","71","0.87","73.2"
"Kyle Pitts","152","20","0.26","60","1.37","65.1","-10","Jamin Davis","105","15","0.22","75","1.1","64.8"
"Mark Andrews","133","21","0.45","71","1.69","67.6","-5","Jack Gibbens","106","7","0.09","71","0.43","70.1"
"Dawson Knox","130","14","0.19","61","0.58","45.6","3","Bobby Okereke","135","8","0.14","64","0.86","67.2"
"Hayden Hurst","145","12","0.2","72","0.69","48.2","-39","David Long Jr.","114","12","0.37","100","1.98","71.4"
"Cole Kmet","134","22","0.48","79","1.72","71.8","-33","Ivan Pace Jr.","74","9","0.14","86","0.54","76.4"
"Irv Smith Jr.","90","10","0.09","56","0.3","40.7","-19","Jordyn Brooks","121","13","0.17","81","0.64","72.5"
"David Njoku","127","14","0.23","89","1.09","56.2","-38","Fred Warner","185","14","0.21","76","1.08","73"
"Jake Ferguson","110","25","0.4","74","1.59","75.9","34","Eric Kendricks","68","13","0.25","78","1.49","50.1"
"Adam Trautman","146","10","0.14","64","0.41","45.5","-49","Nick Bolton","69","12","0.17","75","0.81","61.6"
"Sam LaPorta","129","24","0.56","81","2.24","78.7","13","Lavonte David","146","16","0.21","87","0.76","63.2"
"Dalton Schultz","147","18","0.3","65","1.05","57.9","-35","Demario Davis","168","8","0.1","57","0.18","88.5"
"Kylen Granson","120","18","0.24","59","0.86","55.5","-47","Foyesade Oluokun","177","12","0.18","82","0.75","67.5"
"Evan Engram","179","20","0.31","83","1.45","69.9","19","E.J. Speed","105","17","0.2","61","0.92","53.8"
"Travis Kelce","107","35","0.63","73","2.07","77.3","36","Josey Jewell","93","9","0.16","75","0.99","74.1"
"Tyler Higbee","196","13","0.2","69","1.1","64.4","40","Josh Woods","53","9","0.21","60","0.43","26.7"
"Gerald Everett","82","17","0.29","93","1.3","71.6","15","Markquese Bell","61","13","0.2","88","0.82","71.5"
"Austin Hooper","103","7","0.12","86","0.6","51.7","-35","Ja'Whaun Bentley","142","11","0.17","67","0.58","66.6"
"Durham Smythe","138","10","0.17","79","0.89","51.3","-20","Kamu Grugier-Hill","65","11","0.2","100","0.97","57.7"
"T.J. Hockenson","175","22","0.39","79","1.45","66.9","25","Tremaine Edmunds","176","12","0.27","91","0.9","52.5"
"Hunter Henry","156","16","0.3","68","1.13","68.5","9","Robert Spillane","152","10","0.14","73","0.69","72.2"
"Jimmy Graham","48","4","0.16","50","0.17","53.8","-14","Henry To'oTo'o","137","22","0.42","87","1.91","49.4"
"Darren Waller","175","19","0.27","70","1.37","68.5","-8","Terrel Bernard","152","15","0.25","78","1.36","71.7"
"Tyler Conklin","121","17","0.31","81","1.68","69","-5","Zach Cunningham","175","13","0.15","77","0.55","64.2"
"Dallas Goedert","178","16","0.27","75","1.15","67.5","-7","C.J. Mosley","185","12","0.21","78","1.09","75.6"
"Noah Fant","60","18","0.43","91","2.67","77.8","6","Germaine Pratt","136","9","0.11","67","0.49","66"
"George Kittle","127","17","0.44","77","1.69","79.4","-9","Grant Delpit","114","11","0.11","75","0.32","85.7"
"Cade Otton","116","13","0.23","80","0.77","49.1","-27","Derrick Barnes","111","7","0.12","100","0.46","70.8"
"Chigoziem Okonkwo","116","18","0.22","71","0.9","53","-20","Patrick Queen","181","11","0.18","70","0.71","75.1"
"Logan Thomas","139","17","0.35","75","1.32","65","-13","Nate Landman","75","11","0.15","75","0.69","65.7"
