player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,2,6.07,0,110,7,72.0,75,82,7.7,2.62,2,0,0.0,63.4,52,34,3.7,103,93.6,2,37,,29.9,59.7,82.5,56.7,,70.1,1,4,110,38.2,73.2,12.6,13,8,0,4,3,5,4.5,520,6.3,71.8,71,76,7.1,2.58,1,0,0.0,63.2,48,29,5.9,94,85.5,3,33,,29.1,55.3,82.3,53.3,,65.1,1,4,101,37.9,70.9,11.7,11,7,0,3,3,5,5.0,456,6.0,90.0,10,13,6.1,2.47,2,0,0.0,69.2,9,5,0.0,16,14.5,0,5,,73.9,79.7,73.9,74.0,,65.9,0,0,16,40.0,85.7,12.5,2,1,0,1,0,0,0.0,81,6.2,0,100.0,6,7,-1.8,1.79,1,0,0.0,71.4,5,0,16.7,7,6.4,1,1,,69.6,63.3,71.1,62.9,,,0,0,7,,74.1,0.0,0,0,0,0,0,0,0.0,17,2.4,0.23
Joe Flacco,4332,QB,NYJ,2,6.44,0,109,22,74.7,83,95,8.9,2.73,2,2,2.0,58.9,56,40,9.7,101,92.7,6,33,,85.4,75.4,82.0,74.0,,61.5,6,1,106,12.5,90.0,5.0,5,1,0,4,5,0,0.0,584,6.1,75.6,78,88,7.6,2.61,2,1,1.1,60.2,53,31,10.2,92,84.4,6,29,,84.7,68.7,81.8,67.5,,61.5,5,1,96,9.7,90.3,3.3,3,1,0,3,5,0,0.0,504,5.7,84.6,13,15,9.0,2.78,0,1,5.9,66.7,10,9,9.1,17,15.6,1,6,,74.8,90.0,74.5,87.6,,,1,0,19,22.2,88.8,11.8,2,0,0,1,0,0,0.0,112,7.5,0,100.0,8,8,-3.0,1.48,0,0,0.0,87.5,7,0,12.5,8,7.3,1,2,,70.9,67.2,71.9,66.5,,,0,0,9,,83.3,0.0,0,0,0,0,0,0,0.0,32,4.0,1.74
Carson Wentz,10636,QB,WAS,2,-15.24,0,98,32,75.0,68,76,9.9,2.84,2,4,4.8,64.5,49,28,3.9,87,88.8,2,31,,84.8,64.0,22.0,63.4,,64.8,2,2,95,21.4,107.8,6.9,6,5,0,4,7,4,4.2,589,7.8,82.6,46,50,8.0,2.63,2,3,5.5,72.0,36,19,5.3,59,60.2,2,23,,82.3,69.3,7.8,67.6,,70.4,1,1,64,31.6,117.7,10.2,6,3,0,1,4,2,3.1,447,8.9,69.7,33,37,8.1,2.88,0,1,2.5,56.8,21,11,8.7,39,39.8,2,10,,79.5,53.3,77.4,54.8,,54.5,1,2,43,0.0,76.7,0.0,0,2,0,3,3,3,7.0,203,5.5,0,90.9,11,11,-2.9,1.85,0,0,0.0,72.7,8,2,20.0,11,11.2,2,2,,72.4,55.8,72.9,55.9,,,0,1,12,0.0,47.9,0.0,0,0,0,0,0,1,8.3,61,5.5,-3.45
Kyler Murray,38334,QB,ARZ,2,-13.73,0,89,1,71.4,63,71,8.4,2.73,3,4,5.1,62.0,44,24,2.2,77,86.5,1,23,,84.6,75.3,81.6,67.1,,90.0,1,1,87,12.5,85.1,3.9,3,3,0,4,3,3,3.4,395,5.6,78.0,59,66,6.2,2.44,3,4,5.6,66.7,44,15,4.3,71,79.8,2,23,,84.1,77.0,81.4,69.0,,89.3,1,1,80,20.0,92.2,4.2,3,2,0,3,3,3,3.8,407,6.2,64.3,14,17,8.6,3.28,0,0,0.0,52.9,9,10,0.0,18,20.2,0,3,,74.8,61.1,74.5,58.6,,63.1,0,0,19,0.0,61.6,0.0,0,1,0,3,0,0,0.0,63,3.7,0,100.0,10,12,-3.9,1.83,0,0,0.0,75.0,9,1,10.0,12,13.5,1,3,,72.4,64.2,72.9,63.8,,,0,0,12,0.0,90.6,0.0,0,0,0,2,0,0,0.0,75,6.3,-2.46
Matt Ryan,4317,QB,IND,2,-12.12,0,89,14,67.6,68,74,9.4,2.78,3,1,1.3,58.1,43,26,6.5,83,93.3,3,26,,23.0,56.4,81.7,57.9,,46.2,1,3,85,26.9,66.7,8.4,7,2,0,2,1,5,5.9,508,6.9,72.1,61,66,7.5,2.63,2,1,1.4,62.1,41,23,6.8,72,80.9,3,22,,22.0,55.8,81.4,59.0,,36.2,1,3,75,21.7,62.9,6.9,5,1,0,2,0,5,6.7,444,6.7,53.8,13,14,11.9,3.06,1,0,0.0,50.0,7,3,0.0,17,19.1,0,6,,74.2,55.8,74.1,51.6,,65.9,0,1,17,66.7,68.5,11.8,2,1,0,0,1,1,5.9,103,7.4,0,83.3,6,6,-4.3,1.72,0,0,0.0,83.3,5,0,0.0,6,6.7,0,2,,69.6,49.7,71.1,50.3,,,0,1,7,,54.2,0.0,0,0,0,0,0,1,14.3,39,6.5,0.63
Tua Tagovailoa,60326,QB,MIA,2,-10.8,0,88,17,77.0,74,76,9.0,2.62,0,2,2.6,69.7,53,22,7.0,81,92.0,4,31,,50.8,72.6,81.4,71.4,,60.8,0,2,82,18.2,113.6,4.9,4,0,0,2,6,4,4.9,694,9.1,79.6,49,49,8.4,2.38,0,2,4.0,75.5,37,12,5.1,52,59.1,2,21,,36.9,82.5,80.4,79.9,,65.7,0,1,53,25.0,137.3,5.8,3,0,0,0,6,2,3.8,485,9.9,75.0,32,34,7.4,2.78,0,0,0.0,64.7,22,11,8.3,36,40.9,2,14,,78.6,54.3,76.9,55.9,,56.8,0,1,37,9.1,84.7,2.8,1,0,0,2,1,2,5.4,254,7.5,0,85.7,7,7,-3.0,1.63,0,0,0.0,85.7,6,1,0.0,7,8.0,0,4,,70.3,66.8,71.5,66.2,,,0,0,8,0.0,133.0,0.0,0,0,0,0,1,0,0.0,45,6.4,-2.43
Jameis Winston,9434,QB,NO,2,-23.25,0,87,20,69.1,68,71,12.2,2.74,0,4,5.3,63.4,45,27,4.3,84,96.6,2,21,,50.6,62.4,81.5,62.0,,58.1,0,3,88,37.0,81.4,11.9,10,3,2,1,3,5,5.7,511,7.2,71.0,62,65,10.5,2.57,0,4,5.8,67.7,44,23,0.0,76,87.4,0,20,,47.6,64.3,81.2,65.2,,48.8,0,2,80,39.1,91.4,11.8,9,2,2,1,3,4,5.0,473,7.3,66.7,9,9,18.3,3.55,0,0,0.0,44.4,4,4,33.3,11,12.6,2,1,,71.9,54.5,72.6,48.9,,65.9,0,1,11,25.0,14.4,9.1,1,1,0,0,0,1,9.1,32,3.6,0,100.0,3,3,-5.3,1.57,0,0,0.0,100.0,3,0,0.0,3,3.4,0,0,,65.5,63.8,68.2,63.4,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-6,-2.0,-3.72
Matthew Stafford,4924,QB,LA,2,-4.21,0,87,26,77.6,67,70,7.8,2.62,1,4,5.6,72.9,51,24,1.9,80,92.0,1,28,,48.9,64.9,81.4,63.3,,62.6,0,5,81,33.3,80.7,10.0,8,1,0,2,4,5,6.2,480,6.9,79.0,62,64,7.8,2.34,1,4,6.2,73.4,47,21,4.1,71,81.6,2,25,,45.0,69.0,81.1,67.8,,,0,4,72,28.6,85.3,8.5,6,0,0,1,4,4,5.6,418,6.5,81.8,11,13,2.7,3.48,0,0,0.0,69.2,9,4,0.0,16,18.4,0,6,,73.9,48.7,73.9,46.2,,62.6,0,1,16,50.0,57.9,12.5,2,1,0,2,0,1,6.3,94,7.2,0,100.0,6,7,-1.8,1.77,0,0,0.0,71.4,5,1,16.7,7,8.0,1,3,,69.6,63.5,71.1,63.1,,,0,0,7,0.0,80.7,0.0,0,0,0,1,0,0,0.0,32,4.6,0.7
Justin Herbert,28237,QB,LAC,2,3.61,0,85,27,80.0,70,76,7.5,2.81,3,3,3.9,69.7,53,32,5.4,79,92.9,3,23,,84.2,73.0,81.7,71.2,,64.6,1,1,81,6.3,111.7,2.5,2,1,0,2,6,1,1.2,559,7.4,79.2,48,51,6.8,2.46,0,1,1.9,70.6,36,18,5.3,53,62.4,2,14,,81.8,65.4,80.9,65.2,,56.9,1,1,54,5.6,101.7,1.9,1,1,0,2,3,1,1.9,359,7.0,85.7,28,31,6.0,3.31,3,2,6.5,74.2,23,15,4.2,32,37.6,1,13,,77.9,80.3,76.6,76.4,60.0,65.6,0,0,33,6.7,130.3,3.1,1,0,0,0,3,0,0.0,254,8.2,0,100.0,6,6,-5.0,2.4,0,0,0.0,100.0,6,1,0.0,6,7.1,0,4,,68.9,65.1,71.1,65.4,60.0,,0,0,6,0.0,104.2,0.0,0,0,0,0,0,0,0.0,54,9.0,1.15
Derek Carr,8671,QB,LV,2,9.39,0,83,23,67.2,61,68,9.4,2.56,1,1,1.4,58.8,40,23,2.4,75,90.4,1,29,,26.8,46.4,81.2,46.7,,58.3,3,3,79,26.1,78.2,8.0,6,1,0,3,3,6,7.6,502,7.4,68.3,60,66,8.3,2.46,2,1,1.4,60.6,40,18,2.4,72,86.7,1,27,,26.3,43.6,81.1,44.0,,58.3,2,3,75,27.8,82.8,6.9,5,1,0,2,4,6,8.0,459,7.0,87.5,8,10,7.6,2.35,0,0,0.0,70.0,7,6,0.0,11,13.3,0,4,,72.8,68.9,73.5,68.0,,,1,0,13,16.7,97.1,9.1,1,0,0,1,0,0,0.0,88,8.8,0,100.0,7,8,-2.7,1.39,1,0,0.0,87.5,7,1,0.0,8,9.6,0,2,,70.9,64.8,71.9,64.3,,,0,0,9,0.0,129.7,0.0,0,0,0,0,1,0,0.0,45,5.6,1.85
