player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Joe Fortson,94384,TE,KC,2,2,0,16,6.5,0,50.0,50.0,1,2,0.0,0,1,0,64.7,70.9,0,1,16.7,1,6,1,83.3,5,95.8,2,100.0,1,1,0,0.0,1.0,0.2,0,,0,,,0,0,,0,0,0,,54.3,0,0,12.5,1,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0
Demetric Felton,40568,WR,CLV,2,2,0,8,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,5.0,0,50.0,,0,0,0.0,0,0,0,64.7,58.7,0,3,0.0,0,3,1,100.0,3,56.3,2,100.0,0,3,5,5.0,3.0,1.0
Tony Jones Jr.,40498,HB,NO,2,2,0,20,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,0.0,0,100.0,,0,0,0.0,0,0,0,68.3,54.2,0,7,11.1,3,27,2,81.5,22,91.7,2,100.0,0,12,12,6.0,6.0,0.55
Cole Kmet,60995,TE,CHI,2,2,0,6,,0,,,0,0,,0,0,0,,58.6,0,0,50.0,2,4,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,0.5,0,0.0,,0,0,100.0,1,0,0,27.9,39.9,0,0,0.0,0,26,0,96.2,25,39.6,2,100.0,0,0,0,,,0.0
Ameer Abdullah,9487,HB,LV,2,2,0,23,5.5,0,50.0,,0,0,0.0,0,1,0,64.7,71.8,0,23,0.0,0,7,1,100.0,7,91.7,2,100.0,0,23,26,26.0,23.0,3.29,0,,0,,,0,0,,0,0,0,64.7,65.9,0,0,33.3,3,9,0,55.6,5,0.0,0,0.0,0,0,0,,,0.0
Cade Otton,61071,TE,TB,2,2,0,30,11.0,0,0.0,,0,0,,0,0,0,,50.0,0,0,25.0,1,4,0,75.0,3,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,48.4,0,0,9.1,1,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0
Byron Pringle,42345,WR,CHI,2,2,0,6,,0,,,0,0,,0,0,0,,58.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,35.0,0,0.0,,0,0,,0,0,0,,56.1,0,0,0.0,0,6,0,100.0,6,39.6,1,50.0,0,0,0,,,0.0
Chris Conley,9509,WR,HST,2,2,0,13,2.0,0,0.0,,0,0,,0,0,0,,55.6,0,0,0.0,0,5,0,60.0,3,39.6,1,50.0,0,0,0,,,0.0,0,15.0,0,0.0,,0,0,,0,0,0,,53.4,0,0,0.0,0,11,0,100.0,11,39.6,1,50.0,0,0,0,,,0.0
Avery Williams,42873,HB,ATL,2,2,0,2,,0,,,0,0,,0,0,0,,57.9,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0,0,68.3,58.8,0,8,17.4,4,23,2,78.3,18,95.8,2,100.0,0,14,24,12.0,7.0,0.78
Justice Hill,45865,HB,BLT,2,2,0,3,,0,,,0,0,,0,0,0,,56.3,0,0,50.0,4,8,0,37.5,3,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,0,0,68.3,58.3,0,5,35.7,5,14,2,64.3,9,81.3,2,100.0,0,7,5,2.5,3.5,0.78
Drew Sample,47259,TE,CIN,2,2,0,7,,0,,,0,0,,0,0,0,,56.8,0,0,71.4,5,7,0,28.6,2,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0,0,68.3,57.8,0,2,30.0,3,10,2,70.0,7,79.2,2,100.0,0,-2,0,0.0,-1.0,-0.29
Dax Milne,84147,WR,WAS,2,2,0,32,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Khalil Herbert,41668,HB,CHI,2,2,0,6,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,-2.0,1,100.0,,0,0,0.0,0,0,0,68.3,64.6,0,3,0.0,0,6,2,83.3,5,79.2,2,100.0,0,1,5,2.5,0.5,0.2
Ty Johnson,45769,HB,NYJ,1,2,0,22,,0,,,0,0,,0,0,0,,59.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,0.0,0.0,0,1,,0,0,0,,53.3,0,0,25.0,2,8,0,75.0,6,39.6,1,50.0,0,0,0,,,0.0
Dameon Pierce,83659,HB,HST,2,2,0,13,,0,,,0,0,,0,0,0,,56.7,0,0,25.0,1,4,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,0,0,68.3,58.8,0,8,25.0,5,20,2,75.0,15,95.8,2,100.0,0,14,12,6.0,7.0,0.93
Danny Gray,121926,WR,SF,1,2,0,28,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Khalil Shakir,84140,WR,BUF,1,2,0,4,22.0,0,0.0,,0,0,,0,0,0,,56.3,0,0,0.0,0,3,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0,0,4.0,0,0.0,,0,0,,0,0,0,,53.4,0,0,0.0,0,7,0,100.0,7,39.6,1,50.0,0,0,0,,,0.0
Quez Watkins,61664,WR,PHI,2,2,0,24,,0,,,0,0,,0,0,0,,51.0,0,0,0.0,0,15,0,86.7,13,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,64.7,62.1,0,0,0.0,0,27,0,92.6,25,0.0,0,0.0,0,0,0,,,0.0
River Cracraft,47417,WR,MIA,2,2,0,17,4.0,0,50.0,0.0,0,1,0.0,0,1,0,64.7,71.4,0,2,0.0,0,5,1,100.0,5,95.8,2,100.0,1,2,0,0.0,2.0,0.4,0,,0,,,0,0,,0,0,0,,55.4,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Josh Jacobs,45953,HB,LV,2,2,0,23,,0,,,0,0,,0,0,0,,55.3,0,0,22.2,2,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,0,-4.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.6,0,12,40.0,12,30,1,60.0,18,116.7,1,50.0,0,12,16,16.0,12.0,0.67
Jalen Reagor,61697,WR,MIN,1,2,0,18,3.0,0,0.0,,0,0,,0,0,0,,57.8,0,0,0.0,0,2,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jaylen Warren,98692,HB,PIT,2,2,0,25,-1.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,58.2,0,0,33.3,4,12,1,66.7,8,79.2,1,50.0,0,0,1,1.0,0.0,0.0,0,-5.0,0,0.0,,0,0,,0,0,0,,52.0,0,0,23.1,3,13,0,76.9,10,39.6,1,50.0,0,0,0,,,0.0
Anthony Firkser,51837,TE,ATL,2,2,0,2,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,,0,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.1,0,6,0.0,0,9,1,88.9,8,91.7,1,50.0,0,6,0,0.0,6.0,0.75
Josiah Deguara,47034,TE,GB,2,2,0,12,,0,,,0,0,,0,0,0,,58.8,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,8.0,0,100.0,,0,0,0.0,0,2,0,68.3,82.3,0,15,0.0,0,8,2,100.0,8,118.8,2,100.0,0,28,12,6.0,14.0,3.5
Richard Rodgers,8733,TE,LAC,2,1,0,27,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,59.9,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Mitchell Wilcox,47234,TE,CIN,1,1,0,7,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,1.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.9,0,3,0.0,0,3,1,100.0,3,79.2,1,100.0,0,3,2,2.0,3.0,1.0
Noah Togiai,47282,TE,PHI,1,1,0,24,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,0.0,0,0,0,,,
Stephen Sullivan,40411,TE,CAR,1,1,0,5,,0,,,0,0,,0,0,0,,57.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,13.0,0,100.0,,0,0,0.0,0,1,0,64.7,87.2,0,13,0.0,0,2,1,100.0,2,118.8,1,100.0,0,13,0,0.0,13.0,6.5
Armani Rogers,40034,TE,WAS,2,1,0,32,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,-3.0,0,100.0,,0,0,0.0,0,1,0,64.7,86.9,0,23,0.0,0,2,1,100.0,2,118.8,1,100.0,0,23,26,26.0,23.0,11.5
Chris Myarick,47358,TE,NYG,2,1,0,21,3.0,0,100.0,,0,0,0.0,0,1,0,64.7,89.5,0,1,50.0,2,4,1,50.0,2,118.8,1,100.0,1,1,0,0.0,1.0,0.5,0,,0,,,0,0,,0,0,0,,51.8,0,0,36.4,4,11,0,63.6,7,0.0,0,0.0,0,0,0,,,0.0
Boston Scott,39462,HB,PHI,2,1,0,24,,0,,,0,0,,0,0,0,,55.3,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.8,0,2,9.1,1,11,1,90.9,10,79.2,1,100.0,0,2,0,0.0,2.0,0.2
Juwann Winfree,38275,WR,GB,1,1,0,12,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,12.0,0,100.0,,0,0,0.0,0,1,0,64.7,71.2,0,17,0.0,0,5,1,100.0,5,118.8,1,100.0,0,17,5,5.0,17.0,3.4
Adam Prentice,35639,FB,NO,2,1,0,20,,0,,,0,0,,0,0,0,,58.5,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,100.0,,0,0,0.0,0,0,1,64.7,27.3,0,2,0.0,0,5,1,100.0,5,79.2,1,100.0,0,2,0,0.0,2.0,0.4
Tyler Davis,47743,TE,GB,2,1,0,12,,0,,,0,0,,0,0,0,,60.0,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,50.0,0,0,0.0,0,9,0,100.0,9,0.0,0,0.0,0,0,0,,,0.0
Lawrence Cager,34914,TE,NYJ,1,1,0,22,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,13.0,0,0.0,,0,0,,0,0,0,,43.7,1,0,0.0,0,5,0,100.0,5,0.0,1,100.0,0,0,0,,,0.0
Josh Gordon,7618,WR,TEN,1,1,0,31,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,13.0,0,0.0,,0,0,,0,0,0,,54.6,0,0,0.0,0,4,0,75.0,3,39.6,1,100.0,0,0,0,,,0.0
Wan'Dale Robinson,101735,WR,NYG,1,1,0,21,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,5.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,73.3,0,5,0.0,0,4,1,100.0,4,87.5,1,100.0,0,5,0,0.0,5.0,1.25
Jalen Guyton,34164,WR,LAC,2,1,0,27,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,26.0,0,0.0,,0,0,,0,0,0,,55.7,0,0,0.0,0,4,0,100.0,4,39.6,1,100.0,0,0,0,,,0.0
Kendall Hinton,34045,WR,DEN,1,1,0,10,,0,,,0,0,,0,0,0,,52.0,0,0,0.0,0,13,0,76.9,10,0.0,0,0.0,0,0,0,,,0.0,0,9.0,0,100.0,,0,0,0.0,0,1,0,64.7,62.4,0,20,0.0,0,15,1,80.0,12,118.8,1,100.0,0,20,11,11.0,20.0,1.67
Jeff Smith,48055,WR,NYJ,2,1,0,22,,0,,,0,0,,0,0,0,,57.3,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,55.2,0,0,0.0,0,8,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
