player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Robbie Gould,2607,K,SF,2,9,9,66.9,3.97,22.4,18.8,0,0,28,59.9,602,5,0,0,55.6,94,35.69,4
Matt Prater,3471,K,ARZ,2,7,6,67.6,4.33,24.1,22.5,0,0,1,60.5,473,2,0,0,28.6,45,25.99,5
Mason Crosby,3809,K,GB,2,8,8,66.6,3.67,22.1,23.3,0,0,12,61.4,533,6,0,0,75.0,140,29.38,2
Graham Gano,5443,K,NYG,2,10,9,66.6,4.1,25.4,28.2,0,0,21,57.6,666,5,0,0,50.0,141,36.86,5
Randy Bullock,7154,K,TEN,2,7,7,69.3,3.9,23.4,20.5,0,0,31,61.4,485,2,0,0,28.6,41,27.31,5
Greg Zuerlein,7163,K,NYJ,2,7,6,71.9,4.2,26.3,33.5,0,0,22,61.4,503,2,0,0,28.6,67,25.17,5
Justin Tucker,7604,K,BLT,2,12,11,70.0,4.0,24.0,22.0,0,0,3,65.7,840,3,0,0,25.0,66,44.02,9
Dustin Hopkins,7958,K,LAC,2,10,8,67.9,4.14,28.1,0.0,0,0,27,63.6,679,1,1,0,10.0,0,33.1,9
Tress Way,8358,P,WAS,1,1,1,63.0,4.5,69.0,52.0,0,0,32,60.0,63,1,0,0,100.0,52,4.5,0
Brandon McManus,8437,K,DEN,2,9,9,68.2,4.0,25.6,24.8,0,0,10,62.5,614,4,0,0,44.4,99,36.02,5
Brett Maher,8585,K,DAL,2,6,6,74.3,4.2,25.0,,0,0,9,60.0,446,0,0,0,0.0,0,25.17,6
Cairo Santos,8932,K,CHI,2,7,7,67.9,4.06,22.0,24.0,0,0,6,61.4,475,3,0,0,42.9,72,28.44,4
Chris Boswell,8990,K,PIT,2,9,9,71.6,4.0,25.4,28.3,0,0,25,62.5,644,3,0,0,33.3,85,35.96,6
Bradley Pinion,9598,P,ATL,2,11,11,72.3,4.02,24.6,15.0,0,0,2,64.6,795,1,0,0,9.1,15,44.25,10
Jason Myers,10207,K,SEA,2,6,6,67.5,4.06,21.2,17.0,0,0,29,60.0,405,3,0,0,50.0,51,24.35,3
Riley Dixon,10862,P,LA,1,1,1,43.0,3.05,50.0,,0,0,26,60.0,43,0,0,0,0.0,0,3.05,0
Wil Lutz,11096,K,NO,2,9,8,62.3,4.01,28.7,7.0,0,0,20,57.4,561,2,1,0,22.2,14,32.04,7
Ka'imi Fairbairn,11161,K,HST,2,9,9,72.3,4.15,24.2,17.0,0,0,13,65.0,651,1,0,0,11.1,17,37.37,8
Jake Elliott,11908,K,PHI,2,11,11,71.7,3.98,24.4,21.0,0,0,24,67.9,789,2,0,0,18.2,42,43.78,9
Harrison Butker,11988,K,KC,1,1,1,72.0,4.0,25.0,,0,0,16,60.0,72,0,0,0,0.0,0,4.0,1
Austin Seibert,13701,K,DET,2,13,12,59.5,4.21,24.7,16.6,0,0,11,59.5,774,10,1,0,76.9,166,50.54,3
Greg Joseph,22842,K,MIN,2,8,8,66.8,4.15,22.1,9.0,0,0,18,57.7,534,3,0,0,37.5,27,33.17,5
Daniel Carlson,28121,K,LV,2,11,11,66.9,4.0,25.2,18.3,0,0,23,54.8,736,3,0,0,27.3,55,44.0,7
Jason Sanders,29578,K,MIA,2,12,12,71.8,3.93,31.3,65.5,0,0,17,69.2,862,2,0,0,16.7,131,47.1,10
Tyler Bass,33010,K,BUF,2,14,14,66.4,4.21,24.4,17.8,0,0,4,45.5,930,6,0,0,42.9,107,58.94,7
Chase McLaughlin,33285,K,IND,1,1,1,74.0,4.07,25.0,,0,0,14,60.0,74,0,0,0,0.0,0,4.07,1
Jake Bailey,33963,P,NE,2,6,6,67.3,4.12,24.2,14.0,0,0,19,60.0,404,2,0,0,33.3,28,24.72,4
Rodrigo Blankenship,34038,K,IND,1,6,6,66.3,4.18,30.0,,0,0,14,60.0,398,0,0,0,0.0,0,25.08,4
Matt Ammendola,34039,K,KC,1,6,6,67.0,3.96,29.2,21.5,0,0,16,60.0,402,2,0,0,33.3,43,23.78,4
Joey Slye,39235,K,WAS,2,10,9,66.7,4.1,29.0,16.5,0,0,32,60.6,667,2,1,0,20.0,33,36.87,8
Eddy Pineiro,44140,K,CAR,2,10,10,70.7,3.78,26.6,29.0,0,0,5,54.7,707,1,0,0,10.0,29,37.8,8
Braden Mann,44664,P,NYJ,2,2,0,9.5,,55.5,0.0,0,0,22,60.0,19,1,2,0,50.0,0,0.0,0
Justin Reid,49048,S,KC,1,7,7,68.4,3.98,29.0,34.0,0,0,16,59.6,479,2,0,0,28.6,68,27.83,5
Riley Patterson,57556,K,JAX,2,11,11,64.5,3.91,25.5,20.4,0,0,15,64.6,710,5,0,0,45.5,102,42.96,6
Matt Gay,57643,K,LA,2,8,8,71.0,4.0,25.4,27.0,0,0,26,63.3,568,1,0,0,12.5,27,31.97,7
Evan McPherson,82583,K,CIN,2,11,10,72.1,4.14,24.6,1.0,0,0,7,64.6,793,1,0,0,9.1,1,41.44,10
Jake Camarda,82636,P,TB,2,11,11,67.5,4.33,22.8,23.7,0,0,30,67.9,742,6,0,0,54.5,142,47.65,5
Cade York,98975,K,CLV,2,13,13,68.5,4.07,25.6,22.0,0,0,8,49.1,890,5,0,0,38.5,110,52.86,8
