,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
UNC-Asheville,2022-03-19 14:30:00,240,48.00,7.0,18.18,145.5,18.18,28.1,69.3,76.3
Stephen F. Austin,2022-03-19 14:30:00,-305,6.56,-7.0,18.18,145.5,18.18,71.9,76.3,69.3
Creighton,2022-03-19 14:40:00,525,105.00,12.0,17.39,140.0,18.18,15.3,64.0,76.0
Kansas,2022-03-19 14:40:00,-760,2.63,-12.0,19.05,140.0,18.18,84.7,76.0,64.0
Western Illinois,2022-03-19 15:00:00,,,,,,,,,
UTEP,2022-03-19 15:00:00,,,,,,,,,
VCU,2022-03-19 16:00:00,170,34.00,4.5,18.18,143.5,18.18,35.7,69.5,74.0
Wake Forest,2022-03-19 16:00:00,-200,10.00,-4.5,18.18,143.5,18.18,64.3,74.0,69.5
California Baptist,2022-03-19 17:00:00,210,42.00,6.5,16.67,137.5,18.18,30.9,65.5,72.0
Middle Tennessee St.,2022-03-19 17:00:00,-260,7.69,-6.5,20.00,137.5,18.18,69.1,72.0,65.5
Michigan,2022-03-19 17:15:00,235,47.00,6.0,18.18,136.5,18.18,28.5,65.3,71.3
Tennessee,2022-03-19 17:15:00,-300,6.67,-6.0,18.18,136.5,18.18,71.5,71.3,65.3
Richmond,2022-03-19 18:10:00,150,30.00,3.5,18.18,134.0,17.39,38.8,65.3,68.8
Providence,2022-03-19 18:10:00,-170,11.76,-3.5,18.18,134.0,19.05,61.2,68.8,65.3
St. Mary's (CAL),2022-03-19 19:10:00,135,27.00,3.0,18.18,126.5,20.00,41.2,61.8,64.8
UCLA,2022-03-19 19:10:00,-155,12.90,-3.0,18.18,126.5,16.67,58.8,64.8,61.8
Rice,2022-03-19 19:30:00,220,44.00,6.5,19.05,152.0,18.18,29.9,72.8,79.3
Ohio,2022-03-19 19:30:00,-275,7.27,-6.5,17.39,152.0,18.18,70.1,79.3,72.8
St. Peter's,2022-03-19 19:45:00,310,62.00,8.5,18.18,129.5,17.39,23.3,60.5,69.0
Murray State,2022-03-19 19:45:00,-410,4.88,-8.5,18.18,129.5,19.05,76.7,69.0,60.5
New Mexico State,2022-03-19 20:40:00,220,44.00,6.5,17.39,138.5,18.18,29.9,66.0,72.5
Arkansas,2022-03-19 20:40:00,-275,7.27,-6.5,19.05,138.5,18.18,70.1,72.5,66.0
Northern Iowa,2022-03-19 21:00:00,205,41.00,5.5,18.18,147.5,18.18,31.3,71.0,76.5
BYU,2022-03-19 21:00:00,-255,7.84,-5.5,18.18,147.5,18.18,68.7,76.5,71.0
Memphis,2022-03-19 21:40:00,475,95.00,9.5,19.05,154.5,17.39,16.6,72.5,82.0
Gonzaga,2022-03-19 21:40:00,-675,2.96,-9.5,17.39,154.5,19.05,83.4,82.0,72.5
New Orleans,2022-03-19 22:00:00,320,64.00,9.0,18.18,155.5,18.18,22.7,73.3,82.3
Portland,2022-03-19 22:00:00,-425,4.71,-9.0,18.18,155.5,18.18,77.3,82.3,73.3
