player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1194,,,G,Cameron Smith,59.74,13.9,,81.5,25.5,0,0,9700,,34810,1194
2173,,,G,Jimmy Walker,,0,,,,0,0,6000,,34819,2173
308,,,G,Ian Poulter,43.06,0.81,65.6,67.08,21.5,0,0,7000,,34802,308
902,,,G,Xander Schauffele,66.23,17.9,91.7,86.5,28,0,0,9300,,36091,902
804,,,G,Keegan Bradley,59.28,13.8,,80.08,25.5,0,0,7500,,34744,804
815,,,G,Jason Day,49.2,2.9,66.5,73.5,22.5,0,0,7500,,34752,815
699783,,,G,Jinichiro Kozuma,29.08,0.17,,51.5,17,0,0,6100,,1377917,699783
805,,,G,Brian Harman,53.01,1.2,,76.5,23.5,0,0,7000,,34882,805
1284,,,G,Si Woo Kim,51.32,3.3,76.5,74,23.5,0,0,7200,,34895,1284
600531,,,G,Nicolai Hojgaard,43.44,0.22,,69,21,0,0,6800,,458384,600531
578036,,,G,Ryan Vermeer,26.29,0.03,,34.08,15.5,0,0,6100,,37476,578036
1075,,,G,Matt Fitzpatrick,59.18,18.3,,80.5,25.5,0,0,7900,,34759,1075
698025,,,G,Harry Higgs,37.02,0.36,38.9,63,20,0,0,6500,,1266428,698025
707,,,G,Shaun Micheel,21.4,0.01,,27,13.5,0,0,6200,,35079,707
1032,,,G,Michael Block,23.39,0.01,,29,14.5,0,0,6300,,35333,1032
729,,,G,Talor Gooch,52.86,9.3,85,76,24,0,0,7400,,37126,729
2022,,,G,Matt Jones,49.41,0.68,,73,23,0,0,6600,,34892,2022
1670,,,G,Jesse Mueller,30.16,0.03,,53.58,17.5,0,0,6200,,37969,1670
1594,,,G,Tiger Woods,29.64,7.6,,52.5,17.43,0,0,8200,,34826,1594
1154,,,G,Sam Burns,55.66,12.5,90.8,78,24.5,0,0,8800,,35095,1154
1055,,,G,Gary Woodland,50.94,9.1,,74.5,23.5,0,0,7300,,35025,1055
2078,,,G,Adam Scott,50.85,8.2,81,75,23.5,0,0,7700,,34807,2078
671054,,,G,Yuki Inamori,18.21,0.11,,23.5,11.5,0,0,6100,,623677,671054
