player_name,sample_size,DG_odds,pinnacle_odds,pinnacle_ev
"Rahm, Jon",150,+1482,+1336,-0.092
"Scheffler, Scottie",150,+1700,+1082,-0.343
"McIlroy, Rory",150,+1895,+1571,-0.162
"Thomas, Justin",150,+2216,+1648,-0.245
"Cantlay, Patrick",150,+2236,+2032,-0.088
"Matsuyama, Hideki",150,+3250,+3475,0.067
"Morikawa, Collin",150,+3427,+1657,-0.502
"Schauffele, Xander",150,+3556,+2663,-0.244
"Fitzpatrick, Matthew",150,+3802,+5364,0.400
"Lowry, Shane",150,+3802,+3029,-0.198
"Smith, Cameron",150,+3806,+2228,-0.404
"Hovland, Viktor",150,+4456,+2122,-0.512
"Zalatoris, Will",150,+5009,+3495,-0.296
"Conners, Corey",150,+5402,+6029,0.114
"Johnson, Dustin",150,+6073,+1790,-0.694
"Spieth, Jordan",150,+6131,+2041,-0.656
"Oosthuizen, Louis",150,+6808,+3452,-0.486
"Burns, Sam",150,+6980,+3776,-0.453
"Niemann, Joaquin",150,+7094,+4418,-0.372
"Bradley, Keegan",150,+7667,+11238,0.460
"Finau, Tony",150,+7997,+3327,-0.577
"Young, Cameron",150,+8130,,0.00
"Berger, Daniel",150,+8577,+4527,-0.467
"Henley, Russell",150,+8653,+14769,0.699
"Koepka, Brooks",150,+9053,+1909,-0.781
"Power, Seamus",150,+9246,,0.00
"Homa, Max",150,+9539,+7360,-0.226
"Munoz, Sebastian",150,+10130,+21795,1.140
"Garcia, Sergio",150,+10538,+8657,-0.177
"Hatton, Tyrrell",150,+10859,+7347,-0.320
"Horschel, Billy",150,+11329,+10022,-0.114
"Wise, Aaron",150,+11394,+21821,0.907
"Kokrak, Jason",150,+11427,+11433,0.000
"Fleetwood, Tommy",150,+11528,+7377,-0.357
"Gooch, Talor",150,+11562,+6840,-0.405
"Varner III, Harold",150,+11665,+11822,0.013
"McNealy, Maverick",150,+12284,,0.00
"Kim, Si Woo",150,+13189,+11877,-0.099
"Scott, Adam",150,+13414,+8314,-0.377
"Pereira, Mito",150,+13693,,0.00
"Hoge, Tom",150,+14715,,0.00
"Van Rooyen, Erik",150,+15109,+11570,-0.233
"Noren, Alex",150,+16227,+17573,0.082
"Day, Jason",150,+16994,+8917,-0.473
"Griffin, Lanto",150,+17141,,0.00
"Woods, Tiger",150,+17757,+3965,-0.772
"Harman, Brian",150,+18505,+14849,-0.196
"Kirk, Chris",150,+18505,,0.00
"Woodland, Gary",150,+19317,+6539,-0.658
"Ancer, Abraham",150,+19412,+7834,-0.593
"Champ, Cameron",150,+19800,+13310,-0.326
"Straka, Sepp",150,+20001,,0.00
"Hadwin, Adam",150,+20842,,0.00
"Spaun, J.J.",150,+20842,,0.00
"Vegas, Jhonattan",150,+21064,,0.00
"Rose, Justin",150,+21405,+9504,-0.553
"Watson, Bubba",150,+21405,+14849,-0.305
"Lee, Kyounghoon",150,+22757,+29288,0.286
"Pieters, Thomas",150,+23021,+17811,-0.225
"Horsfield, Sam",150,+23292,+35452,0.520
"Na, Kevin",150,+23710,+16029,-0.323
"Mitchell, Keith",150,+24440,,0.00
"Tringale, Cameron",150,+25541,+17811,-0.301
"DeChambeau, Bryson",150,+26044,+2970,-0.883
"Leishman, Marc",150,+26216,+9504,-0.635
"List, Luke",150,+26567,,0.00
"Lahiri, Anirban",150,+27297,,0.00
"Macintyre, Robert",150,+28269,+14673,-0.479
"Merritt, Troy",150,+29097,,0.00
"Simpson, Webb",150,+29751,+7834,-0.734
"Davis, Cameron",150,+29751,+23233,-0.218
"Bezuidenhout, Christiaan",150,+30203,+17811,-0.409
"Riley, Davis",150,+30908,,0.00
"Fox, Ryan",150,+30908,,0.00
