"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","O. Zaccheaus","WR","ATL","DET","2021-12-26T18:00:00Z","2.5","over","126","-0.07447590208761062","null","null","under","-162","0.013677200025191016","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","DET","2021-12-26T18:00:00Z","30.5","over","-118","-0.08513924443892085","null","null","under","-108","0.02465769091682468","null","null"
"recv_rec","R. Gage","WR","ATL","DET","2021-12-26T18:00:00Z","5.5","over","122","0.006649549549549494","null","null","under","-158","-0.06950310077519384","null","null"
"recv_yd","R. Gage","WR","ATL","DET","2021-12-26T18:00:00Z","64.5","over","-115","-0.10177699826464198","null","null","under","-115","0.03202347418618812","null","null"
"game_away_home_spread","TB@CAR","","TB","CAR","2021-12-26T18:00:00Z","10.5","away","-110","-0.007809523809523822","46","65","home","-110","-0.03980952380952385","54","35"
"game_away_home_win","TB@CAR","","TB","CAR","2021-12-26T18:00:00Z","","away","-516","0.000012987012986909185","64","91","home","385","-0.04377319587628867","36","9"
"game_point_total","TB@CAR","","TB","CAR","2021-12-26T18:00:00Z","43.5","over","-110","0.003190476190476188","64","45","under","-110","-0.05080952380952386","36","55"
"rush_yd","C. Hubbard","RB","CAR","TB","2021-12-26T18:00:00Z","36.5","over","-113","-0.01639922979498809","null","null","under","-115","-0.049003380693033394","null","null"
"recv_rec","D. Moore","WR","CAR","TB","2021-12-26T18:00:00Z","4.5","over","-128","-0.042703508771929855","null","null","under","100","-0.018699999999999994","null","null"
"recv_yd","D. Moore","WR","CAR","TB","2021-12-26T18:00:00Z","53.5","over","-115","0.0134625582647534","null","null","under","-116","-0.08539054246505329","null","null"
"recv_yd","R. Anderson","WR","CAR","TB","2021-12-26T18:00:00Z","30","over","-108","-0.0192002323479189","null","null","under","-118","-0.04033698611250802","null","null"
"recv_rec","A. Brown","WR","TB","CAR","2021-12-26T18:00:00Z","5.5","over","-128","-0.023603508771929738","null","null","under","100","-0.0378","null","null"
"recv_yd","A. Brown","WR","TB","CAR","2021-12-26T18:00:00Z","66.5","over","-114","-0.03971329935096263","null","null","under","-114","-0.02570764290046257","null","null"
"recv_rec","R. Gronkowski","TE","TB","CAR","2021-12-26T18:00:00Z","4.5","over","108","-0.07791730769230765","null","null","under","-138","0.01731008403361345","null","null"
"recv_yd","R. Gronkowski","TE","TB","CAR","2021-12-26T18:00:00Z","58.5","over","-115","-0.09568044368757223","null","null","under","-116","0.02375900679066889","null","null"
"rush_att","R. Jones","RB","TB","CAR","2021-12-26T18:00:00Z","15.5","over","-114","0.07618636289719627","null","null","under","-114","-0.14162045370280368","null","null"
"rush_yd","R. Jones","RB","TB","CAR","2021-12-26T18:00:00Z","69.5","over","-111","-0.011616035969145844","null","null","under","-120","-0.05991307523223044","null","null"
"pass_att","T. Brady","QB","TB","CAR","2021-12-26T18:00:00Z","36.5","over","-115","0.004162766847740196","null","null","under","-115","-0.07393718856325243","null","null"
"pass_comp","T. Brady","QB","TB","CAR","2021-12-26T18:00:00Z","24.5","over","-128","-0.04545964912280698","null","null","under","100","-0.015949999999999964","null","null"
"pass_int","T. Brady","QB","TB","CAR","2021-12-26T18:00:00Z","0.5","over","105","-0.07270487804878056","null","null","under","-137","0.006840928270042124","null","null"
"pass_td","T. Brady","QB","TB","CAR","2021-12-26T18:00:00Z","1.5","over","-212","-0.1484192307692307","null","null","under","160","0.084323076923077","null","null"
"pass_yd","T. Brady","QB","TB","CAR","2021-12-26T18:00:00Z","272.5","over","-115","0.00022103404230378043","null","null","under","-115","-0.06993568177591647","null","null"
"game_away_home_spread","LA@MIN","","LA","MIN","2021-12-26T18:00:00Z","3","away","-110","-0.01695238095238094","17","57","home","-110","-0.02695238095238095","83","43"
"game_away_home_win","LA@MIN","","LA","MIN","2021-12-26T18:00:00Z","","away","-175","-0.04245454545454552","30","90","home","149","0.004598393574297255","70","10"
"game_point_total","LA@MIN","","LA","MIN","2021-12-26T18:00:00Z","49","over","-110","0.006857142857142895","64","71","under","-110","-0.0531428571428571","36","29"
"recv_rec","C. Kupp","WR","LA","MIN","2021-12-26T18:00:00Z","8.5","over","-108","0.22936923076923088","null","null","under","-122","-0.2981495495495495","null","null"
"recv_yd","C. Kupp","WR","LA","MIN","2021-12-26T18:00:00Z","107.5","over","-115","-0.012808828973792208","null","null","under","-115","-0.05691029772278944","null","null"
"pass_att","M. Stafford","QB","LA","MIN","2021-12-26T18:00:00Z","36.5","over","-105","0.008107282644430724","null","null","under","-125","-0.07584441456977065","null","null"
"pass_comp","M. Stafford","QB","LA","MIN","2021-12-26T18:00:00Z","23.5","over","-124","-0.0009267857142856162","null","null","under","-107","-0.06955990338164242","null","null"
"pass_int","M. Stafford","QB","LA","MIN","2021-12-26T18:00:00Z","0.5","over","-128","-0.1158035087719298","null","null","under","-102","0.04944950495049505","null","null"
"pass_td","M. Stafford","QB","LA","MIN","2021-12-26T18:00:00Z","2.5","over","153","0.15004308300395264","null","null","under","-200","-0.21196666666666664","null","null"
"pass_yd","M. Stafford","QB","LA","MIN","2021-12-26T18:00:00Z","286.5","over","-115","-0.03605026572183595","null","null","under","-115","-0.033725855894055856","null","null"
"recv_rec","O. Beckham Jr.","WR","LA","MIN","2021-12-26T18:00:00Z","3.5","over","-117","-0.07792442396313365","null","null","under","-113","0.00823051643192485","null","null"
"recv_yd","O. Beckham Jr.","WR","LA","MIN","2021-12-26T18:00:00Z","46.5","over","-115","-0.03266523675932087","null","null","under","-115","-0.03716551067078089","null","null"
"recv_rec","T. Higbee","TE","LA","MIN","2021-12-26T18:00:00Z","2.5","over","-153","-0.15489997956521745","null","null","under","116","0.08718655013888899","null","null"
"recv_yd","T. Higbee","TE","LA","MIN","2021-12-26T18:00:00Z","29.5","over","-113","-0.05452362213431183","null","null","under","-113","-0.006469306988227563","null","null"
"recv_rec","V. Jefferson","WR","LA","MIN","2021-12-26T18:00:00Z","3.5","over","-129","-0.08667510917030563","null","null","under","-103","0.0159600985221674","null","null"
"recv_yd","V. Jefferson","WR","LA","MIN","2021-12-26T18:00:00Z","47.5","over","-116","-0.004296517437681002","null","null","under","-114","-0.06547226248608873","null","null"
"recv_rec","A. Thielen","WR","MIN","LA","2021-12-26T18:00:00Z","4.5","over","-119","-0.0945333333333333","null","null","under","-112","0.02284528301886779","null","null"
"recv_yd","A. Thielen","WR","MIN","LA","2021-12-26T18:00:00Z","55.5","over","-113","-0.07436064714900381","null","null","under","-117","0.004680070946553649","null","null"
"recv_rec","A. Mattison","RB","MIN","LA","2021-12-26T18:00:00Z","3.5","over","-105","-0.1724926829268293","null","null","under","-125","0.10475555555555549","null","null"
"recv_yd","A. Mattison","RB","MIN","LA","2021-12-26T18:00:00Z","21.5","over","-124","-0.09147883341430946","null","null","under","-106","0.02336069031987198","null","null"
