"","Name","ID","Salary","AvgPointsPerGame","Win","Win_rank"
"2","Jordan Spieth",21867384,10600,69.25,0.0667,2
"3","Adam Schenk",21867452,6700,48,0.005,80
"4","Min Woo Lee",21867438,6900,39.38,0.0066,62
"5","Tony Finau",21867393,9100,62.85,0.0244,12
"6","Ben Kern",21867577,6000,0,0.002,127
"7","",131204635,48600,278.94,0.1341,291
"1","Mito Pereira",21867402,8100,66.37,0.0141,23
"2","Bill Haas",21867534,6200,51.66,0.0033,109
"3","Corey Conners",21867387,9800,69.82,0.0526,4
"4","Trey Mullinax",21867494,6400,49.21,0.004,96
"5","Hideki Matsuyama",21867383,10800,94.68,0.0526,4
"6","Andrew Landry",21867530,6200,45.05,0.0025,119
"7","",131204730,47500,376.79,0.1291,355
"1","Ryan Brehm",21867500,6300,78.64,0.004,96
"2","Bryson DeChambeau",21867386,10200,74.67,0.0345,6
"3","Brian Stuard",21867424,7200,51.78,0.0079,50
"4","David Lipsky",21867440,6900,52.5,0.0079,50
"5","Jordan Spieth",21867384,10600,69.25,0.0667,2
"6","Richard Bland",21867426,7200,64,0.0079,50
"7","",131204560,48400,390.84,0.1289,254
"1","Branden Grace",21867439,6900,46.64,0.0079,50
"2","Corey Conners",21867387,9800,69.82,0.0526,4
"3","Brendan Steele",21867412,7600,53.38,0.0141,23
"4","Trey Mullinax",21867494,6400,49.21,0.004,96
"5","Bryson DeChambeau",21867386,10200,74.67,0.0345,6
"6","Ryan Palmer",21867404,8000,53.8,0.0141,23
"7","",131204522,48900,347.52,0.1272,202
