player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Thomas, Justin",150,pga,1,0,7,0,null
"Rahm, Jon",150,pga,2,1,2,-1,null
"Scheffler, Scottie",150,pga,3,4,1,4,null
"Cantlay, Patrick",150,pga,4,-2,5,-1,null
"Smith, Cameron",150,pga,5,-1,6,0,null
"Hovland, Viktor",150,pga,6,-1,4,-1,null
"McIlroy, Rory",150,pga,7,1,9,-1,null
"Berger, Daniel",150,pga,8,-2,22,-1,null
"Burns, Sam",150,pga,9,0,11,-1,null
"Schauffele, Xander",150,pga,10,0,10,-1,null
"Lowry, Shane",150,pga,11,2,35,-2,null
"Johnson, Dustin",150,pga,12,-1,8,3,null
"Hatton, Tyrrell",150,pga,13,2,18,-1,null
"Fitzpatrick, Matthew",150,pga,14,-2,24,1,null
"Matsuyama, Hideki",150,pga,15,-1,12,0,null
"Henley, Russell",150,pga,16,0,42,-3,null
"Morikawa, Collin",150,pga,17,3,3,-1,null
"Horschel, Billy",150,pga,18,-1,13,3,null
"Oosthuizen, Louis",150,pga,19,2,15,-1,null
"Im, Sungjae",150,pga,20,-2,26,0,null
"Conners, Corey",150,pga,21,4,32,9,null
"Niemann, Joaquin",150,pga,22,-3,20,-2,null
"DeChambeau, Bryson",150,pga,23,-1,14,-1,null
"Scott, Adam",150,pga,24,-1,36,1,null
"Noren, Alex",150,pga,25,3,55,1,null
"Casey, Paul",150,pga,26,-2,25,-1,null
"Zalatoris, Will",150,pga,27,0,29,0,null
"Garcia, Sergio",150,pga,28,-2,50,-1,null
"McNealy, Maverick",150,pga,29,7,70,4,null
"Homa, Max",150,pga,30,1,37,-2,null
"Gooch, Talor",150,pga,31,-1,33,-1,null
"Fleetwood, Tommy",150,pga,32,-3,46,0,null
"Ancer, Abraham",150,pga,33,4,16,3,null
"Power, Seamus",150,pga,34,0,41,7,null
"Varner III, Harold",150,pga,35,4,40,0,null
"Hoge, Tom",150,pga,36,-3,38,0,null
"Koepka, Brooks",150,pga,37,3,19,1,null
"Simpson, Webb",150,pga,38,-6,39,-3,null
"Vegas, Jhonattan",150,pga,39,10,86,9,null
"Mitchell, Keith",150,pga,40,-2,68,3,null
"Pieters, Thomas",150,euro,41,19,34,-3,null
"Finau, Tony",150,pga,42,6,23,0,null
"Bradley, Keegan",150,pga,43,-8,69,0,null
"Kokrak, Jason",150,pga,44,11,28,-1,null
"Woodland, Gary",150,pga,45,-3,92,1,null
"Kirk, Chris",150,pga,46,-2,85,0,null
"Leishman, Marc",150,pga,47,-6,43,-1,null
"Munoz, Sebastian",150,pga,48,9,64,2,null
"Spieth, Jordan",150,pga,49,-3,17,-2,null
"Van Rooyen, Erik",150,pga,50,-3,62,-1,null
"Harman, Brian",150,pga,51,-8,51,-1,null
"Rose, Justin",150,pga,52,-7,56,-4,null
"Hadwin, Adam",150,pga,53,-3,105,-1,null
"Wise, Aaron",150,pga,54,-2,90,-1,null
"Kizzire, Patton",150,pga,55,-2,117,-3,null
"Hughes, Mackenzie",150,pga,56,3,57,0,null
"Watson, Bubba",150,pga,57,5,66,-1,null
"Poulter, Ian",150,pga,58,0,67,0,null
"Young, Cameron",150,kft,59,-5,47,-2,null
"Kim, Si Woo",150,pga,60,12,54,0,null
"Na, Kevin",150,pga,61,6,30,0,null
"English, Harris",150,pga,62,-1,21,1,null
"List, Luke",150,pga,63,-12,58,1,null
"Kisner, Kevin",150,pga,64,16,27,7,null
"Tringale, Cameron",150,pga,65,5,52,-1,null
"Pereira, Mito",150,kft,66,-3,97,-1,null
"Day, Jason",150,pga,67,-3,104,-2,null
"McCarthy, Denny",150,pga,68,-3,151,-3,null
"Knox, Russell",150,pga,69,-3,169,-2,null
"Straka, Sepp",150,pga,70,9,72,0,null
"Bezuidenhout, Christiaan",150,pga,71,-15,61,-3,null
"Streelman, Kevin",150,pga,72,-4,88,-1,null
"Reed, Patrick",150,pga,73,11,31,-3,null
"Perez, Pat",150,pga,74,-3,186,-2,null
"Pendrith, Taylor",150,kft,75,-2,196,-3,null
"Kuchar, Matt",150,pga,76,-2,148,-4,null
"Dahmen, Joel",150,pga,77,1,100,0,null
"Howell III, Charles",150,pga,78,-3,226,-6,null
"Merritt, Troy",150,pga,79,-3,98,0,null
"Lee, Kyounghoon",150,pga,80,-3,79,1,null
"Burmester, Dean",150,euro,81,-12,65,-1,null
"Griffin, Lanto",150,pga,82,-1,93,-2,null
"Stallings, Scott",150,pga,83,-1,194,-2,null
"Wiesberger, Bernd",150,euro,84,-1,74,-1,null
"Theegala, Sahith",150,pga,85,4,124,3,null
"Stuard, Brian",150,pga,86,19,220,27,null
"Smalley, Alex",150,pga,87,29,199,102,null
"Laird, Martin",150,pga,88,0,139,-3,null
"Hubbard, Mark",150,pga,89,-4,284,-7,null
"Ghim, Doug",150,pga,90,0,183,0,null
"Schwab, Matthias",150,euro,91,-4,175,-9,null
"Bland, Richard",150,euro,92,5,53,7,null
"Smith, Jordan",150,euro,93,-7,114,1,null
"Jones, Matt",150,pga,94,-2,83,0,null
"Moore, Taylor",150,kft,95,-1,149,-2,null
"NeSmith, Matthew",150,pga,96,-1,177,-4,null
"Herbert, Lucas",150,pga,97,-4,44,0,null
"Pan, C.T.",150,pga,98,-2,131,-2,null
"Todd, Brendon",150,pga,99,-1,162,-1,null
"Spaun, J.J.",150,pga,100,-1,242,-2,null
