,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Texas A&M,2/12/2022 12:00,575,115,11.5,20,141.5,19.05,14.2,65,76.5
Auburn,2/12/2022 12:00,-850,2.35,-11.5,16.67,141.5,17.39,85.8,76.5,65
Arkansas,2/12/2022 12:00,175,35,4.5,20,157.5,19.05,34.9,76.5,81
Alabama,2/12/2022 12:00,-210,9.52,-4.5,16.67,157.5,17.39,65.1,81,76.5
Texas,2/12/2022 12:00,215,43,6,19.05,129.5,16,30.4,61.8,67.8
Baylor,2/12/2022 12:00,-265,7.55,-6,17.39,129.5,21,69.6,67.8,61.8
Creighton,2/12/2022 12:00,-180,11.11,-3.5,16,141.5,18.18,62.1,72.5,69
Georgetown,2/12/2022 12:00,155,31,3.5,21,141.5,18.18,37.9,69,72.5
St. Joseph's,2/12/2022 12:00,130,26,2.5,20,152.5,19.05,42,75,77.5
Massachusetts,2/12/2022 12:00,-150,13.33,-2.5,16.67,152.5,17.39,58,77.5,75
Lafayette,2/12/2022 12:00,145,29,4,18.18,137,18.18,39.6,66.5,70.5
Lehigh,2/12/2022 12:00,-165,12.12,-4,18.18,137,18.18,60.4,70.5,66.5
Sacred Heart,2/12/2022 13:00,-120,16.67,-1.5,18.18,146.5,19.05,52.2,74,72.5
Fairleigh-Dickinson,2/12/2022 13:00,100,20,1.5,18.18,146.5,17.39,47.8,72.5,74
Niagara,2/12/2022 13:00,110,22,1.5,20,126.5,18.18,45.7,62.5,64
Fairfield,2/12/2022 13:00,-130,15.38,-1.5,16.67,126.5,18.18,54.3,64,62.5
Illinois State,2/12/2022 13:00,,,2.5,,148,,,,
Indiana State,2/12/2022 13:00,,,-2.5,,148,,,,
St. Francis (NY),2/12/2022 13:00,-130,15.38,-1.5,16.67,132.5,19.05,54.3,67,65.5
Central Connecticut,2/12/2022 13:00,110,22,1.5,20,132.5,17.39,45.7,65.5,67
Oklahoma,2/12/2022 13:00,435,87,10.5,18.18,141.5,19.05,17.9,65.5,76
Kansas,2/12/2022 13:00,-600,3.33,-10.5,18.18,141.5,17.39,82.1,76,65.5
Seton Hall,2/12/2022 13:00,350,70,9.5,17.39,134.5,19.05,21.2,62.5,72
Villanova,2/12/2022 13:00,-475,4.21,-9.5,19.05,134.5,17.39,78.8,72,62.5
Merrimack,2/12/2022 13:00,700,140,12.5,20,122.5,17.39,12,55,67.5
Wagner,2/12/2022 13:00,-1125,1.78,-12.5,16.67,122.5,19.05,88,67.5,55
American,2/12/2022 13:00,550,110,11.5,18.18,131.5,17.39,14.8,60,71.5
Boston University,2/12/2022 13:00,-800,2.5,-11.5,18.18,131.5,19.05,85.2,71.5,60
Navy,2/12/2022 13:30,-180,11.11,-3.5,18.18,129.5,16.67,62.1,66.5,63
Army,2/12/2022 13:30,155,31,3.5,18.18,129.5,20,37.9,63,66.5
Georgia Southern,2/12/2022 14:00,155,31,4.5,18.18,130.5,18.18,37.9,63,67.5
Coastal Carolina,2/12/2022 14:00,-180,11.11,-4.5,18.18,130.5,18.18,62.1,67.5,63
Northeastern,2/12/2022 14:00,215,43,6.5,17.39,135.5,19.05,30.4,64.5,71
Drexel,2/12/2022 14:00,-265,7.55,-6.5,19.05,135.5,17.39,69.6,71,64.5
Elon,2/12/2022 14:00,435,87,9.5,21,131.5,17.39,17.9,61,70.5
Towson,2/12/2022 14:00,-600,3.33,-9.5,16,131.5,19.05,82.1,70.5,61
Northern Arizona,2/12/2022 14:00,650,130,12.5,21,135.5,19.05,12.8,61.5,74
Montana State,2/12/2022 14:00,-1000,2,-12.5,16,135.5,17.39,87.2,74,61.5
Yale,2/12/2022 14:00,-1000,2,-12.5,16.67,147,18.18,87.2,79.8,67.3
Columbia,2/12/2022 14:00,650,130,12.5,20,147,18.18,12.8,67.3,79.8
Brown,2/12/2022 14:00,115,23,2.5,17.39,148.5,18.18,44.7,73,75.5
Cornell,2/12/2022 14:00,-135,14.81,-2.5,19.05,148.5,18.18,55.3,75.5,73
New Hampshire,2/12/2022 14:00,-110,18.18,-1.5,21,130.5,17.39,50,66,64.5
Binghamton,2/12/2022 14:00,-110,18.18,1.5,16,130.5,19.05,50,64.5,66
South Carolina,2/12/2022 14:00,-150,13.33,-2.5,17.39,147.5,18.18,58,75,72.5
Georgia,2/12/2022 14:00,130,26,2.5,19.05,147.5,18.18,42,72.5,75
