"","name","pos","teamName","n","expo","adp"
"1","David Montgomery","RB","Detroit Lions",26,0.52,76.1
"2","Keenan Allen","WR","Los Angeles Chargers",22,0.44,35
"3","A.J. Brown","WR","Philadelphia Eagles",18,0.36,10
"4","Jaylen Warren","RB","Pittsburgh Steelers",18,0.36,108.9
"5","Hunter Henry","TE","New England Patriots",15,0.3,187.8
"6","D'Andre Swift","RB","Philadelphia Eagles",14,0.28,84.7
"7","Brandon Aiyuk","WR","San Francisco 49ers",13,0.26,48.3
"8","Joshua Palmer","WR","Los Angeles Chargers",13,0.26,194.3
"9","Travis Etienne Jr.",NA,NA,13,0.26,NA
"10","Brock Purdy","QB","San Francisco 49ers",12,0.24,155.8
"11","Ezekiel Elliott","RB","New England Patriots",12,0.24,146
"12","Geno Smith","QB","Seattle Seahawks",12,0.24,115.3
"13","Puka Nacua","WR","Los Angeles Rams",12,0.24,199.5
"14","Tyler Lockett","WR","Seattle Seahawks",12,0.24,57.7
"15","Amon-Ra St. Brown","WR","Detroit Lions",11,0.22,12.5
"16","Luke Musgrave","TE","Green Bay Packers",11,0.22,160.8
"17","Antonio Gibson","RB","Washington Commanders",10,0.2,99.5
"18","Breece Hall","RB","NY Jets",10,0.2,44.5
"19","Darius Slayton","WR","NY Giants",10,0.2,193.1
"20","Diontae Johnson","WR","Pittsburgh Steelers",10,0.2,50.7
"21","George Kittle","TE","San Francisco 49ers",10,0.2,67.4
"22","Jake Ferguson","TE","Dallas Cowboys",10,0.2,158.6
"23","CeeDee Lamb","WR","Dallas Cowboys",9,0.18,11.7
"24","Elijah Mitchell","RB","San Francisco 49ers",9,0.18,131.9
"25","Isaiah Likely","TE","Baltimore Ravens",9,0.18,207.4
"26","Jayden Reed","WR","Green Bay Packers",9,0.18,158.4
"27","Jonathan Mingo","WR","Carolina Panthers",9,0.18,149
"28","Parris Campbell","WR","NY Giants",9,0.18,205.1
"29","Rashee Rice","WR","Kansas City Chiefs",9,0.18,150.1
"30","Stefon Diggs","WR","Buffalo Bills",9,0.18,7.8
"31","Tyjae Spears","RB","Tennessee Titans",9,0.18,154.5
"32","Chris Evans","RB","Cincinnati Bengals",8,0.16,215.2
"33","Dalton Kincaid","TE","Buffalo Bills",8,0.16,115.9
"34","Dawson Knox","TE","Buffalo Bills",8,0.16,186.7
"35","Jared Goff","QB","Detroit Lions",8,0.16,130.1
"36","Josh Reynolds","WR","Detroit Lions",8,0.16,214.8
"37","Justin Herbert","QB","Los Angeles Chargers",8,0.16,49.5
"38","Kendrick Bourne","WR","New England Patriots",8,0.16,214.3
"39","Kyren Williams","RB","Los Angeles Rams",8,0.16,209.7
"40","Lamar Jackson","QB","Baltimore Ravens",8,0.16,30.7
"41","Salvon Ahmed","RB","Miami Dolphins",8,0.16,215.7
"42","Skyy Moore","WR","Kansas City Chiefs",8,0.16,86.2
"43","Ty Chandler","RB","Minnesota Vikings",8,0.16,190.4
"44","Dameon Pierce","RB","Houston Texans",7,0.14,54.9
"45","James Cook","RB","Buffalo Bills",7,0.14,66
"46","Jaxon Smith-Njigba","WR","Seattle Seahawks",7,0.14,71.3
"47","Joe Mixon","RB","Cincinnati Bengals",7,0.14,37.5
"48","Mac Jones","QB","New England Patriots",7,0.14,210.3
"49","Nico Collins","WR","Houston Texans",7,0.14,118
"50","Rashaad Penny","RB","Philadelphia Eagles",7,0.14,125.5
"51","Zach Charbonnet","RB","Seattle Seahawks",7,0.14,105.8
"52","Courtland Sutton","WR","Denver Broncos",6,0.12,85.7
"53","Dak Prescott","QB","Dallas Cowboys",6,0.12,107.7
"54","Dalvin Cook","RB","NY Jets",6,0.12,94
"55","Damien Harris","RB","Buffalo Bills",6,0.12,140.1
"56","Davante Adams","WR","Las Vegas Raiders",6,0.12,16.3
"57","DeVonta Smith","WR","Philadelphia Eagles",6,0.12,23.3
"58","Garrett Wilson","WR","NY Jets",6,0.12,12.6
"59","Kenny Pickett","QB","Pittsburgh Steelers",6,0.12,141.5
"60","Michael Gallup","WR","Dallas Cowboys",6,0.12,152.7
"61","Mike Williams","WR","Los Angeles Chargers",6,0.12,42
"62","Raheem Mostert","RB","Miami Dolphins",6,0.12,115.1
"63","Rashod Bateman","WR","Baltimore Ravens",6,0.12,97.9
"64","Sam Howell","QB","Washington Commanders",6,0.12,159.6
"65","AJ Dillon","RB","Green Bay Packers",5,0.1,104.8
"66","Brian Robinson Jr.",NA,NA,5,0.1,NA
"67","C.J. Stroud","QB","Houston Texans",5,0.1,206.8
"68","Dallas Goedert","TE","Philadelphia Eagles",5,0.1,79.3
"69","DeAndre Hopkins","WR","Tennessee Titans",5,0.1,47.3
"70","Deebo Samuel","WR","San Francisco 49ers",5,0.1,34.5
"71","Elijah Moore","WR","Cleveland Browns",5,0.1,92.8
"72","Gerald Everett","TE","Los Angeles Chargers",5,0.1,158.6
"73","Irv Smith Jr.",NA,NA,5,0.1,NA
"74","Jeff Wilson Jr.",NA,NA,5,0.1,NA
"75","Jerome Ford","RB","Cleveland Browns",5,0.1,198.2
"76","Josh Downs","WR","Indianapolis Colts",5,0.1,209.4
"77","Justice Hill","RB","Baltimore Ravens",5,0.1,215.8
"78","Matthew Stafford","QB","Los Angeles Rams",5,0.1,176.2
"79","Mike Evans","WR","Tampa Bay Buccaneers",5,0.1,68.9
"80","Myles Gaskin","RB","Minnesota Vikings",5,0.1,215.6
"81","Rashid Shaheed","WR","New Orleans Saints",5,0.1,178.9
"82","Rico Dowdle","RB","Dallas Cowboys",5,0.1,214.8
"83","Romeo Doubs","WR","Green Bay Packers",5,0.1,111.6
"84","Saquon Barkley","RB","NY Giants",5,0.1,14.3
"85","Tank Bigsby","RB","Jacksonville Jaguars",5,0.1,120.6
"86","Travis Kelce","TE","Kansas City Chiefs",5,0.1,7.4
"87","Tyler Allgeier","RB","Atlanta Falcons",5,0.1,142.1
"88","Zach Ertz","TE","Arizona Cardinals",5,0.1,213.6
"89","Aaron Rodgers","QB","NY Jets",4,0.08,120.9
"90","Alvin Kamara","RB","New Orleans Saints",4,0.08,80.7
"91","Chuba Hubbard","RB","Carolina Panthers",4,0.08,181.5
"92","DK Metcalf","WR","Seattle Seahawks",4,0.08,29.5
"93","Daniel Jones","QB","NY Giants",4,0.08,106.1
"94","DeVante Parker","WR","New England Patriots",4,0.08,183.2
"95","Deonte Harty","WR","Buffalo Bills",4,0.08,213.5
"96","Devin Singletary","RB","Houston Texans",4,0.08,172.3
"97","Jalen Hurts","QB","Philadelphia Eagles",4,0.08,23.4
"98","Jordan Love","QB","Green Bay Packers",4,0.08,152.2
"99","Josh Allen","QB","Buffalo Bills",4,0.08,26.6
"100","Justyn Ross","WR","Kansas City Chiefs",4,0.08,190.4
"101","K.J. Osborn","WR","Minnesota Vikings",4,0.08,155.3
"102","Kenneth Walker III",NA,NA,4,0.08,NA
"103","Quentin Johnston","WR","Los Angeles Chargers",4,0.08,90
"104","Rhamondre Stevenson","RB","New England Patriots",4,0.08,34.1
"105","Sam LaPorta","TE","Detroit Lions",4,0.08,132.1
"106","Samaje Perine","RB","Denver Broncos",4,0.08,118.3
"107","Terry McLaurin","WR","Washington Commanders",4,0.08,61.1
"108","Tyler Boyd","WR","Cincinnati Bengals",4,0.08,114.4
"109","Tyler Conklin","TE","NY Jets",4,0.08,189.2
"110","Van Jefferson","WR","Los Angeles Rams",4,0.08,133.9
"111","Zay Flowers","WR","Baltimore Ravens",4,0.08,72.6
"112","Chase Claypool","WR","Chicago Bears",3,0.06,209
"113","Clyde Edwards-Helaire","RB","Kansas City Chiefs",3,0.06,197.6
"114","Cooper Kupp","WR","Los Angeles Rams",3,0.06,16.4
"115","Darnell Mooney","WR","Chicago Bears",3,0.06,138.3
"116","Darren Waller","TE","NY Giants",3,0.06,52.1
"117","Gabe Davis","WR","Buffalo Bills",3,0.06,68.8
"118","Jakobi Meyers","WR","Las Vegas Raiders",3,0.06,131
"119","Javonte Williams","RB","Denver Broncos",3,0.06,73.8
"120","Jonathan Taylor","RB","Indianapolis Colts",3,0.06,53.6
"121","Jordan Addison","WR","Minnesota Vikings",3,0.06,71.6
"122","Justin Watson","WR","Kansas City Chiefs",3,0.06,215.7
"123","Khalil Herbert","RB","Chicago Bears",3,0.06,91.4
"124","Mark Andrews","TE","Baltimore Ravens",3,0.06,28.5
"125","Noah Gray","TE","Kansas City Chiefs",3,0.06,214.4
"126","Odell Beckham Jr.",NA,NA,3,0.06,NA
"127","Pat Freiermuth","TE","Pittsburgh Steelers",3,0.06,104.6
"128","Patrick Mahomes","QB","Kansas City Chiefs",3,0.06,21.4
"129","Ryan Tannehill","QB","Tennessee Titans",3,0.06,200.7
"130","T.J. Hockenson","TE","Minnesota Vikings",3,0.06,51.5
"131","Tony Pollard","RB","Dallas Cowboys",3,0.06,14.5
"132","Tyler Higbee","TE","Los Angeles Rams",3,0.06,133
"133","Aaron Jones","RB","Green Bay Packers",2,0.04,49.3
"134","Amari Cooper","WR","Cleveland Browns",2,0.04,33.5
"135","Brandin Cooks","WR","Dallas Cowboys",2,0.04,84
"136","Calvin Austin III",NA,NA,2,0.04,NA
"137","Calvin Ridley","WR","Jacksonville Jaguars",2,0.04,22.2
"138","Chris Godwin","WR","Tampa Bay Buccaneers",2,0.04,61.5
"139","Christian McCaffrey","RB","San Francisco 49ers",2,0.04,3.3
"140","Cole Turner","TE","Washington Commanders",2,0.04,214.9
"141","Corey Davis","WR","",2,0.04,216
"142","D'Onta Foreman","RB","Chicago Bears",2,0.04,204.8
"143","Daniel Bellinger","TE","NY Giants",2,0.04,215.9
"144","Durham Smythe","TE","Miami Dolphins",2,0.04,215.4
"145","Dyami Brown","WR","Washington Commanders",2,0.04,215.7
"146","Isaiah Hodgins","WR","NY Giants",2,0.04,166.2
"147","Ja'Marr Chase","WR","Cincinnati Bengals",2,0.04,2.3
"148","Jalin Hyatt","WR","NY Giants",2,0.04,157.1
"149","Joe Burrow","QB","Cincinnati Bengals",2,0.04,47.3
"150","Josh Jacobs","RB","Las Vegas Raiders",2,0.04,23.6
"151","Justin Fields","QB","Chicago Bears",2,0.04,39.7
"152","Justin Jefferson","WR","Minnesota Vikings",2,0.04,1.1
"153","Kirk Cousins","QB","Minnesota Vikings",2,0.04,113.8
"154","Latavius Murray","RB","Buffalo Bills",2,0.04,215.8
"155","Mack Hollins","WR","Atlanta Falcons",2,0.04,212.3
"156","Marvin Mims Jr.",NA,NA,2,0.04,NA
"157","Mecole Hardman Jr.",NA,NA,2,0.04,NA
"158","Michael Wilson","WR","Arizona Cardinals",2,0.04,198.1
"159","Nick Chubb","RB","Cleveland Browns",2,0.04,10.3
"160","Noah Fant","TE","Seattle Seahawks",2,0.04,213
"161","Pierre Strong Jr.",NA,NA,2,0.04,NA
"162","Randall Cobb","WR","NY Jets",2,0.04,215.1
"163","Russell Wilson","QB","Denver Broncos",2,0.04,146.2
"164","Taysom Hill","TE","New Orleans Saints",2,0.04,180.7
"165","Tyreek Hill","WR","Miami Dolphins",2,0.04,4
"166","Zay Jones","WR","Jacksonville Jaguars",2,0.04,124.3
"167","Alec Pierce","WR","Indianapolis Colts",1,0.02,165.4
"168","Allen Lazard","WR","NY Jets",1,0.02,126.5
"169","Austin Ekeler","RB","Los Angeles Chargers",1,0.02,6.3
"170","Baker Mayfield","QB","Tampa Bay Buccaneers",1,0.02,211.3
"171","Bijan Robinson","RB","Atlanta Falcons",1,0.02,6.6
"172","C.J. Uzomah","TE","NY Jets",1,0.02,216
"173","Cam Akers","RB","Los Angeles Rams",1,0.02,75.1
"174","Chase Brown","RB","Cincinnati Bengals",1,0.02,214.9
"175","Christian Watson","WR","Green Bay Packers",1,0.02,39.2
"176","Clayton Tune","QB","Arizona Cardinals",1,0.02,216
"177","Cordarrelle Patterson","RB","Atlanta Falcons",1,0.02,214.2
"178","Curtis Samuel","WR","Washington Commanders",1,0.02,175.5
"179","Dalton Schultz","TE","Houston Texans",1,0.02,140.3
"180","David Njoku","TE","Cleveland Browns",1,0.02,109.3
"181","Demario Douglas","WR","New England Patriots",1,0.02,215.8
"182","Derrick Henry","RB","Tennessee Titans",1,0.02,20.5
"183","Drake London","WR","Atlanta Falcons",1,0.02,43.5
"184","Evan Engram","TE","Jacksonville Jaguars",1,0.02,97.2
"185","Evan Hull","RB","Indianapolis Colts",1,0.02,209.4
"186","George Pickens","WR","Pittsburgh Steelers",1,0.02,59
"187","Gus Edwards","RB","Baltimore Ravens",1,0.02,190.7
"188","Isiah Pacheco","RB","Kansas City Chiefs",1,0.02,88.7
"189","J.K. Dobbins","RB","Baltimore Ravens",1,0.02,62.7
"190","Jahan Dotson","WR","Washington Commanders",1,0.02,59.6
"191","Jamaal Williams","RB","New Orleans Saints",1,0.02,121.1
"192","Jameson Williams","WR","Detroit Lions",1,0.02,133
"193","Jerick McKinnon","RB","Kansas City Chiefs",1,0.02,127.2
"194","Jerry Jeudy","WR","Denver Broncos",1,0.02,68.4
"195","Jimmy Garoppolo","QB","Las Vegas Raiders",1,0.02,202.9
"196","John Metchie III",NA,NA,1,0.02,NA
"197","Joshua Kelley","RB","Los Angeles Chargers",1,0.02,211.9
"198","JuJu Smith-Schuster","WR","New England Patriots",1,0.02,118.4
"199","Juwan Johnson","TE","New Orleans Saints",1,0.02,145.2
"200","Kendre Miller","RB","New Orleans Saints",1,0.02,172.8
"201","Kenneth Gainwell","RB","Philadelphia Eagles",1,0.02,143.2
"202","Kyle Trask","QB","Tampa Bay Buccaneers",1,0.02,216
"203","Luke Schoonmaker","TE","Dallas Cowboys",1,0.02,215.9
"204","Marquez Valdes-Scantling","WR","Kansas City Chiefs",1,0.02,142.8
"205","Marquise Brown","WR","Arizona Cardinals",1,0.02,81.5
"206","Michael Carter","RB","NY Jets",1,0.02,215.9
"207","Miles Sanders","RB","Carolina Panthers",1,0.02,71
"208","Najee Harris","RB","Pittsburgh Steelers",1,0.02,44.3
"209","Quez Watkins","WR","Philadelphia Eagles",1,0.02,215.5
"210","Rachaad White","RB","Tampa Bay Buccaneers",1,0.02,81.4
"211","Richie James Jr.",NA,NA,1,0.02,NA
"212","Robert Woods","WR","Houston Texans",1,0.02,212.3
"213","Tank Dell","WR","Houston Texans",1,0.02,177.6
"214","Tee Higgins","WR","Cincinnati Bengals",1,0.02,27.1
"215","Trey McBride","TE","Arizona Cardinals",1,0.02,214.6
"216","Treylon Burks","WR","Tennessee Titans",1,0.02,98.6
"217","Tua Tagovailoa","QB","Miami Dolphins",1,0.02,94.4
"218","Xavier Hutchinson","WR","Houston Texans",1,0.02,216
