,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Missouri,2021-12-02 19:00:00,160,32.00,4.5,18.18,128.0,18.18,37.0,61.8,66.3
Liberty,2021-12-02 19:00:00,-190,10.53,-4.5,18.18,128.0,18.18,63.0,66.3,61.8
LIU-Brooklyn,2021-12-02 19:00:00,290,58.00,9.5,18.18,142.5,19.05,24.5,66.5,76.0
Towson,2021-12-02 19:00:00,-380,5.26,-9.5,18.18,142.5,17.39,75.5,76.0,66.5
Northern Kentucky,2021-12-02 19:00:00,145,29.00,4.0,19.05,135.0,19.05,39.6,65.5,69.5
Cleveland State,2021-12-02 19:00:00,-165,12.12,-4.0,17.39,135.0,17.39,60.4,69.5,65.5
Detroit,2021-12-02 19:00:00,-300,6.67,-6.0,17.39,132.5,19.05,71.5,69.3,63.3
IUPUI,2021-12-02 19:00:00,235,47.00,6.0,19.05,132.5,17.39,28.5,63.3,69.3
Wright State,2021-12-02 19:00:00,-220,9.09,-5.0,19.05,153.5,18.18,65.8,79.3,74.3
IPFW,2021-12-02 19:00:00,180,36.00,5.0,17.39,153.5,18.18,34.2,74.3,79.3
Delaware,2021-12-02 19:00:00,-1375,1.45,-14.5,16.67,147.5,17.39,89.4,81.0,66.5
Delaware State,2021-12-02 19:00:00,800,160.00,14.5,20.00,147.5,19.05,10.6,66.5,81.0
Sacred Heart,2021-12-02 19:00:00,140,28.00,3.5,17.39,144.5,18.18,40.4,70.5,74.0
Lafayette,2021-12-02 19:00:00,-160,12.50,-3.5,19.05,144.5,18.18,59.6,74.0,70.5
Montana State,2021-12-02 20:00:00,135,27.00,3.0,18.18,146.5,19.05,41.2,71.8,74.8
Northern Colorado,2021-12-02 20:00:00,-155,12.90,-3.0,18.18,146.5,17.39,58.8,74.8,71.8
Lamar,2021-12-02 20:00:00,2500,500.00,25.0,18.18,134.0,19.05,3.7,54.5,79.5
Mississippi State,2021-12-02 20:00:00,-8000,0.25,-25.0,18.18,134.0,17.39,96.3,79.5,54.5
Oral Roberts,2021-12-02 20:00:00,270,54.00,8.0,19.05,146.5,19.05,25.8,69.3,77.3
TCU,2021-12-02 20:00:00,-350,5.71,-8.0,17.39,146.5,17.39,74.2,77.3,69.3
Jacksonville,2021-12-02 20:00:00,-195,10.26,-4.5,18.18,135.5,18.18,63.7,70.0,65.5
Charleston Southern,2021-12-02 20:00:00,165,33.00,4.5,18.18,135.5,18.18,36.3,65.5,70.0
Lipscomb,2021-12-02 20:00:00,650,130.00,12.5,18.18,150.5,18.18,12.8,69.0,81.5
Belmont,2021-12-02 20:00:00,-1000,2.00,-12.5,18.18,150.5,18.18,87.2,81.5,69.0
Robert Morris,2021-12-02 20:00:00,-105,19.05,1.0,18.18,135.0,20.00,48.9,67.0,68.0
Wisconsin-Green Bay,2021-12-02 20:00:00,-115,17.39,-1.0,18.18,135.0,16.67,51.1,68.0,67.0
Oakland,2021-12-02 20:00:00,,,,,,,,,
Illinois-Chicago,2021-12-02 20:00:00,,,,,,,,,
Youngstown State,2021-12-02 20:00:00,215,43.00,5.5,20.00,138.0,17.39,30.4,66.3,71.8
Wisconsin-Milwaukee,2021-12-02 20:00:00,-265,7.55,-5.5,16.67,138.0,19.05,69.6,71.8,66.3
Portland State,2021-12-02 21:00:00,130,26.00,2.5,18.18,129.0,16.67,42.0,63.3,65.8
Idaho State,2021-12-02 21:00:00,-150,13.33,-2.5,18.18,129.0,20.00,58.0,65.8,63.3
Southern Utah,2021-12-02 21:00:00,-190,10.53,-4.0,18.18,151.0,19.05,63.0,77.5,73.5
Eastern Washington,2021-12-02 21:00:00,160,32.00,4.0,18.18,151.0,17.39,37.0,73.5,77.5
Northern Arizona,2021-12-02 21:00:00,900,180.00,16.5,18.18,143.0,18.18,9.6,63.3,79.8
Weber State,2021-12-02 21:00:00,-1600,1.25,-16.5,18.18,143.0,18.18,90.4,79.8,63.3
Texas-San Antonio,2021-12-02 21:00:00,800,160.00,14.0,19.05,133.0,18.18,10.6,59.5,73.5
Grand Canyon,2021-12-02 21:00:00,-1375,1.45,-14.0,17.39,133.0,18.18,89.4,73.5,59.5
Denver,2021-12-02 21:00:00,1300,260.00,20.0,19.05,136.0,18.18,6.9,58.0,78.0
Wyoming,2021-12-02 21:00:00,-3000,0.67,-20.0,17.39,136.0,18.18,93.1,78.0,58.0
Valparaiso,2021-12-02 21:00:00,800,160.00,14.5,18.18,134.5,18.18,10.6,60.0,74.5
Drake,2021-12-02 21:00:00,-1375,1.45,-14.5,18.18,134.5,18.18,89.4,74.5,60.0
St. Mary's (CAL),2021-12-02 21:00:00,115,23.00,1.5,18.18,128.5,18.18,44.7,63.5,65.0
Utah State,2021-12-02 21:00:00,-135,14.81,-1.5,18.18,128.5,18.18,55.3,65.0,63.5
Montana,2021-12-02 22:00:00,-240,8.33,-5.5,18.18,135.5,18.18,67.6,,
Sacramento State,2021-12-02 22:00:00,195,39.00,,,135.5,18.18,32.4,,
Cal-Poly San Luis Obispo,2021-12-02 22:00:00,460,92.00,11.0,16.67,134.0,19.05,17.1,61.5,72.5
California Baptist,2021-12-02 22:00:00,-650,3.08,-11.0,20.00,134.0,17.39,82.9,72.5,61.5
Eastern Michigan,2021-12-02 22:00:00,220,44.00,6.5,17.39,144.5,18.18,29.9,69.0,75.5
UC San Diego,2021-12-02 22:00:00,-275,7.27,-6.5,19.05,144.5,18.18,70.1,75.5,69.0
Oregon State,2021-12-02 22:30:00,130,26.00,2.5,18.18,126.0,18.18,42.0,62.0,64.0
California,2021-12-02 22:30:00,-150,13.33,,,126.0,18.18,58.0,,
