,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
North Carolina A&T,2022-03-04 12:00:00,260,52.00,8.0,16.67,136.5,18.18,26.5,64.3,72.3
Longwood,2022-03-04 12:00:00,-335,5.97,-8.0,20.00,136.5,18.18,73.5,72.3,64.3
Illinois State,2022-03-04 13:00:00,,,,,,,,,
Northern Iowa,2022-03-04 13:00:00,,,,,,,,,
Charleston Southern,2022-03-04 14:00:00,230,46.00,6.0,18.18,144.5,18.18,29.0,69.3,75.3
USC Upstate,2022-03-04 14:00:00,-290,6.90,-6.0,18.18,144.5,18.18,71.0,75.3,69.3
Bradley,2022-03-04 15:30:00,,,,,,,,,
Loyola-Chicago,2022-03-04 15:30:00,,,,,,,,,
Citadel,2022-03-04 17:00:00,175,35.00,5.5,18.18,150.5,18.18,34.9,72.5,78.0
E. Tennessee State,2022-03-04 17:00:00,-210,9.52,-5.5,18.18,150.5,18.18,65.1,78.0,72.5
Buffalo,2022-03-04 18:00:00,130,26.00,3.0,16.67,145.5,18.18,42.0,71.3,74.3
Kent State,2022-03-04 18:00:00,-150,13.33,-3.0,20.00,145.5,18.18,58.0,74.3,71.3
Ball State,2022-03-04 18:00:00,-180,11.11,-3.0,17.39,145.5,18.18,62.1,74.3,71.3
Western Michigan,2022-03-04 18:00:00,155,31.00,3.0,19.05,145.5,18.18,37.9,71.3,74.3
High Point,2022-03-04 18:00:00,230,46.00,6.5,18.18,141.5,18.18,29.0,67.5,74.0
Winthrop,2022-03-04 18:00:00,-290,6.90,-6.5,18.18,141.5,18.18,71.0,74.0,67.5
Bowling Green,2022-03-04 18:30:00,850,170.00,17.5,16.67,165.0,18.18,10.1,73.8,91.3
Toledo,2022-03-04 18:30:00,-1500,1.33,-17.5,20.00,165.0,18.18,89.9,91.3,73.8
Central Michigan,2022-03-04 19:00:00,650,130.00,13.5,20.00,137.5,18.18,12.8,62.0,75.5
Akron,2022-03-04 19:00:00,-1000,2.00,-13.5,16.67,137.5,18.18,87.2,75.5,62.0
Eastern Michigan,2022-03-04 19:00:00,290,58.00,8.0,19.05,147.5,18.18,24.5,69.8,77.8
Miami (OH),2022-03-04 19:00:00,-380,5.26,-8.0,17.39,147.5,18.18,75.5,77.8,69.8
Richmond,2022-03-04 19:00:00,145,29.00,3.0,19.05,137.0,18.18,39.6,67.0,70.0
St. Bonaventure,2022-03-04 19:00:00,-165,12.12,-3.0,17.39,137.0,18.18,60.4,70.0,67.0
Valparaiso,2022-03-04 19:00:00,410,82.00,10.0,18.18,143.5,18.18,18.7,66.8,76.8
Missouri State,2022-03-04 19:00:00,-575,3.48,-10.0,18.18,143.5,18.18,81.3,76.8,66.8
Western Carolina,2022-03-04 19:30:00,185,37.00,5.5,17.39,142.5,18.18,33.6,68.5,74.0
Mercer,2022-03-04 19:30:00,-225,8.89,-5.5,19.05,142.5,18.18,66.4,74.0,68.5
Ohio,2022-03-04 20:00:00,,,,,,,,,
Northern Illinois,2022-03-04 20:00:00,,,,,,,,,
Campbell,2022-03-04 20:00:00,115,23.00,2.0,18.18,125.0,18.18,44.7,61.5,63.5
Gardner-Webb,2022-03-04 20:00:00,-135,14.81,-2.0,18.18,125.0,18.18,55.3,63.5,61.5
SE Missouri State,2022-03-04 20:00:00,1000,200.00,16.0,18.18,151.0,18.18,8.7,67.5,83.5
Murray State,2022-03-04 20:00:00,-2000,1.00,-16.0,18.18,151.0,18.18,91.3,83.5,67.5
Loyola Marymount,2022-03-04 21:00:00,385,77.00,11.0,18.18,144.0,18.18,19.7,66.5,77.5
BYU,2022-03-04 21:00:00,-525,3.81,-11.0,18.18,144.0,18.18,80.3,77.5,66.5
Southern Illinois,2022-03-04 21:30:00,,,,,,,,,
Drake,2022-03-04 21:30:00,,,,,,,,,
Morehead State,2022-03-04 22:30:00,155,31.00,4.0,18.18,140.0,18.18,37.9,68.0,72.0
Belmont,2022-03-04 22:30:00,-180,11.11,-4.0,18.18,140.0,18.18,62.1,72.0,68.0
Utah State,2022-03-04 23:00:00,-850,2.35,-12.5,17.39,136.0,16.67,85.8,74.3,61.8
San Jose State,2022-03-04 23:00:00,575,115.00,12.5,19.05,136.0,20.00,14.2,61.8,74.3
San Diego,2022-03-04 23:00:00,120,24.00,2.5,18.18,137.0,18.18,43.8,67.3,69.8
Portland,2022-03-04 23:00:00,-140,14.29,-2.5,18.18,137.0,18.18,56.2,69.8,67.3
