course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7741,0.017,0.018,0.007,-0.029,35.9,undefined,undefined,undefined,0.0632,0.702,0.03,0,0.034,0.005,0.007,0.007,0.043,0.011,undefined,undefined
"TPC Southwind",70,7085,456,174,0.31,0.05,0.07,-0.39,289.3,17.7,0.6547,0.006,-0.008,-0.012,0.009,29,undefined,undefined,undefined,0.044,0.6417,0.002,-0.02,-0.019,-0.004,0.026,0.004,0.014,0.004,undefined,undefined
"Caves Valley Golf Club",72,7424,471,209,-1.9,0.04,-0.05,-0.39,290.2,17,0.6871,0.011,0.001,0.058,0.038,33.1,undefined,undefined,undefined,0.0094,0.7271,0.026,0.071,0.002,-0.019,0.03,0.003,0.013,0.023,undefined,undefined
"TPC Harding Park",70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5837,0.009,-0.016,-0.007,-0.001,28.7,undefined,undefined,undefined,0.0126,0.617,-0.033,0.003,0.008,-0.053,-0.02,0.005,0.03,-0.002,undefined,undefined
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6788,0.008,0.004,0.018,0,35.2,undefined,undefined,undefined,0.0584,0.6806,0.021,0.017,0,0.004,0.01,0.007,0.011,0.005,undefined,undefined
"TPC Deere Run",71,7107,455,186,-1.76,-0.05,-0.04,-0.37,287.3,17.8,0.7521,0.011,0.002,0.027,0.042,39.2,undefined,undefined,undefined,0.0282,0.7427,0.027,0.026,-0.016,0.005,0.034,0.004,0.016,0.018,undefined,undefined
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.665,0.008,0.036,0.024,0.016,28.1,undefined,undefined,undefined,0.0147,0.6918,0.012,0.031,0.035,0,0.103,0.009,0.019,-0.002,undefined,undefined
"TPC Twin Cities",71,7217,462,193,-1.32,0,-0.02,-0.36,292.5,16.2,0.6974,0.016,0.011,0.026,0.015,35.7,undefined,undefined,undefined,0.0794,0.7429,0.038,0.02,0.023,0.011,-0.032,0.005,0.022,0.029,undefined,undefined
"Detroit Golf Club",72,7311,470,182,-1.9,0,-0.05,-0.35,295,19.8,0.7074,-0.004,0.008,0.033,0.036,36.1,undefined,undefined,undefined,0.007,0.7479,0.006,0.054,0.03,-0.017,0.019,-0.001,-0.008,-0.006,undefined,undefined
"TPC Louisiana",72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.7408,0.01,0.024,0.05,0.008,34.7,undefined,undefined,undefined,0.0515,0.7316,0.042,0.054,0.016,0.088,0.022,0.001,0.02,0.016,undefined,undefined
"TPC Scottsdale",71,7275,467,183,-0.32,0.04,0.05,-0.34,299.5,17.8,0.6214,0.007,-0.008,0.001,0.025,31.4,undefined,undefined,undefined,0.0803,0.6805,-0.003,0.002,-0.019,0.028,-0.013,0.003,0.011,0.012,undefined,undefined
"The Old White TPC",70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6783,0.005,0.006,0.044,0.022,36.6,undefined,undefined,undefined,0.0461,0.7208,0.036,0.052,0.027,-0.003,-0.022,0.004,0.002,0.01,undefined,undefined
"PGA National (Champion)",70,7016,448,187,1.59,0.2,0.12,-0.34,276.5,16.2,0.6719,0.004,0.016,-0.058,-0.038,29.4,undefined,undefined,undefined,0.0451,0.6111,-0.025,-0.074,-0.006,0.058,0.013,0,0.006,0.009,undefined,undefined
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.6496,0.005,0.005,0.012,0.013,30.4,undefined,undefined,undefined,0.0321,0.666,0.016,0.008,0.009,0.015,-0.042,0.004,0.007,0.006,undefined,undefined
"Harbour Town Golf Links",71,6947,444,183,-0.02,0.13,0.04,-0.34,274.6,19.5,0.6205,-0.004,0.049,-0.023,-0.061,32.3,undefined,undefined,undefined,0.0336,0.6226,0.008,-0.038,0.042,0.082,0.012,-0.001,-0.014,0.002,undefined,undefined
"St. George's G&amp;CC",70,7006,464,196,0.3,0.04,0.11,-0.34,293.3,18.9,0.6861,-0.006,-0.029,-0.014,0.031,31.3,undefined,undefined,undefined,0.0162,0.6529,-0.018,-0.012,0.003,-0.038,-0.079,-0.004,-0.022,0.003,undefined,undefined
"Silverado Resort &amp; Spa (North)",72,7094,452,191,-0.99,0.08,0,-0.33,285.9,21,0.5953,-0.003,-0.011,-0.003,-0.006,26.9,undefined,undefined,undefined,0.0172,0.7135,-0.003,-0.004,-0.024,-0.008,0.012,-0.001,-0.005,-0.003,undefined,undefined
"Pete Dye Stadium Course",72,7133,456,187,-1.24,0.09,-0.04,-0.31,279.9,16.4,0.6432,0.006,0.05,0,-0.028,33.7,undefined,undefined,undefined,0.0439,0.6942,0.036,-0.022,0.05,0.091,-0.15,0.004,0.008,0.01,undefined,undefined
"Bay Hill Club &amp; Lodge",72,7355,465,210,1.02,0.18,0.15,-0.3,280.3,18.3,0.6785,0.001,-0.001,-0.049,-0.026,35,undefined,undefined,undefined,0.0565,0.6128,-0.042,-0.052,0.001,-0.072,0.028,0.001,0.008,-0.005,undefined,undefined
"TPC Sawgrass",72,7121,458,178,0.75,0.15,0.13,-0.3,280.4,18.5,0.651,-0.007,-0.032,-0.043,-0.036,30.7,undefined,undefined,undefined,0.0588,0.6583,-0.064,-0.03,-0.033,-0.04,-0.037,-0.001,-0.007,-0.017,undefined,undefined
"Quail Hollow Club",71,7409,474,195,0.93,0.15,0.12,-0.29,295.2,20.4,0.5815,-0.011,0.007,-0.014,0.022,30.8,undefined,undefined,undefined,0.0418,0.6262,-0.024,-0.011,-0.009,0.02,0.022,0.001,-0.02,-0.025,undefined,undefined
"Country Club of Jackson",72,7196,461,186,-1.39,0.01,-0.02,-0.29,285.6,17.7,0.6272,0.001,0.021,0.013,-0.002,29.2,undefined,undefined,undefined,0.0189,0.73,0.023,0.007,0.003,0.03,0.057,-0.001,-0.004,0.007,undefined,undefined
"Robert Trent Jones GC",71,7265,465,187,-0.82,0.01,0,-0.29,285.6,17.6,0.6907,-0.003,-0.028,0.051,0.034,29.9,undefined,undefined,undefined,0.0439,0.7526,0.037,0.058,-0.044,-0.007,-0.026,0.007,-0.013,-0.011,undefined,undefined
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.6295,0.005,-0.083,0.005,0.013,30.8,undefined,undefined,undefined,0.0411,0.6476,-0.001,0.007,-0.062,-0.091,-0.097,0.011,0.012,-0.014,undefined,undefined
"The Concession Golf Club",72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.002,-0.03,-0.003,-0.033,50.3,undefined,undefined,undefined,0.1041,0.6412,-0.017,0.003,-0.071,0.063,-0.003,0.007,0.008,-0.011,undefined,undefined
