player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Hadwin, Adam",150,0.889,34,-0.007,0.015,-0.012,-0.084,0.029,-0.000,0.078,-0.050,0.028,0.858,2.740,"John Deere Classic","TPC Deere Run"
"Howell III, Charles",150,0.593,43,-0.034,-0.047,0.030,0.179,0.139,0.000,0.013,-0.017,-0.003,0.857,2.740,"John Deere Classic","TPC Deere Run"
"Simpson, Webb",150,0.882,36,-0.014,-0.009,-0.061,0.023,-0.008,-0.000,0.068,-0.045,0.023,0.836,2.733,"John Deere Classic","TPC Deere Run"
"McCarthy, Denny",150,0.976,29,0.011,-0.034,-0.044,-0.274,-0.007,-0.000,0.066,-0.056,0.009,0.639,2.709,"John Deere Classic","TPC Deere Run"
"McNealy, Maverick",150,0.590,26,0.020,0.044,0.009,-0.033,0.030,0.000,0.003,-0.029,-0.026,0.634,2.736,"John Deere Classic","TPC Deere Run"
"Long, Adam",150,0.579,34,-0.007,-0.020,-0.014,-0.067,0.029,-0.001,0.117,-0.022,0.095,0.595,2.777,"John Deere Classic","TPC Deere Run"
"Day, Jason",150,0.520,34,-0.006,0.040,-0.015,0.040,0.047,0.000,-0.007,-0.026,-0.033,0.593,2.755,"John Deere Classic","TPC Deere Run"
"Theegala, Sahith",150,0.507,24,0.027,0.062,-0.043,0.076,-0.040,0.000,-0.052,-0.026,-0.078,0.512,2.757,"John Deere Classic","TPC Deere Run"
"Ghim, Doug",150,0.165,26,0.021,0.011,-0.007,0.227,-0.013,-0.000,0.113,-0.007,0.107,0.511,2.717,"John Deere Classic","TPC Deere Run"
"Hardy, Nick",150,0.277,26,0.020,0.083,0.073,0.053,0.031,0.001,-0.024,-0.007,-0.031,0.508,2.741,"John Deere Classic","TPC Deere Run"
"Rodgers, Patrick",150,0.471,30,0.009,-0.080,-0.026,0.037,0.176,0.001,-0.072,-0.012,-0.083,0.504,2.709,"John Deere Classic","TPC Deere Run"
"Davis, Cameron",150,0.466,27,0.017,0.070,0.019,0.009,0.000,0.001,-0.087,-0.025,-0.112,0.470,2.758,"John Deere Classic","TPC Deere Run"
"Bezuidenhout, Christiaan",150,0.422,28,0.015,0.037,0.013,-0.007,-0.040,-0.001,0.056,-0.036,0.019,0.458,2.714,"John Deere Classic","TPC Deere Run"
"Poston, J.T.",150,0.482,29,0.012,-0.002,0.030,-0.060,-0.029,-0.000,0.016,-0.023,-0.007,0.426,2.777,"John Deere Classic","TPC Deere Run"
"Pendrith, Taylor",150,0.276,31,0.005,0.074,-0.031,0.178,-0.040,0.001,-0.052,0.003,-0.048,0.414,2.710,"John Deere Classic","TPC Deere Run"
"Stallings, Scott",150,0.501,37,-0.015,0.029,0.002,-0.135,0.100,0.000,-0.049,-0.026,-0.076,0.407,2.776,"John Deere Classic","TPC Deere Run"
"Streelman, Kevin",150,0.282,43,-0.036,-0.120,0.009,0.055,0.070,-0.000,0.129,-0.000,0.129,0.388,2.729,"John Deere Classic","TPC Deere Run"
"Lahiri, Anirban",150,0.195,35,-0.008,0.029,0.002,0.157,-0.020,-0.000,0.016,-0.002,0.014,0.370,2.720,"John Deere Classic","TPC Deere Run"
"Pan, C.T.",150,0.375,30,0.007,-0.025,0.000,-0.008,-0.030,-0.000,0.056,-0.025,0.031,0.351,2.722,"John Deere Classic","TPC Deere Run"
"Smalley, Alex",150,0.146,25,0.023,0.015,0.017,0.126,-0.014,0.000,0.035,0.000,0.036,0.348,2.757,"John Deere Classic","TPC Deere Run"
"Todd, Brendon",150,0.644,36,-0.014,-0.140,0.006,-0.259,-0.047,-0.001,0.188,-0.040,0.147,0.337,2.685,"John Deere Classic","TPC Deere Run"
"Glover, Lucas",150,0.106,42,-0.032,-0.120,0.021,0.122,0.116,-0.000,0.103,0.010,0.113,0.327,2.758,"John Deere Classic","TPC Deere Run"
"Huh, John",150,0.242,32,0.002,-0.071,0.002,0.015,0.044,-0.001,0.093,-0.010,0.082,0.316,2.713,"John Deere Classic","TPC Deere Run"
"Laird, Martin",150,0.210,39,-0.022,-0.126,0.017,0.043,0.040,-0.000,0.151,0.001,0.152,0.313,2.707,"John Deere Classic","TPC Deere Run"
"Schenk, Adam",150,0.235,30,0.007,0.002,-0.058,0.040,0.084,0.000,-0.007,-0.006,-0.012,0.297,2.768,"John Deere Classic","TPC Deere Run"
"Lipsky, David",150,0.242,33,-0.004,0.022,0.016,-0.012,-0.040,-0.000,0.080,-0.018,0.062,0.285,2.750,"John Deere Classic","TPC Deere Run"
"Svensson, Adam",150,0.203,28,0.014,-0.018,-0.020,0.020,0.005,-0.000,0.072,-0.006,0.066,0.271,2.776,"John Deere Classic","TPC Deere Run"
"Griffin, Lanto",150,0.390,34,-0.004,-0.031,0.028,-0.079,-0.033,0.000,-0.003,-0.016,-0.018,0.252,2.746,"John Deere Classic","TPC Deere Run"
"Grillo, Emiliano",150,0.013,29,0.010,0.028,-0.003,0.116,-0.040,0.000,0.086,0.017,0.104,0.227,2.772,"John Deere Classic","TPC Deere Run"
"Armour, Ryan",150,0.126,46,-0.045,-0.059,0.063,-0.051,-0.012,-0.001,0.193,0.005,0.197,0.220,2.746,"John Deere Classic","TPC Deere Run"
"Hubbard, Mark",150,0.316,33,-0.001,-0.025,0.014,-0.152,0.057,-0.001,0.043,-0.033,0.009,0.217,2.706,"John Deere Classic","TPC Deere Run"
"Lashley, Nate",150,0.197,39,-0.022,-0.024,0.015,0.020,-0.014,-0.000,0.042,-0.010,0.032,0.204,2.751,"John Deere Classic","TPC Deere Run"
"Reavie, Chez",150,0.144,40,-0.026,-0.180,-0.006,-0.072,0.123,-0.001,0.212,0.004,0.215,0.197,2.756,"John Deere Classic","TPC Deere Run"
"Duncan, Tyler",150,0.023,32,-0.001,-0.024,0.012,0.008,0.052,-0.000,0.113,0.008,0.121,0.191,2.778,"John Deere Classic","TPC Deere Run"
"Taylor, Nick",150,0.145,34,-0.005,0.029,0.021,-0.045,0.023,-0.000,0.008,-0.012,-0.005,0.163,2.715,"John Deere Classic","TPC Deere Run"
"Champ, Cameron",150,-0.181,27,0.019,0.044,-0.019,0.252,-0.002,0.001,-0.044,0.035,-0.008,0.104,2.778,"John Deere Classic","TPC Deere Run"
"Putnam, Andrew",150,0.205,33,-0.002,-0.055,0.011,-0.047,-0.073,-0.001,0.066,-0.024,0.042,0.080,2.721,"John Deere Classic","TPC Deere Run"
"Moore, Taylor",150,-0.204,28,0.012,0.072,-0.013,0.209,-0.040,0.000,0.017,0.014,0.031,0.067,2.712,"John Deere Classic","TPC Deere Run"
"Frittelli, Dylan",150,-0.002,32,0.002,0.093,0.012,0.051,0.036,0.000,-0.115,-0.014,-0.128,0.062,2.752,"John Deere Classic","TPC Deere Run"
"Ryder, Sam",150,0.031,32,0.001,0.013,0.012,-0.098,0.086,-0.000,0.017,-0.006,0.011,0.054,2.751,"John Deere Classic","TPC Deere Run"
"Smotherman, Austin",150,-0.154,28,0.015,0.047,0.016,0.065,-0.040,0.000,0.038,0.023,0.062,0.011,2.786,"John Deere Classic","TPC Deere Run"
"Piercy, Scott",150,-0.066,43,-0.036,-0.027,0.006,0.021,0.117,-0.000,-0.020,0.007,-0.013,0.003,2.737,"John Deere Classic","TPC Deere Run"
"Hodges, Lee",150,-0.075,27,0.019,0.012,0.020,0.015,-0.040,-0.000,0.035,0.000,0.035,-0.014,2.762,"John Deere Classic","TPC Deere Run"
"Hickok, Kramer",150,-0.252,30,0.008,-0.033,0.012,0.190,-0.052,-0.000,0.091,0.015,0.106,-0.021,2.736,"John Deere Classic","TPC Deere Run"
"Bramlett, Joseph",150,-0.309,34,-0.005,0.103,0.020,0.288,-0.042,0.001,-0.099,0.015,-0.082,-0.027,2.767,"John Deere Classic","TPC Deere Run"
"Sabbatini, Rory",150,0.082,46,-0.045,-0.114,0.016,-0.039,0.010,-0.001,0.059,0.002,0.061,-0.029,2.763,"John Deere Classic","TPC Deere Run"
"Johnson, Zach",150,0.042,46,-0.045,-0.063,-0.060,-0.281,0.350,-0.001,0.030,-0.007,0.021,-0.037,2.692,"John Deere Classic","TPC Deere Run"
"Buckley, Hayden",150,-0.241,26,0.021,-0.033,-0.016,0.135,-0.040,-0.000,0.091,0.033,0.124,-0.050,2.757,"John Deere Classic","TPC Deere Run"
"Kizzire, Patton",150,-0.161,36,-0.012,0.100,0.053,-0.048,0.077,0.000,-0.062,-0.008,-0.070,-0.060,2.760,"John Deere Classic","TPC Deere Run"
"Schwab, Matthias",150,0.020,27,0.017,0.063,-0.003,-0.082,-0.040,-0.000,-0.035,-0.020,-0.055,-0.079,2.702,"John Deere Classic","TPC Deere Run"
"Gotterup, Chris",150,-0.373,22,0.032,0.026,0.251,0.099,-0.040,0.002,-0.081,0.002,-0.078,-0.084,2.757,"John Deere Classic","TPC Deere Run"
"Ramey, Chad",150,-0.115,29,0.009,0.008,0.005,-0.015,-0.040,-0.001,0.060,-0.000,0.060,-0.088,2.744,"John Deere Classic","TPC Deere Run"
"Garnett, Brice",150,-0.130,38,-0.020,-0.067,-0.004,-0.004,0.031,-0.000,0.092,0.012,0.103,-0.091,2.705,"John Deere Classic","TPC Deere Run"
"Streb, Robert",150,-0.199,35,-0.008,0.014,-0.004,0.066,0.049,-0.000,-0.023,0.007,-0.017,-0.100,2.761,"John Deere Classic","TPC Deere Run"
"Sigg, Greyson",150,-0.261,27,0.017,0.052,0.020,0.070,-0.040,-0.000,0.028,0.010,0.038,-0.104,2.757,"John Deere Classic","TPC Deere Run"
"Whaley, Vincent",150,0.004,27,0.018,0.001,-0.002,0.030,-0.046,0.000,-0.114,0.001,-0.112,-0.107,2.712,"John Deere Classic","TPC Deere Run"
"Thompson, Michael",150,-0.010,37,-0.015,-0.107,-0.003,-0.117,0.056,-0.001,0.094,-0.005,0.088,-0.107,2.731,"John Deere Classic","TPC Deere Run"
"Hahn, James",150,-0.208,40,-0.026,-0.056,-0.057,0.189,-0.038,0.000,0.047,0.023,0.070,-0.126,2.730,"John Deere Classic","TPC Deere Run"
"Seiffert, Chase",150,-0.365,30,0.006,0.046,0.027,0.076,0.002,-0.000,0.047,0.010,0.056,-0.152,2.777,"John Deere Classic","TPC Deere Run"
"Lebioda, Hank",150,-0.074,28,0.014,-0.010,-0.011,-0.086,0.007,-0.000,0.014,-0.011,0.002,-0.157,2.716,"John Deere Classic","TPC Deere Run"
"Jaeger, Stephan",150,-0.093,33,-0.001,0.024,-0.011,0.022,-0.042,-0.000,-0.043,-0.020,-0.063,-0.163,2.762,"John Deere Classic","TPC Deere Run"
"Taylor, Vaughn",150,-0.352,46,-0.045,-0.082,0.013,-0.106,0.283,-0.001,0.114,0.006,0.119,-0.170,2.737,"John Deere Classic","TPC Deere Run"
"Malnati, Peter",150,-0.118,35,-0.008,-0.032,0.014,-0.060,0.086,-0.000,-0.060,-0.005,-0.065,-0.182,2.761,"John Deere Classic","TPC Deere Run"
"Redman, Doc",150,-0.313,24,0.027,0.038,0.030,-0.040,-0.002,-0.000,0.034,0.011,0.045,-0.215,2.741,"John Deere Classic","TPC Deere Run"
"Novak, Andrew",150,-0.275,27,0.018,0.040,0.009,0.066,-0.040,0.000,-0.066,0.008,-0.059,-0.241,2.771,"John Deere Classic","TPC Deere Run"
"Moore, Ryan",150,-0.206,39,-0.022,-0.135,-0.126,-0.127,0.188,-0.001,0.160,0.025,0.184,-0.244,2.741,"John Deere Classic","TPC Deere Run"
"Stuard, Brian",150,-0.340,39,-0.022,-0.105,0.053,-0.104,0.039,-0.001,0.183,-0.001,0.181,-0.299,2.704,"John Deere Classic","TPC Deere Run"
"Byrd, Jonathan",150,-0.471,44,-0.039,0.007,0.056,-0.058,0.219,-0.000,-0.026,0.003,-0.024,-0.309,2.773,"John Deere Classic","TPC Deere Run"
"Wu, Brandon",150,-0.498,25,0.024,0.030,0.025,0.098,-0.040,-0.000,0.018,0.029,0.046,-0.316,2.757,"John Deere Classic","TPC Deere Run"
"Tarren, Callum",150,-0.257,31,0.003,0.053,0.015,0.016,-0.040,0.001,-0.131,0.009,-0.121,-0.329,2.749,"John Deere Classic","TPC Deere Run"
"Gutschewski, Scott",150,-0.347,45,-0.043,-0.000,-0.001,0.039,0.033,0.000,-0.029,0.015,-0.014,-0.333,2.670,"John Deere Classic","TPC Deere Run"
"Barjon, Paul",150,-0.713,29,0.010,0.091,0.002,0.248,-0.040,0.001,-0.005,0.053,0.049,-0.353,2.757,"John Deere Classic","TPC Deere Run"
"Martin, Ben",150,-0.496,34,-0.007,-0.041,0.023,0.005,0.093,-0.000,0.034,0.033,0.067,-0.355,2.734,"John Deere Classic","TPC Deere Run"
"Haas, Bill",150,-0.128,40,-0.024,-0.062,0.009,-0.090,0.006,-0.000,-0.069,-0.004,-0.073,-0.363,2.719,"John Deere Classic","TPC Deere Run"
"Norlander, Henrik",150,-0.477,35,-0.008,-0.057,-0.007,0.056,0.034,-0.000,0.052,0.025,0.077,-0.384,2.745,"John Deere Classic","TPC Deere Run"
"Kraft, Kelly",150,-0.519,33,-0.003,0.023,0.067,-0.092,0.055,-0.001,0.058,0.025,0.082,-0.388,2.745,"John Deere Classic","TPC Deere Run"
"Hoffman, Charley",150,-0.276,45,-0.042,-0.051,-0.074,0.088,0.017,0.000,-0.081,0.024,-0.057,-0.395,2.777,"John Deere Classic","TPC Deere Run"
"Brown, Scott",150,-0.689,39,-0.021,-0.020,0.037,-0.098,0.353,-0.000,0.012,0.028,0.039,-0.399,2.746,"John Deere Classic","TPC Deere Run"
"McGirt, William",150,-0.208,43,-0.034,-0.154,0.093,-0.158,0.024,-0.001,0.026,0.003,0.028,-0.410,2.710,"John Deere Classic","TPC Deere Run"
"Lower, Justin",150,-0.323,33,-0.002,-0.001,-0.005,-0.028,-0.040,-0.000,-0.024,0.009,-0.015,-0.414,2.746,"John Deere Classic","TPC Deere Run"
"Sloan, Roger",150,-0.525,35,-0.008,0.015,-0.008,0.023,0.073,-0.000,-0.013,0.019,0.005,-0.424,2.765,"John Deere Classic","TPC Deere Run"
"Snedeker, Brandt",150,-0.369,41,-0.029,-0.115,-0.010,0.000,0.028,-0.001,0.047,0.008,0.054,-0.441,2.731,"John Deere Classic","TPC Deere Run"
"Wallace, Matt",150,-0.401,31,0.004,0.054,-0.010,-0.038,-0.040,0.000,-0.034,-0.001,-0.035,-0.467,2.764,"John Deere Classic","TPC Deere Run"
"Mullinax, Trey",150,-0.617,30,0.009,0.053,-0.011,0.203,-0.023,0.001,-0.131,0.044,-0.086,-0.473,2.765,"John Deere Classic","TPC Deere Run"
"Percy, Cameron",150,-0.451,48,-0.051,-0.074,-0.055,-0.053,0.169,-0.001,0.008,0.031,0.038,-0.476,2.703,"John Deere Classic","TPC Deere Run"
"Gligic, Michael",150,-0.484,32,-0.000,0.003,-0.002,0.024,-0.035,0.000,-0.056,0.025,-0.031,-0.526,2.769,"John Deere Classic","TPC Deere Run"
"Tway, Kevin",150,-0.650,33,-0.004,0.071,-0.008,0.087,0.100,0.001,-0.145,0.020,-0.124,-0.528,2.679,"John Deere Classic","TPC Deere Run"
"O'Hair, Sean",150,-0.698,39,-0.024,0.014,0.001,0.060,0.056,0.000,0.025,0.034,0.060,-0.531,2.762,"John Deere Classic","TPC Deere Run"
"Stroud, Chris",150,-0.713,40,-0.025,0.008,0.002,-0.080,0.273,-0.000,-0.028,0.027,-0.002,-0.537,2.736,"John Deere Classic","TPC Deere Run"
