"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Webb Simpson",23183665,10600,64.5,0.0758,0.0575,1,-0.0183,-0.2414,75.56,30.9,97.5,32,0.7259,0.0162,0.4745,0.364,0.2234,0.1328,0.0872,0.0333,100,5.42,0.65,-34.39,0,0.23,37.5,"2022-07-03","John Deere Classic"
"2","Adam Hadwin",23183666,10400,66.7,0.0518,0.0542,2,0.0024,0.0463,75.08,24.2,97,31,0.7304,0.0166,0.4798,0.3702,0.2252,0.1313,0.0843,0.0322,100,5.21,0.66,6.9,31,0.2342,33.5,"2022-07-03","John Deere Classic"
"3","Sahith Theegala",23183667,10100,67.27,0.034,0.0323,6,-0.0017,-0.05,67.97,22.6,91.5,29.5,0.6705,0.0115,0.3916,0.2826,0.1582,0.088,0.0549,0.0193,16,3.2,-1.04,-1.55,21,0.2113,94,"2022-07-03","John Deere Classic"
"4","Denny McCarthy",23183669,9900,63.67,0.0318,0.0303,8,-0.0015,-0.0472,68.4,18,92.97,30.47,0.7122,0.0189,0.441,0.329,0.1872,0.1043,0.0648,0.0238,6,3.06,-0.98,-1.14,17,0.1904,104.5,"2022-07-03","John Deere Classic"
"5","Maverick McNealy",23183670,9500,71.39,0.0274,0.0332,4,0.0058,0.2117,68.84,20.4,92,30,0.7103,0.019,0.4365,0.3267,0.1883,0.106,0.0678,0.0249,8,3.49,-0.19,13.66,34,0.1899,96,"2022-07-03","John Deere Classic"
"6","Charles Howell III",23183671,9300,59.6,0.0279,0.0271,10,-0.000800000000000002,-0.0287,70.85,13.9,93,30.5,0.7343,0.0166,0.4847,0.3752,0.2302,0.1348,0.0903,0.0355,13,2.91,-0.6,0.31,14,0.1794,93,"2022-07-03","John Deere Classic"
"7","Christiaan Bezuidenhout",23183672,9100,60.38,0.029,0.0232,12,-0.0058,-0.2,70.6,14.6,92.5,30.5,0.658,0.0105,0.375,0.2704,0.1472,0.0778,0.0488,0.0171,2,2.55,-0.8,-9.64,5,0.1195,119,"2022-07-03","John Deere Classic"
"8","Scott Stallings",23183673,8900,55.33,0.0253,0.0303,8,0.005,0.1976,67.4,21.7,90.5,29.5,0.6675,0.0185,0.3767,0.2722,0.1524,0.0823,0.0514,0.0179,4,3.4,0.21,12.11,34,0.1662,110.5,"2022-07-03","John Deere Classic"
"9","Patrick Rodgers",23183674,8800,56.52,0.0242,0.0332,4,0.009,0.3719,66.78,20.8,90,29.5,0.6738,0.0121,0.3876,0.2795,0.1538,0.0837,0.0514,0.0176,30,3.77,0.66,20.38,40,0.2015,101.5,"2022-07-03","John Deere Classic"
"10","Nick Hardy",23183675,8700,56.94,0.0245,0.0404,3,0.0159,0.649,68.01,17.2,91,29.5,0.6878,0.0166,0.4044,0.2978,0.1722,0.0935,0.0599,0.021,30,4.64,1.61,34.88,40,0.2514,93.5,"2022-07-03","John Deere Classic"
"11","Adam Long",23183676,8600,57.74,0.024,0.0233,11,-0.000699999999999999,-0.0292,65.08,15.3,89,29,0.7016,0.0213,0.4293,0.3225,0.187,0.1055,0.0669,0.0246,13,2.71,-0.24,0.57,16,0.1542,85,"2022-07-03","John Deere Classic"
"12","Brendon Todd",23183677,8500,57.75,0.0274,0.0219,13,-0.0055,-0.2007,62.33,14.1,88,28,0.6395,0.0092,0.3462,0.2445,0.1295,0.0665,0.0391,0.0124,43,2.58,-0.28,-8.96,5,0.13,77,"2022-07-03","John Deere Classic"
"13","Cameron Davis",23183678,8400,57.53,0.0214,0.0319,7,0.0105,0.4907,69.78,20.2,93,30.5,0.6774,0.0169,0.392,0.2856,0.1609,0.0897,0.0568,0.0209,8,3.8,1.05,23.64,40,NA,NA,"2022-07-03","John Deere Classic"
"14","Lucas Glover",23183679,8300,60.35,0.0193,0.0148,25,-0.0045,-0.2332,64.67,8.5,88.5,28.5,0.6398,0.0094,0.345,0.2447,0.1311,0.0683,0.0423,0.0138,100,1.78,-0.84,-7.02,1,0.1161,33.5,"2022-07-03","John Deere Classic"
"15","Lanto Griffin",23183680,8200,61.43,0.0152,0.0201,15,0.0049,0.3224,64.51,13.7,86.34,27.73,0.6286,0.0088,0.33,0.2301,0.1196,0.0614,0.036,0.0127,100,2.45,-0.04,12,26,0.108,26.5,"2022-07-03","John Deere Classic"
"16","C.T. Pan",23183681,8100,61.2,0.0161,0.013,30,-0.0031,-0.1925,66.29,8.8,89.5,29.15,0.6483,0.0108,0.3513,0.2482,0.135,0.0704,0.0437,0.0154,24,1.6,-0.75,-4.24,5,0.0954,92,"2022-07-03","John Deere Classic"
"17","Cameron Champ",23183682,8000,47.8,0.0147,0.0186,17,0.0039,0.2653,57.1,5.4,84,27,0.6107,0.0117,0.3035,0.2086,0.1112,0.0587,0.0358,0.0129,100,2.32,0.11,9.96,15,0.068,27.5,"2022-07-03","John Deere Classic"
"18","J.T. Poston",23183683,8000,48.2,0.0176,0.0215,14,0.0039,0.2216,66.07,16.2,90.5,29,0.6672,0.017,0.3834,0.2796,0.1569,0.0875,0.0558,0.0204,1,2.69,0.48,9.97,26,0.1851,148,"2022-07-03","John Deere Classic"
"19","Chez Reavie",23183684,7900,51.71,0.0176,0.0146,27,-0.003,-0.1705,61.39,13.5,86.5,28,0.6302,0.0126,0.3249,0.2261,0.1206,0.0624,0.0385,0.0128,100,1.85,-0.24,-3.98,10,0.1409,28.5,"2022-07-03","John Deere Classic"
"20","Kevin Streelman",23183685,7900,52.5,0.0154,0.0147,26,-0.000700000000000001,-0.0455,65.12,9.2,88.27,28.62,0.665,0.0144,0.3709,0.2672,0.1477,0.0778,0.0483,0.017,41,1.86,-0.23,0.57,10,0.0959,76,"2022-07-03","John Deere Classic"
"21","John Huh",23183686,7800,57.64,0.0155,0.0158,21,0.000300000000000002,0.0194,63.74,15.7,88.35,29,0.6349,0.0095,0.3426,0.2401,0.128,0.0664,0.0398,0.0126,100,2.03,0.06,2.61,18,0.1671,33.5,"2022-07-03","John Deere Classic"
"22","Anirban Lahiri",23183687,7800,49.81,0.0139,0.0117,32,-0.0022,-0.1583,62.63,5.6,87.5,28.5,0.6508,0.0104,0.3584,0.2555,0.1372,0.0703,0.0434,0.0152,51,1.5,-0.47,-2.42,3,0.0489,76.5,"2022-07-03","John Deere Classic"
"23","Adam Schenk",23183688,7700,46.88,0.015,0.0164,19,0.0014,0.0933,59.45,17.7,85,27.5,0.6492,0.0143,0.3551,0.2542,0.1355,0.0707,0.0437,0.0156,NA,2.13,0.26,4.86,23,0.1375,6.5,"2022-07-03","John Deere Classic"
"24","Adam Svensson",23183689,7700,55.5,0.0147,0.0163,20,0.0016,0.1088,64.78,22.2,89,29,0.6454,0.015,0.3439,0.2438,0.129,0.0681,0.0425,0.0146,24,2.12,0.25,5.26,27,0.1595,91,"2022-07-03","John Deere Classic"
"25","Doug Ghim",23183690,7600,51.98,0.0154,0.0143,28,-0.0011,-0.0714,64.32,9,88.5,28.5,0.6694,0.0121,0.3895,0.2799,0.156,0.084,0.0524,0.0186,100,1.88,0.09,-0.18,9,0.0795,30,"2022-07-03","John Deere Classic"
"26","Alex Smalley",23183691,7600,55.2,0.0122,0.0172,18,0.005,0.4098,64.47,5.6,89.5,28.5,0.6567,0.015,0.3602,0.2576,0.1431,0.0772,0.0482,0.0168,16,2.26,0.47,12.41,18,0.0884,85,"2022-07-03","John Deere Classic"
"27","Dylan Frittelli",23183692,7600,53.43,0.0122,0.0093,42,-0.0029,-0.2377,55.6,2.4,82,26.5,0.5903,0.0078,0.2853,0.1917,0.0962,0.0459,0.0276,0.009,30,1.22,-0.57,-3.77,0,0.0442,79.5,"2022-07-03","John Deere Classic"
"28","Martin Laird",23183693,7500,53.78,0.0139,0.0154,22,0.0015,0.1079,64.38,10.6,89,28.5,0.6507,0.0131,0.3543,0.2507,0.1336,0.069,0.0425,0.0144,30,2.05,0.34,5.07,16,0.0917,93,"2022-07-03","John Deere Classic"
"29","Emiliano Grillo",23183694,7500,51.68,0.0129,0.015,24,0.0021,0.1628,62.67,5,88,28,0.6361,0.0145,0.3366,0.2372,0.1255,0.0666,0.0415,0.0141,2,2,0.29,6.3,11,0.0696,116.5,"2022-07-03","John Deere Classic"
"30","Nick Taylor",23183695,7500,53.77,0.0129,0.0099,40,-0.003,-0.2326,61.38,3.9,87.5,28,0.6286,0.0108,0.3159,0.2165,0.1099,0.0548,0.0321,0.0112,100,1.32,-0.39,-3.95,0,0.0447,34,"2022-07-03","John Deere Classic"
"31","David Lipsky",23183696,7400,53,0.0109,0.0121,31,0.0012,0.1101,61.22,5.1,85.7,27.65,0.6282,0.01,0.3314,0.2308,0.1232,0.063,0.0388,0.0131,24,1.64,0.03,4.43,10,0.0616,85.5,"2022-07-03","John Deere Classic"
"32","Mark Hubbard",23183698,7400,69.48,0.0108,0.0104,36,-0.000400000000000001,-0.037,61.39,10.1,86.5,28,0.6399,0.0126,0.3266,0.2256,0.1169,0.059,0.0356,0.011,13,1.41,-0.2,1.17,11,0.1419,89,"2022-07-03","John Deere Classic"
"33","Patton Kizzire",23183699,7400,55.23,0.0108,0.01,38,-8e-04,-0.0741,59.09,4.5,84.5,28,0.5816,0.0103,0.2684,0.1785,0.0876,0.0425,0.0244,0.0085,16,1.35,-0.26,0.37,5,0.0584,89,"2022-07-03","John Deere Classic"
