Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2023-04-19 14:17:39 UTC,238,e4b3dcf4-727d-41b6-9cd6-c1337a9cafcc,Deuce,Vaughn,DAL,RB,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 14:13:27 UTC,219,a70ed6d9-439c-475a-b9e3-969030f53943,Jerick,McKinnon,KC,RB,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 14:12:14 UTC,214,b9a20d9b-28f9-4fcd-ae68-0eae1994587c,John,Metchie,HOU,WR,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 14:07:29 UTC,195,e471c1f5-39cf-4112-9603-b236ded8a5f6,Curtis,Samuel,WAS,WR,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 14:05:47 UTC,190,5691ec0a-d8be-4393-9ee2-f0d6dd8c0f8f,Rondale,Moore,ARI,WR,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 14:00:19 UTC,171,f557d10c-13d4-4de0-8347-99135c6d307c,Taysom,Hill,NO,TE,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 13:58:58 UTC,166,ff822597-f401-4c5d-bc8a-faf73da1f737,Tyler,Higbee,LAR,TE,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 13:53:49 UTC,147,aa3c2c69-1df0-4bc8-b1b2-37cb46cf5518,D'Onta,Foreman,CHI,RB,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 13:52:41 UTC,142,bd5105f1-e63b-4b78-9af6-5501bc8edae8,Skyy,Moore,KC,WR,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
2023-04-19 13:47:39 UTC,123,110bbb1d-f866-4721-8efc-1354d469c7f2,Damien,Harris,BUF,RB,ff15c6d6-0b63-492f-94e3-b425d21c9029,29551624-b47e-4783-96fb-6688e64e40b7,,12,,Big Board: Superflex,aef2b73c-5d42-4884-8a54-4c37cb8f39be,10.0,500000.0,56160,,,,,,,,,,
