"","Name","week","TeamAbbrev","def_rush_epa_rank","opponent","rdef_rank","Salary","Own","FPTS","sum_sd","FPTS_vs_proj","FPTS_dollar","ppo","runBlockAdv"
"1","Justin Jackson",16,"LAC",17,"HOU",31,4200,36.3,35.2,0.7385,2.6,0.00838,1,55
"2","Rex Burkhead",16,"HOU",24,"LAC",18,4500,1.6,31.9,-0.5205,2.6,0.00709,19.9,10
"3","Joe Mixon",16,"CIN",9,"BAL",11,6900,7.8,31.5,0.255,2.1,0.00457,4,29
"4","Damien Harris",16,"NE",18,"BUF",21,5600,3.4,31.3,0.2955,2.2,0.00559,9.2,46
"5","David Montgomery",16,"CHI",11,"SEA",3,5700,18.4,23.6,-0.672,1.6,0.00414,1.3,-1
"6","Sony Michel",16,"LAR",26,"MIN",15,5500,2.6,23.5,-0.3395,2.7,0.00427,9,43
"7","Josh Johnson",16,"SEA",13,"CIN",23,4000,4.7,23.2,0.5065,1.3,0.0058,4.9,42
"8","Rashaad Penny",16,"SEA",26,"CHI",24,5500,1.6,22.5,0.0199999999999999,1.7,0.00409,14.1,42
"9","Devin Singletary",16,"BUF",20,"NE",6,5100,2.4,18.8,-0.6505,1.4,0.00369,7.8,10
"10","Michael Carter",16,"NYJ",27,"JAC",25,5200,4.2,17.4,0.03,1.4,0.00335,4.1,53
"11","Najee Harris",16,"PIT",23,"KC",22,7400,7.8,16,-0.163,0.9,0.00216,2.1,19
"12","Alexander Mattison",16,"MIN",2,"LAR",1,6800,14.7,16,-0.5885,1.2,0.00235,1.1,17
"13","Josh Jacobs",16,"LV",16,"DEN",17,6000,4.2,15.4,-0.192,0.9,0.00257,3.7,8
"14","Ke'Shawn Vaughn",16,"TB",15,"CAR",20,4400,0.2,13,0.6085,2.2,0.00295,65,75
"15","Darrel Williams",16,"KC",32,"PIT",12,4600,1.5,11.5,-0.5485,1.1,0.0025,7.7,56
"16","Clyde Edwards-Helaire",16,"KC",32,"PIT",12,5800,12,10.1,-0.501,0.7,0.00174,0.8,56
"17","Javonte Williams",16,"DEN",5,"LV",19,6100,7.6,10,0.3745,0.8,0.00164,1.3,25
"18","Devonta Freeman",16,"BAL",13,"CIN",23,5300,1.4,10,0.4875,1.1,0.00189,7.1,50
"19","Peyton Barber",16,"LV",16,"DEN",17,4000,0,9.2,-0.2085,2.1,0.0023,Inf,8
"20","Devontae Booker",16,"NYG",6,"PHI",13,4900,0.7,8.6,-0.0335,1.5,0.00176,12.3,17
"21","Cordarrelle Patterson",16,"ATL",19,"DET",29,6700,22.8,8.3,0.7205,0.5,0.00124,0.4,56
"22","Jamaal Williams",16,"DET",22,"ATL",27,5000,2.2,7.7,0.195,0.8,0.00154,3.5,32
"23","Jordan Howard",16,"PHI",31,"NYG",26,4300,1.4,7.6,0.115,1.5,0.00177,5.4,74
"24","Tevin Coleman",16,"NYJ",27,"JAC",25,4800,0.2,7.1,0.011,1,0.00148,35.5,53
"25","Miles Sanders",16,"PHI",31,"NYG",26,5600,11.3,5.8,0.1005,0.5,0.00104,0.5,74
"26","Mike Davis",16,"ATL",19,"DET",29,4900,0.4,4.5,0.6645,0.3,0.00092,11.2,56
"27","Brandon Bolden",16,"NE",18,"BUF",21,4200,0.4,4.4,0.254,0.4,0.00105,11,46
"28","Ameer Abdullah",16,"CAR",7,"TB",14,4500,0.5,3.9,0.155,0.4,0.00087,7.8,24
"29","Saquon Barkley",16,"NYG",6,"PHI",13,6500,3.4,3.8,0.0145,0.2,0.00058,1.1,17
"30","Latavius Murray",16,"BAL",13,"CIN",23,4400,0.4,3.4,0.492,0.4,0.00077,8.5,50
"31","Royce Freeman",16,"HOU",24,"LAC",18,4000,0,3.4,-0.5165,0.5,0.00085,Inf,10
"32","Kene Nwangwu",16,"MIN",2,"LAR",1,4000,0.2,3.3,-0.4515,0.5,0.00082,16.5,17
"33","Joshua Kelley",16,"LAC",17,"HOU",31,4000,0.3,3.1,0.6295,0.4,0.00078,10.3,55
"34","Samaje Perine",16,"CIN",9,"BAL",11,4400,0.1,2.6,0.1585,0.5,0.00059,26,29
"35","Darrell Henderson Jr.",16,"LAR",26,"MIN",15,5700,2.2,1.7,NA,NA,3e-04,0.8,43
"36","James Robinson",16,"JAX",29,"NYJ",32,5900,35,1,0.4105,0.1,0.00017,0,48
"37","Chuba Hubbard",16,"CAR",7,"TB",14,5400,0.4,0.9,0.2255,0.1,0.00017,2.2,24
"38","D'Andre Swift",16,"DET",22,"ATL",27,6300,0.1,0,0.218,0,0,0,32
"39","Alex Collins",16,"SEA",26,"CHI",24,4900,0,0,-0.00650000000000006,0,0,NA,42
"40","Travis Homer",16,"SEA",26,"CHI",24,4300,0,0,-0.0510000000000001,0,0,NA,42
"41","Matt Breida",16,"BUF",20,"NE",6,4200,0,0,-0.748,0,0,NA,10
"42","J.J. Taylor",16,"NE",18,"BUF",21,4000,0.1,0,0.133,0,0,0,46
"43","Larry Rountree III",16,"LAC",17,"HOU",31,4000,0,0,0.621,0,0,NA,55
"44","Josh Johnson",16,"SEA",13,"CIN",23,4000,0,0,0.5065,0,0,NA,42
