"","Name","week","TeamAbbrev","Salary","Own","FPTS","FPTS_vs_proj","sum_sd","opponent","def_pass_epa_rank","def_rank","cov_rank","grades_pass","grades_pass_multiplier","FPTS_dollar","ppo"
"1","Cam Newton",15,"CAR",5400,0.5,24.3,1.5,-1.973,"BUF",4,7,3,55.8,0.78,0.0045,48.6
"2","Aaron Rodgers",15,"GB",7500,13.6,23.8,1.2,0.865,"BAL",27,20,24,81,1.14,0.00317,1.8
"3","Josh Allen",15,"BUF",8100,9.2,21.8,0.9,-0.2035,"CAR",3,20,13,76.2,1.07,0.00269,2.4
"4","Jared Goff",15,"DET",5100,0.4,20.6,2,-1.2475,"ARI",1,22,13,61.4,0.86,0.00404,51.5
"5","Tua Tagovailoa",15,"MIA",5700,14.5,15.7,0.8,0.8195,"NYJ",30,30,29,77.6,1.09,0.00275,1.1
"6","Davis Mills",15,"HOU",5400,2.5,15.6,0.9,NA,"JAC",32,29,25,56,0.79,0.00289,6.2
"7","Matt Ryan",15,"ATL",5300,1.1,14.4,0.8,-0.0205,"SF",24,6,15,76.1,1.07,0.00272,13.1
"8","Jimmy Garoppolo",15,"SF",5800,10.1,13.8,0.7,1.0695,"ATL",29,28,26,71.2,1,0.00238,1.4
"9","Kyler Murray",15,"ARI",7900,15.6,13.6,0.5,1.876,"DET",31,32,30,89.9,1.26,0.00172,0.9
"10","Zach Wilson",15,"NYJ",5200,0.3,13,0.9,-1.1885,"MIA",8,8,9,55.2,0.77,0.0025,43.3
"11","Joe Burrow",15,"CIN",6100,4.7,12.8,0.6,0.9645,"DEN",11,25,22,88.8,1.25,0.0021,2.7
"12","Ryan Tannehill",15,"TEN",5900,1.1,11.9,0.6,0.669,"PIT",23,24,31,78.3,1.1,0.00202,10.8
"13","Ben Roethlisberger",15,"PIT",5600,5.4,11.9,0.8,-0.4825,"TEN",16,10,4,59.8,0.84,0.00213,2.2
"14","Dak Prescott",15,"DAL",6500,14.3,11.6,0.6,1.003,"NYG",14,26,21,80.8,1.13,0.00178,0.8
"15","Trevor Lawrence",15,"JAX",5100,3.2,10.5,0.6,NA,"HOU",21,31,32,55.4,0.78,0.00206,3.3
"16","Teddy Bridgewater",15,"DEN",5500,0.9,4.9,0.3,-0.1515,"CIN",10,14,17,72.4,1.02,0.00089,5.4
"17","Mike Glennon",15,"NYG",5200,0.3,1,0.1,-1.471,"DAL",2,14,10,46.7,0.66,0.00019,3.3
"18","Lamar Jackson",15,"BAL",7200,0.1,0,0,-0.5025,"GB",6,4,4,65.9,0.92,0,0
