"","Name","week","TeamAbbrev","Salary","Own","FPTS","sum_sd","FPTS_vs_proj","FPTS_dollar","ppo","advantage","yprr","man_yprr","man_rank","opponent"
"1","Tee Higgins",16,"CIN",6200,10.3,46.4,1.019,3,0.00748,4.5,85,2.12,2.1,3,"BAL"
"2","Isaiah McKenzie",16,"BUF",3000,1.2,32.4,-0.872,4,0.0108,27,38.8,0.45,0,4,"NE"
"3","Amon-Ra St. Brown",16,"DET",5600,10.2,26,0.421,2.4,0.00464,2.5,72.9,1.41,1.35,12,"ATL"
"4","Byron Pringle",16,"KC",3300,1.7,25.5,-0.279,2.7,0.00773,15,39.9,1.29,0.27,25,"PIT"
"5","Cooper Kupp",16,"LAR",9100,47.3,24.3,1.994,1,0.00267,0.5,99.4,3.15,3.76,17,"MIN"
"6","Antonio Brown",16,"TB",4900,48.3,23.1,1.619,1.4,0.00471,0.5,87.1,2.82,3.77,11,"CAR"
"7","Justin Jefferson",16,"MIN",8100,14,22.6,0.795,1.2,0.00279,1.6,64.8,2.6,3.4,30,"LAR"
"8","Ja'Marr Chase",16,"CIN",7100,13.6,22.5,1.217,1.3,0.00317,1.7,82.3,2.14,3.3,3,"BAL"
"9","Stefon Diggs",16,"BUF",7600,4.1,21.5,0.626,1.2,0.00283,5.2,75,1.92,1.88,4,"NE"
"10","DeVonta Smith",16,"PHI",6000,4.3,19,0.042,1.6,0.00317,4.4,46.2,1.64,1.65,23,"NYG"
"11","K.J. Osborn",16,"MIN",4800,1.8,17.8,-0.791,2.6,0.00371,9.9,16.2,1.28,1.04,30,"LAR"
"12","Tyler Boyd",16,"CIN",5100,4.4,17.5,0.389,1.3,0.00343,4,67.8,1.62,1.45,3,"BAL"
"13","Diontae Johnson",16,"PIT",7500,5.6,16.1,0.108,1.1,0.00215,2.9,35.3,2.12,2.85,8,"KC"
"14","Marvin Jones Jr.",16,"JAX",4400,2.6,15.4,0.023,1.4,0.0035,5.9,55.1,1.2,1.67,13,"NYJ"
"15","Braxton Berrios",16,"NYJ",3500,6.8,15,-0.00500000000000002,2.5,0.00429,2.2,57.5,1.57,0.98,14,"JAC"
"16","Chris Conley",16,"HOU",3300,0.2,15,-0.654,1.6,0.00455,75,30.4,0.96,1.54,7,"LAC"
"17","Tavon Austin",16,"JAX",3100,0.1,14.9,-0.673,2.4,0.00481,149,34,0.93,0,13,"NYJ"
"18","Odell Beckham Jr.",16,"LAR",5300,10.2,13.7,0.48,1,0.00258,1.3,62.5,1.44,2.25,17,"MIN"
"19","Hunter Renfrow",16,"LV",6800,6,13,0.528,0.9,0.00191,2.2,58.4,2,1.52,1,"DEN"
"20","Rashod Bateman",16,"BAL",4500,0.9,12.6,0.000999999999999997,1.7,0.0028,14,49.5,1.39,1.8,18,"CIN"
"21","Nico Collins",16,"HOU",3400,2.5,12.3,-0.776,1.1,0.00362,4.9,28.4,1.1,0.45,7,"LAC"
"22","DK Metcalf",16,"SEA",6400,6.5,12.1,NA,NA,0.00189,1.9,46.8,NA,NA,5,"CHI"
"23","Mecole Hardman",16,"KC",3500,2.4,12.1,NA,1.6,0.00346,5,NA,1.41,1.76,25,"PIT"
"24","Jakobi Meyers",16,"NE",4900,2,11.9,0.091,0.9,0.00243,6,50,1.5,1.72,10,"BUF"
"25","Zay Jones",16,"LV",3500,0.6,11,-0.332,1.3,0.00314,18.3,26.1,1.14,1.66,1,"DEN"
"26","Darnell Mooney",16,"CHI",5400,5.2,10.9,0.407,0.7,0.00202,2.1,66.2,1.66,1.85,31,"SEA"
"27","Robby Anderson",16,"CAR",4900,1.1,10.8,-0.989,1.2,0.0022,9.8,21.2,0.8,0.63,26,"TB"
"28","Marquise Brown",16,"BAL",5800,4.6,9.4,-0.109,0.7,0.00162,2,42.5,1.78,0.99,18,"CIN"
"29","Laquon Treadwell",16,"JAX",3500,3.1,9.4,-0.0209999999999999,0.9,0.00269,3,55.8,1.42,0.8,13,"NYJ"
"30","Jerry Jeudy",16,"DEN",5000,1,9,-0.199,0.8,0.0018,9,40.4,1.79,1.14,32,"LV"
"31","Phillip Dorsett II",16,"HOU",3000,0.1,8.5,NA,NA,0.00283,85,NA,NA,NA,7,"LAC"
"32","DeSean Jackson",16,"LV",3700,0.6,8.4,NA,1.4,0.00227,14,NA,2.56,5.33,1,"DEN"
"33","Chase Claypool",16,"PIT",5100,3.3,8.1,0.024,1,0.00159,2.5,36.4,2,2.6,8,"KC"
"34","Keenan Allen",16,"LAC",7700,21.7,7.5,1.157,0.4,0.00097,0.3,92,1.94,2.52,21,"HOU"
"35","Courtland Sutton",16,"DEN",4200,1.5,7.3,-0.261,0.7,0.00174,4.9,39.6,1.43,2.14,32,"LV"
"36","Quez Watkins",16,"PHI",3800,0.4,7.3,-0.144,2.1,0.00192,18.2,34.2,1.46,2.57,23,"NYG"
"37","Adam Thielen",16,"MIN",6900,3,7,-0.123,0.5,0.00101,2.3,40.3,1.6,2.26,30,"LAR"
"38","Russell Gage",16,"ATL",5900,12.5,6.9,0.581,0.5,0.00117,0.6,65.5,1.78,2.75,19,"DET"
"39","Kadarius Toney",16,"NYG",4900,0.5,6.8,0.046,0.8,0.00139,13.6,33,2.32,2.7,29,"PHI"
"40","Tyler Lockett",16,"SEA",6700,11.6,6,1.588,0.4,9e-04,0.5,94.2,2.46,3.31,5,"CHI"
"41","Josh Reynolds",16,"DET",4600,0.8,5.6,-0.139,0.5,0.00122,7,43.1,1.61,0.83,12,"ATL"
"42","Kendrick Bourne",16,"NE",5000,1.7,5.3,NA,0.5,0.00106,3.1,NA,2.07,2.44,10,"BUF"
"43","Kenny Golladay",16,"NYG",5300,0.6,5.2,-0.116,0.4,0.00098,8.7,45.6,1.42,1.58,29,"PHI"
"44","Olamide Zaccheaus",16,"ATL",3800,0.7,5.2,-0.305,0.7,0.00137,7.4,46.3,1.09,0.45,19,"DET"
"45","Kalif Raymond",16,"DET",3900,0.2,4.7,-0.607,0.4,0.00121,23.5,24,1.11,1.35,12,"ATL"
"46","Marquise Goodwin",16,"CHI",3100,0.1,4.3,NA,NA,0.00139,43,NA,1.43,1.59,31,"SEA"
"47","Damiere Byrd",16,"CHI",3300,0.4,4.1,-0.515,0.5,0.00124,10.2,34.1,0.84,1.46,31,"SEA"
"48","Emmanuel Sanders",16,"BUF",4000,6.8,4,-0.348,NA,0.001,0.6,41,1.31,1.25,4,"NE"
"49","Tyreek Hill",16,"KC",8400,18.7,3.9,NA,0.3,0.00046,0.2,NA,2.25,2.39,25,"PIT"
"50","Tim Patrick",16,"DEN",4500,0.9,3.8,-0.000999999999999997,0.4,0.00084,4.2,50.1,1.38,2.85,32,"LV"
"51","Jalen Reagor",16,"PHI",3100,0.8,3.5,-1.212,0.6,0.00113,4.4,2.2,0.72,0.5,23,"NYG"
"52","N'Keal Harry",16,"NE",3000,0.1,3.5,-0.147,0.8,0.00117,35,41.8,1.69,0.78,10,"BUF"
"53","Demarcus Robinson",16,"KC",3000,0.1,3.5,-0.789,0.7,0.00117,35,26.4,0.5,0.35,25,"PIT"
"54","Freddie Swain",16,"SEA",3400,0.1,1.9,-0.598,0.3,0.00056,19,33.3,0.75,0.33,5,"CHI"
"55","Darius Slayton",16,"NYG",4200,0.4,1.7,-0.886,0.2,4e-04,4.2,11.4,1.04,1.68,29,"PHI"
"56","Tyler Johnson",16,"TB",3900,5.4,0,-0.457,0,0,0,36.2,0.97,0.45,11,"CAR"
"57","Sammy Watkins",16,"BAL",3900,0.3,0,NA,0,0,0,NA,1.59,1.56,18,"CIN"
"58","James Washington",16,"PIT",3700,0.5,0,NA,0,0,0,NA,0.93,0.35,8,"KC"
