,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Colgate,2021-12-12 12:00:00,230,46.00,7.0,18.18,159.5,18.18,29.0,76.3,83.3
St. John's,2021-12-12 12:00:00,-290,6.90,-7.0,18.18,159.5,18.18,71.0,83.3,76.3
Merrimack,2021-12-12 12:00:00,950,190.00,19.5,19.05,125.5,20.00,9.1,53.0,72.5
Indiana,2021-12-12 12:00:00,-1750,1.14,-19.5,17.39,125.5,16.67,90.9,72.5,53.0
Florida State,2021-12-12 12:00:00,-250,8.00,-6.5,18.18,138.5,19.05,68.2,72.5,66.0
South Carolina,2021-12-12 12:00:00,200,40.00,6.5,18.18,138.5,17.39,31.8,66.0,72.5
Jackson State,2021-12-12 13:00:00,950,190.00,19.0,17.39,127.0,18.18,9.1,54.0,73.0
Iowa State,2021-12-12 13:00:00,-1750,1.14,-19.0,19.05,127.0,18.18,90.9,73.0,54.0
Fairfield,2021-12-12 13:00:00,-320,6.25,-8.0,19.05,130.0,17.39,72.7,69.0,61.0
William & Mary,2021-12-12 13:00:00,250,50.00,8.0,17.39,130.0,19.05,27.3,61.0,69.0
Davidson,2021-12-12 13:00:00,-150,13.33,-3.0,18.18,130.0,17.39,58.0,66.5,63.5
Northeastern,2021-12-12 13:00:00,130,26.00,3.0,18.18,130.0,19.05,42.0,63.5,66.5
Purdue,2021-12-12 14:00:00,-1000,2.00,-14.0,17.39,143.5,16.67,87.2,78.8,64.8
North Carolina State,2021-12-12 14:00:00,650,130.00,14.0,19.05,143.5,20.00,12.8,64.8,78.8
Presbyterian,2021-12-12 14:00:00,360,72.00,10.5,17.39,145.0,18.18,20.7,67.3,77.8
College of Charleston,2021-12-12 14:00:00,-490,4.08,-10.5,19.05,145.0,18.18,79.3,77.8,67.3
Florida A&M,2021-12-12 14:00:00,575,115.00,13.0,18.18,127.0,20.00,14.2,57.0,70.0
Akron,2021-12-12 14:00:00,-850,2.35,-13.0,18.18,127.0,16.67,85.8,70.0,57.0
Virginia Tech,2021-12-12 14:00:00,-135,14.81,-2.0,17.39,127.5,17.39,55.3,64.8,62.8
Dayton,2021-12-12 14:00:00,115,23.00,2.0,19.05,127.5,19.05,44.7,62.8,64.8
Navy,2021-12-12 14:00:00,-145,13.79,-3.0,19.05,125.0,17.39,,64.0,61.0
Marist,2021-12-12 14:00:00,,,3.0,17.39,125.0,19.05,,61.0,64.0
Hampton,2021-12-12 14:00:00,300,60.00,9.0,18.18,131.5,18.18,23.8,61.3,70.3
Loyola (MD),2021-12-12 14:00:00,-400,5.00,-9.0,18.18,131.5,18.18,76.2,70.3,61.3
Wofford,2021-12-12 14:00:00,-180,11.11,-4.5,19.05,139.5,20.00,62.1,72.0,67.5
Coastal Carolina,2021-12-12 14:00:00,155,31.00,4.5,17.39,139.5,16.67,37.9,67.5,72.0
Villanova,2021-12-12 15:00:00,155,31.00,4.0,18.18,136.5,17.39,37.9,66.3,70.3
Baylor,2021-12-12 15:00:00,-180,11.11,-4.0,18.18,136.5,19.05,62.1,70.3,66.3
UM-Kansas City,2021-12-12 15:00:00,,,,,,,,,
SIU-Edwardsville,2021-12-12 15:00:00,,,,,,,,,
UTEP,2021-12-12 15:00:00,135,27.00,3.0,18.18,146.0,18.18,41.2,71.5,74.5
New Mexico,2021-12-12 15:00:00,-155,12.90,-3.0,18.18,146.0,18.18,58.8,74.5,71.5
Kent State,2021-12-12 16:00:00,460,92.00,12.0,18.18,132.0,18.18,17.1,60.0,72.0
