"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"29d7e679-e3ee-4337-b382-165c12ea6314","Paul","Reed","191.8","70.3","B54","B","Philadelphia 76ers",,
"f1ca912b-5114-4eae-9fbb-d278a4cbca99","Tre","Mann","191.9","775.2","G111","G","Oklahoma City Thunder",,
"b1640147-8765-42d9-822f-22a1475e15bf","Xavier","Tillman","191.9","528.8","B55","B","Memphis Grizzlies",,
"c11e9286-ee02-4fa4-b3bb-fd46f5234e9e","Kobe","Brown","191.9","0.0","W91","W","Los Angeles Clippers",,
"f422787e-aba4-41a3-8104-05775c30c782","Isaiah","Mobley","191.9","72.1","W92","W","Cleveland Cavaliers",,
"5971c013-4494-4a43-b205-5fe198dd95de","Vasilije","Micic","191.9","733.3","G112","G","Oklahoma City Thunder",,
"8d6bcb4a-6259-4aa1-8b28-fff13abd7cfa","Ousmane","Dieng","191.9","725.2","W93","W","Oklahoma City Thunder",,
"7e09b556-6506-490a-a47d-bb1005faf9cd","MarJon","Beauchamp","191.9","518.8","W93","W","Milwaukee Bucks",,
"41e22262-8ee4-4545-aa7c-a382b950bc95","Dereck","Lively","191.9","0.0","B56","B","Dallas Mavericks",,
"c8063b2e-fa3f-41d5-b69c-e9cd627e9240","Jeremiah","Robinson-Earl","191.9","764.3","W95","W","Oklahoma City Thunder",,
"70c0e497-c3ca-4584-b271-a3cd5d328238","Josh","Richardson","191.9","676.5","G113","G","Miami Heat",,
"d1fe67e7-0998-4b2e-95df-a2bd6a81a3fe","Peyton","Watson","191.9","575.7","G113","G","Denver Nuggets",,
"abdd7c9f-826f-4831-b257-0d0e71ad5cc1","Aaron","Nesmith","191.9","550.5","W95","W","Indiana Pacers",,
"8a931de7-e819-43df-a30a-d531784f68cc","AJ","Griffin","192.0","617.7","W97","W","Atlanta Hawks",,
"bc73b089-4322-4e56-9872-9e07aca3900a","Jordan","Hawkins","192.0","0.0","G115","G","New Orleans Pelicans",,
"7308eabd-bbea-47c0-8307-eaf66ee14f7d","Cody","Martin","192.0","741.9","W98","W","Charlotte Hornets",,
"e820211c-3383-4d91-a06b-fe0d99684530","Derrick","Rose","192.0","748.6","G116","G","Memphis Grizzlies",,
"b3372f18-b49c-4bf8-ad47-06d3a9acc76a","Corey","Kispert","192.0","354.8","W99","W","Washington Wizards",,
"5c62ecec-51bd-466f-ac34-8340743ca42c","Brandin","Podziemski","192.0","0.0","G116","G","Golden State Warriors",,
"c65ed770-4bea-4168-b32a-1c5bf7dc8d8f","Josh","Okogie","192.0","0.0","G116","G","Phoenix Suns",,
"1337381f-36a4-4851-a747-d1d95f675e07","Darius","Bazley","192.0","801.9","W100","W","Brooklyn Nets",,
"34fb51f1-30a3-447e-a29c-c1aef4991e5a","Andrew","Nembhard","192.0","547.7","G119","G","Indiana Pacers",,
"ace69e04-4c87-459b-a2dd-e415ca37e3a7","Olivier-Maxence","Prosper","192.0","0.0","W100","W","Dallas Mavericks",,
"5aee24c6-5779-45ff-b7e9-60afa0b26622","Will","Barton","-","802.8",,"G",,,
"d6b443a3-cb37-436c-931e-c70579aeb5ee","Robert","Covington","-","797.4",,"W","Los Angeles Clippers",,
"b51674ec-33e8-439d-87e1-01c46329d6a8","JaVale","McGee","-","767.2",,"B","Dallas Mavericks",,
"da7ad08d-9687-421b-b50a-165d652e9417","Oshae","Brissett","-","754.2",,"W","Boston Celtics",,
"3cd8661c-95a2-490c-9393-6c811e1727ea","Joe","Harris","-","752.0",,"G","Detroit Pistons",,
"050fae42-dc50-4ec2-b268-c79b7a486a9a","Josh","Christopher","-","750.6",,"G","Memphis Grizzlies",,
"778d73ff-76f2-4424-a5a1-37fdaa1b9ade","Matisse","Thybulle","-","739.0",,"G","Portland Trail Blazers",,
"38be899c-0890-425a-b094-ba2802cdaeec","Josh","Primo","-","738.0",,"G",,,
"7dea38b5-4bb6-4635-86ff-335e73743209","P.J.","Tucker","-","731.6",,"W","Philadelphia 76ers",,
"10acf1f5-ca4c-4c0d-9669-96efdb0fe76c","Nassir","Little","-","729.6",,"W","Portland Trail Blazers",,
"7c0bc82b-6cd6-4ffb-800c-11ca4da3a7d6","Coby","White","-","727.6",,"G","Chicago Bulls",,
"3e226c1d-0f52-4604-8235-5713c86b4cd5","Jordan","McLaughlin","-","722.9",,"G","Minnesota Timberwolves",,
"638fe950-b0ae-41e8-939e-b38a7fc35929","Nickeil","Alexander-Walker","-","722.8",,"G","Minnesota Timberwolves",,
"c3970009-dcac-416d-bb20-339a690c95a1","Marcus","Morris","-","720.7",,"W","Los Angeles Clippers",,
"ea6929e3-1aed-4509-8a4c-5dfe5ac5108f","Ziaire","Williams","-","716.1",,"W","Memphis Grizzlies",,
"eccdcb48-f670-4e90-a255-29ec88b901f4","Moses","Moody","-","716.0",,"G","Golden State Warriors",,
"00745507-881b-4595-9993-9963a91fde05","Larry","Nance Jr.","-","703.4",,"W","New Orleans Pelicans",,
"c2a1d64d-5379-4ecc-afb7-84d7b8e24c07","Jaylen","Nowell","-","702.6",,"G",,,
"9b2819fd-ae39-4850-af18-d5144a1a5957","Rudy","Gay","-","700.4",,"W","Oklahoma City Thunder",,
"621cda57-9337-4090-b74d-f0a8421cd2cd","Patty","Mills","-","699.7",,"G","Atlanta Hawks",,
"8eb19a58-f198-4315-b3ac-7d7e1e01c345","DeAndre","Jordan","-","695.9",,"B","Denver Nuggets",,
"068a30d2-cbcf-42f2-b991-b74c533dc50a","Jordan","Nwora","-","694.0",,"W","Indiana Pacers",,
"9121575c-95db-4546-a305-da12aa885131","Ricky","Rubio","-","693.7",,"G","Cleveland Cavaliers",,
"13639284-7e11-44a7-a41a-080189518220","Jae","Crowder","-","692.4",,"W","Milwaukee Bucks",,
"845720f7-ed94-42b5-9ffd-75ea204fa183","Jaylen","Hoard","-","691.2",,"W",,,
"21bb516b-41c6-4329-9610-a9d42a4ce7d8","Pat","Connaughton","-","690.8",,"G","Milwaukee Bucks",,
"2c8aa398-215c-41d4-ba28-bd53a2e21ab9","Maxi","Kleber","-","690.6",,"W","Dallas Mavericks",,
"90a20f61-61cc-4833-bbe6-4763678c5d89","TyTy","Washington","-","689.7",,"G","Oklahoma City Thunder",,
"3be43a62-2b08-42e9-b2f4-634babbda532","Bryn","Forbes","-","689.3",,"G",,,
"371df619-c53a-417b-9343-877cea51db6e","Kenyon","Martin","-","688.3",,"W","Los Angeles Clippers",,
"a4e7cd90-953f-4c25-85a3-2b8fcd9322de","James","Bouknight","-","680.3",,"G","Charlotte Hornets",,
"bd87f440-18b9-499f-86ba-f982e4153577","Luke","Kennard","-","677.2",,"G","Memphis Grizzlies",,
