player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Nienaber, Wilco",-0.146,316,-0.291,407,-0.403,321,0.431,37,-0.409,231,26.565,1,-0.092,412
"DeChambeau, Bryson",0.266,51,-0.133,311,-0.144,216,0.309,63,0.297,104,26.203,2,-0.087,407
"McIlroy, Rory",0.390,15,0.225,25,0.796,6,0.808,2,2.219,2,21.513,3,-0.009,222
"Hojgaard, Nicolai",-0.096,269,-0.238,380,-0.179,233,-0.065,210,-0.578,263,20.907,4,-0.100,422
"Wolff, Matthew",0.305,31,0.051,133,-0.242,257,-0.235,260,-0.120,176,19.824,5,-0.089,409
"Champ, Cameron",-0.246,369,-0.296,411,0.010,159,0.612,13,0.080,144,19.586,6,-0.028,284
"Hagy, Brandon",-0.066,251,-0.152,320,-0.412,325,-0.049,203,-0.679,282,19.496,7,-0.122,432
"Burmester, Dean",-0.129,302,0.095,100,0.053,139,0.484,27,0.503,81,19.124,8,-0.062,368
"Moller, Niklas Norgaard",0.227,62,-0.107,285,-0.285,273,0.124,128,-0.041,160,18.755,9,-0.090,410
"Pendrith, Taylor",0.023,182,0.046,137,0.098,113,0.601,14,0.768,52,18.663,10,-0.032,296
"Gordon, Will",-0.234,362,-0.213,364,-0.155,220,0.194,103,-0.407,230,18.265,11,-0.065,378
"Young, Cameron",0.055,163,0.044,140,0.206,78,0.783,3,1.087,28,18.013,12,-0.003,196
"Schmid, Matthias",-0.109,279,-0.375,426,0.004,161,0.311,61,-0.169,189,17.953,13,-0.049,341
"Rahm, Jon",0.282,42,0.113,89,0.631,13,0.877,1,1.903,7,17.541,14,0.038,82
"Bramlett, Joseph",-0.560,428,0.045,138,0.297,53,0.270,72,0.052,149,17.447,15,-0.063,370
"Mullinax, Trey",-0.196,340,-0.192,349,-0.026,177,0.345,57,-0.069,164,16.940,16,-0.080,401
"Clark, Wyndham",0.303,32,0.170,48,-0.130,213,0.210,91,0.552,77,16.599,17,-0.069,384
"Lee, Min Woo",-0.011,211,0.121,86,-0.203,244,0.386,43,0.293,105,16.560,18,-0.043,333
"Fox, Ryan",0.105,126,0.181,46,0.510,30,0.146,123,0.943,34,16.093,19,-0.115,428
"Vegas, Jhonattan",-0.164,325,-0.085,262,0.440,34,0.426,39,0.617,69,15.521,20,-0.040,327
"List, Luke",-0.491,421,0.034,146,0.579,22,0.765,4,0.886,39,15.415,21,-0.021,262
"Brehm, Ryan",-0.435,415,-0.328,416,-0.419,330,0.158,116,-1.024,332,15.277,22,-0.110,427
"Johnson, Dustin",0.134,106,0.151,68,0.671,10,0.495,25,1.451,13,15.056,23,-0.033,299
"Arnaus, Adri",0.274,48,-0.047,220,0.034,145,0.198,99,0.460,84,14.168,24,-0.065,377
"Mansell, Richard",-0.128,301,-0.249,387,-0.095,204,0.439,35,-0.033,158,13.721,25,-0.032,297
"Tarren, Callum",0.002,199,-0.089,267,0.076,125,0.075,150,0.065,147,13.566,26,-0.071,387
"Koepka, Brooks",0.119,118,-0.013,189,0.240,68,0.439,36,0.784,51,13.439,27,-0.051,352
"Zalatoris, Will",0.085,138,0.103,96,0.840,3,0.695,8,1.723,8,13.380,28,-0.027,281
"Shinkwin, Callum",-0.025,221,-0.284,402,-0.190,238,0.306,65,-0.193,192,13.363,29,-0.060,367
"Hojgaard, Rasmus",0.039,173,0.039,143,0.083,118,0.121,131,0.282,109,13.334,30,-0.062,369
"Kitayama, Kurt",-0.067,252,0.017,166,0.176,89,0.166,114,0.292,106,13.293,31,-0.067,380
"Scheffler, Scottie",0.268,50,0.268,13,0.974,1,0.727,6,2.236,1,12.600,32,0.023,117
"Reeves, Seth",-0.247,370,-0.265,394,-0.449,335,0.196,101,-0.765,296,12.545,33,-0.036,306
"Crocker, Sean",-0.473,420,-0.374,425,0.068,129,0.211,90,-0.569,259,12.500,34,-0.014,236
"Thomas, Justin",0.228,60,0.280,9,0.900,2,0.562,17,1.970,4,12.490,35,-0.035,302
"McCumber, Tyler",-0.250,372,-0.158,321,-0.344,297,-0.295,291,-1.048,339,12.475,36,-0.039,319
"Mitchell, Keith",0.372,17,0.034,144,0.074,128,0.541,20,1.021,33,12.415,37,0.001,184
"Thompson, Curtis",-0.069,253,-0.215,366,-0.476,341,-0.047,199,-0.807,301,11.656,38,-0.064,373
"Niemann, Joaquin",0.105,128,0.110,91,0.593,19,0.661,10,1.470,12,11.604,39,-0.022,267
"Barjon, Paul",-0.207,347,-0.407,432,-0.266,265,0.383,45,-0.497,246,11.180,40,-0.008,215
"Uihlein, Peter",0.046,168,0.077,113,-0.086,199,-0.152,238,-0.116,175,11.063,41,-0.136,433
"Detry, Thomas",0.173,86,-0.030,206,-0.108,208,0.158,117,0.193,119,10.786,42,-0.049,344
"Murray, Grayson",-0.534,425,-0.205,359,-0.025,176,0.173,110,-0.591,270,10.748,43,-0.084,406
