date,event_name,player_name,make_cut,first_round_lead,top_30,top_20,top_10,top_5,top_3,win,observed_finish
"Jul 17, 2022","The Open Championship","Els, Ernie",0.3908,0.002325,0.075525,0.03785,0.012125,0.00415,0.0018,0.000475,CUT
"Jul 17, 2022","The Open Championship","Katsuragawa, Yuto",0.360775,0.0013,0.063175,0.033125,0.0103,0.003875,0.002,0.0004,T47
"Jul 17, 2022","The Open Championship","Donaldson, Jamie",0.342125,0.002325,0.05425,0.02665,0.009175,0.00315,0.00175,0.0004,CUT
"Jul 17, 2022","The Open Championship","Norris, Shaun",0.35955,0.001875,0.06325,0.032025,0.0106,0.0037,0.00175,0.0004,CUT
"Jul 17, 2022","The Open Championship","Imahira, Shugo",0.34075,0.00135,0.055325,0.027825,0.008075,0.002575,0.001175,0.00035,CUT
"Jul 17, 2022","The Open Championship","Higa, Kazuki",0.386725,0.001825,0.073725,0.0389,0.012175,0.004375,0.0022,0.00035,CUT
"Jul 17, 2022","The Open Championship","Kim, Sihwan",0.350175,0.0021,0.0598,0.0292,0.00915,0.0033,0.00135,0.000275,CUT
"Jul 17, 2022","The Open Championship","Kim, Chan",0.3543,0.00185,0.06015,0.0304,0.009275,0.003,0.001325,0.000275,CUT
"Jul 17, 2022","The Open Championship","Van Meijel, Lars",0.30505,0.00075,0.041775,0.019825,0.005325,0.001775,0.00075,0.00025,T53
"Jul 17, 2022","The Open Championship","Migliozzi, Guido",0.3453,0.002075,0.0571,0.028675,0.009325,0.0029,0.001325,0.000225,CUT
"Jul 17, 2022","The Open Championship","Nakajima, Keita",0.34055,0.00125,0.0563,0.0291,0.0095,0.003475,0.0014,0.000225,CUT
"Jul 17, 2022","The Open Championship","Kaewkanjana, Sadom",0.32565,0.002075,0.0482,0.023525,0.006625,0.002,0.0009,0.000225,T11
"Jul 17, 2022","The Open Championship","Fernandez-Valdes, Jorge",0.252675,0.0007,0.026025,0.012175,0.00355,0.00095,0.0006,0.0002,CUT
"Jul 17, 2022","The Open Championship","Kennedy, Brad",0.318125,0.001475,0.0467,0.02245,0.0067,0.002225,0.001,0.0002,T53
"Jul 17, 2022","The Open Championship","Mickelson, Phil",0.313325,0.0015,0.0453,0.022125,0.006625,0.001975,0.00085,0.0002,CUT
"Jul 17, 2022","The Open Championship","Penge, Marco",0.28300000000000003,0.0014,0.03515,0.01605,0.00495,0.00165,0.000625,0.000175,CUT
"Jul 17, 2022","The Open Championship","Campbell, Ben",0.282525,0.001475,0.036475,0.017225,0.004825,0.0013,0.000575,0.00015,CUT
