"","G","G","G","G","G","G"
"1",23258445,23258449,23258456,23258458,23258489,23258508
"2",23258445,23258449,23258456,23258458,23258489,23258504
"3",23258445,23258449,23258456,23258462,23258489,23321384
"4",23258445,23258449,23258458,23258462,23258474,23258489
"5",23258445,23258449,23258456,23258458,23258489,23258523
"6",23258445,23258449,23258458,23258462,23258489,23321384
"7",23258445,23258449,23258456,23258458,23258489,23258512
"8",23258445,23258449,23258456,23258458,23258489,23258532
"9",23258445,23258449,23258456,23258458,23321384,23258521
"10",23258445,23258449,23258456,23258458,23321384,23258508
"11",23258445,23258449,23258456,23258462,23258489,23258506
"12",23258445,23258449,23258456,23258458,23321384,23258504
"13",23258445,23258449,23258456,23258462,23258484,23258489
"14",23258445,23258449,23258456,23258458,23258489,23258503
"15",23258445,23258449,23258457,23258458,23258489,23321384
"16",23258445,23258449,23258456,23258458,23258489,23258511
"17",23258445,23258449,23258456,23258458,23258489,23258505
"18",23258445,23258449,23258456,23258462,23258474,23321384
"19",23258445,23258449,23258458,23258462,23258489,23258493
"20",23258445,23258449,23258458,23258462,23258484,23258489
"21",23258445,23258449,23258456,23258458,23258506,23258521
"22",23258445,23258449,23258456,23258462,23258489,23258508
"23",23258445,23258449,23258456,23258458,23258484,23258521
"24",23258449,23258450,23258456,23258458,23258474,23258489
"25",23258447,23258450,23258451,23258462,23258489,23321384
"26",23258447,23258450,23258451,23258462,23258474,23258521
"27",23258447,23258450,23258457,23258462,23258474,23321384
"28",23258447,23258450,23258457,23258462,23258474,23258506
"29",23258447,23258450,23258457,23258462,23258474,23258484
"30",23258447,23258450,23258455,23258462,23258474,23258521
"31",23258447,23258450,23258451,23258462,23258493,23258521
"32",23258447,23258450,23258455,23258462,23258474,23258484
"33",23258443,23258447,23258450,23258474,23258506,23258508
"34",23258443,23258447,23258450,23258474,23258504,23258506
"35",23258447,23258450,23258451,23258465,23258474,23258506
"36",23258443,23258447,23258451,23258474,23258493,23258506
"37",23258447,23258450,23258451,23258465,23258474,23258504
"38",23258443,23258447,23258451,23258474,23258493,23258504
"39",23258440,23258447,23258457,23258474,23258504,23258506
"40",23258443,23258447,23258455,23258474,23258493,23258506
"41",23258443,23258447,23258451,23258484,23258493,23258506
"42",23258443,23258447,23258451,23258493,23258504,23258506
"43",23258443,23258447,23258451,23258483,23258484,23258506
"44",23258443,23258447,23258455,23258465,23258493,23258504
"45",23258440,23258447,23258455,23258493,23258495,23258504
"46",23258443,23258447,23258455,23258465,23258495,23258504
"47",23258440,23258443,23258465,23258483,23258488,23258504
"48",23258440,23258443,23258465,23258483,23258486,23258504
"49",23258443,23258452,23258455,23258460,23258483,23258504
"50",23258443,23258454,23258455,23258460,23258483,23258504
"51",23258440,23258443,23258465,23258483,23258488,23258495
"52",23258440,23258455,23258460,23258465,23258483,23258488
"53",23258440,23258443,23258455,23258483,23258511,23258536
"54",23258443,23258452,23258455,23258460,23258488,23258503
"55",23258443,23258454,23258455,23258460,23258488,23321377
"56",23258440,23258443,23258460,23258486,23258488,23258527
"57",23258440,23258443,23258475,23258481,23258486,23258488
"58",23258440,23258452,23258454,23258481,23258488,23258503
"59",23258440,23258452,23258454,23258481,23258488,23258511
"60",23258440,23258454,23258461,23258464,23258481,23321377
"61",23258440,23258448,23258454,23258481,23321378,23258511
"62",23258440,23258454,23258461,23258475,23258481,23258486
"63",23258440,23258448,23258454,23258481,23258505,23258511
"64",23258440,23258444,23258464,23258481,23258486,23258511
"65",23258439,23258454,23258464,23258475,23258481,23258486
"66",23258441,23258454,23258461,23258464,23258475,23258481
"67",23258439,23258444,23258464,23321381,23321377,23321378
"68",23258439,23258441,23258464,23321383,23258505,23258530
"69",23258439,23258441,23258464,23321381,23258515,23258530
"70",23258441,23258444,23258461,23258464,23258505,23258530
"71",23258439,23258444,23258464,23321381,23321383,23258515
"72",23258439,23258441,23258464,23258479,23258529,23258530
"73",23258439,23258441,23258464,23258478,23258522,23258529
"74",23258441,23258444,23258464,23258478,23258479,23321383
"75",23258439,23258444,23258464,23258478,23321383,23258530
"76",23258438,23258439,23258464,23258515,23258529,23258530
"77",23258441,23258444,23258461,23258464,23258500,23258529
"78",23258441,23258444,23258461,23258464,23258515,23258529
"79",23258439,23258441,23258464,23258479,23258516,23258530
"80",23258439,23258441,23258464,23258478,23258518,23258530
"81",23258441,23258444,23258464,23258478,23258479,23258498
"82",23258439,23258444,23258464,23258472,23258492,23258530
"83",23258439,23258444,23258464,23258478,23258498,23258510
"84",23258439,23258441,23258472,23258478,23258502,23258510
"85",23258439,23258441,23258472,23258478,23258502,23258514
"86",23258441,23258444,23258448,23258498,23258518,23258539
"87",23258439,23258441,23258470,23258496,23258498,23258502
"88",23258439,23258441,23258476,23258485,23258498,23258502
"89",23258439,23258441,23258480,23258485,23258498,23258502
"90",23258441,23258444,23258448,23258498,23258518,23258547
"91",23258438,23258444,23258466,23258480,23258485,23258518
"92",23258438,23258444,23258466,23258473,23258496,23258518
"93",23258438,23258444,23258448,23258509,23258541,23258546
"94",23258438,23258444,23258448,23258509,23258543,23258546
"95",23258438,23258444,23258466,23258473,23321376,23258509
"96",23258442,23258444,23258448,23321376,23258509,23258519
"97",23258438,23258444,23258466,23258480,23258501,23258509
"98",23258444,23258448,23258459,23258466,23258480,23258482
"99",23258444,23258448,23258459,23258473,23258480,23258482
"100",23258442,23258444,23258448,23258480,23258533,23258537
