team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TBL,2021,TBL,TBL,Team Level,other,20,0.38,0.41,0.41,3213.0,43.99,8.84,3.07,7.15,1.27,23.05,14.62,8.76,8.84,8.76,41.0,17.0,15.0,73.0,13.0,0.0,0.0,3.0,2.0,19.0,21.0,28.0,45.0,3.0,6.0,42.0,9.0,13.0,4.0,33.0,15.0,10.0,1.57,1.94,5.33,4.0,2.0,7.0,73.0,58.0,58.0,3.0,0.86,0.0,0.0,9.71,9.71,9.6,59.75,14.38,4.41,10.07,2.13,31.66,22.35,13.89,14.38,13.89,58.0,27.0,19.0,104.0,17.0,2.0,1.0,8.0,3.0,25.0,30.0,41.0,68.0,2.0,4.0,46.0,10.0,14.0,5.0,42.0,24.0,19.0,1.63,3.14,9.61,3.0,4.0,10.0,104.0,85.0,85.0,2.0,1.26,0.53,0.53,15.11,15.11,14.66
TBL,2021,TBL,TBL,Team Level,all,20,0.5,0.51,0.51,73850.0,615.05,59.5,43.95,133.04,19.26,342.54,245.71,58.05,59.98,58.52,593.0,251.0,234.0,1078.0,62.0,30.0,7.0,149.0,20.0,271.0,312.0,531.0,782.0,81.0,185.0,580.0,529.0,120.0,94.0,599.0,197.0,48.0,18.74,24.21,16.56,26.0,21.0,15.0,1093.03,844.0,851.72,57.0,9.62,6.35,6.35,62.77,63.3,62.16,581.49,60.68,40.97,124.46,18.09,320.62,234.18,59.11,60.82,59.26,588.0,211.0,251.0,1050.0,55.0,31.0,7.0,117.0,27.0,243.0,326.0,533.0,744.0,80.0,187.0,593.0,511.0,105.0,83.0,576.0,165.0,58.0,17.33,20.19,23.16,14.0,18.0,23.0,1042.27,799.0,796.66,53.0,9.1,7.57,7.57,62.21,62.36,61.37
TBL,2021,TBL,TBL,Team Level,5on5,20,0.53,0.52,0.53,58809.0,490.91,41.08,33.9,110.67,15.16,272.98,199.22,39.96,41.55,40.44,473.0,200.0,187.0,860.0,40.0,27.0,5.0,135.0,16.0,221.0,234.0,433.0,633.0,69.0,158.0,445.0,496.0,86.0,76.0,496.0,148.0,29.0,14.93,18.09,8.06,19.0,17.0,4.0,875.03,673.0,680.72,50.0,7.02,5.83,5.83,42.27,42.79,42.02,441.6,37.06,29.85,99.75,13.56,243.43,180.35,36.22,37.2,36.37,452.0,152.0,194.0,798.0,33.0,28.0,6.0,94.0,21.0,179.0,249.0,419.0,571.0,71.0,166.0,437.0,475.0,73.0,57.0,459.0,117.0,28.0,14.08,14.19,8.79,11.0,14.0,8.0,790.27,604.0,601.66,44.0,6.14,6.72,6.72,36.49,36.64,36.3
TBL,2021,TBL,TBL,Team Level,4on5,20,0.16,0.14,0.13,6062.0,10.25,1.34,0.56,1.38,0.33,3.33,7.06,1.34,1.34,1.34,13.0,1.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,14.0,6.0,15.0,46.0,20.0,17.0,3.0,9.0,3.0,2.0,0.19,0.39,0.76,0.0,0.0,0.0,21.0,14.0,14.0,3.0,0.13,0.0,0.0,1.47,1.47,1.47,64.46,7.19,5.8,12.64,1.98,40.97,21.43,6.96,7.19,6.96,61.0,29.0,35.0,125.0,5.0,1.0,0.0,12.0,3.0,37.0,32.0,56.0,85.0,6.0,15.0,59.0,11.0,6.0,16.0,63.0,19.0,8.0,1.15,2.18,3.87,0.0,0.0,5.0,125.0,90.0,90.0,2.0,1.48,0.32,0.32,8.35,8.35,8.17
TBL,2021,TBL,TBL,Team Level,5on4,20,0.8,0.84,0.83,5766.0,69.9,8.24,6.43,13.83,2.51,43.18,24.81,7.99,8.24,7.99,66.0,33.0,25.0,124.0,9.0,3.0,2.0,11.0,2.0,29.0,45.0,57.0,90.0,3.0,6.0,47.0,4.0,4.0,11.0,61.0,31.0,7.0,2.05,3.78,2.41,3.0,2.0,4.0,124.0,99.0,99.0,1.0,1.6,0.52,0.52,9.33,9.33,9.06,15.69,2.04,0.92,2.0,0.42,4.56,10.05,2.03,2.04,2.03,17.0,3.0,3.0,23.0,0.0,0.0,0.0,3.0,0.0,2.0,15.0,17.0,20.0,1.0,2.0,51.0,15.0,12.0,5.0,12.0,5.0,3.0,0.47,0.68,0.89,0.0,0.0,0.0,23.0,20.0,20.0,5.0,0.21,0.0,0.0,2.25,2.25,2.25
MTL,2021,MTL,MTL,Team Level,other,24,0.53,0.55,0.51,2831.0,35.74,9.0,2.47,5.93,1.06,17.55,11.99,8.76,9.0,8.76,40.0,8.0,23.0,71.0,9.0,2.0,0.0,8.0,2.0,14.0,13.0,31.0,39.0,2.0,4.0,33.0,8.0,4.0,9.0,21.0,13.0,14.0,0.6,1.46,6.94,0.0,1.0,8.0,71.0,48.0,48.0,6.0,0.71,0.37,0.37,9.33,9.33,9.1,31.35,7.94,2.12,5.75,1.43,16.33,11.5,7.84,7.94,7.84,38.0,8.0,12.0,58.0,12.0,2.0,0.0,10.0,0.0,13.0,9.0,26.0,34.0,3.0,6.0,36.0,6.0,1.0,6.0,21.0,14.0,11.0,0.84,1.86,5.24,2.0,3.0,7.0,58.0,46.0,46.0,2.0,0.6,0.09,0.09,8.39,8.39,8.27
MTL,2021,MTL,MTL,Team Level,all,24,0.45,0.49,0.47,86720.0,668.91,62.08,46.3,155.89,21.83,372.6,269.72,60.33,61.73,59.99,724.0,239.0,380.0,1343.0,55.0,47.0,6.0,174.0,14.0,299.0,374.0,669.0,908.0,84.0,183.0,661.0,630.0,111.0,241.0,752.0,156.0,55.0,23.05,19.29,19.75,20.0,17.0,18.0,1322.21,963.0,950.69,195.0,10.15,9.3,9.37,60.59,60.16,58.91,729.21,74.82,51.37,169.15,24.27,409.88,291.04,72.15,75.69,72.98,798.0,273.0,312.0,1383.0,85.0,66.0,11.0,175.0,22.0,356.0,367.0,713.0,986.0,80.0,176.0,713.0,498.0,118.0,289.0,798.0,197.0,76.0,24.57,24.34,25.9,27.0,25.0,33.0,1414.6,1071.0,1091.34,218.0,11.38,12.32,12.32,70.48,71.26,69.75
MTL,2021,MTL,MTL,Team Level,5on5,24,0.46,0.49,0.47,70663.0,534.08,43.9,35.52,128.12,17.34,296.6,218.6,42.72,43.55,42.38,576.0,194.0,305.0,1075.0,37.0,37.0,5.0,137.0,10.0,235.0,314.0,539.0,733.0,73.0,158.0,515.0,585.0,91.0,209.0,611.0,128.0,31.0,19.31,15.85,8.75,18.0,13.0,6.0,1054.21,770.0,757.69,174.0,7.32,7.3,7.37,41.9,41.47,40.68,573.49,50.92,38.8,137.41,18.76,323.33,236.1,48.99,51.8,49.82,625.0,228.0,251.0,1104.0,49.0,49.0,7.0,137.0,19.0,292.0,307.0,576.0,804.0,69.0,151.0,534.0,469.0,100.0,243.0,659.0,148.0,46.0,20.08,18.1,12.73,20.0,14.0,15.0,1135.6,853.0,873.34,197.0,8.04,9.95,9.95,45.82,46.58,45.78
MTL,2021,MTL,MTL,Team Level,4on5,24,0.06,0.11,0.13,6478.0,14.76,0.84,0.68,2.44,0.5,5.18,11.44,0.82,0.84,0.82,17.0,5.0,3.0,25.0,1.0,1.0,0.0,1.0,1.0,4.0,14.0,16.0,21.0,4.0,11.0,52.0,25.0,13.0,14.0,20.0,2.0,0.0,0.57,0.26,0.0,0.0,1.0,0.0,25.0,22.0,22.0,12.0,0.16,0.04,0.04,0.89,0.89,0.88,111.28,14.36,9.71,24.22,3.68,65.92,34.17,13.74,14.36,13.74,120.0,33.0,41.0,194.0,23.0,14.0,3.0,25.0,3.0,47.0,41.0,97.0,130.0,4.0,11.0,79.0,5.0,2.0,21.0,105.0,30.0,18.0,3.18,3.63,7.55,5.0,7.0,11.0,194.0,153.0,153.0,1.0,2.58,2.12,2.12,14.74,14.74,14.16
MTL,2021,MTL,MTL,Team Level,5on4,24,0.84,0.86,0.87,6748.0,84.34,8.35,7.63,19.41,2.93,53.27,27.69,8.03,8.35,8.03,91.0,32.0,49.0,172.0,8.0,7.0,1.0,28.0,1.0,46.0,33.0,83.0,115.0,5.0,10.0,61.0,12.0,3.0,9.0,100.0,13.0,10.0,2.56,1.72,4.06,2.0,2.0,4.0,172.0,123.0,123.0,3.0,1.96,1.59,1.59,8.46,8.46,8.25,13.09,1.59,0.74,1.77,0.4,4.29,9.28,1.58,1.59,1.58,15.0,4.0,8.0,27.0,1.0,1.0,1.0,3.0,0.0,4.0,10.0,14.0,18.0,4.0,8.0,64.0,18.0,15.0,19.0,13.0,5.0,1.0,0.48,0.74,0.38,0.0,1.0,0.0,27.0,19.0,19.0,18.0,0.16,0.15,0.15,1.54,1.54,1.53
