"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","244","20","0.36","67","1.52","66.5","5","Jordyn Brooks","263","16","0.36","88","1.7","57.2"
"Kyle Pitts","285","22","0.37","65","2.13","79.5","20","Adrian Phillips","287","8","0.13","58","0.35","79.3"
"Mark Andrews","309","21","0.43","73","2.02","89.6","15","Roquan Smith","278","14","0.18","74","0.77","53.7"
"Dawson Knox","204","13","0.4","81","1.49","67.6","-2","Darius Leonard","355","12","0.19","66","0.84","72.1"
"Ian Thomas","178","10","0.15","67","0.78","54.5","-24","Jamin Davis","162","12","0.25","85","1.04","38.4"
"Cole Kmet","226","19","0.25","67","1.26","63.2","-28","Chuck Clark","330","7","0.18","73","0.77","62.1"
"C.J. Uzomah","238","12","0.36","89","1.32","65.3","26","Cory Littleton","255","17","0.25","84","1.01","55.9"
"David Njoku","172","18","0.4","71","2.05","71.7","35","Alex Anzalone","263","11","0.18","79","0.78","36.3"
"Dalton Schultz","260","19","0.38","78","1.68","79.8","42","Anthony Hitchens","147","16","0.36","79","1.48","41.1"
"T.J. Hockenson","314","20","0.33","76","1.43","69","-26","Jeremiah Owusu-Koramoah","123","11","0.19","71","0.61","74.8"
"Marcedes Lewis","95","15","0.25","86","1.23","73.3","-9","Eric Kendricks","327","12","0.24","74","0.98","68"
"Jordan Akins","171","15","0.23","81","1.08","54.7","-21","Jayon Brown","119","10","0.24","83","1.1","51.3"
"Jack Doyle","185","15","0.25","63","0.9","70.6","-21","Matt Milano","223","14","0.17","69","0.74","70"
"Dan Arnold","226","21","0.33","72","1.77","64.5","-5","Azeez Al-Shaair","234","18","0.34","79","1.19","62"
"Travis Kelce","405","21","0.41","71","1.84","80.2","21","Micah Parsons","166","16","0.23","78","1.05","73.3"
"Jared Cook","255","17","0.28","65","1.25","62.9","12","Joe Schobert","243","12","0.2","70","0.93","63"
"Darren Waller","307","22","0.34","64","1.61","66.3","24","Logan Wilson","314","15","0.28","85","1.4","52.9"
"Mike Gesicki","343","20","0.32","66","1.54","72.6","35","C.J. Mosley","267","16","0.3","90","1.18","35.6"
"Tyler Conklin","250","19","0.35","74","1.41","65.5","14","Krys Barnes","116","17","0.35","90","1.47","47.7"
"Hunter Henry","243","17","0.45","74","1.45","72.4","44","Deion Jones","297","18","0.37","90","1.7","46.5"
"Adam Trautman","189","16","0.2","67","0.97","59.6","-30","T.J. Edwards","149","16","0.36","92","1.75","71.4"
"Evan Engram","208","16","0.29","79","1.08","55.4","3","Devin White","317","16","0.28","82","1.07","38.8"
"Ryan Griffin","189","14","0.17","58","0.63","46.3","-54","Brandon Jones","219","7","0.14","87","0.79","63.8"
"Dallas Goedert","200","18","0.42","78","2.14","87.6","-2","Demario Davis","282","13","0.18","68","0.74","73"
"Pat Freiermuth","193","21","0.43","78","1.43","73.2","12","Kyzir White","221","12","0.21","85","0.79","62"
"Gerald Everett","166","14","0.29","96","1.19","61.3","-7","Isaiah Simmons","303","16","0.24","77","1.14","51.6"
"George Kittle","168","25","0.48","71","2.25","86.8","32","Damien Wilson","223","17","0.34","85","1.7","52.8"
"O.J. Howard","107","17","0.29","72","1.17","48.4","-13","Reggie Ragland","138","13","0.21","83","0.99","60.4"
"Geoff Swaim","118","20","0.37","79","1.11","56.7","-19","Zach Cunningham","163","18","0.28","69","1.24","44.2"
"Ricky Seals-Jones","222","15","0.26","70","1.04","66.2","-18","Jermaine Carter","245","10","0.19","83","0.87","49.6"
