"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Tony Pollard","DAL","LA","RB","7500","21.3","3.5","22.9","24.0","30500573","9.7","35.2"
"Breece Hall","NYJ","NYG","RB","5900","17.7","3.1","28.6","44.0","30500591","7.0","30.8"
"Christian McCaffrey","SF","CIN","RB","9200","24.3","3.1","16.7","15.7","30500565","11.2","39.6"
"Alvin Kamara","NO","IND","RB","7300","19.8","2.4","24.0","29.9","30500575","8.9","32.9"
"Tyreek Hill","MIA","NE","WR","9500","24.1","2.3","14.0","12.0","30500861","9.6","40.8"
"Isiah Pacheco","KC","DEN","RB","6100","16.9","1.8","21.8","26.2","30500587","6.8","29.5"
"Falcons ","ATL","TEN","DST","2900","8.5","1.7","19.4","27.0","30501652","2.2","15.0"
"Ja'Marr Chase","CIN","SF","WR","8100","20.4","1.4","17.5","21.0","30500865","8.1","35.2"
"Brandon Aiyuk","SF","CIN","WR","7000","18.2","1.4","14.0","13.6","30500875","6.2","33.3"
"Jaguars ","JAX","PIT","DST","2800","7.9","1.3","8.5","10.0","30501653","2.2","14.8"
"Zay Flowers","BAL","ARI","WR","5600","15.3","1.2","21.7","26.6","30500903","5.2","28.6"
"Brock Purdy","SF","CIN","QB","5600","18.5","1.1","9.0","8.6","30500499","9.2","28.7"
"Eagles ","PHI","WAS","DST","4300","10.6","1.1","5.9","5.2","30501637","4.4","18.2"
"Trey McBride","ARI","BAL","TE","2800","9.6","1.0","23.2","32.0","30501401","2.6","18.5"
"Jonathan Taylor","IND","NO","RB","6200","16.2","1.0","18.0","17.0","30500585","6.3","28.5"
"Vikings ","MIN","GB","DST","2500","7.0","1.0","9.5","9.4","30501656","0.8","13.3"
"Seahawks ","SEA","CLE","DST","3400","8.8","1.0","10.0","10.2","30501646","2.5","15.0"
"Adam Thielen","CAR","HOU","WR","6600","17.0","0.9","11.9","12.0","30500881","6.5","30.2"
"T.J. Hockenson","MIN","GB","TE","6200","16.2","0.9","10.7","10.0","30501355","6.1","29.0"
"Bijan Robinson","ATL","TEN","RB","6000","15.7","0.8","10.0","9.0","30500589","6.2","27.4"
"Travis Etienne Jr.","JAX","PIT","RB","7200","18.0","0.8","12.0","12.0","30500577","7.7","30.8"
"Russell Wilson","DEN","KC","QB","5300","17.0","0.6","3.9","3.6","30500504","8.3","26.6"
"Tank Dell","HOU","CAR","WR","4900","13.3","0.6","15.5","17.0","30500929","3.7","25.9"
"A.J. Brown","PHI","WAS","WR","8000","19.4","0.6","17.0","18.0","30500867","7.0","35.1"
"Kenny Pickett","PIT","JAX","QB","4900","15.8","0.6","4.0","4.0","30500511","7.8","24.9"
"Browns ","CLE","SEA","DST","3000","7.6","0.6","5.1","3.1","30501650","1.7","14.9"
"Nico Collins","HOU","CAR","WR","5500","14.4","0.5","15.5","18.5","30500909","4.4","27.7"
"Jets ","NYJ","NYG","DST","4000","9.4","0.5","3.8","3.6","30501640","3.2","16.3"
"Evan Engram","JAX","PIT","TE","4500","12.3","0.4","12.8","12.0","30501363","4.3","22.7"
"Kendrick Bourne","NE","MIA","WR","4700","12.8","0.4","13.6","13.0","30500935","3.9","24.2"
"George Pickens","PIT","JAX","WR","5600","14.5","0.4","12.7","12.6","30500905","4.3","27.8"
"Packers ","GB","MIN","DST","2700","6.7","0.4","4.3","3.0","30501654","1.0","13.5"
"Dak Prescott","DAL","LA","QB","6100","19.1","0.3","9.0","10.5","30500494","10.2","29.2"
"Christian Kirk","JAX","PIT","WR","5900","14.9","0.2","11.9","12.2","30500897","4.8","28.0"
"Jalen Hurts","PHI","WAS","QB","8200","25.4","0.2","11.5","13.2","30500487","14.2","38.1"
"Bengals ","CIN","SF","DST","2200","5.6","0.2","7.9","8.0","30501659","0.0","12.4"
"Travis Kelce","KC","DEN","TE","8400","19.7","0.1","9.0","8.0","30501351","7.4","35.0"
"Steelers ","PIT","JAX","DST","2900","6.9","0.1","1.2","0.9","30501651","1.2","13.9"
"Jordan Addison","MIN","GB","WR","5700","14.3","0.0","12.0","12.0","30500901","4.4","27.2"
"Mac Jones","NE","MIA","QB","5000","15.5","0.0","2.0","2.3","30500510","7.6","24.5"
"D'Andre Swift","PHI","WAS","RB","6300","15.5","0.0","12.0","12.4","30500583","5.9","27.7"
