"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"Emmanuel Sanders","BUF","All Defenders","KC","26.52408258","51.57931589"
"Emmanuel Sanders","BUF","Mike Hughes","KC","11.20505675","22.84226847"
"Emmanuel Sanders","BUF","Charvarius Ward","KC","39.41626148","19.15803162"
"Emmanuel Sanders","BUF","L'Jarius Sneed","KC","29.32610154","9.579015809"
"Stefon Diggs","BUF","All Defenders","KC","78.38988048","55.42493588"
"Stefon Diggs","BUF","Mike Hughes","KC","77.14948656","19.94370078"
"Stefon Diggs","BUF","Charvarius Ward","KC","83.61893195","23.03574741"
"Stefon Diggs","BUF","L'Jarius Sneed","KC","65.588985","12.13628303"
"Cole Beasley","BUF","All Defenders","KC","43.86624286","47.31226464"
"Cole Beasley","BUF","Mike Hughes","KC","19.39677562","2.311943124"
"Cole Beasley","BUF","Charvarius Ward","KC","44.90718544","3.220206494"
"Cole Beasley","BUF","L'Jarius Sneed","KC","33.8307329","41.44983744"
"Ja'Marr Chase","CIN","All Defenders","TEN","84.39393939","55.86598125"
"Ja'Marr Chase","CIN","Kristian Fulton","TEN","94.4467713","18.62199375"
"Ja'Marr Chase","CIN","Jackrabbit Jenkins","TEN","93.16338759","27.90150327"
"Ja'Marr Chase","CIN","Elijah Molden","TEN","72.83314295","9.125949419"
"Tee Higgins","CIN","All Defenders","TEN","79.39393939","61.90788036"
"Tee Higgins","CIN","Kristian Fulton","TEN","93.63360333","31.88377221"
"Tee Higgins","CIN","Jackrabbit Jenkins","TEN","79.21228349","21.2931563"
"Tee Higgins","CIN","Elijah Molden","TEN","61.38796879","8.238054715"
"Tyler Boyd","CIN","All Defenders","TEN","52.39393939","58.65475926"
"Tyler Boyd","CIN","Kristian Fulton","TEN","61.93309563","8.154541674"
"Tyler Boyd","CIN","Jackrabbit Jenkins","TEN","57.96337589","7.858803392"
"Tyler Boyd","CIN","Elijah Molden","TEN","43.95583965","42.64141419"
"Marquez Valdes-Scantling","GB","All Defenders","SF","35.9553633","45.32784967"
