"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"Tyreek Hill","MIA","LV","WR","9300","23.7","2.3","23.4","29.2","30955739","9.4","40.6"
"CeeDee Lamb","DAL","CAR","WR","9200","21.9","0.7","6.1","6.2","30955741","8.7","37.6"
"Amon-Ra St. Brown","DET","CHI","WR","8800","21.6","1.2","12.1","16.3","30955747","9.1","36.8"
"Keenan Allen","LAC","GB","WR","9000","20.4","-0.4","6.9","6.6","30955745","8.4","35.1"
"Cooper Kupp","LA","SEA","WR","8100","19.9","0.9","11.2","9.1","30955749","7.7","34.9"
"Stefon Diggs","BUF","NYJ","WR","9100","18.7","-2.3","0.5","0.5","30955743","7.2","33.2"
"Puka Nacua","LA","SEA","WR","7100","17.1","0.0","9.8","7.9","30955761","6.4","30.7"
"Tank Dell","HOU","ARI","WR","5900","16.6","1.9","26.4","31.4","30955783","5.2","31.0"
"Jaylen Waddle","MIA","LV","WR","7600","16.2","-1.8","3.4","2.0","30955753","5.2","30.6"
"Brandon Aiyuk","SF","TB","WR","7200","16.0","-1.3","3.5","1.4","30955759","4.6","30.6"
"Christian Kirk","JAX","TEN","WR","6000","15.7","0.8","11.8","12.4","30955781","5.1","29.2"
"Garrett Wilson","NYJ","BUF","WR","6400","15.7","0.1","15.8","14.8","30955771","5.8","28.2"
"Davante Adams","LV","MIA","WR","7900","15.6","-3.1","1.1","0.5","30955751","5.5","28.7"
"Deebo Samuel","SF","TB","WR","6300","15.2","-0.3","5.3","3.9","30955773","5.0","28.4"
"Mike Evans","TB","SF","WR","7400","15.1","-2.5","1.3","0.5","30955757","4.5","28.9"
"DK Metcalf","SEA","LA","WR","6900","14.9","-1.7","3.8","1.4","30955763","4.6","28.5"
"Adam Thielen","CAR","DAL","WR","7500","14.6","-3.2","0.5","0.5","30955755","5.5","26.2"
"Marquise Brown","ARI","HOU","WR","5300","14.4","0.9","19.2","22.6","30955793","4.7","27.0"
"Tyler Lockett","SEA","LA","WR","6500","14.3","-1.5","9.5","5.8","30955769","4.5","27.2"
"Nico Collins","HOU","ARI","WR","6700","14.2","-2.1","3.0","1.4","30955765","4.0","27.5"
"DJ Moore","CHI","DET","WR","5600","13.9","-0.2","15.3","20.8","30955787","4.0","26.9"
"Terry McLaurin","WAS","NYG","WR","5800","13.9","-0.6","12.1","12.3","30955785","4.0","26.6"
"DeAndre Hopkins","TEN","JAX","WR","6100","13.6","-1.5","6.6","4.8","30955779","4.1","25.9"
"Calvin Ridley","JAX","TEN","WR","5400","13.0","-0.7","10.8","9.4","30955791","3.6","25.4"
"Chris Godwin","TB","SF","WR","6600","12.2","-3.8","0.5","0.5","30955767","4.0","22.5"
"Amari Cooper","CLE","PIT","WR","6200","11.3","-4.0","0.5","0.5","30955775","2.7","22.6"
"Diontae Johnson","PIT","CLE","WR","5000","10.5","-2.4","4.5","4.4","30955799","3.0","20.0"
"Jahan Dotson","WAS","NYG","WR","5100","10.5","-2.6","0.9","0.6","30955797","2.2","21.5"
"Christian Watson","GB","LAC","WR","4600","10.4","-1.7","4.6","2.4","30955807","2.0","21.7"
"Michael Wilson","ARI","HOU","WR","3400","10.3","0.5","20.8","25.1","30955835","2.1","21.1"
"Robert Woods","HOU","ARI","WR","3700","10.2","-0.1","12.1","13.7","30955821","2.7","20.0"
"Curtis Samuel","WAS","NYG","WR","3600","10.0","-0.2","5.6","6.3","30955825","2.7","19.4"
"Gabe Davis","BUF","NYJ","WR","5500","9.9","-4.0","0.5","0.5","30955789","1.9","20.7"
"Jakobi Meyers","LV","MIA","WR","6100","9.8","-5.3","0.5","0.5","30955777","2.5","19.1"
"Rondale Moore","ARI","HOU","WR","3300","9.5","-0.1","16.3","20.9","30955849","2.8","17.9"
"Brandin Cooks","DAL","CAR","WR","4700","9.5","-2.8","0.5","0.5","30955805","2.0","19.6"
"Romeo Doubs","GB","LAC","WR","5200","9.5","-3.8","0.5","0.5","30955795","2.1","19.3"
"Jaxon Smith-Njigba","SEA","LA","WR","4300","8.9","-2.6","7.6","6.4","30955809","2.2","17.8"
"George Pickens","PIT","CLE","WR","4900","8.6","-4.1","0.5","0.5","30955801","1.3","18.3"
"Jayden Reed","GB","LAC","WR","4000","8.2","-2.7","2.2","2.4","30955815","1.3","17.7"
"Tutu Atwell","LA","SEA","WR","3900","7.9","-2.9","1.0","0.5","30955817","1.2","17.0"
"Jalen Guyton","LAC","GB","WR","3300","7.7","-1.8","5.8","4.5","30955851","1.1","16.8"
"Quentin Johnston","LAC","GB","WR","4200","7.6","-3.7","2.2","0.8","30955811","1.4","16.2"
"Allen Lazard","NYJ","BUF","WR","3500","7.5","-2.5","0.6","0.5","30955833","1.2","15.9"
"DJ Chark Jr.","CAR","DAL","WR","3300","7.3","-2.3","1.1","0.7","30955847","1.1","15.6"
"Elijah Moore","CLE","PIT","WR","3500","7.3","-2.7","2.9","1.7","30955829","1.3","15.2"
"Wan'Dale Robinson","NYG","WAS","WR","3500","7.3","-2.7","1.0","0.5","30955831","1.6","14.5"
"Josh Reynolds","DET","CHI","WR","3700","7.2","-3.1","0.5","0.5","30955823","1.0","16.2"
"Jonathan Mingo","CAR","DAL","WR","3400","7.0","-2.8","2.4","1.4","30955839","1.2","14.4"
"Darnell Mooney","CHI","DET","WR","3300","7.0","-2.6","3.8","2.2","30955845","1.0","15.1"
"Darius Slayton","NYG","WAS","WR","3200","6.9","-2.4","0.3","0.3","30955853","1.0","14.8"
"Trey Palmer","TB","SF","WR","3000","6.8","-2.1","1.3","0.9","30955869","1.1","14.5"
"Khalil Shakir","BUF","NYJ","WR","3200","6.7","-2.7","2.1","0.6","30955859","0.9","14.5"
"Jalin Hyatt","NYG","WAS","WR","3000","6.3","-2.7","1.3","0.9","30955887","0.4","14.7"
"Jameson Williams","DET","CHI","WR","3300","5.9","-3.6","0.3","0.3","30955843","0.3","14.3"
