team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2021,NYR,NYR,Team Level,other,64,0.66,0.51,0.54,8313.0,120.79,28.41,8.3,22.02,3.89,60.92,41.45,25.79,28.41,25.79,127.0,38.0,32.0,197.0,25.0,13.0,3.0,21.0,7.0,47.0,52.0,102.0,140.0,3.0,6.0,93.0,28.0,23.0,21.0,83.0,42.0,40.0,3.32,5.14,19.96,4.0,4.0,17.0,197.0,165.0,165.0,10.0,2.36,5.19,5.19,25.58,25.58,24.47,99.86,14.36,7.47,18.53,3.35,56.04,38.24,13.67,14.36,13.67,106.0,32.0,52.0,190.0,14.0,4.0,2.0,11.0,5.0,45.0,59.0,92.0,124.0,7.0,14.0,90.0,19.0,24.0,18.0,81.0,38.0,19.0,3.22,4.5,6.63,4.0,3.0,7.0,190.0,138.0,138.0,6.0,2.05,1.43,1.43,14.98,14.98,14.46
NYR,2021,NYR,NYR,Team Level,all,64,0.49,0.46,0.47,232930.0,1824.77,182.8,126.83,414.25,59.23,1017.25,730.63,173.68,183.5,174.38,1838.0,693.0,740.0,3271.0,189.0,154.0,38.0,434.0,67.0,753.0,934.0,1649.0,2342.0,231.0,513.0,1610.0,1684.0,481.0,535.0,1864.0,471.0,196.0,51.38,56.16,75.26,62.0,57.0,70.0,3284.21,2531.0,2544.32,290.0,28.06,38.81,38.81,172.04,172.82,167.65,2053.24,186.87,145.02,468.32,67.05,1156.67,837.08,179.14,186.14,178.47,2060.0,801.0,956.0,3817.0,165.0,175.0,35.0,403.0,61.0,936.0,1121.0,1895.0,2696.0,215.0,485.0,1778.0,1375.0,450.0,528.0,2115.0,564.0,182.0,61.23,69.37,56.26,57.0,52.0,56.0,3807.04,2861.0,2850.32,275.0,31.67,35.16,35.24,183.31,182.54,178.04
NYR,2021,NYR,NYR,Team Level,5on5,64,0.46,0.45,0.46,190852.0,1379.72,114.05,92.03,327.26,44.71,769.23,567.71,110.29,114.75,111.0,1398.0,517.0,604.0,2519.0,116.0,109.0,26.0,355.0,46.0,554.0,735.0,1282.0,1799.0,211.0,470.0,1233.0,1570.0,395.0,425.0,1449.0,362.0,104.0,40.16,43.62,30.27,50.0,42.0,24.0,2532.21,1915.0,1928.33,240.0,18.96,26.15,26.15,106.86,107.64,105.94,1628.9,135.5,109.93,384.42,53.11,907.05,673.0,130.85,134.76,130.18,1622.0,641.0,768.0,3031.0,118.0,139.0,29.0,329.0,45.0,723.0,909.0,1504.0,2145.0,191.0,434.0,1356.0,1292.0,377.0,445.0,1699.0,447.0,117.0,49.02,55.13,31.34,44.0,44.0,30.0,3021.04,2263.0,2252.32,236.0,22.66,27.38,27.46,130.71,129.95,127.85
NYR,2021,NYR,NYR,Team Level,4on5,64,0.11,0.12,0.14,17683.0,47.34,4.34,2.51,6.7,1.38,14.94,33.15,4.28,4.34,4.28,48.0,15.0,6.0,69.0,5.0,3.0,0.0,5.0,1.0,8.0,41.0,43.0,58.0,5.0,10.0,132.0,71.0,41.0,37.0,42.0,15.0,6.0,1.29,1.59,1.45,1.0,2.0,2.0,69.0,63.0,63.0,35.0,0.57,0.22,0.22,4.68,4.68,4.67,281.97,33.59,25.65,59.43,9.35,180.18,94.81,31.21,33.59,31.21,291.0,112.0,128.0,531.0,31.0,30.0,4.0,62.0,10.0,158.0,112.0,260.0,372.0,12.0,24.0,195.0,19.0,14.0,36.0,290.0,71.0,42.0,7.7,8.66,17.24,8.0,5.0,18.0,531.0,403.0,403.0,6.0,6.49,6.29,6.29,33.8,33.8,31.92
NYR,2021,NYR,NYR,Team Level,5on4,64,0.91,0.88,0.87,16082.0,276.92,36.0,23.99,58.27,9.25,172.15,88.33,33.32,36.0,33.32,265.0,123.0,98.0,486.0,43.0,29.0,9.0,53.0,13.0,144.0,106.0,222.0,345.0,12.0,27.0,152.0,15.0,22.0,52.0,290.0,52.0,46.0,6.62,5.8,23.58,7.0,9.0,27.0,486.0,388.0,388.0,5.0,6.16,7.24,7.24,34.92,34.92,32.57,42.52,3.42,1.96,5.94,1.24,13.4,31.03,3.42,3.42,3.42,41.0,16.0,8.0,65.0,2.0,2.0,0.0,1.0,1.0,10.0,41.0,39.0,55.0,5.0,13.0,137.0,45.0,35.0,29.0,45.0,8.0,4.0,1.28,1.08,1.06,1.0,0.0,1.0,65.0,57.0,57.0,27.0,0.46,0.06,0.06,3.82,3.82,3.81
CGY,2021,CGY,CGY,Team Level,other,63,0.52,0.5,0.49,6691.0,87.78,20.08,6.36,14.44,2.76,47.84,32.51,18.92,20.08,18.92,91.0,33.0,36.0,160.0,24.0,4.0,1.0,21.0,5.0,42.0,28.0,67.0,100.0,4.0,8.0,89.0,24.0,15.0,23.0,65.0,34.0,25.0,2.47,4.09,13.51,1.0,7.0,16.0,160.0,124.0,124.0,12.0,1.74,0.75,0.75,21.07,21.07,19.93,92.78,18.56,6.26,17.89,3.18,48.38,34.74,18.02,18.56,18.02,96.0,33.0,29.0,158.0,19.0,7.0,3.0,24.0,4.0,28.0,47.0,77.0,110.0,3.0,6.0,90.0,16.0,11.0,21.0,75.0,28.0,26.0,2.81,3.54,12.2,4.0,2.0,13.0,158.0,129.0,129.0,12.0,1.76,2.38,2.38,17.93,17.93,17.47
CGY,2021,CGY,CGY,Team Level,all,63,0.56,0.55,0.55,228808.0,2214.13,203.22,151.79,511.4,73.09,1245.35,907.2,194.85,206.41,197.97,2255.0,838.0,928.0,4021.0,216.0,167.0,30.0,559.0,76.0,908.0,1167.0,2039.0,2877.0,227.0,520.0,1889.0,1391.0,472.0,677.0,2299.0,620.0,174.0,64.58,74.26,64.39,67.0,88.0,61.0,4132.39,3093.0,3162.18,353.0,33.09,34.36,34.47,201.76,204.97,199.7,1824.84,157.83,123.04,427.67,60.56,1015.58,753.32,152.85,156.09,151.13,1851.0,687.0,757.0,3295.0,153.0,123.0,22.0,473.0,70.0,738.0,981.0,1698.0,2385.0,228.0,507.0,1797.0,1278.0,486.0,615.0,1939.0,456.0,143.0,54.94,55.47,47.43,55.0,53.0,45.0,3226.95,2538.0,2493.63,350.0,26.86,25.89,26.11,158.58,156.67,153.29
CGY,2021,CGY,CGY,Team Level,5on5,63,0.56,0.55,0.55,186361.0,1785.79,142.7,116.85,430.84,59.17,1005.08,742.42,137.93,145.88,141.04,1803.0,695.0,759.0,3257.0,146.0,129.0,16.0,462.0,50.0,711.0,1000.0,1657.0,2352.0,209.0,481.0,1474.0,1306.0,389.0,575.0,1900.0,495.0,103.0,54.06,59.21,29.42,63.0,64.0,19.0,3368.38,2498.0,2567.18,306.0,24.02,24.45,24.57,142.09,145.3,143.14,1450.82,111.58,94.03,351.39,47.81,806.48,604.7,108.77,109.84,107.05,1456.0,560.0,599.0,2615.0,106.0,95.0,17.0,386.0,54.0,592.0,783.0,1350.0,1910.0,203.0,456.0,1375.0,1201.0,407.0,513.0,1577.0,354.0,85.0,44.57,43.02,24.0,42.0,44.0,20.0,2546.95,2016.0,1971.63,307.0,19.34,19.16,19.39,111.54,109.63,108.19
CGY,2021,CGY,CGY,Team Level,4on5,63,0.2,0.17,0.2,18867.0,58.72,5.68,3.14,7.76,1.8,19.21,42.4,5.48,5.68,5.48,62.0,18.0,11.0,91.0,6.0,4.0,1.0,6.0,2.0,17.0,45.0,56.0,74.0,6.0,17.0,151.0,42.0,51.0,34.0,48.0,27.0,5.0,1.17,3.18,1.33,1.0,4.0,1.0,91.0,80.0,80.0,31.0,0.7,0.93,0.93,5.46,5.46,5.41,227.8,22.71,19.99,50.35,7.82,143.01,75.12,21.15,22.71,21.15,239.0,80.0,115.0,434.0,25.0,20.0,2.0,62.0,10.0,110.0,92.0,214.0,294.0,15.0,31.0,189.0,20.0,16.0,53.0,231.0,63.0,25.0,6.12,7.47,9.11,9.0,6.0,10.0,434.0,319.0,319.0,5.0,5.12,3.96,3.96,23.86,23.86,22.41
CGY,2021,CGY,CGY,Team Level,5on4,63,0.87,0.85,0.84,16889.0,281.85,34.77,25.43,58.36,9.35,173.22,89.87,32.53,34.77,32.53,299.0,92.0,122.0,513.0,40.0,30.0,12.0,70.0,19.0,138.0,94.0,259.0,351.0,8.0,14.0,175.0,19.0,17.0,45.0,286.0,64.0,41.0,6.87,7.78,20.12,2.0,13.0,25.0,513.0,391.0,391.0,4.0,6.62,8.24,8.24,33.15,33.15,31.22,53.44,4.98,2.76,8.05,1.74,17.71,38.75,4.92,4.98,4.92,60.0,14.0,14.0,88.0,3.0,1.0,0.0,1.0,2.0,8.0,59.0,57.0,71.0,7.0,14.0,143.0,41.0,52.0,28.0,56.0,11.0,7.0,1.43,1.44,2.11,0.0,1.0,2.0,88.0,74.0,74.0,26.0,0.64,0.38,0.38,5.23,5.23,5.21
