"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"fa2fcc47-5a09-458e-82b6-656b030ad88a","Jonathan","Taylor","1.5","282.7","RB1","RB","Indianapolis Colts",,
"715fd9c0-eb4b-494a-ac9f-d5c53579db72","Christian","McCaffrey","1.8","270.3","RB2","RB","Carolina Panthers",,
"62154a84-9ad4-41f8-b3f3-23801013ebc8","Justin","Jefferson","3.4","266.5","WR1","WR","Minnesota Vikings",,
"70580da9-7858-462f-a1fd-4ff47a7b1172","Cooper","Kupp","4.3","330.1","WR2","WR","Los Angeles Rams",,
"40f907c8-711d-4f93-93f7-e268d966fe42","Austin","Ekeler","5.5","260.0","RB3","RB","Los Angeles Chargers",,
"6022e5bc-a85c-471a-b78b-a66066f24ce4","Ja'Marr","Chase","5.9","276.2","WR3","WR","Cincinnati Bengals",,
"69687967-146f-40b7-9dc9-851995c3f4ac","Derrick","Henry","7.3","232.2","RB4","RB","Tennessee Titans",,
"f40693b0-68e6-4360-b90c-b55bc425147b","Dalvin","Cook","8.2","248.6","RB5","RB","Minnesota Vikings",,
"ca6b7b2f-cdba-40cd-86ec-851629b8890b","Stefon","Diggs","9.1","235.9","WR4","WR","Buffalo Bills",,
"afce47e8-89bb-48d5-bc3a-5fc67a0ce50b","Davante","Adams","10.9","247.7","WR5","WR","Las Vegas Raiders",,
"f015ede6-d975-495c-ac72-4e01ec70fee8","Najee","Harris","12.1","221.6","RB6","RB","Pittsburgh Steelers",,
"72a1b950-f005-419c-b67f-08d7f7f5df27","Joe","Mixon","13.2","248.5","RB7","RB","Cincinnati Bengals",,
"ff866ea0-6a39-4843-8a53-523c7b6e16e3","Travis","Kelce","13.2","232.3","TE1","TE","Kansas City Chiefs",,
"9dff7e14-719a-417f-a067-a35510cbef92","Saquon","Barkley","14.0","157.9","RB8","RB","NY Giants",,
"0424f7b7-948a-4e64-a462-1915a53c51e6","Alvin","Kamara","15.3","218.8","RB9","RB","New Orleans Saints",,
"fce90658-25d8-4bc2-aec4-242a8784e910","CeeDee","Lamb","15.4","215.2","WR6","WR","Dallas Cowboys",,
"eddbec45-5a29-4976-af96-176858468bcb","D'Andre","Swift","16.1","203.9","RB10","RB","Detroit Lions",,
"1fe3abfa-791d-4477-800e-d08243134ce7","Aaron","Jones","18.4","175.5","RB11","RB","Green Bay Packers",,
"032962ab-fc10-45ea-92c4-24f0ae80de63","Javonte","Williams","20.0","208.4","RB12","RB","Denver Broncos",,
"7fde70e8-ab8e-4064-99fb-3ddd88e5dc9f","Deebo","Samuel","20.2","248.1","WR7","WR","San Francisco 49ers",,
"2cd9ecbb-3f8a-4dda-b918-10163b9bf749","Mark","Andrews","21.6","211.0","TE2","TE","Baltimore Ravens",,
"f76e9085-98bd-4a81-ab2c-aaf7310d9a6d","Tyreek","Hill","22.5","216.8","WR8","WR","Miami Dolphins",,
"8be0f709-c335-4e99-aca6-a2a6e9eae205","Leonard","Fournette","24.0","187.2","RB13","RB","Tampa Bay Buccaneers",,
"fb9af657-c47a-4d72-8146-20b8bd6e5f49","Mike","Evans","24.2","209.8","WR9","WR","Tampa Bay Buccaneers",,
"03f17ad2-f686-42e3-bc73-343f72f24d01","A.J.","Brown","25.5","224.8","WR10","WR","Philadelphia Eagles",,
"8d9ff2b9-d63f-4645-84c8-e5e05413b93e","Nick","Chubb","26.6","217.3","RB14","RB","Cleveland Browns",,
"fde04e99-8c3e-46e1-8540-2e1d83e5dce3","Kyle","Pitts","27.0","150.7","TE3","TE","Atlanta Falcons",,
"aa962038-90f9-43d6-9b87-b49999168b25","Michael","Pittman","27.0","175.3","WR11","WR","Indianapolis Colts",,
"aa6f212c-a39b-441d-b9ed-4c4f76a9e718","Tee","Higgins","29.2","191.4","WR12","WR","Cincinnati Bengals",,
"a02e9e01-0185-4a4b-a692-cdd006d9ddf0","Josh","Allen","30.1","417.2","QB1","QB","Buffalo Bills",,
"91372bfe-bbe8-4435-90ed-bbc90c4461b9","Mike","Williams","31.8","133.1","WR13","WR","Los Angeles Chargers",,
"319fcf5c-6a5f-4598-93da-1f287ce6ba54","Keenan","Allen","32.2","199.0","WR14","WR","Los Angeles Chargers",,
"74bdf837-4480-49f7-b623-8420b98cd303","DJ","Moore","33.2","195.5","WR15","WR","Carolina Panthers",,
"84bd4702-cdd6-4049-a61d-c8058d8ed2e9","Courtland","Sutton","33.2","150.7","WR15","WR","Denver Broncos",,
"4a165d4b-b5f1-4d10-863f-4df84cd90fd2","James","Conner","34.2","210.5","RB15","RB","Arizona Cardinals",,
"82cf78e8-a308-4394-8788-e4dea7f10430","Travis","Etienne","36.1","129.9","RB16","RB","Jacksonville Jaguars",,
"5c9f516c-4bf7-40b2-b9e1-50675a5b8988","Jaylen","Waddle","39.2","178.8","WR17","WR","Miami Dolphins",,
"9479a38d-5400-43b0-9b1d-ce6fa16289a4","Gabe","Davis","39.4","124.6","WR18","WR","Buffalo Bills",,
"53e0b811-7f47-40e9-8b6b-91311efd69b7","Allen","Robinson","39.7","173.6","WR19","WR","Los Angeles Rams",,
"d014ebbf-3fb8-4c05-8526-8c1de9009261","Ezekiel","Elliott","40.9","181.8","RB17","RB","Dallas Cowboys",,
"6a60f97f-e16f-44dd-bcc1-da885f8ae2b0","Marquise","Brown","42.0","146.6","WR20","WR","Arizona Cardinals",,
"cd07ea39-bbc8-40f5-a61e-d16963f518a3","Justin","Herbert","42.7","378.6","QB2","QB","Los Angeles Chargers",,
