"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"54","Adam Svensson",28153699,6900,63.37,55.55,7.3,79.5,26,55.6,2.2,57.8,0.35,5.69,0.19,68,0.013,164,0.172,90,0.107,110,0.482,78,-4.864,295,0.04,75,0.604,29,0.012,-0.021,-0.027,-0.085,-0.011,0.038,0.075,0.017,0.13,0.602,0.6183,0.16,0.0704,0.0307,0.0045,0.65,0.14,6.5,56.67,-0.02,-0.02,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"55","Eric Cole",28153700,6900,57.57,56.89,4.5,79.85,26,51.7,1.8,53.5,-0.05,2.91,0.123,95,0.182,45,0.216,74,-0.07,174,0.45,85,-1.366,224,-0.053,353,0.532,34,-0.008,0.021,-0.022,-0.073,-0.06,0.011,-0.101,0.023,-0.066,0.324,0.5726,0.1212,0.0489,0.0198,0.0026,0.38,-0.13,3.7,55.2,-0.16,-0.79,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"56","Joseph Bramlett",28153701,6900,61.85,52.72,1.7,77.5,25,51.3,1.7,53,-0.07,0.6,-0.234,340,0.068,111,0.393,39,0.346,53,0.573,68,15.784,15,-0.057,361,0.393,35,-0.009,0.036,-0.018,0.171,-0.036,-0.12,-0.107,0.013,-0.214,0.323,0.5652,0.1133,0.0441,0.0176,0.002,0.29,-0.22,1.15,52.86,-0.38,-1.82,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"57","Lucas Herbert",28153702,6800,59.08,45.97,2.2,73,23,55.8,2.3,58.2,0.45,2.34,0.377,24,0.026,154,-0.003,150,0.321,60,0.721,54,8.068,72,-0.047,337,0.471,27,0.019,0.083,0.012,0.136,0.035,-0.061,-0.089,0.013,-0.137,0.619,0.6255,0.1629,0.0723,0.0321,0.0047,0.69,0.22,2.27,52.08,-0.6,-2.59,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"58","Adam Schenk",28153703,6800,55.13,52.75,3,77.5,24.5,53.6,2.1,55.7,0.2,3.3,0.214,60,0.033,149,0.146,97,0.084,118,0.478,80,6.212,96,-0.015,244,0.507,31,0.005,0.063,-0.05,-0.047,0.025,-0.047,-0.029,0.016,-0.06,0.443,0.5885,0.137,0.0582,0.0243,0.0026,0.38,-0.09,3.15,54.23,-0.26,-1.22,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"59","Alex Smalley",28153704,6800,57.48,53.5,2.9,78.5,25.5,56.6,2.4,59,0.53,2.96,-0.155,287,0.025,156,0.45,33,0.382,45,0.702,56,6.451,94,0.025,112,0.499,26,0.022,0.069,-0.022,0.133,-0.035,-0.049,0.047,0.018,0.017,0.683,0.639,0.1742,0.0781,0.0349,0.0045,0.66,0.19,2.93,56.25,0.16,0.82,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"60","J.J. Spaun",28153705,6800,57.97,52.35,0.7,77.5,24.5,55.7,2.4,58.1,0.44,1.63,0.012,178,0.074,109,0.335,52,0.107,111,0.528,73,-1.39,226,0.044,72,0.512,32,0,0.009,0.009,-0.001,-0.018,0.011,0.083,0.021,0.115,0.625,0.6198,0.1626,0.0716,0.0304,0.0041,0.6,0.13,1.17,55.23,0.38,1.78,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"61","J.T. Poston",28153706,6800,54.56,55.05,1.1,79,25,55.4,2.4,57.7,0.41,1.49,0.169,77,0.096,87,0.18,85,0.113,108,0.558,70,-1.842,233,0.02,124,0.516,30,0.01,-0.029,0,0.061,-0.006,0.015,0.038,0.019,0.072,0.624,0.6241,0.1623,0.07,0.0303,0.0043,0.63,0.16,1.29,56.38,0.18,0.89,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"62","Kevin Streelman",28153707,6700,50.85,53.16,5.3,77.5,24.65,52.6,1.9,54.5,0.15,4.68,-0.037,211,0.121,71,0.028,136,-0.051,167,0.061,134,-4.585,292,0.038,79,0.321,44,-0.043,-0.088,0.002,-0.132,0.221,0.036,0.072,0.004,0.113,0.394,0.5868,0.128,0.0527,0.0213,0.0024,0.36,-0.06,4.99,53.83,0.1,0.42,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"63","Will Gordon",28153708,6700,65.65,49.43,1.5,75,24,51.1,1.6,52.7,-0.01,0.78,-0.017,197,-0.203,339,0.219,71,0.355,50,0.354,95,13.509,24,0.005,172,0.192,26,0.021,0.057,-0.01,0.094,-0.06,-0.103,0.01,0.002,-0.091,0.203,0.5434,0.106,0.0426,0.0163,0.0016,0.24,-0.18,1.14,51.06,-0.96,-4.41,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"64","Brendon Todd",28153709,6700,62.75,51.36,4.5,76.5,24.5,55.5,2.4,57.9,0.49,4.7,0.442,16,0.332,2,0.015,145,-0.485,316,0.304,101,-17.335,404,0.086,13,0.681,37,-0.019,-0.146,0.011,-0.224,0.044,0.133,0.162,0.03,0.326,0.674,0.6296,0.1701,0.0743,0.0315,0.0046,0.69,0.27,4.6,54.63,1.48,6.8,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"65","Garrick Higgo",28153710,6700,53.82,47.86,0.8,74,24,49,1.5,50.5,-0.13,0.72,-0.134,268,-0.061,225,-0.101,184,0.466,30,0.17,121,8.321,69,-0.018,253,-0.288,24,0.031,0.074,0.054,0.299,0.023,-0.063,-0.033,-0.014,-0.111,0.082,0.5305,0.0929,0.035,0.0133,0.0017,0.25,-0.17,0.76,49.18,-1.12,-5.13,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"66","Taylor Pendrith",28153711,6700,55.41,52.49,2.2,77,25,47.8,1.3,49.1,-0.21,1.7,0.032,163,-0.092,251,-0.004,152,0.239,72,0.176,119,10.574,45,-0.064,377,0.09,32,0.002,0.049,-0.014,0.048,-0.06,-0.08,-0.121,-0.004,-0.205,-0.089,0.4902,0.0743,0.0264,0.0095,0.001,0.15,-0.27,1.95,50.8,-1.43,-6.57,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"67","Sepp Straka",28153712,6600,56.07,50.08,6.7,76,24,53.5,2,55.5,0.32,4.69,0.086,114,-0.116,271,0.222,70,0.186,88,0.378,92,3.689,138,0.031,97,0.306,30,0.009,0.02,0.004,0.039,0.022,-0.028,0.058,0.01,0.041,0.441,0.5902,0.1404,0.0595,0.0251,0.0033,0.5,0.12,5.7,52.79,-0.48,-2.1,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"68","Luke List",28153713,6600,47.95,46.51,0.89,73,23.5,48.4,1.4,49.8,-0.13,1.01,-0.649,421,-0.246,369,0.388,40,0.71,8,0.203,113,12.982,31,-0.041,323,-0.07,38,-0.02,-0.004,0.006,0.29,0.027,-0.099,-0.077,-0.013,-0.189,0.041,0.5261,0.0873,0.0324,0.0122,0.0015,0.23,-0.15,0.95,48.16,-1.84,-8.36,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"69","Brandon Wu",28153714,6600,63.14,52.77,2.4,77.5,25,54.3,2.1,56.4,0.41,1.93,0.046,146,0.052,130,0.164,94,0.193,84,0.455,84,-2.729,249,0.025,111,0.429,26,0.023,0.032,-0.01,-0.018,-0.034,0.022,0.047,0.012,0.081,0.502,0.6,0.1401,0.0584,0.0249,0.0032,0.48,0.1,2.16,54.58,-0.07,-0.27,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"70","Seonghyeon Kim",28153715,6600,60.61,51.07,1.4,76.5,24.5,50.2,1.5,51.7,-0.03,0.46,0.114,100,0.074,108,-0.188,223,0.324,58,0.324,98,6.67,90,-0.025,277,0.062,24,0.029,0.06,0.018,0.155,-0.06,-0.05,-0.047,-0.005,-0.102,0.162,0.5413,0.1014,0.0402,0.0166,0.0022,0.33,-0.05,0.93,51.39,-0.59,-2.68,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"71","Austin Eckroat",28153716,6600,57.6,50.86,5.2,76.5,24.5,51.6,1.8,53.4,0.11,4.88,-0.019,199,-0.148,302,0.097,120,0.326,55,0.256,110,0.937,182,0.049,58,0.182,24,0.03,0.041,-0.006,0.009,-0.06,-0.006,0.092,-0.001,0.084,0.28,0.5633,0.1145,0.0459,0.0177,0.0022,0.33,-0.05,5.04,52.13,-0.69,-3.13,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"72","Alex Noren",28153717,6500,53.59,48.66,1,74.5,23.5,50.8,1.7,52.5,0.09,1.63,0.5,9,0.299,10,0.013,146,-0.538,329,0.274,105,-2.7,247,-0.03,295,0.588,40,-0.029,0.053,-0.055,-0.283,0.017,0.021,-0.056,0.03,-0.005,0.286,0.5652,0.113,0.045,0.0177,0.0024,0.37,0.05,1.31,50.58,0.56,2.55,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"73","Mackenzie Hughes",28153719,6500,56.76,43.02,1.1,70,22.5,52.2,1.9,54.2,0.26,1.78,0.366,26,0.27,15,-0.179,217,-0.116,188,0.341,97,2.413,160,-0.037,312,0.349,32,0.001,-0.044,-0.014,0.05,0.083,-0.018,-0.069,0.012,-0.075,0.348,0.5726,0.1225,0.051,0.0203,0.0025,0.38,0.06,1.44,48.61,0.18,0.84,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"74","Matthew NeSmith",28153721,6500,54.16,50.66,4.5,76,24.5,53.6,2.1,55.7,0.41,3.65,-0.002,187,-0.014,184,0.232,68,0.149,94,0.366,94,-2.891,250,0.051,55,0.389,29,0.011,-0.032,-0.023,0.021,-0.017,0.023,0.095,0.012,0.13,0.479,0.5968,0.1403,0.0597,0.0242,0.0036,0.55,0.23,4.08,53.18,-0.05,-0.11,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"75","Mark Hubbard",28153722,6500,54.46,50.28,5,75.5,24.5,52.3,1.9,54.2,0.26,3.88,-0.002,189,0.069,110,0.372,44,-0.171,211,0.268,107,-8.432,339,0.037,82,0.418,34,-0.005,-0.033,-0.003,-0.109,-0.036,0.065,0.069,0.024,0.158,0.39,0.5798,0.123,0.0489,0.0195,0.0021,0.32,0,4.44,52.24,0.19,0.86,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"76","Andrew Putnam",28153723,6400,61.21,49.49,5.8,75,24,55.5,2.4,57.9,0.7,4.66,0.447,15,0.158,53,0.202,81,-0.37,289,0.438,86,-12.797,382,0.062,31,0.652,34,-0.006,-0.058,0.007,-0.158,-0.002,0.099,0.118,0.034,0.251,0.686,0.639,0.165,0.0699,0.0294,0.004,0.62,0.35,5.23,53.7,0.83,3.91,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"77","Robby Shelton",28153724,6400,60.82,47,2.9,73,23.5,51.8,1.8,53.6,0.27,1.4,0.04,158,0.216,36,0.172,89,-0.162,204,0.265,109,-4.498,289,-0.001,189,0.236,27,0.018,0.008,-0.018,0.022,0.006,0.035,-0.002,0.019,0.052,0.324,0.5708,0.1175,0.0466,0.0178,0.0023,0.36,0.09,2.15,50.3,0.31,1.44,0,5,1,2023-06-01,"2023-06-01 Memorial Tournament"
"78","Ben Griffin",28153725,6400,63.71,52.26,2.3,76.85,25,51.1,1.7,52.8,0.19,1.36,0.312,36,0.204,39,-0.008,153,-0.071,175,0.437,87,4.417,119,-0.05,343,0.366,27,0.02,0.08,0.044,-0.073,-0.06,-0.033,-0.094,0.017,-0.11,0.267,0.5633,0.1161,0.046,0.0182,0.0025,0.39,0.12,1.83,52.53,-0.03,-0.07,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"79","Joel Dahmen",28153726,6400,59.06,45.3,1.4,72,23,48.5,1.4,49.9,-0.05,2,-0.265,360,-0.019,186,0.118,112,0.144,98,-0.022,143,-4.223,283,0.052,52,0.029,35,-0.01,-0.081,-0.013,0.053,-0.055,0.033,0.098,-0.004,0.127,0.05,0.5238,0.0867,0.0324,0.0121,0.0017,0.27,0,1.7,47.6,-0.39,-1.76,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"80","Nick Hardy",28153727,6400,54.02,45.71,1.1,72.5,23.5,48.5,1.4,49.9,-0.05,0.36,-0.055,226,-0.121,279,0.12,111,0.238,73,0.182,118,6.985,83,-0.011,232,0.069,27,0.019,0.03,0,0.064,-0.06,-0.053,-0.022,-0.001,-0.075,0.046,0.5146,0.0844,0.0302,0.0112,0.0011,0.17,-0.1,0.73,47.8,-1.04,-4.73,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"81","David Lipsky",28153728,6400,49.35,46.09,1.2,73,23.5,49.9,1.6,51.5,0.06,1.38,-0.231,339,0.074,107,0.297,60,-0.192,221,-0.052,150,-7.034,324,0.049,57,-0.053,34,-0.008,0.03,0.005,-0.025,0.018,0.055,0.093,0.011,0.159,0.125,0.5305,0.0958,0.0364,0.0145,0.0016,0.25,-0.02,1.29,48.8,0.12,0.53,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"82","Chad Ramey",28153729,6400,46.39,36.53,0.65,64.35,20.5,47.3,1.2,48.5,-0.13,0.27,0.297,40,-0.006,179,-0.254,248,-0.205,227,-0.167,160,-7.487,327,0.025,110,0.014,30,0.007,0.014,-0.001,-0.201,-0.033,0.058,0.048,-0.003,0.103,-0.097,0.4975,0.077,0.0273,0.0094,0.0011,0.17,-0.1,0.46,42.52,-0.66,-3.02,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"83","Matt Wallace",28153731,6300,51.02,44.43,0.53,71.5,23,47.8,1.3,49.1,-0.06,1.9,-0.053,222,0.178,46,0.177,87,-0.343,276,-0.041,147,3.052,151,-0.022,265,-0.111,33,-0.002,0.024,0.04,0.008,0.036,-0.023,-0.041,0.013,-0.051,-0.055,0.5,0.0762,0.0285,0.0109,0.001,0.16,-0.05,1.21,46.76,0.05,0.2,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"84","Francesco Molinari",28153732,6300,44.18,44,0.42,71,22.65,47.8,1.3,49.1,-0.06,1.39,0.002,184,0.055,126,-0.011,155,-0.266,251,-0.22,167,-6.609,320,0.029,101,-0.075,40,-0.028,-0.012,-0.017,-0.087,0.021,0.051,0.054,0.002,0.107,-0.092,0.4975,0.082,0.0312,0.0123,0.0011,0.17,-0.04,0.9,46.55,-0.31,-1.42,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"85","Lee Hodges",28153733,6300,51.39,47.44,0.97,74,23.5,52.8,1.9,54.7,0.45,2.98,-0.077,237,-0.117,272,0.231,69,0.304,63,0.342,96,1.484,173,0.037,83,0.221,27,0.017,0.029,-0.011,0.085,-0.06,-0.011,0.069,0.005,0.063,0.345,0.5726,0.1242,0.0513,0.0212,0.0031,0.49,0.28,1.98,51.07,-0.57,-2.42,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"86","Scott Stallings",28153734,6300,53.28,49.45,0.59,75.5,24,50.8,1.6,52.5,0.23,1.57,-0.054,223,0.123,69,-0.009,154,0.123,104,0.183,117,4.148,126,-0.035,307,0.081,38,-0.02,0.012,0.009,0.1,0.12,-0.031,-0.066,0.001,-0.096,0.207,0.5455,0.1066,0.0424,0.0163,0.002,0.32,0.11,1.08,50.98,-0.47,-2.06,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"87","Danny Willett",28153735,6300,50.09,46.96,0.23,74,23.5,49.9,1.6,51.5,0.13,1.08,0.043,150,0.241,27,-0.025,164,-0.17,210,0.089,131,-3.309,257,-0.018,254,0.071,35,-0.011,-0.02,-0.014,0.062,0.063,0.026,-0.033,0.009,0.001,0.153,0.5392,0.1041,0.0384,0.0146,0.0016,0.25,0.04,0.66,49.23,0.07,0.34,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"88","Stewart Cink",28153736,6300,53.94,45.2,0.35,72,22.5,46.2,1.1,47.3,-0.16,0.75,-0.139,271,-0.02,187,-0.075,178,-0.143,198,-0.377,192,4.522,116,-0.034,305,-0.079,50,-0.062,-0.059,0.018,-0.194,0.262,-0.034,-0.065,-0.011,-0.109,-0.224,0.4739,0.0655,0.0229,0.0077,0.001,0.16,-0.05,0.55,46.25,-1.16,-5.24,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"89","Sam Ryder",28153737,6300,55.9,46.19,0.51,72.5,23,46.9,1.2,48.1,-0.11,0.78,0.458,14,-0.031,201,0.017,141,-0.623,347,-0.18,162,-7.088,325,-0.016,245,0.198,33,-0.003,0.008,0.02,-0.404,0.024,0.055,-0.03,0.018,0.043,-0.113,0.4854,0.0719,0.0259,0.0097,9e-04,0.14,-0.07,0.64,47.14,-0.76,-3.46,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"90","Chez Reavie",28153738,6200,43.95,42.25,1.5,69.5,22,49.1,1.5,50.6,0.11,3.57,-0.065,231,-0.114,269,0.143,101,-0.2,225,-0.236,171,-13.216,383,0.092,10,0.06,41,-0.032,-0.077,0.038,-0.226,0.026,0.102,0.174,0.003,0.279,0.069,0.5238,0.0908,0.0341,0.0125,0.0012,0.19,0.05,2.54,46.42,-0.4,-1.78,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"91","MJ Daffue",28153739,6200,57.77,45.62,0.75,72.5,23,44.7,1,45.7,-0.21,0.75,-0.149,283,-0.162,312,-0.122,192,0.224,75,-0.21,166,9.268,57,-0.044,328,-0.369,34,-0.006,0.041,0.032,0.091,0.024,-0.07,-0.083,-0.019,-0.173,-0.359,0.4386,0.0531,0.0174,0.0058,5e-04,0.08,-0.06,0.75,45.66,-1.79,-8.09,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"92","Chris Gotterup",28153740,6200,73.04,43.87,0.9,71.5,22.5,46.1,1.1,47.2,-0.12,3.3,-0.032,209,-0.044,210,0.027,137,0.083,119,0.034,137,14.374,20,-0.057,363,-0.076,23,0.032,0.036,0.02,0.024,-0.06,-0.109,-0.107,-0.004,-0.22,-0.246,0.463,0.0621,0.0219,0.0075,8e-04,0.13,-0.01,2.1,45.53,-1.1,-4.96,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"93","Adam Long",28153741,6200,48.91,45.55,0.32,72.5,23,45.5,1.1,46.6,-0.16,0.13,0.24,50,0.043,141,-0.407,298,-0.258,246,-0.381,193,-9.485,349,0.069,20,-0.211,35,-0.011,-0.023,0.001,-0.136,0.004,0.073,0.129,-0.011,0.191,-0.185,0.4739,0.0634,0.0208,0.0067,7e-04,0.11,-0.03,0.22,46.08,-0.28,-1.28,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"94","Lucas Glover",28153742,6200,49.18,45.44,1.1,72,23,46.1,1.2,47.3,-0.12,0.97,-0.615,419,-0.142,296,0.18,84,0.16,91,-0.417,201,-6.167,316,0.083,14,-0.458,43,-0.039,-0.051,0.006,0.125,0.042,0.048,0.157,-0.017,0.188,-0.187,0.4785,0.0666,0.0233,0.0088,0.0012,0.19,0.05,1.04,46.37,-0.8,-3.58,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"95","Zach Johnson",28153743,6200,46.5,37.61,0.56,65.5,21,42.7,0.9,43.7,-0.32,0,-0.055,225,-0.021,191,-0.214,229,-0.366,287,-0.657,238,-9.494,350,0.054,49,-0.4,47,-0.052,-0.1,-0.036,-0.069,0.042,0.073,0.101,-0.014,0.161,-0.454,0.4274,0.0476,0.0152,0.005,5e-04,0.08,-0.06,0.28,40.66,-0.68,-3.09,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"96","Brandt Snedeker",28153744,6200,63.5,43.78,0.37,71,22.5,39.2,0.6,39.8,-0.53,0.42,-0.17,301,0.05,131,-0.297,264,-0.537,328,-0.954,290,-13.544,385,0.028,102,-0.801,42,-0.035,-0.063,-0.005,-0.05,-0.031,0.104,0.052,-0.019,0.137,-0.847,0.3597,0.0326,0.0104,0.0036,0,0,-0.14,0.4,41.79,-0.89,-4.08,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"97","Ben Taylor",28153745,6200,55.21,42.29,0.67,70,22.5,43.1,0.9,44,-0.3,0.24,0.321,35,0.045,138,-0.253,246,-0.366,286,-0.254,174,2.193,165,-0.06,369,-0.163,30,0.006,0.066,-0.004,-0.159,-0.06,-0.016,-0.114,-0.001,-0.131,-0.444,0.4292,0.0474,0.0155,0.0051,0,0,-0.14,0.46,43.14,-1.06,-4.84,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"98","Davis Thompson",28153746,6100,58.84,43,0.72,70,22.5,47.6,1.3,48.9,0,0.93,-0.168,299,0.02,158,-0.159,207,0.41,42,0.103,129,11.88,34,-0.005,202,-0.173,23,0.031,0.012,0.005,0.227,-0.06,-0.09,-0.009,-0.017,-0.116,-0.073,0.5,0.0781,0.0296,0.0112,9e-04,0.15,0.08,0.82,45.95,-0.68,-3.02,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"99","Lanto Griffin",28153747,6100,51.89,44.79,0.6,71.5,23,43.9,1,44.9,-0.21,0.31,-0.006,190,-0.229,360,-0.095,182,-0.089,181,-0.42,203,3.506,141,0.003,178,-0.263,34,-0.008,-0.012,-0.131,-0.005,0.006,-0.026,0.006,-0.014,-0.035,-0.449,0.4329,0.0513,0.018,0.0063,6e-04,0.1,0.03,0.45,44.84,-1.6,-7.19,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"100","Trey Mullinax",28153749,6100,44.08,44.15,0.39,71.5,23,42.6,0.9,43.5,-0.29,0.44,-0.224,336,-0.022,192,0.051,130,-0.029,156,-0.224,168,13.322,27,-0.07,389,-0.283,30,0.006,-0.007,-0.014,0.074,-0.052,-0.101,-0.132,-0.008,-0.242,-0.517,0.4167,0.0466,0.0154,0.0052,0,0,-0.07,0.42,43.83,-1.26,-5.7,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"101","Kevin Kisner",28153750,6100,32.27,31.05,0.35,53.5,19,34.3,0.3,34.6,-0.77,0.47,0.132,88,0.128,68,-0.648,351,-1.151,409,-1.539,356,-10.331,362,-0.011,224,-0.928,39,-0.024,-0.093,-0.217,-0.277,0.063,0.08,-0.021,-0.025,0.034,-1.441,0.2591,0.0121,0.0027,8e-04,0,0,-0.07,0.41,32.83,-1.04,-4.72,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"102","Justin Lower",28153751,6100,52.17,34.84,0.42,62,20,44.4,1,45.4,-0.18,0.44,0.231,54,-0.129,285,-0.121,190,-0.329,268,-0.348,190,-5.034,302,0.009,161,-0.226,34,-0.005,0.051,0.003,-0.172,-0.028,0.039,0.016,-0.002,0.054,-0.323,0.4505,0.0534,0.0163,0.0055,7e-04,0.11,0.04,0.43,40.12,-1.17,-5.24,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"103","Peter Malnati",28153752,6100,41.75,43.68,0.2,70.5,22.5,43.7,1,44.7,-0.22,0.17,0.301,38,0.245,25,-0.194,224,-0.672,357,-0.32,185,-2.334,240,-0.055,356,-0.091,35,-0.012,-0.038,0.03,-0.209,0.003,0.019,-0.104,0.009,-0.076,-0.393,0.4367,0.0485,0.0156,0.0051,0,0,-0.07,0.18,44.19,-0.25,-1.16,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"104","Troy Merritt",28153753,6100,39.9,45.85,0.03,72,23,42.8,0.9,43.7,-0.28,0.16,-0.167,297,-0.062,226,-0.178,216,-0.28,255,-0.688,245,-7.979,333,0.048,62,-0.538,37,-0.018,-0.068,-0.009,-0.055,0.063,0.062,0.09,-0.017,0.134,-0.491,0.4184,0.0448,0.0153,0.0055,0,0,-0.07,0.1,44.78,-0.91,-4.13,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"105","Dylan Frittelli",28153754,6100,42.56,34.2,0.06,60.5,20,35.3,0.4,35.7,-0.71,0,0.058,135,0.055,125,-0.451,316,-0.707,363,-1.045,300,4.399,120,-0.105,417,-0.982,32,-0.001,0.025,0.01,-0.097,-0.006,-0.033,-0.198,-0.021,-0.252,-1.303,0.2786,0.0133,0.0033,9e-04,0,0,-0.07,0.03,34.95,-1.79,-8.09,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"106","Thriston Lawrence",28153755,6000,57.42,47.41,0.31,74,23.5,40.1,0.7,40.8,-0.4,0.48,-0.16,289,-0.192,331,-0.186,222,-0.202,226,-0.74,253,-1.728,232,0.015,142,-0.82,26,0.022,0.04,0.044,-0.026,-0.06,0.014,0.028,-0.023,0.019,-0.78,0.3704,0.0303,0.0086,0.0029,0,0,0,0.4,44.1,-1.63,-7.33,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"107","Nicolas Echavarria",28153756,6000,44.72,31.51,0.18,56.35,18.5,41.4,0.7,42.1,-0.33,0,0.001,185,-0.146,300,-0.398,292,-0.069,173,-0.612,228,0.583,189,-0.017,250,-0.634,28,0.014,0.004,0.017,-0.013,-0.06,-0.004,-0.031,-0.027,-0.062,-0.734,0.3831,0.0349,0.0105,0.0032,0,0,0,0.09,36.8,-1.82,-8.19,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"108","David Lingmerth",28153757,6000,49,41.71,0.25,69.35,22,45.7,1.1,46.8,-0.07,2,-0.039,213,0,176,-0.228,235,-0.492,319,-0.76,257,-19.999,413,0.077,17,-0.486,35,-0.011,-0.11,-0.001,-0.152,0.223,0.154,0.145,-0.011,0.288,-0.25,0.463,0.0624,0.0212,0.0077,8e-04,0.13,0.13,1.12,44.25,-0.58,-2.54,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"109","Luke Donald",28153758,6000,44.38,40.26,0.05,68,21.5,41.7,0.8,42.5,-0.31,0,0.145,80,0.119,72,-0.222,231,-0.848,379,-0.806,266,-14.51,393,-0.009,216,-0.385,45,-0.046,-0.115,0.013,-0.273,0.093,0.112,-0.016,0,0.095,-0.618,0.3953,0.0365,0.011,0.0035,0,0,0,0.03,41.38,-0.69,-3.1,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"110","Jason Dufner",28153762,6000,40.67,35.39,0.09,62.5,20,37.3,0.5,37.7,-0.57,0.48,-0.666,423,-0.046,214,-0.081,180,-0.348,278,-1.142,313,-4.181,281,-0.028,289,-1.149,46,-0.049,-0.011,0.019,0.048,0.147,0.033,-0.053,-0.03,-0.05,-1.045,0.3226,0.0206,0.006,0.0017,0,0,0,0.28,36.55,-1.74,-7.83,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
"111","William McGirt",28153763,6000,47.78,39.87,0.1,67.5,21.5,39.2,0.6,39.8,-0.45,0,-0.024,204,0.088,91,-0.526,327,-0.609,341,-1.072,304,-18.116,409,0.027,104,-0.763,43,-0.04,-0.02,-0.061,-0.188,0.087,0.139,0.051,-0.024,0.166,-0.819,0.3636,0.0285,0.009,0.0031,0,0,0,0.05,39.83,-0.97,-4.36,0,0,1,2023-06-01,"2023-06-01 Memorial Tournament"
