"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","fpts_avg","course_fit","own_change","manual_change","adj_own","one","date","tournament"
"11","Sungjae Im",28153655,9100,74.55,76.08,9.8,93.5,60,68.9,5.2,74.2,0.48,9.47,0.34,30,0.315,6,0.341,49,0.627,10,1.622,10,0.837,184,0.059,36,1.438,25,0.027,0.01,0.021,0.127,0.003,-0.006,0.112,0.041,0.147,1.772,0.7963,0.3984,0.232,0.1272,0.0276,3.03,0.5,9.64,75.14,1.77,8.21,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"12","Matt Fitzpatrick",28153656,9000,63.08,75.64,10,93.5,59.5,63.2,4,67.2,-0.08,11.32,0.428,17,0.238,28,0.333,53,0.34,54,1.339,18,7.802,75,0.001,183,1.324,28,0.014,-0.018,-0.004,0.022,0.015,-0.059,0.002,0.04,-0.017,1.337,0.7423,0.2976,0.1538,0.075,0.013,1.44,-0.92,10.66,71.42,1.1,4.49,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"13","Jordan Spieth",28153657,8900,68.83,74.94,12.3,93.5,57.65,66.8,4.5,71.4,0.34,8.91,0.21,62,0.187,43,0.648,16,0.375,47,1.421,15,7.116,79,-0.03,296,1.309,29,0.01,-0.017,-0.015,0.135,0.149,-0.054,-0.057,0.048,-0.063,1.507,0.7585,0.3333,0.1859,0.0992,0.0202,2.27,0.06,10.61,73.17,0.76,3.45,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"14","Cameron Young",28153658,8800,74.58,69.67,7.1,89,30.15,66.1,4.4,70.6,0.32,10.01,0.044,147,0.059,123,0.659,11,0.898,3,1.66,9,20.612,5,-0.023,269,1.298,26,0.024,0.087,0.019,0.232,-0.029,-0.157,-0.043,0.036,-0.164,1.467,0.7537,0.33,0.1812,0.0953,0.0188,2.14,0.07,8.55,70.13,0.47,2.15,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"15","Hideki Matsuyama",28153659,8700,68.62,73.7,11.4,92.5,50.15,65,4.1,69.1,0.25,14.18,0.025,168,0.324,3,0.635,17,0.203,81,1.188,27,-0.992,219,0.024,114,1.16,31,0.005,-0.056,-0.017,0.095,0.084,0.008,0.045,0.047,0.1,1.372,0.7455,0.3096,0.165,0.0838,0.0161,1.85,-0.1,12.79,71.4,1.53,6.84,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"16","Sam Burns",28153660,8600,63.56,68.97,11.1,89,30,62.7,3.7,66.3,0.04,6.82,0.52,8,0.109,76,0.211,77,0.497,24,1.336,19,11.466,38,-0.024,275,1.121,26,0.021,0.067,-0.013,0.14,-0.01,-0.087,-0.046,0.032,-0.101,1.225,0.7191,0.274,0.1425,0.0709,0.0126,1.47,-0.36,8.96,67.63,0.34,1.35,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"17","Rickie Fowler",28153661,8500,74.33,70.79,17.2,90,32,66.2,4.5,70.7,0.54,18.31,0.255,47,0.263,16,0.608,19,0.216,78,1.342,17,6.481,93,0.018,131,1.324,34,-0.006,-0.011,0.057,-0.021,0.181,-0.049,0.034,0.05,0.035,1.558,0.7706,0.3436,0.1942,0.1035,0.0218,2.56,0.84,17.75,70.75,1.5,7.17,0,25,1,2023-06-01,"2023-06-01 Memorial Tournament"
"18","Sahith Theegala",28153662,8400,76.56,66.95,14.3,87,29,61.2,3.3,64.5,0,14.76,0.384,21,0.236,30,0.399,38,0.079,123,1.098,30,7.033,82,-0.036,308,1.068,25,0.026,0.08,-0.029,-0.046,0.058,-0.053,-0.068,0.043,-0.078,1.078,0.7006,0.2469,0.1203,0.0576,0.0087,1.04,-0.59,14.53,65.72,0.76,3.12,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"19","Corey Conners",28153663,8300,68.75,70.79,18.7,90,32,64,4,68,0.41,12.92,0.011,179,-0.057,220,0.653,13,0.609,11,1.215,24,1.165,178,0.056,45,1.246,31,0.005,-0.051,-0.009,0.025,0.029,-0.008,0.105,0.033,0.13,1.375,0.7416,0.3003,0.1555,0.0763,0.0137,1.65,0.11,15.81,69.4,0.35,1.63,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
"20","Wyndham Clark",28153664,8200,75.37,69.54,10.8,89.35,30.5,59.9,3.2,63,-0.01,6.27,0.295,42,0.13,67,0.585,22,0.197,82,1.207,25,14.138,22,-0.052,350,1.348,29,0.012,-0.015,-0.073,-0.064,-0.011,-0.108,-0.099,0.045,-0.161,1.034,0.6885,0.2309,0.1117,0.0522,0.0084,1.02,-0.43,8.54,66.27,0.45,1.81,0,10,1,2023-06-01,"2023-06-01 Memorial Tournament"
"21","Shane Lowry",28153665,8100,61.21,68.75,17.7,89,30,61.7,3.5,65.2,0.26,13.26,-0.146,280,0.083,96,0.652,14,0.466,29,1.055,33,4.022,129,0.034,90,0.857,36,-0.013,0.015,-0.017,0.212,0.069,-0.03,0.064,0.032,0.066,1.19,0.7199,0.2667,0.1337,0.0631,0.0104,1.28,-0.09,15.48,66.97,0.65,2.88,0,20,1,2023-06-01,"2023-06-01 Memorial Tournament"
"22","Adam Scott",28153666,8000,77.5,67.31,18.1,87,29,59.1,2.9,62,0.02,14.56,0.234,52,0.137,61,0.144,99,0.326,56,0.841,44,9.507,54,-0.033,302,0.941,42,-0.037,-0.037,-0.01,-0.017,0.135,-0.072,-0.062,0.019,-0.115,0.861,0.6599,0.2024,0.0949,0.0426,0.0066,0.83,-0.46,16.33,64.66,0.07,0.09,0,15,1,2023-06-01,"2023-06-01 Memorial Tournament"
