"","G","G","G","G","G","G"
"1",28153648,28153663,28153667,28153668,28153669,28153680
"2",28153649,28153661,28153667,28153668,28153669,28153677
"3",28153648,28153661,28153667,28153668,28153669,28153686
"4",28153648,28153663,28153667,28153669,28153670,28153677
"5",28153648,28153661,28153663,28153670,28153677,28153680
"6",28153648,28153655,28153661,28153677,28153680,28153694
"7",28153648,28153655,28153661,28153677,28153684,28153689
"8",28153648,28153649,28153670,28153677,28153685,28153706
"9",28153648,28153655,28153659,28153677,28153691,28153694
"10",28153649,28153657,28153659,28153665,28153677,28153714
"11",28153649,28153655,28153657,28153665,28153699,28153704
"12",28153649,28153657,28153659,28153665,28153675,28153721
"13",28153653,28153654,28153659,28153665,28153666,28153709
"14",28153645,28153654,28153664,28153675,28153696,28153709
"15",28153645,28153654,28153664,28153666,28153705,28153722
"16",28153652,28153653,28153654,28153666,28153681,28153707
"17",28153645,28153653,28153658,28153681,28153712,28153716
"18",28153645,28153653,28153660,28153690,28153700,28153703
"19",28153653,28153656,28153658,28153660,28153687,28153692
"20",28153645,28153652,28153656,28153687,28153715,28153717
