player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev
"Scheffler, Scottie",150,12.9%,13.3%,-0.031,13.3%,-0.031,14.3%,-0.095,14.3%,-0.095,13.2%,-0.022
"Cantlay, Patrick",150,8.6%,9.1%,-0.051,9.1%,-0.051,9.1%,-0.051,9.1%,-0.051,8.9%,-0.030
"Rahm, Jon",150,7.7%,12.5%,-0.383,11.8%,-0.344,12.5%,-0.383,12.5%,-0.383,11.3%,-0.315
"Schauffele, Xander",150,5.7%,6.7%,-0.151,7.7%,-0.264,7.7%,-0.264,7.7%,-0.264,6.1%,-0.076
"McIlroy, Rory",150,3.5%,6.7%,-0.471,7.7%,-0.542,6.7%,-0.471,7.7%,-0.542,5.9%,-0.403
"Hovland, Viktor",150,3.3%,5.3%,-0.379,5.3%,-0.379,5.3%,-0.379,5.3%,-0.379,4.6%,-0.290
"Im, Sungjae",150,2.8%,2.9%,-0.061,3.2%,-0.144,2.8%,-0.005,3.2%,-0.144,2.8%,-0.008
"Morikawa, Collin",150,2.7%,3.8%,-0.290,4.3%,-0.372,4.3%,-0.372,4.3%,-0.372,3.8%,-0.290
"Hatton, Tyrrell",150,2.6%,3.8%,-0.312,4.3%,-0.391,3.8%,-0.312,4.3%,-0.391,3.6%,-0.256
"Day, Jason",150,2.4%,3.8%,-0.372,3.8%,-0.372,3.4%,-0.300,3.8%,-0.372,3.5%,-0.303
"Fowler, Rickie",150,2.2%,2.8%,-0.216,2.8%,-0.216,2.8%,-0.216,2.8%,-0.216,2.7%,-0.182
"Thomas, Justin",150,2.1%,3.8%,-0.451,3.4%,-0.388,3.2%,-0.346,3.8%,-0.451,3.3%,-0.360
"Spieth, Jordan",150,2.0%,2.8%,-0.273,2.9%,-0.313,2.8%,-0.273,2.8%,-0.273,2.6%,-0.210
"Henley, Russell",150,2.0%,1.8%,0.102,2.0%,0.003,1.6%,0.200,2.0%,0.003,2.0%,-0.021
"Young, Cameron",150,1.9%,2.9%,-0.363,2.9%,-0.363,2.8%,-0.325,3.2%,-0.419,2.6%,-0.283
"Kim, Si Woo",150,1.7%,2.0%,-0.122,2.0%,-0.122,1.5%,0.137,1.8%,-0.035,2.0%,-0.135
"Matsuyama, Hideki",150,1.6%,2.8%,-0.420,2.9%,-0.453,2.8%,-0.420,2.8%,-0.420,2.3%,-0.299
"Conners, Corey",150,1.4%,2.0%,-0.301,2.4%,-0.438,2.0%,-0.301,2.2%,-0.370,2.0%,-0.316
"Kim, Tom",150,1.3%,1.6%,-0.178,2.0%,-0.313,1.6%,-0.178,2.0%,-0.313,1.5%,-0.130
"Fitzpatrick, Matthew",150,1.3%,2.8%,-0.533,2.9%,-0.559,2.8%,-0.533,2.8%,-0.533,2.5%,-0.491
"Burns, Sam",150,1.3%,2.4%,-0.484,2.9%,-0.572,2.2%,-0.422,2.4%,-0.484,2.0%,-0.385
"Bradley, Keegan",150,1.2%,1.5%,-0.199,1.5%,-0.199,1.1%,0.087,1.4%,-0.152,1.3%,-0.069
"Kuchar, Matt",150,1.1%,1.0%,0.161,1.2%,-0.069,0.8%,0.391,1.1%,0.046,1.1%,0.044
"Lowry, Shane",150,1.0%,2.0%,-0.471,2.4%,-0.575,1.8%,-0.419,2.2%,-0.523,1.5%,-0.320
"Theegala, Sahith",150,0.9%,2.0%,-0.556,2.2%,-0.600,1.8%,-0.513,2.0%,-0.556,1.6%,-0.442
"Clark, Wyndham",150,0.8%,1.8%,-0.528,2.0%,-0.570,1.6%,-0.486,2.0%,-0.570,1.5%,-0.447
"Woodland, Gary",150,0.8%,1.0%,-0.164,1.0%,-0.164,0.8%,0.001,1.0%,-0.164,0.9%,-0.091
"Kirk, Chris",150,0.8%,0.8%,-0.055,1.0%,-0.243,0.8%,-0.093,0.9%,-0.167,0.9%,-0.163
"Hadwin, Adam",150,0.7%,0.8%,-0.077,0.8%,-0.077,0.7%,0.106,0.8%,-0.040,0.7%,-0.020
"McCarthy, Denny",150,0.7%,1.0%,-0.306,1.0%,-0.306,0.6%,0.176,0.8%,-0.099,0.8%,-0.144
"Rai, Aaron",150,0.7%,0.5%,0.327,,0.00,0.4%,0.789,0.6%,0.195,0.7%,-0.043
"Lee, Kyounghoon",150,0.7%,0.8%,-0.172,0.8%,-0.172,0.7%,-0.007,0.8%,-0.139,0.8%,-0.149
"Scott, Adam",150,0.7%,2.0%,-0.665,2.2%,-0.698,2.0%,-0.665,2.2%,-0.698,1.4%,-0.535
"Harman, Brian",150,0.7%,0.8%,-0.178,0.8%,-0.178,0.6%,0.116,0.8%,-0.145,0.8%,-0.156
"Davis, Cameron",150,0.6%,1.1%,-0.479,1.0%,-0.422,0.8%,-0.307,1.0%,-0.422,0.9%,-0.327
"Jaeger, Stephan",150,0.6%,0.7%,-0.143,0.7%,-0.143,0.5%,0.141,0.7%,-0.143,0.6%,-0.089
"Buckley, Hayden",150,0.6%,0.7%,-0.151,0.7%,-0.151,0.4%,0.412,0.6%,0.018,0.6%,-0.112
"An, Byeong Hun",150,0.6%,0.8%,-0.298,1.0%,-0.437,0.7%,-0.158,0.9%,-0.381,0.7%,-0.145
"Kitayama, Kurt",150,0.5%,0.9%,-0.423,0.8%,-0.345,0.7%,-0.215,0.8%,-0.319,0.7%,-0.238
"Herbert, Lucas",150,0.5%,0.8%,-0.408,0.7%,-0.290,0.5%,-0.055,0.7%,-0.290,0.6%,-0.242
"Grillo, Emiliano",150,0.5%,1.0%,-0.528,1.0%,-0.528,0.8%,-0.434,0.9%,-0.481,0.8%,-0.414
"Hossler, Beau",150,0.5%,0.5%,-0.075,0.5%,-0.075,0.4%,0.247,0.5%,-0.075,,0.00
"Todd, Brendon",150,0.5%,0.4%,0.034,0.5%,-0.080,0.4%,0.240,0.6%,-0.172,0.6%,-0.204
"Svensson, Adam",150,0.4%,0.5%,-0.096,0.7%,-0.321,0.5%,-0.006,0.7%,-0.321,0.5%,-0.165
"Smalley, Alex",150,0.4%,0.6%,-0.212,0.7%,-0.324,0.4%,0.123,0.6%,-0.190,0.5%,-0.134
"Hoge, Tom",150,0.4%,0.8%,-0.439,0.7%,-0.328,0.5%,-0.017,0.7%,-0.328,0.6%,-0.253
"Bezuidenhout, Christiaan",150,0.4%,0.7%,-0.336,0.5%,-0.116,0.4%,0.104,0.6%,-0.204,0.5%,-0.140
"Rodgers, Patrick",150,0.4%,0.7%,-0.347,0.8%,-0.455,0.5%,-0.044,0.7%,-0.347,0.5%,-0.185
"Poston, J.T.",150,0.4%,0.4%,-0.039,0.7%,-0.358,0.4%,0.152,0.5%,-0.146,0.5%,-0.148
"Spaun, J.J.",150,0.4%,0.7%,-0.381,0.5%,-0.176,0.5%,-0.094,0.6%,-0.258,0.5%,-0.166
"Putnam, Andrew",150,0.4%,0.4%,0.111,0.5%,-0.191,0.4%,0.010,0.6%,-0.271,0.5%,-0.189
"English, Harris",150,0.4%,1.0%,-0.626,0.8%,-0.534,0.6%,-0.367,0.8%,-0.515,0.7%,-0.447
"Power, Seamus",150,0.4%,0.7%,-0.485,0.7%,-0.449,0.5%,-0.193,0.6%,-0.339,0.5%,-0.311
"NeSmith, Matthew",150,0.4%,0.3%,0.084,,0.00,,0.00,0.4%,-0.096,0.5%,-0.240
"Straka, Sepp",150,0.3%,0.5%,-0.347,0.7%,-0.509,0.5%,-0.347,0.7%,-0.509,0.5%,-0.375
"Mitchell, Keith",150,0.3%,1.0%,-0.674,1.0%,-0.674,0.7%,-0.513,0.8%,-0.578,0.7%,-0.555
"Wu, Brandon",150,0.3%,0.4%,-0.282,0.5%,-0.362,0.3%,0.114,0.3%,-0.044,,0.00
"Fox, Ryan",150,0.3%,0.8%,-0.600,0.8%,-0.600,0.6%,-0.457,0.8%,-0.584,0.5%,-0.365
"Detry, Thomas",150,0.3%,0.6%,-0.446,0.5%,-0.367,0.4%,-0.209,0.6%,-0.430,0.4%,-0.289
"Hodges, Lee",150,0.3%,0.2%,0.243,0.4%,-0.222,0.2%,0.243,0.3%,-0.067,0.4%,-0.276
"Stevens, Samuel",150,0.3%,0.4%,-0.248,0.4%,-0.316,0.3%,-0.044,0.4%,-0.316,,0.00
"Cole, Eric",150,0.3%,0.5%,-0.467,0.4%,-0.335,0.3%,-0.202,0.4%,-0.335,,0.00
"Schenk, Adam",150,0.3%,0.6%,-0.542,0.5%,-0.477,0.4%,-0.295,0.6%,-0.529,0.4%,-0.398
"Hughes, Mackenzie",150,0.2%,0.4%,-0.317,0.4%,-0.379,0.2%,-0.008,0.3%,-0.255,,0.00
"Griffin, Ben",150,0.2%,0.4%,-0.324,0.4%,-0.385,0.3%,-0.140,0.4%,-0.385,,0.00
"Streelman, Kevin",150,0.2%,0.7%,-0.634,0.5%,-0.513,0.4%,-0.391,0.6%,-0.561,,0.00
