player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Griffin, Ben",PGA TOUR,101,-5,89,-2,0.374
"Hughes, Mackenzie",PGA TOUR,102,-5,66,-4,0.361
"Munoz, Sebastian",PGA TOUR,103,12,118,-3,0.359
"Stevens, Samuel",PGA TOUR,104,4,124,6,0.35
"Harrington, Padraig",PGA TOUR Champions,105,25,216,-4,0.344
"Suh, Justin",PGA TOUR,106,11,71,5,0.333
"Streelman, Kevin",PGA TOUR,107,25,141,18,0.331
"Straka, Sepp",PGA TOUR,108,5,34,0,0.316
"Horschel, Billy",PGA TOUR,109,2,35,0,0.312
"McNealy, Maverick",PGA TOUR,110,-4,94,-2,0.297
"Na, Kevin",LIV Tour,111,10,142,-9,0.283
"Kim, Michael",PGA TOUR,112,32,133,24,0.275
"Lashley, Nate",PGA TOUR,113,-8,188,-8,0.267
"Martin, Ben",PGA TOUR,114,-7,187,-3,0.267
"Vegas, Jhonattan",PGA TOUR,115,-5,176,-10,0.246
"Shelton, Robby",PGA TOUR,116,10,114,5,0.244
"Hojgaard, Rasmus",DP World Tour,117,20,109,14,0.243
"Smith, Jordan",DP World Tour,118,-27,101,-3,0.232
"Hodges, Lee",PGA TOUR,119,12,130,2,0.23
"Ortiz, Carlos",LIV Tour,120,4,368,-13,0.228
"Hall, Harry",PGA TOUR,121,33,125,72,0.222
"Ryder, Sam",PGA TOUR,122,-18,115,-4,0.211
"Palmer, Ryan",PGA TOUR,123,-9,172,-5,0.206
"Watson, Bubba",LIV Tour,124,-21,293,-11,0.201
"Gordon, Will",PGA TOUR,125,-5,134,-3,0.201
"Eckroat, Austin",PGA TOUR,126,19,111,9,0.19
"Wise, Aaron",PGA TOUR,127,-8,59,-2,0.177
"Stenson, Henrik",LIV Tour,128,20,215,-5,0.153
"Rozner, Antoine",DP World Tour,129,0,137,-2,0.151
"Perez, Pat",LIV Tour,130,4,326,-13,0.142
"Paul, Yannik",DP World Tour,131,-4,107,0,0.137
"Norrman, Vincent",PGA TOUR,132,11,297,4,0.12
"Tosti, Alejandro",Korn Ferry Tour,133,13,238,48,0.12
"Bhatia, Akshay",PGA TOUR,134,5,179,2,0.113
"Pendrith, Taylor",PGA TOUR,135,0,113,-1,0.099
"Riley, Davis",PGA TOUR,136,-11,79,-5,0.096
"Stallings, Scott",PGA TOUR,137,-19,70,-2,0.093
"Leishman, Marc",LIV Tour,138,-15,144,-6,0.093
"Willett, Danny",PGA TOUR,139,-17,106,0,0.085
"Olesen, Thorbjorn",DP World Tour,140,0,87,-3,0.08
"Hardy, Nick",PGA TOUR,141,6,180,9,0.077
"Kim, Seonghyeon",PGA TOUR,142,-26,140,0,0.073
"Reavie, Chez",PGA TOUR,143,7,110,-1,0.07
"Piercy, Scott",PGA TOUR,144,8,244,6,0.068
"Wu, Dylan",PGA TOUR,145,-17,301,-5,0.062
"Ancer, Abraham",LIV Tour,146,-45,49,-3,0.061
"Kohles, Ben",Korn Ferry Tour,147,-14,198,-4,0.06
"Campillo, Jorge",DP World Tour,148,-7,128,-1,0.056
"Thompson, Michael",PGA TOUR,149,-7,243,-5,0.042
"Dahmen, Joel",PGA TOUR,150,-14,116,-3,0.037
"Ramey, Chad",PGA TOUR,151,27,190,36,0.022
"Walker, Jimmy",PGA TOUR,152,10,226,17,0.021
"Otaegui, Adrian",DP World Tour,153,24,81,15,0.021
"Baddeley, Aaron",PGA TOUR,154,19,290,29,0.016
"Langasque, Romain",DP World Tour,155,6,154,1,-0.003
"Macintyre, Robert",DP World Tour,156,-7,97,3,-0.016
"Kizzire, Patton",PGA TOUR,157,12,202,3,-0.037
"Thorbjornsen, Michael",Amateur Events,158,-5,475,-9,-0.041
"Lipsky, David",PGA TOUR,159,26,160,18,-0.045
"Bland, Richard",LIV Tour,160,3,145,-4,-0.057
"Vincent, Scott",LIV Tour,161,5,132,-7,-0.058
"List, Luke",PGA TOUR,162,-2,122,-4,-0.06
"Molinari, Francesco",PGA TOUR,163,-8,139,-5,-0.064
"Gotterup, Chris",Korn Ferry Tour,164,-13,315,7,-0.067
"Cink, Stewart",PGA TOUR,165,33,271,-3,-0.071
"Yu, Kevin",PGA TOUR,166,-8,192,-2,-0.077
"Malnati, Peter",PGA TOUR,167,23,207,15,-0.083
"Luiten, Joost",DP World Tour,168,3,245,0,-0.086
"Kanaya, Takumi",Other Tours,169,13,136,6,-0.087
"Poulter, Ian",LIV Tour,170,-2,237,-20,-0.088
"Wolff, Matthew",LIV Tour,171,-33,260,-11,-0.091
"Johnston, Andrew",DP World Tour,172,-8,9999,0,-0.094
"Wallace, Matt",PGA TOUR,173,-16,120,-3,-0.099
"Ghim, Doug",PGA TOUR,174,-9,256,-4,-0.099
"Lopez-Chacarra, Eugenio",LIV Tour,175,1,9999,0,-0.114
"Lee, Danny",PGA TOUR,176,-17,282,-7,-0.114
"Simpson, Webb",PGA TOUR,177,-7,163,-2,-0.135
"Young, Carson",PGA TOUR,178,30,275,27,-0.151
"Taylor, Ben",PGA TOUR,179,-12,103,-1,-0.152
"Forrest, Grant",DP World Tour,180,17,195,14,-0.153
"Sigg, Greyson",PGA TOUR,181,-25,259,-29,-0.155
"Pan, C.T.",PGA TOUR,182,-8,191,-6,-0.161
"Thompson, Davis",PGA TOUR,183,-8,88,-3,-0.162
"Novak, Andrew",PGA TOUR,184,17,307,11,-0.182
"Chassart, Adrien Dumont de",Amateur Events,185,-6,9999,0,-0.186
"Whaley, Vince",PGA TOUR,186,-6,388,-8,-0.193
"Long, Adam",PGA TOUR,187,-6,242,-5,-0.201
"Larrazabal, Pablo",DP World Tour,188,68,53,17,-0.203
"Lower, Justin",PGA TOUR,189,3,222,7,-0.218
"James, Benjamin",Amateur Events,190,-6,9999,0,-0.234
"Hoffman, Charley",PGA TOUR,191,-5,387,-3,-0.237
"Highsmith, Joe",Korn Ferry Tour,192,-4,431,-6,-0.24
"Lindheim, Nicholas",Korn Ferry Tour,193,-4,9999,0,-0.241
"Kieffer, Maximilian",DP World Tour,194,8,211,3,-0.245
"Griffin, Lanto",PGA TOUR,195,-2,193,0,-0.249
"Smotherman, Austin",PGA TOUR,196,53,263,35,-0.262
"Hoey, Rico",Korn Ferry Tour,197,56,159,156,-0.263
"Mullinax, Trey",PGA TOUR,198,-3,90,-2,-0.273
"Higgo, Garrick",PGA TOUR,199,-27,203,-3,-0.277
"Alker, Steven",PGA TOUR Champions,200,20,9999,0,-0.296
"Hickok, Kramer",PGA TOUR,201,63,294,27,-0.297
"Cockerill, Aaron",DP World Tour,202,-3,212,1,-0.3
"Horsfield, Sam",DP World Tour,203,0,196,-10,-0.315
"Greyserman, Max",Korn Ferry Tour,204,-10,9999,0,-0.319
"Brun, Julien",DP World Tour,205,17,204,0,-0.319
"Skinns, David",Korn Ferry Tour,206,-1,250,1,-0.323
"Ferguson, Ewen",DP World Tour,207,50,143,4,-0.325
"Laird, Martin",PGA TOUR,208,-2,233,3,-0.325
"Redman, Doc",PGA TOUR,209,-2,411,-6,-0.327
"Tway, Kevin",PGA TOUR,210,-19,299,-8,-0.331
"Schwartzel, Charl",LIV Tour,211,10,253,-7,-0.332
"Semikawa, Taiga",Other Tours,212,31,165,9,-0.332
"Southgate, Matthew",DP World Tour,213,-3,310,-3,-0.332
"Green, Gavin",DP World Tour,214,49,208,24,-0.336
"Seiffert, Chase",Korn Ferry Tour,215,59,349,126,-0.346
"Hahn, James",PGA TOUR,216,0,314,-6,-0.348
"Jones, Matt",LIV Tour,217,18,178,-8,-0.353
"Hadley, Chesson",PGA TOUR,218,0,296,-4,-0.356
"Daffue, MJ",PGA TOUR,219,-19,162,-8,-0.358
"Korhonen, Mikko",DP World Tour,220,-1,351,-7,-0.361
"Gutschewski, Scott",Korn Ferry Tour,221,2,322,4,-0.362
"Jamieson, Scott",DP World Tour,222,-9,281,-15,-0.365
"Hoshino, Rikuya",Other Tours,223,-11,129,-3,-0.365
"Duncan, Tyler",PGA TOUR,224,-28,189,-2,-0.372
"Dougherty, Kevin",Korn Ferry Tour,225,1,313,3,-0.373
"Pavon, Matthieu",DP World Tour,226,13,173,0,-0.374
"Donald, Luke",PGA TOUR,227,42,441,18,-0.379
"Johnson, Zach",PGA TOUR,228,-45,247,-5,-0.389
"Ford, David",Amateur Events,229,-2,9999,0,-0.391
"Wiesberger, Bernd",LIV Tour,230,2,236,-17,-0.393
"Moller, Niklas Norgaard",DP World Tour,231,29,355,11,-0.395
"Schneider, Marcel",DP World Tour,232,8,185,-2,-0.395
"Kim, Chan",Korn Ferry Tour,233,-19,230,-7,-0.397
"Knapp, Jake",Korn Ferry Tour,234,-47,330,1,-0.4
"Westwood, Lee",LIV Tour,235,-10,341,-4,-0.403
