player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Scheffler, Scottie",150,2.655,26,0.021,0.030,-0.060,0.252,0.035,-0.108,0.100,0.082,0.074,3.007,2.966,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Cantlay, Patrick",150,2.179,31,0.005,0.009,-0.014,0.195,0.225,-0.075,0.106,0.064,0.095,2.693,2.941,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Rahm, Jon",150,2.470,28,0.015,-0.065,-0.001,0.027,0.077,-0.112,0.034,0.074,-0.003,2.520,3.002,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Schauffele, Xander",150,2.242,29,0.011,0.044,-0.028,-0.048,0.076,-0.053,0.024,0.078,0.048,2.346,2.944,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"McIlroy, Rory",150,2.076,34,-0.005,-0.129,-0.052,0.190,0.109,-0.177,-0.086,0.054,-0.210,1.980,2.964,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Hovland, Viktor",150,1.686,25,0.025,0.013,-0.007,0.082,0.023,-0.074,0.085,0.047,0.059,1.881,2.996,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Im, Sungjae",150,1.438,25,0.027,0.010,0.021,0.127,0.003,-0.006,0.112,0.041,0.147,1.772,2.977,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Hatton, Tyrrell",150,1.705,31,0.004,0.003,-0.041,0.032,-0.015,-0.049,0.044,0.054,0.049,1.737,2.969,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Morikawa, Collin",150,1.436,26,0.023,-0.036,0.008,0.019,0.077,-0.002,0.151,0.053,0.201,1.729,2.998,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Day, Jason",150,1.437,35,-0.010,-0.012,0.065,0.011,0.113,-0.042,0.024,0.047,0.029,1.633,2.988,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Thomas, Justin",150,1.368,30,0.009,0.027,-0.013,0.146,0.085,-0.074,-0.021,0.050,-0.044,1.578,2.954,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Fowler, Rickie",150,1.324,34,-0.006,-0.011,0.057,-0.021,0.181,-0.049,0.034,0.050,0.035,1.558,2.956,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Henley, Russell",150,1.228,34,-0.005,-0.061,0.003,0.025,0.072,0.038,0.203,0.044,0.285,1.545,2.957,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Spieth, Jordan",150,1.309,29,0.010,-0.017,-0.015,0.135,0.149,-0.054,-0.057,0.048,-0.063,1.507,3.023,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Kim, Si Woo",150,0.936,27,0.017,-0.006,0.015,0.163,0.146,0.021,0.147,0.035,0.204,1.475,2.955,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Young, Cameron",150,1.298,26,0.024,0.087,0.019,0.232,-0.029,-0.157,-0.043,0.036,-0.164,1.467,2.993,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Conners, Corey",150,1.246,31,0.005,-0.051,-0.009,0.025,0.029,-0.008,0.105,0.033,0.130,1.375,2.945,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Matsuyama, Hideki",150,1.160,31,0.005,-0.056,-0.017,0.095,0.084,0.008,0.045,0.047,0.100,1.372,2.989,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Fitzpatrick, Matthew",150,1.324,28,0.014,-0.018,-0.004,0.022,0.015,-0.059,0.002,0.040,-0.017,1.337,2.939,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Kim, Tom",150,0.963,20,0.042,0.017,-0.007,0.106,-0.060,0.003,0.177,0.037,0.217,1.279,2.993,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Kuchar, Matt",150,1.002,44,-0.044,-0.093,0.023,-0.111,0.285,0.065,0.079,0.035,0.179,1.241,2.906,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Burns, Sam",150,1.121,26,0.021,0.067,-0.013,0.140,-0.010,-0.087,-0.046,0.032,-0.101,1.225,3.009,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Bradley, Keegan",150,1.112,36,-0.015,-0.049,0.004,0.012,0.086,-0.031,0.064,0.029,0.063,1.214,2.993,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Lowry, Shane",150,0.857,36,-0.013,0.015,-0.017,0.212,0.069,-0.030,0.064,0.032,0.066,1.190,2.965,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Theegala, Sahith",150,1.068,25,0.026,0.080,-0.029,-0.046,0.058,-0.053,-0.068,0.043,-0.078,1.078,2.993,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"McCarthy, Denny",150,1.031,30,0.009,-0.027,-0.014,-0.084,0.026,0.032,0.055,0.034,0.121,1.063,2.935,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Kirk, Chris",150,0.811,38,-0.019,-0.029,0.054,0.009,0.110,0.019,0.050,0.032,0.102,1.038,2.948,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Clark, Wyndham",150,1.348,29,0.012,-0.015,-0.073,-0.064,-0.011,-0.108,-0.099,0.045,-0.161,1.034,2.960,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Woodland, Gary",150,0.679,39,-0.023,-0.051,0.013,0.249,0.151,-0.082,0.036,0.014,-0.033,0.986,2.969,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Hadwin, Adam",150,0.700,35,-0.010,-0.037,0.006,0.027,0.086,0.031,0.118,0.019,0.168,0.940,2.982,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Lee, Kyounghoon",150,0.797,31,0.003,-0.001,-0.002,0.023,0.042,-0.005,0.052,0.028,0.074,0.936,2.969,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Rai, Aaron",150,0.551,28,0.016,-0.002,-0.012,0.116,0.005,0.036,0.182,0.022,0.240,0.915,2.952,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Scott, Adam",150,0.941,42,-0.037,-0.037,-0.010,-0.017,0.135,-0.072,-0.062,0.019,-0.115,0.861,2.992,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Harman, Brian",150,0.742,36,-0.013,-0.117,-0.019,0.096,-0.004,0.030,0.123,0.016,0.170,0.854,2.967,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Jaeger, Stephan",150,0.612,34,-0.005,0.049,-0.002,0.227,-0.060,-0.030,-0.017,0.024,-0.023,0.799,2.954,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Davis, Cameron",150,0.662,28,0.016,0.058,-0.004,0.204,-0.013,-0.089,-0.077,0.016,-0.150,0.773,2.985,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"An, Byeong Hun",150,0.540,31,0.004,0.034,-0.010,0.315,0.099,-0.122,-0.122,0.019,-0.225,0.756,2.988,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Rodgers, Patrick",150,0.660,30,0.006,0.042,-0.018,0.089,0.078,-0.066,-0.055,0.015,-0.107,0.750,2.946,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Grillo, Emiliano",150,0.730,30,0.007,0.008,-0.042,-0.142,0.102,-0.007,0.070,0.022,0.086,0.749,2.992,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Buckley, Hayden",150,0.636,27,0.019,0.002,0.007,0.033,-0.060,-0.039,0.120,0.005,0.087,0.725,3.000,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Putnam, Andrew",150,0.652,34,-0.006,-0.058,0.007,-0.158,-0.002,0.099,0.118,0.034,0.251,0.686,2.922,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Smalley, Alex",150,0.499,26,0.022,0.069,-0.022,0.133,-0.035,-0.049,0.047,0.018,0.017,0.683,2.993,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
"Todd, Brendon",150,0.681,37,-0.019,-0.146,0.011,-0.224,0.044,0.133,0.162,0.030,0.326,0.674,2.960,"the Memorial Tournament presented by Workday","Muirfield Village Golf Club"
