close_time,open_time,close_odds,player_name,bet_outcome_text,dg_id,open_odds,bet_outcome_numeric,outcome,book,event_completed,event_name,market,season,year,event_id
2023-05-31 22:41,2023-05-29 13:31,+650,"Scheffler, Scottie",loss,18417,+650,0,3,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+750,"Rahm, Jon",loss,19195,+700,0,T16,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+1000,"Cantlay, Patrick",loss,15466,+1000,0,T30,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+1200,"Schauffele, Xander",loss,19895,+1400,0,T24,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+1400,"McIlroy, Rory",loss,10091,+1200,0,T7,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+2000,"Hovland, Viktor",paid in full,18841,+1800,1,1,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+2200,"Morikawa, Collin",loss,22085,+2000,0,WD,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+2500,"Day, Jason",loss,9771,+2500,0,CUT,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+2500,"Hatton, Tyrrell",loss,14796,+2800,0,T12,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+3000,"Thomas, Justin",loss,14139,+2500,0,CUT,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+3500,"Spieth, Jordan",loss,14636,+2800,0,T5,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
2023-05-31 22:41,2023-05-29 13:31,+3500,"Matsuyama, Hideki",loss,13562,+3500,0,T16,draftkings,2023-06-04,the Memorial Tournament presented by Workday,win,2023,2023,23
