team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2021,TOR,TOR,Team Level,other,30,0.51,0.51,0.52,3507.0,53.86,10.52,3.98,9.15,1.68,28.1,20.57,10.07,10.52,10.07,49.0,25.0,17.0,91.0,10.0,1.0,0.0,6.0,0.0,27.0,30.0,39.0,64.0,3.0,6.0,36.0,6.0,10.0,12.0,35.0,23.0,16.0,1.41,3.04,6.07,3.0,2.0,5.0,91.0,74.0,74.0,9.0,1.15,0.24,0.24,11.43,11.43,10.93,48.92,10.2,3.76,8.37,1.53,26.81,16.34,9.03,10.2,9.03,54.0,13.0,19.0,86.0,7.0,4.0,0.0,12.0,1.0,22.0,21.0,47.0,60.0,3.0,6.0,33.0,17.0,8.0,9.0,35.0,21.0,11.0,1.51,2.61,6.08,2.0,1.0,4.0,86.0,67.0,67.0,5.0,1.16,1.48,1.58,9.79,9.79,9.13
TOR,2021,TOR,TOR,Team Level,all,30,0.55,0.53,0.52,108961.0,1036.37,108.37,76.36,227.14,33.2,570.9,405.03,102.79,108.45,102.9,1025.0,396.0,437.0,1858.0,98.0,58.0,10.0,220.0,34.0,467.0,544.0,927.0,1323.0,95.0,202.0,925.0,563.0,278.0,355.0,959.0,354.0,108.0,29.38,43.37,35.61,29.0,35.0,34.0,1875.67,1421.0,1431.28,225.0,16.91,14.1,14.1,111.17,111.33,107.56,940.8,87.75,65.56,211.14,29.96,523.7,382.88,84.28,87.77,84.33,942.0,359.0,344.0,1645.0,75.0,56.0,9.0,243.0,30.0,402.0,495.0,867.0,1226.0,99.0,210.0,757.0,775.0,246.0,347.0,934.0,293.0,74.0,28.02,34.84,24.89,21.0,34.0,20.0,1628.01,1301.0,1291.48,246.0,14.48,11.38,11.38,90.85,90.88,88.84
TOR,2021,TOR,TOR,Team Level,5on5,30,0.55,0.52,0.51,90126.0,816.93,77.59,57.81,186.42,26.16,446.77,323.24,74.67,77.67,74.78,816.0,302.0,370.0,1488.0,64.0,46.0,8.0,186.0,23.0,359.0,440.0,752.0,1054.0,86.0,184.0,735.0,528.0,245.0,306.0,762.0,289.0,67.0,24.13,35.12,18.34,22.0,26.0,16.0,1505.67,1118.0,1128.28,192.0,12.06,11.09,11.09,78.56,78.72,76.98,770.12,64.26,51.37,178.83,24.47,426.73,319.35,62.35,64.28,62.39,769.0,296.0,290.0,1355.0,53.0,42.0,9.0,209.0,23.0,329.0,409.0,716.0,1012.0,88.0,188.0,592.0,729.0,217.0,300.0,792.0,224.0,49.0,24.08,26.88,13.3,16.0,27.0,10.0,1338.01,1065.0,1055.48,224.0,10.63,8.42,8.33,66.57,66.6,65.55
TOR,2021,TOR,TOR,Team Level,4on5,30,0.18,0.18,0.18,8031.0,23.78,2.52,1.32,3.31,0.73,7.65,16.47,2.51,2.52,2.51,21.0,11.0,6.0,38.0,0.0,1.0,0.0,3.0,1.0,3.0,24.0,21.0,32.0,1.0,2.0,66.0,22.0,20.0,23.0,21.0,10.0,1.0,0.71,1.43,0.38,0.0,0.0,0.0,38.0,32.0,32.0,23.0,0.3,0.09,0.09,2.74,2.74,2.73,101.1,11.29,9.33,20.72,3.29,63.49,32.87,10.99,11.29,10.99,96.0,45.0,32.0,173.0,15.0,8.0,0.0,21.0,6.0,44.0,47.0,81.0,126.0,3.0,6.0,76.0,15.0,6.0,20.0,88.0,42.0,11.0,1.81,4.71,4.77,3.0,6.0,6.0,173.0,141.0,141.0,0.0,2.43,1.08,1.08,12.64,12.64,12.37
TOR,2021,TOR,TOR,Team Level,5on4,30,0.9,0.89,0.88,7297.0,141.8,17.73,13.27,28.25,4.63,88.38,44.75,15.54,17.73,15.54,139.0,58.0,44.0,241.0,24.0,10.0,2.0,25.0,10.0,78.0,50.0,115.0,173.0,5.0,10.0,88.0,7.0,3.0,14.0,141.0,32.0,24.0,3.14,3.77,10.82,4.0,7.0,13.0,241.0,197.0,197.0,1.0,3.41,2.68,2.68,18.46,18.46,16.93,20.68,1.99,1.11,3.22,0.68,6.67,14.32,1.91,1.99,1.91,23.0,5.0,3.0,31.0,0.0,2.0,0.0,1.0,0.0,7.0,18.0,23.0,28.0,5.0,10.0,56.0,14.0,15.0,18.0,19.0,6.0,3.0,0.62,0.64,0.74,0.0,0.0,0.0,31.0,28.0,28.0,17.0,0.25,0.4,0.4,1.85,1.85,1.79
ARI,2021,ARI,ARI,Team Level,other,27,0.23,0.46,0.45,3687.0,30.76,2.52,2.28,6.07,1.02,17.8,13.3,2.48,2.52,2.48,35.0,8.0,15.0,58.0,2.0,1.0,0.0,5.0,0.0,13.0,22.0,33.0,41.0,3.0,6.0,34.0,16.0,8.0,7.0,33.0,10.0,0.0,1.36,1.16,0.0,1.0,1.0,0.0,58.0,43.0,43.0,2.0,0.63,0.13,0.13,3.01,3.01,2.96,38.44,8.6,2.4,7.21,1.3,18.66,14.83,8.54,8.6,8.54,33.0,20.0,14.0,67.0,9.0,3.0,0.0,6.0,2.0,18.0,15.0,24.0,44.0,1.0,2.0,46.0,6.0,10.0,6.0,29.0,14.0,10.0,1.2,1.83,5.56,3.0,0.0,6.0,67.0,53.0,53.0,3.0,0.67,0.61,0.61,8.66,8.66,8.63
ARI,2021,ARI,ARI,Team Level,all,27,0.39,0.45,0.44,98029.0,682.56,52.64,45.38,159.47,22.38,392.99,289.14,51.6,52.03,51.01,688.0,274.0,292.0,1254.0,48.0,36.0,4.0,154.0,28.0,300.0,396.0,640.0,914.0,115.0,271.0,712.0,571.0,170.0,190.0,756.0,168.0,38.0,20.88,20.03,11.72,19.0,17.0,12.0,1208.79,962.0,935.24,102.0,9.78,6.01,6.01,56.41,55.68,54.87,865.71,81.13,60.77,196.52,27.52,483.59,351.46,78.75,82.49,80.08,892.0,309.0,361.0,1562.0,99.0,64.0,12.0,218.0,39.0,363.0,418.0,793.0,1102.0,91.0,232.0,760.0,512.0,181.0,213.0,884.0,247.0,70.0,25.7,29.94,25.5,37.0,29.0,33.0,1620.31,1201.0,1236.27,100.0,13.38,13.49,13.49,81.02,82.27,80.9
ARI,2021,ARI,ARI,Team Level,5on5,27,0.44,0.46,0.46,79753.0,560.49,40.54,35.94,134.87,18.18,321.01,238.45,39.71,39.93,39.11,561.0,228.0,241.0,1030.0,38.0,29.0,3.0,130.0,27.0,248.0,317.0,523.0,751.0,103.0,247.0,546.0,527.0,146.0,160.0,623.0,140.0,26.0,16.92,16.56,7.06,16.0,16.0,6.0,984.79,789.0,762.24,86.0,7.36,5.22,5.22,42.68,41.96,41.36,658.39,52.45,43.6,155.9,20.83,366.8,272.41,50.86,53.8,52.19,690.0,222.0,292.0,1204.0,64.0,47.0,8.0,181.0,34.0,264.0,322.0,626.0,848.0,82.0,214.0,585.0,482.0,151.0,181.0,686.0,186.0,40.0,19.21,22.25,10.99,26.0,26.0,12.0,1262.31,912.0,947.27,87.0,9.01,9.96,9.96,51.5,52.74,51.94
ARI,2021,ARI,ARI,Team Level,4on5,27,0.08,0.09,0.1,8094.0,18.3,1.61,0.86,2.38,0.47,5.56,13.12,1.56,1.61,1.56,15.0,9.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,6.0,15.0,15.0,24.0,4.0,8.0,68.0,20.0,12.0,10.0,17.0,5.0,2.0,0.4,0.58,0.62,0.0,0.0,0.0,27.0,24.0,24.0,8.0,0.2,0.0,0.0,1.81,1.81,1.75,147.76,18.45,13.75,30.36,4.76,91.35,48.33,17.73,18.45,17.73,145.0,62.0,52.0,259.0,24.0,14.0,4.0,27.0,2.0,73.0,67.0,121.0,183.0,4.0,8.0,77.0,7.0,4.0,15.0,146.0,41.0,20.0,4.53,4.99,8.95,6.0,3.0,15.0,259.0,207.0,207.0,0.0,3.47,2.92,2.92,19.01,19.01,18.48
ARI,2021,ARI,ARI,Team Level,5on4,27,0.83,0.81,0.79,6495.0,73.01,7.97,6.29,16.14,2.7,48.62,24.28,7.86,7.97,7.86,77.0,29.0,33.0,139.0,8.0,6.0,1.0,16.0,1.0,33.0,42.0,69.0,98.0,5.0,10.0,64.0,8.0,4.0,13.0,83.0,13.0,10.0,2.19,1.73,4.04,2.0,0.0,6.0,139.0,106.0,106.0,6.0,1.59,0.66,0.66,8.9,8.9,8.79,21.13,1.63,1.02,3.05,0.62,6.78,15.9,1.63,1.63,1.63,24.0,5.0,3.0,32.0,2.0,0.0,0.0,4.0,1.0,8.0,14.0,22.0,27.0,4.0,8.0,52.0,17.0,16.0,11.0,23.0,6.0,0.0,0.76,0.87,0.0,2.0,0.0,0.0,32.0,29.0,29.0,10.0,0.24,0.0,0.0,1.86,1.86,1.86
