player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,10,82.7,515,537,5.9,2.69,7,24,4.3,75.0,403,0,100,5.4,583,23,198,227,75.2,87.0,88.9,42.9,1,8,615,4,25.0,105.0,4.3,25,20,1,13,29,12,2.0,3678,6.8
Bailey Zappe,60396,QB,W KENTUCKY,10,79.1,459,487,8.0,2.43,7,29,5.6,70.2,342,0,59,5.8,516,21,208,346,74.1,87.1,87.7,51.7,2,7,545,7,15.3,118.8,1.7,9,20,0,19,42,16,2.9,4143,8.5
Carson Strong,83524,QB,NEVADA,10,78.3,428,460,8.1,2.51,3,27,5.6,70.2,323,0,132,3.6,501,12,166,239,73.4,87.6,87.8,43.5,5,7,527,4,22.0,106.7,5.8,29,9,2,22,28,10,1.9,3548,7.7
Jake Haener,60596,QB,FRESNO ST,11,73.6,398,414,9.6,2.77,3,22,5.1,66.9,277,0,127,5.5,470,16,164,169,57.2,77.5,78.7,54.7,1,9,492,2,18.9,106.3,5.1,24,30,2,10,28,14,2.8,3471,8.4
Brennan Armstrong,77696,QB,VIRGINIA,9,73.6,390,407,11.4,2.9,2,28,6.6,63.9,260,0,120,9.4,463,27,181,335,61.0,91.4,89.5,80.8,6,8,486,0,24.2,105.5,6.3,29,27,2,7,27,17,3.5,3539,8.7
Taulia Tagovailoa,97271,QB,MARYLAND,10,80.8,370,390,7.4,2.7,2,19,4.6,68.5,267,0,90,10.7,420,32,132,215,48.8,89.1,86.0,71.9,1,10,444,4,22.2,98.5,4.8,20,7,0,17,20,14,3.2,3087,7.9
Kenny Pickett,60515,QB,PITTSBURGH,10,79.5,366,387,10.0,3.22,0,26,6.4,67.2,260,0,121,10.7,456,31,174,268,67.9,92.8,93.0,61.5,2,4,482,1,19.0,119.1,5.0,23,45,2,17,32,10,2.1,3506,9.1
Jack Chambers,60359,QB,CHARLES SO,9,64.9,368,386,8.8,2.67,2,23,5.7,56.2,217,0,146,9.2,469,22,133,135,53.2,65.5,55.2,82.4,4,9,490,1,24.0,80.1,7.5,35,46,0,12,17,22,4.5,2428,6.3
Tanner Mordecai,77656,QB,SMU,10,78.2,363,381,8.4,2.68,1,20,5.1,69.6,265,0,108,6.7,419,19,164,287,48.7,90.0,89.2,63.6,3,9,435,0,13.0,118.2,3.3,14,22,2,12,37,11,2.5,3259,8.6
Grant Wells,97784,QB,MARSHALL,10,74.7,368,378,9.2,2.54,2,25,6.3,65.9,249,0,76,9.5,401,26,129,214,60.3,78.5,79.0,54.9,1,12,421,2,17.1,89.1,3.2,13,8,0,7,13,15,3.6,3072,8.1
