Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Parker Washington (20200899),Parker Washington,20200899,WR/FLEX/S-FLEX,4000,RU@PSU 11/20/2021 12:00PM ET,PSU,12.4
WR,Trae Barry (20200905),Trae Barry,20200905,WR/FLEX/S-FLEX,3900,FSU@BC 11/20/2021 12:00PM ET,BC,10.39
RB,Raheim Sanders (20200086),Raheim Sanders,20200086,RB/FLEX/S-FLEX,3900,ARK@BAMA 11/20/2021 03:30PM ET,ARK,7.23
WR,Jahleel Billingsley (20200920),Jahleel Billingsley,20200920,WR/FLEX/S-FLEX,3900,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,8.68
RB,Vincent Davis (20200083),Vincent Davis,20200083,RB/FLEX/S-FLEX,3900,UV@PITT 11/20/2021 03:30PM ET,PITT,8.7
WR,Daniel Barker (20200908),Daniel Barker,20200908,WR/FLEX/S-FLEX,3900,IL@IOWA 11/20/2021 02:00PM ET,IL,9.1
WR,Daylen Baldwin (20200911),Daylen Baldwin,20200911,WR/FLEX/S-FLEX,3900,MICH@UMD 11/20/2021 03:30PM ET,MICH,9.18
WR,Milton Wright (20200914),Milton Wright,20200914,WR/FLEX/S-FLEX,3900,PUR@NW 11/20/2021 12:00PM ET,PUR,12.54
WR,Kendric Pryor (20200917),Kendric Pryor,20200917,WR/FLEX/S-FLEX,3900,NEB@WISC 11/20/2021 03:30PM ET,WISC,8.1
WR,Tarique Milton (20200923),Tarique Milton,20200923,WR/FLEX/S-FLEX,3800,ISU@OU 11/20/2021 12:00PM ET,ISU,6.76
WR,Jeremiah Hall (20200929),Jeremiah Hall,20200929,WR/FLEX/S-FLEX,3800,ISU@OU 11/20/2021 12:00PM ET,OU,7.89
WR,Michael Woods II (20200932),Michael Woods II,20200932,WR/FLEX/S-FLEX,3800,ISU@OU 11/20/2021 12:00PM ET,OU,9.46
RB,Roschon Johnson (20200095),Roschon Johnson,20200095,RB/FLEX/S-FLEX,3800,UT@WVU 11/20/2021 12:00PM ET,UT,6.82
RB,Ulysses Bentley IV (20200092),Ulysses Bentley IV,20200092,RB/FLEX/S-FLEX,3800,SMU@CINCY 11/20/2021 03:30PM ET,SMU,12.75
RB,Ethan Wright (20200098),Ethan Wright,20200098,RB/FLEX/S-FLEX,3800,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,6.74
WR,Tyler Scott (20200941),Tyler Scott,20200941,WR/FLEX/S-FLEX,3800,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,7.58
WR,Lorenzo Styles Jr. (20200944),Lorenzo Styles Jr.,20200944,WR/FLEX/S-FLEX,3800,GT@ND 11/20/2021 02:30PM ET,ND,5.02
RB,Rodney Hammond Jr. (20200089),Rodney Hammond Jr.,20200089,RB/FLEX/S-FLEX,3800,UV@PITT 11/20/2021 03:30PM ET,PITT,9.56
WR,Isaiah Williams (20200935),Isaiah Williams,20200935,WR/FLEX/S-FLEX,3800,IL@IOWA 11/20/2021 02:00PM ET,IL,9.89
WR,Montorie Foster (20200938),Montorie Foster,20200938,WR/FLEX/S-FLEX,3800,MSU@OSU 11/20/2021 12:00PM ET,MSU,5.26
WR,Omar Manning (20200926),Omar Manning,20200926,WR/FLEX/S-FLEX,3800,NEB@WISC 11/20/2021 03:30PM ET,NEB,7.68
RB,Treshaun Ward (20200101),Treshaun Ward,20200101,RB/FLEX/S-FLEX,3700,FSU@BC 11/20/2021 12:00PM ET,FSU,10.24
WR,Joey Luchetti (20200950),Joey Luchetti,20200950,WR/FLEX/S-FLEX,3700,FSU@BC 11/20/2021 12:00PM ET,BC,3.44
RB,Eric Gray (20200104),Eric Gray,20200104,RB/FLEX/S-FLEX,3700,ISU@OU 11/20/2021 12:00PM ET,OU,8.01
WR,Sam James (20200953),Sam James,20200953,WR/FLEX/S-FLEX,3700,UT@WVU 11/20/2021 12:00PM ET,WVU,8.98
RB,Logan Diggs (20200107),Logan Diggs,20200107,RB/FLEX/S-FLEX,3700,GT@ND 11/20/2021 02:30PM ET,ND,6.84
WR,Ra'Shaun Henry (20200947),Ra'Shaun Henry,20200947,WR/FLEX/S-FLEX,3700,UV@PITT 11/20/2021 03:30PM ET,UV,9.37
WR,Keagan Johnson (20200956),Keagan Johnson,20200956,WR/FLEX/S-FLEX,3700,IL@IOWA 11/20/2021 02:00PM ET,IOWA,9.97
WR,Payne Durham (20200962),Payne Durham,20200962,WR/FLEX/S-FLEX,3700,PUR@NW 11/20/2021 12:00PM ET,PUR,12.89
WR,Jeremy Ruckert (20200959),Jeremy Ruckert,20200959,WR/FLEX/S-FLEX,3700,MSU@OSU 11/20/2021 12:00PM ET,OSU,8.08
RB,Phil Mafah (20200110),Phil Mafah,20200110,RB/FLEX/S-FLEX,3600,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,7.65
RB,Travis Levy (20200116),Travis Levy,20200116,RB/FLEX/S-FLEX,3600,FSU@BC 11/20/2021 12:00PM ET,BC,7.41
WR,Camren McDonald (20200965),Camren McDonald,20200965,WR/FLEX/S-FLEX,3600,FSU@BC 11/20/2021 12:00PM ET,FSU,6.91
RB,Keilan Robinson (20200122),Keilan Robinson,20200122,RB/FLEX/S-FLEX,3600,UT@WVU 11/20/2021 12:00PM ET,UT,5.04
RB,Dontae Smith (20200113),Dontae Smith,20200113,RB/FLEX/S-FLEX,3600,GT@ND 11/20/2021 02:30PM ET,GT,6.22
WR,Lucas Krull (20200968),Lucas Krull,20200968,WR/FLEX/S-FLEX,3600,UV@PITT 11/20/2021 03:30PM ET,PITT,10.66
WR,Malik Washington (20200971),Malik Washington,20200971,WR/FLEX/S-FLEX,3600,PUR@NW 11/20/2021 12:00PM ET,NW,9.08
RB,Keyvone Lee (20200119),Keyvone Lee,20200119,RB/FLEX/S-FLEX,3600,RU@PSU 11/20/2021 12:00PM ET,PSU,5.81
WR,KeAndre Lambert-Smith (20200974),KeAndre Lambert-Smith,20200974,WR/FLEX/S-FLEX,3600,RU@PSU 11/20/2021 12:00PM ET,PSU,8.19
WR,Dacari Collins (20200977),Dacari Collins,20200977,WR/FLEX/S-FLEX,3500,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,9.75
WR,Ke'Shawn Williams (20200986),Ke'Shawn Williams,20200986,WR/FLEX/S-FLEX,3500,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,6.96
WR,Andrew Parchment (20200980),Andrew Parchment,20200980,WR/FLEX/S-FLEX,3500,FSU@BC 11/20/2021 12:00PM ET,FSU,8.24
WR,Kobay White (20200989),Kobay White,20200989,WR/FLEX/S-FLEX,3500,FSU@BC 11/20/2021 12:00PM ET,BC,3.5
WR,Cameron Latu (20201001),Cameron Latu,20201001,WR/FLEX/S-FLEX,3500,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,8.04
WR,Javon Baker (20201004),Javon Baker,20201004,WR/FLEX/S-FLEX,3500,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,7.7
WR,Tre Tucker (20201007),Tre Tucker,20201007,WR/FLEX/S-FLEX,3500,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,6.57
WR,Kalani Norris (20200983),Kalani Norris,20200983,WR/FLEX/S-FLEX,3500,GT@ND 11/20/2021 02:30PM ET,GT,5.57
WR,Arland Bruce IV (20200995),Arland Bruce IV,20200995,WR/FLEX/S-FLEX,3500,IL@IOWA 11/20/2021 02:00PM ET,IOWA,5.34
RB,Miyan Williams (20200128),Miyan Williams,20200128,RB/FLEX/S-FLEX,3500,MSU@OSU 11/20/2021 12:00PM ET,OSU,10.24
WR,Julian Fleming (20200998),Julian Fleming,20200998,WR/FLEX/S-FLEX,3500,MSU@OSU 11/20/2021 12:00PM ET,OSU,2.32
RB,Kyle Monangai (20200125),Kyle Monangai,20200125,RB/FLEX/S-FLEX,3500,RU@PSU 11/20/2021 12:00PM ET,RU,6.35
WR,Shameen Jones (20200992),Shameen Jones,20200992,WR/FLEX/S-FLEX,3500,RU@PSU 11/20/2021 12:00PM ET,RU,6.51
RB,Christian Turner (20200131),Christian Turner,20200131,RB/FLEX/S-FLEX,3400,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,5.98
WR,Davis Allen (20201010),Davis Allen,20201010,WR/FLEX/S-FLEX,3400,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,5.82
WR,Slade Bolden (20201031),Slade Bolden,20201031,WR/FLEX/S-FLEX,3400,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,5.14
WR,Chase Allen (20201022),Chase Allen,20201022,WR/FLEX/S-FLEX,3400,ISU@OU 11/20/2021 12:00PM ET,ISU,5.69
WR,Drake Stoops (20201025),Drake Stoops,20201025,WR/FLEX/S-FLEX,3400,ISU@OU 11/20/2021 12:00PM ET,OU,5.64
WR,Isaiah Esdale (20201019),Isaiah Esdale,20201019,WR/FLEX/S-FLEX,3400,UT@WVU 11/20/2021 12:00PM ET,WVU,8.58
WR,Jared Wiley (20201034),Jared Wiley,20201034,WR/FLEX/S-FLEX,3400,UT@WVU 11/20/2021 12:00PM ET,UT,5.82
WR,Nate McCollum (20201013),Nate McCollum,20201013,WR/FLEX/S-FLEX,3400,GT@ND 11/20/2021 02:30PM ET,GT,4.47
RB,Zander Horvath (20200137),Zander Horvath,20200137,RB/FLEX/S-FLEX,3400,PUR@NW 11/20/2021 12:00PM ET,PUR,8.78
WR,Aron Cruickshank (20201016),Aron Cruickshank,20201016,WR/FLEX/S-FLEX,3400,RU@PSU 11/20/2021 12:00PM ET,RU,9.63
WR,Brenton Strange (20201028),Brenton Strange,20201028,WR/FLEX/S-FLEX,3400,RU@PSU 11/20/2021 12:00PM ET,PSU,5.48
RB,Jaquez Yant (20200134),Jaquez Yant,20200134,RB/FLEX/S-FLEX,3400,NEB@WISC 11/20/2021 03:30PM ET,NEB,5.6
WR,Donald Stewart (20201037),Donald Stewart,20201037,WR/FLEX/S-FLEX,3300,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,5.2
WR,Jaden Williams (20201040),Jaden Williams,20201040,WR/FLEX/S-FLEX,3300,FSU@BC 11/20/2021 12:00PM ET,BC,6.64
WR,De'Vion Warren (20201070),De'Vion Warren,20201070,WR/FLEX/S-FLEX,3300,ARK@BAMA 11/20/2021 03:30PM ET,ARK,4.03
RB,Deon Silas (20200140),Deon Silas,20200140,RB/FLEX/S-FLEX,3300,ISU@OU 11/20/2021 12:00PM ET,ISU,6.17
WR,Sean Shaw Jr. (20201049),Sean Shaw Jr.,20201049,WR/FLEX/S-FLEX,3300,ISU@OU 11/20/2021 12:00PM ET,ISU,3.44
WR,Brayden Willis (20201058),Brayden Willis,20201058,WR/FLEX/S-FLEX,3300,ISU@OU 11/20/2021 12:00PM ET,OU,5.47
WR,Brian Darby (20201061),Brian Darby,20201061,WR/FLEX/S-FLEX,3300,ISU@OU 11/20/2021 12:00PM ET,OU,7.03
WR,Cade Brewer (20201073),Cade Brewer,20201073,WR/FLEX/S-FLEX,3300,UT@WVU 11/20/2021 12:00PM ET,UT,4.97
RB,Tyler Lavine (20200146),Tyler Lavine,20200146,RB/FLEX/S-FLEX,3300,SMU@CINCY 11/20/2021 03:30PM ET,SMU,4.85
WR,Payten Singletary (20201076),Payten Singletary,20201076,WR/FLEX/S-FLEX,3300,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,5.1
WR,Braden Lenzy (20201079),Braden Lenzy,20201079,WR/FLEX/S-FLEX,3300,GT@ND 11/20/2021 02:30PM ET,ND,6.63
WR,Donny Navarro III (20201064),Donny Navarro III,20201064,WR/FLEX/S-FLEX,3300,IL@IOWA 11/20/2021 02:00PM ET,IL,3.41
WR,Roman Wilson (20201067),Roman Wilson,20201067,WR/FLEX/S-FLEX,3300,MICH@UMD 11/20/2021 03:30PM ET,MICH,7.19
WR,Jovani Haskins (20201043),Jovani Haskins,20201043,WR/FLEX/S-FLEX,3300,RU@PSU 11/20/2021 12:00PM ET,RU,7.53
WR,Joshua Youngblood (20201046),Joshua Youngblood,20201046,WR/FLEX/S-FLEX,3300,RU@PSU 11/20/2021 12:00PM ET,RU,5.45
RB,Markese Stepp (20200143),Markese Stepp,20200143,RB/FLEX/S-FLEX,3300,NEB@WISC 11/20/2021 03:30PM ET,NEB,5.78
WR,Zavier Betts (20201052),Zavier Betts,20201052,WR/FLEX/S-FLEX,3300,NEB@WISC 11/20/2021 03:30PM ET,NEB,6.16
WR,Levi Falck (20201055),Levi Falck,20201055,WR/FLEX/S-FLEX,3300,NEB@WISC 11/20/2021 03:30PM ET,NEB,5.94
WR,Ajou Ajou (20201082),Ajou Ajou,20201082,WR/FLEX/S-FLEX,3200,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,4.03
WR,Blake Whiteheart (20201091),Blake Whiteheart,20201091,WR/FLEX/S-FLEX,3200,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,4.55
RB,Lawrance Toafili (20200149),Lawrance Toafili,20200149,RB/FLEX/S-FLEX,3200,FSU@BC 11/20/2021 12:00PM ET,FSU,7.1
WR,Jordan Wilson (20201085),Jordan Wilson,20201085,WR/FLEX/S-FLEX,3200,FSU@BC 11/20/2021 12:00PM ET,FSU,3.68
WR,Jordan Young (20201088),Jordan Young,20201088,WR/FLEX/S-FLEX,3200,FSU@BC 11/20/2021 12:00PM ET,FSU,6.9
WR,Austin Stogner (20201100),Austin Stogner,20201100,WR/FLEX/S-FLEX,3200,ISU@OU 11/20/2021 12:00PM ET,OU,4.41
WR,Jordan Kerley (20201124),Jordan Kerley,20201124,WR/FLEX/S-FLEX,3200,SMU@CINCY 11/20/2021 03:30PM ET,SMU,6.96
WR,Melquise Stovall (20201094),Melquise Stovall,20201094,WR/FLEX/S-FLEX,3200,UV@PITT 11/20/2021 03:30PM ET,PITT,4.95
RB,Josh McCray (20200152),Josh McCray,20200152,RB/FLEX/S-FLEX,3200,IL@IOWA 11/20/2021 02:00PM ET,IL,7.23
WR,Casey Washington (20201103),Casey Washington,20201103,WR/FLEX/S-FLEX,3200,IL@IOWA 11/20/2021 02:00PM ET,IL,4.15
WR,Nico Ragaini (20201106),Nico Ragaini,20201106,WR/FLEX/S-FLEX,3200,IL@IOWA 11/20/2021 02:00PM ET,IOWA,5.67
RB,Donovan Edwards (20200155),Donovan Edwards,20200155,RB/FLEX/S-FLEX,3200,MICH@UMD 11/20/2021 03:30PM ET,MICH,4.07
WR,Luke Schoonmaker (20201109),Luke Schoonmaker,20201109,WR/FLEX/S-FLEX,3200,MICH@UMD 11/20/2021 03:30PM ET,MICH,5.33
WR,Mike Sainristil (20201112),Mike Sainristil,20201112,WR/FLEX/S-FLEX,3200,MICH@UMD 11/20/2021 03:30PM ET,MICH,4.74
WR,Garrett Miller (20201115),Garrett Miller,20201115,WR/FLEX/S-FLEX,3200,PUR@NW 11/20/2021 12:00PM ET,PUR,5.76
RB,Jackson Acker (20200158),Jackson Acker,20200158,RB/FLEX/S-FLEX,3200,NEB@WISC 11/20/2021 03:30PM ET,WISC,4.2
WR,Oliver Martin (20201097),Oliver Martin,20201097,WR/FLEX/S-FLEX,3200,NEB@WISC 11/20/2021 03:30PM ET,NEB,6
WR,Jake Ferguson (20201118),Jake Ferguson,20201118,WR/FLEX/S-FLEX,3200,NEB@WISC 11/20/2021 03:30PM ET,WISC,7.28
WR,Chimere Dike (20201121),Chimere Dike,20201121,WR/FLEX/S-FLEX,3200,NEB@WISC 11/20/2021 03:30PM ET,WISC,5.3
RB,Lyn-J Dixon (20200161),Lyn-J Dixon,20200161,RB/FLEX/S-FLEX,3100,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,4.5
WR,Braden Galloway (20201127),Braden Galloway,20201127,WR/FLEX/S-FLEX,3100,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,2.7
WR,Malik McClain (20201130),Malik McClain,20201130,WR/FLEX/S-FLEX,3100,FSU@BC 11/20/2021 12:00PM ET,FSU,4.04
WR,CJ Lewis (20201136),CJ Lewis,20201136,WR/FLEX/S-FLEX,3100,FSU@BC 11/20/2021 12:00PM ET,BC,4.73
WR,Traeshon Holden (20201163),Traeshon Holden,20201163,WR/FLEX/S-FLEX,3100,ARK@BAMA 11/20/2021 03:30PM ET,BAMA,4.75
WR,Warren Thompson (20201166),Warren Thompson,20201166,WR/FLEX/S-FLEX,3100,ARK@BAMA 11/20/2021 03:30PM ET,ARK,6.65
WR,Jaylin Noel (20201148),Jaylin Noel,20201148,WR/FLEX/S-FLEX,3100,ISU@OU 11/20/2021 12:00PM ET,ISU,4.22
WR,Sean Ryan (20201145),Sean Ryan,20201145,WR/FLEX/S-FLEX,3100,UT@WVU 11/20/2021 12:00PM ET,WVU,8.31
WR,Noah Davis (20201169),Noah Davis,20201169,WR/FLEX/S-FLEX,3100,SMU@CINCY 11/20/2021 03:30PM ET,CINCY,7.2
WR,Demick Starling (20201133),Demick Starling,20201133,WR/FLEX/S-FLEX,3100,UV@PITT 11/20/2021 03:30PM ET,UV,6.43
WR,Gavin Bartholomew (20201139),Gavin Bartholomew,20201139,WR/FLEX/S-FLEX,3100,UV@PITT 11/20/2021 03:30PM ET,PITT,6.64
WR,Shocky Jacques-Louis (20201142),Shocky Jacques-Louis,20201142,WR/FLEX/S-FLEX,3100,UV@PITT 11/20/2021 03:30PM ET,PITT,6.35
WR,Tyrone Tracy Jr. (20201151),Tyrone Tracy Jr.,20201151,WR/FLEX/S-FLEX,3100,IL@IOWA 11/20/2021 02:00PM ET,IOWA,4.09
RB,Tavierre Dunlap (20200164),Tavierre Dunlap,20200164,RB/FLEX/S-FLEX,3100,MICH@UMD 11/20/2021 03:30PM ET,MICH,2.55
WR,Berkeley Holman (20201154),Berkeley Holman,20201154,WR/FLEX/S-FLEX,3100,PUR@NW 11/20/2021 12:00PM ET,NW,5.75
WR,Broc Thompson (20201157),Broc Thompson,20201157,WR/FLEX/S-FLEX,3100,PUR@NW 11/20/2021 12:00PM ET,PUR,5.56
WR,Markus Allen (20201160),Markus Allen,20201160,WR/FLEX/S-FLEX,3100,NEB@WISC 11/20/2021 03:30PM ET,WISC,5.8
RB,Darien Rencher (20200167),Darien Rencher,20200167,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,3.45
RB,Wise Segars Jr. (20200170),Wise Segars Jr.,20200170,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
RB,Kevin McNeal (20200173),Kevin McNeal,20200173,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
RB,Michel Dukes (20200176),Michel Dukes,20200176,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,1
RB,Quinton Cooley (20200251),Quinton Cooley,20200251,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,1.93
RB,Ahmani Marshall (20200254),Ahmani Marshall,20200254,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,2.37
RB,Will Towns (20200257),Will Towns,20200257,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,0
RB,Jack Porter (20200260),Jack Porter,20200260,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,0
RB,Zach Igwebe (20200263),Zach Igwebe,20200263,RB/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,WAKE,0
WR,Jaelyn Lay (20201172),Jaelyn Lay,20201172,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
WR,Sage Ennis (20201175),Sage Ennis,20201175,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,1.8
WR,Jake Briningstool (20201178),Jake Briningstool,20201178,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,7.85
WR,Will Blackston (20201181),Will Blackston,20201181,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
WR,Luke Price (20201184),Luke Price,20201184,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,1.7
WR,Banks Pope (20201187),Banks Pope,20201187,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
WR,E.J. Williams (20201190),E.J. Williams,20201190,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,2.1
WR,Brannon Spector (20201193),Brannon Spector,20201193,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
WR,Will Swinney (20201196),Will Swinney,20201196,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,5.45
WR,Troy Stellato (20201199),Troy Stellato,20201199,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,1.75
WR,Jackson Crosby (20201202),Jackson Crosby,20201202,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
WR,Tye Herbstreit (20201205),Tye Herbstreit,20201205,WR/FLEX/S-FLEX,3000,WAKE@CLEM 11/20/2021 12:00PM ET,CLEM,0
