player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,12,7,5,,0,1,17,0,0,61.3,81.5,87.8,68.6,81.8,30.0,4,19,0,0,,19.5,8,0,0,0.0,0,4,0,2,0,11,421,419,12,185,140,82,0,2,268,142,0,23,26,5,0,27,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Jerry Hughes,5556,ED,HST,6,2,0,,0,0,13,0,0,60.9,46.8,82.5,45.9,51.9,73.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,62,2,1,1,38,24,0,1,2,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,12,5,0,,0,1,9,0,0,79.3,47.4,55.7,83.7,30.4,55.5,0,3,0,0,,8.3,1,0,1,0.0,0,1,0,0,0,0,196,196,133,63,0,0,0,0,80,116,0,3,6,0,0,4,0,0,0,
Von Miller,6154,ED,BUF,8,2,0,,0,0,4,0,0,66.5,70.9,22.2,74.7,57.1,77.6,2,12,0,0,,0.0,0,0,2,0.0,0,4,0,0,0,4,178,178,0,0,178,0,0,0,134,40,0,7,4,0,0,18,0,0,0,
Cameron Jordan,6176,ED,NO,12,8,2,,0,0,20,0,0,67.8,51.2,88.0,53.6,45.5,37.2,1,14,0,1,,20.8,5,0,0,0.0,0,1,0,1,0,6,371,370,3,17,252,98,0,1,227,138,0,7,11,0,0,16,0,0,0,
Cameron Heyward,6183,DI,PIT,12,5,7,,0,0,25,0,0,58.2,90.6,85.4,90.0,80.2,69.4,11,24,0,0,,4.7,2,0,0,0.0,0,8,0,1,0,0,529,528,12,300,19,197,0,1,331,198,0,33,36,3,0,43,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,3,0,0,100.0,0,0,32,0,0,79.4,87.9,68.9,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,7,0,0,0,0,0,0,7,1,3,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,12,10,0,66.2,0,1,18,0,0,62.7,66.6,86.6,,82.4,69.5,0,0,0,1,27,10.9,6,6,3,92.0,45,0,0,86,551,467,676,6,0,0,6,0,5,670,0,209,28,17,39,1,68,0,3,428,176,9.5
Bobby Wagner,7050,LB,WAS,13,26,0,71.4,0,1,32,2,0,61.7,83.3,60.3,85.9,90.3,80.5,4,10,0,0,32,6.5,7,1,2,106.5,20,3,0,745,2,382,800,12,0,0,12,0,1,788,75,343,40,37,74,6,28,17,1,222,144,11.1
Lavonte David,7060,LB,TB,12,17,1,84.4,0,3,30,0,0,59.5,67.2,84.2,62.5,74.4,40.2,1,14,0,1,49,17.2,16,3,1,105.3,54,3,0,666,6,440,797,58,0,0,58,0,1,739,88,269,66,37,60,2,64,18,2,534,332,9.9
Demario Davis,7079,LB,NO,11,29,0,77.4,0,0,20,0,0,66.3,69.2,58.8,57.5,71.4,59.2,0,3,0,0,23,11.4,10,3,2,99.7,24,1,0,654,0,398,721,39,0,0,39,0,2,682,45,278,26,30,49,1,31,4,0,246,172,10.3
Rodney McLeod,7271,S,CLV,12,5,0,56.0,0,0,8,1,1,45.9,46.6,82.4,51.9,53.9,58.3,0,0,0,0,17,14.7,5,5,0,78.9,14,0,0,158,0,238,421,14,0,0,14,0,159,407,8,175,90,7,24,2,25,0,1,101,74,7.2
Tashaun Gipson Sr.,7288,S,SF,1,0,0,,0,0,28,0,0,60.0,61.0,66.3,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,12,12,2,70.7,0,0,18,1,0,56.0,61.6,88.9,54.6,76.6,71.5,0,5,0,2,42,10.4,7,2,0,102.8,29,1,0,193,5,486,768,103,0,0,103,0,408,665,41,241,59,14,48,1,41,6,3,371,175,12.8
Darius Slay,7817,CB,PHI,10,6,0,59.5,2,1,24,0,0,67.0,65.0,45.5,,56.4,58.8,0,0,0,0,41,12.8,5,7,4,95.3,22,0,0,45,428,305,479,5,0,0,5,0,0,474,0,174,1,10,28,2,37,0,2,228,66,10.4
Robert Woods,7822,WR,HST,1,0,0,,0,0,13,0,0,60.7,70.2,60.0,,,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Johnathan Hankins,7830,DI,SEA,12,5,0,,1,0,29,0,0,65.4,33.2,10.0,53.8,35.1,28.0,1,4,0,1,,17.9,5,0,4,0.0,0,0,0,0,0,0,308,308,98,210,0,0,0,0,125,183,0,12,18,3,0,5,0,0,0,
Tyrann Mathieu,7850,S,NO,12,6,0,75.0,0,1,20,1,0,58.4,58.6,86.2,51.2,58.3,35.4,0,3,0,3,50,23.7,14,1,0,77.1,12,0,0,183,0,412,669,15,0,0,15,0,432,654,9,248,39,7,39,1,16,3,0,275,121,22.9
John Jenkins,7863,DI,LV,12,10,1,,0,0,23,0,0,62.8,53.4,86.4,53.7,51.7,55.6,0,4,0,0,,8.3,3,0,0,0.0,0,2,0,0,0,1,447,447,217,227,0,3,0,0,208,238,0,18,23,3,0,6,0,0,0,
William Gholston,7908,DI,TB,12,4,0,,0,0,30,0,0,66.8,66.2,47.7,68.2,57.4,59.0,2,6,0,0,,8.3,1,0,1,0.0,0,1,0,0,0,0,168,168,3,85,31,49,0,0,85,83,0,5,7,0,0,9,0,0,0,
Jordan Poyer,8000,S,MIA,11,20,0,70.8,0,0,17,0,0,57.6,58.9,1.7,61.1,68.2,67.1,0,0,0,0,33,9.5,7,2,3,131.4,17,0,0,169,6,395,647,22,0,0,22,0,396,625,10,242,54,11,47,0,24,0,2,245,107,14.4
