"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"288","Jake Ferguson","DAL","te","9","NYG","2.4","0","0","0","0","0","0","0","0","0","1.1797","0.8976","9.6599","0.0884","0.0103","0.0051","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Snoop Conner","JAX","rb","11","BLT","0.6","0","0","0","0","0","0","0.2694","1.0775","0.0074","0.2671","0.2182","1.6786","0.0085","0.0039","0.0019","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"290","Zach Pascal","PHI","wr","7","GB","4.1","0","0","0","0","0","0","0","0","0","2.4464","1.5619","17.9168","0.1219","0.0163","0.0082","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"291","Marcedes Lewis","GB","te","14","@PHI","2.3","0","0","0","0","0","0","0","0","0","1.2749","1.0046","8.4815","0.0787","0.0156","0.0078","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"292","Armani Rogers","WAS","te","14","ATL","2.3","0","0","0","0","0","0","0","0","0","1.2833","0.9231","9.6871","0.0694","0.0108","0.0054","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Michael Burton","KC","rb","8","LA","0.5","0","0","0","0","0","0","0.4531","1.6426","0.017","0.1361","0.1132","0.8494","0.0058","0.0039","0.0019","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294","Dwayne Washington","NO","rb","14","@SF","0.5","0","0","0","0","0","0","0.8092","2.8415","0.0116","0.1265","0.1023","0.7354","0.0033","0.068","0.034","0.0009","88.1464","0.0582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Gary Brightwell","NYG","rb","9","@DAL","0.5","0","0","0","0","0","0","0.5774","2.4296","0.0162","0.1258","0.1024","0.7471","0.0038","0.0175","0.0088","0.0005","26.7345","0.0184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Zonovan Knight","NYJ","rb","10","CHI","0.5","0","0","0","0","0","0","0.5427","2.4749","0.0217","0.0663","0.0535","0.4067","0.0019","0.0041","0.002","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","Tyrion Davis-Price","SF","rb","9","NO","0.5","0","0","0","0","0","0","0.4384","1.8086","0.0154","0.1581","0.13","1.0038","0.0063","0.0256","0.0128","0.0007","46.4569","0.0356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
