"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","126","6","0.1","100","0.35","41.5","-43","Drue Tranquill","288","11","0.19","87","0.71","65.9"
"Parker Hesse","89","7","0.11","83","0.56","64.6","-31","Jon Bostic","81","7","0.22","83","0.89","58.6"
"Mark Andrews","260","28","0.51","67","2.12","83.8","14","Devin Lloyd","330","18","0.34","85","1.53","53.3"
"Dawson Knox","283","14","0.26","78","1.1","67.7","43","Alex Anzalone","318","9","0.14","82","0.69","53.2"
"Ian Thomas","123","17","0.24","71","1.17","48.3","-59","Josey Jewell","161","20","0.31","75","1.64","65.9"
"Cole Kmet","265","14","0.33","72","1.17","69.4","-27","C.J. Mosley","368","13","0.19","73","0.93","65.7"
"Hayden Hurst","316","15","0.27","83","1.05","65.5","22","Monty Rice","33","18","0.32","100","1.33","46.5"
"David Njoku","214","21","0.4","82","2.03","82.9","-12","Lavonte David","356","13","0.19","76","0.8","81.6"
"Dalton Schultz","191","21","0.33","72","1.46","65.6","0","Julian Love","323","9","0.17","70","0.73","68.7"
"Greg Dulcich","163","16","0.28","65","1.37","62.9","-43","Frankie Luvu","217","13","0.3","89","1.27","73.1"
"Brock Wright","88","10","0.3","100","1.25","56.2","-24","Tyrel Dodson","116","11","0.19","77","1.02","49.6"
"Robert Tonyan","248","20","0.33","82","1.38","58.3","7","Kyzir White","301","15","0.19","73","0.8","59.6"
"Teagan Quitoriano","26","8","0.28","50","0.08","61.2","-1","Eric Rowe","158","15","0.29","88","1.53","50.3"
"Mo Alie-Cox","199","9","0.21","78","0.82","48.8","-7","Myles Jack","269","16","0.29","77","1.15","56.6"
"Evan Engram","304","17","0.25","71","1.16","58.7","-6","Roquan Smith","280","12","0.2","71","0.89","54.2"
"Travis Kelce","372","25","0.59","74","2.3","92","40","Ernest Jones","229","17","0.25","84","1.1","71.2"
"Tyler Higbee","296","24","0.31","68","1.45","59.6","2","Willie Gay Jr.","128","21","0.36","96","1.59","63.9"
"Tre' McKitty","149","7","0.08","64","0.33","29.9","-38","Tanner Vallejo","67","15","0.2","70","0.99","59.8"
"Foster Moreau","198","15","0.26","72","1.27","65.8","-5","Jordyn Brooks","352","11","0.24","78","1.03","58.4"
"Mike Gesicki","232","15","0.32","71","1.16","63.9","11","Christian Kirksey","283","13","0.22","69","0.93","57.2"
"T.J. Hockenson","324","21","0.37","69","1.68","69.4","-15","Kyle Dugger","179","11","0.16","58","0.64","74.3"
"Hunter Henry","236","12","0.22","71","1.1","58.2","-6","Eric Kendricks","380","12","0.18","68","0.84","55"
"Adam Trautman","79","19","0.4","87","1.62","70.1","-52","Dre Greenlaw","278","19","0.27","77","1.06","78.7"
"Tanner Hudson","153","9","0.14","64","0.8","59.2","-12","Damone Clark","43","14","0.27","100","1.28","58.9"
"Tyler Conklin","284","18","0.3","69","1.16","58.5","-14","Jack Sanborn","67","16","0.34","91","1.96","53.2"
"Jack Stoll","101","8","0.1","62","0.55","54.5","-41","Quay Walker","237","13","0.22","74","0.97","56.2"
"Pat Freiermuth","274","24","0.36","67","1.76","75.7","1","Bobby Okereke","312","20","0.3","75","1.34","75.3"
"Noah Fant","196","19","0.34","79","1.56","67.3","-19","Denzel Perryman","104","13","0.32","86","0.91","76.8"
"George Kittle","240","18","0.41","77","1.77","74.9","-13","Demario Davis","344","7","0.09","70","0.46","81.3"
"Cameron Brate","145","16","0.18","61","0.84","58.3","-18","Sione Takitaki","142","14","0.24","85","1.15","70.5"
"Chigoziem Okonkwo","67","22","0.47","53","2.57","79.9","-25","Logan Wilson","292","13","0.21","76","0.94","70.2"
"Logan Thomas","211","15","0.21","65","0.87","59","-2","Mykal Walker","315","15","0.25","83","1.27","56.1"
