,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
UNC-Wilmington,2022-02-07 17:00:00,250,50.00,7.5,18.18,145.0,18.18,27.3,68.8,76.3
Hofstra,2022-02-07 17:00:00,-320,6.25,-7.5,18.18,145.0,18.18,72.7,76.3,68.8
UNC-Charlotte,2022-02-07 17:00:00,-105,19.05,1.5,16.67,135.0,17.39,48.9,66.8,68.3
Florida International,2022-02-07 17:00:00,-115,17.39,-1.5,20.00,135.0,19.05,51.1,68.3,66.8
Holy Cross,2022-02-07 18:00:00,,,17.5,18.18,141.5,18.18,,62.0,79.5
Colgate,2022-02-07 18:00:00,,,-17.5,18.18,141.5,18.18,,79.5,62.0
Hartford,2022-02-07 18:00:00,145,29.00,4.0,18.18,134.5,19.05,39.6,65.3,69.3
Massachusetts-Lowell,2022-02-07 18:00:00,-165,12.12,-4.0,18.18,134.5,17.39,60.4,69.3,65.3
New Hampshire,2022-02-07 19:00:00,155,31.00,4.0,18.18,139.5,18.18,37.9,67.8,71.8
Stony Brook,2022-02-07 19:00:00,-180,11.11,-4.0,18.18,139.5,18.18,62.1,71.8,67.8
Furman,2022-02-07 19:00:00,-225,8.89,-5.5,18.18,145.0,19.05,66.4,75.3,69.8
E. Tennessee State,2022-02-07 19:00:00,185,37.00,5.5,18.18,145.0,17.39,33.6,69.8,75.3
Virginia,2022-02-07 19:00:00,500,100.00,11.5,19.05,129.0,17.39,16.0,58.8,70.3
Duke,2022-02-07 19:00:00,-720,2.78,-11.5,17.39,129.0,19.05,84.0,70.3,58.8
Lafayette,2022-02-07 19:00:00,330,66.00,10.0,18.18,127.5,18.18,22.2,58.8,68.8
Navy,2022-02-07 19:00:00,-435,4.60,-10.0,18.18,127.5,18.18,77.8,68.8,58.8
James Madison,2022-02-07 19:00:00,155,31.00,4.5,19.05,150.0,19.05,37.9,72.8,77.3
Drexel,2022-02-07 19:00:00,-180,11.11,-4.5,17.39,150.0,17.39,62.1,77.3,72.8
UNC-Greensboro,2022-02-07 19:00:00,-200,10.00,-5.0,18.18,133.5,17.39,64.3,69.3,64.3
Western Carolina,2022-02-07 19:00:00,170,34.00,5.0,18.18,133.5,19.05,35.7,64.3,69.3
Chattanooga,2022-02-07 19:00:00,-210,9.52,-5.5,19.05,139.5,20.00,65.1,72.5,67.0
Mercer,2022-02-07 19:00:00,175,35.00,5.5,17.39,139.5,16.67,34.9,67.0,72.5
Eastern Illinois,2022-02-07 19:00:00,,,,,,,,,
Tennessee Tech,2022-02-07 19:00:00,,,,,,,,,
Texas-San Antonio,2022-02-07 19:00:00,650,130.00,13.5,17.39,143.0,20.00,12.8,64.8,78.3
Middle Tennessee St.,2022-02-07 19:00:00,-1000,2.00,-13.5,19.05,143.0,16.67,87.2,78.3,64.8
George Mason,2022-02-07 19:00:00,280,56.00,8.0,18.18,138.5,18.18,25.1,65.3,73.3
Richmond,2022-02-07 19:00:00,-365,5.48,-8.0,18.18,138.5,18.18,74.9,73.3,65.3
Temple,2022-02-07 19:00:00,-165,12.12,-4.0,20.00,124.5,19.05,60.4,64.3,60.3
South Florida,2022-02-07 19:00:00,145,29.00,4.0,16.67,124.5,17.39,39.6,60.3,64.3
