player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,3,0,,,4.0,,,0,0,0,,3,60.7,76.8,82.7,74.3,65.0,51.0,0,,100.0,1,0,0,0.0,0,4,99,1,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,3,1,1.0,100.0,6.1,4.0,4.0,0,0,0,0.0,24,60.1,78.1,82.7,72.7,71.0,59.3,0,2,0.0,0,0,0,79.2,1,4,66,4,1,1,0,2,1,0.5,2.0
Kareem Jackson,5545,S,DEN,3,1,12.4,60.0,100.0,35.0,21.0,0,0,1,20.0,10,66.8,65.0,0.0,,59.9,66.3,0,17,0.0,0,1,1,112.5,3,113,113,1,6,5,1,25,6,0.2,8.3
Devin McCourty,5552,S,NE,3,0,22.0,75.0,100.0,36.0,27.0,0,0,1,25.0,19,60.8,60.1,78.8,,55.8,77.7,0,24,0.0,0,1,0,151.0,3,109,109,0,12,4,2,45,8,0.4,15.0
Jerry Hughes,5556,ED,HST,3,0,,,2.4,,,1,0,0,,13,68.2,84.5,19.5,75.8,65.2,42.2,1,,75.0,3,0,2,0.0,0,2,82,5,1,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,3,1,8.0,100.0,10.2,5.0,5.0,0,0,0,0.0,16,55.3,66.5,82.2,61.5,76.2,61.9,0,8,25.0,1,0,0,100.0,1,5,49,3,2,1,0,8,0,1.6,8.0
Von Miller,6154,ED,BUF,3,0,,,3.1,,,0,0,0,,4,77.3,92.2,80.0,89.1,88.2,75.8,0,,0.0,0,0,0,0.0,0,2,65,3,1,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,3,1,14.7,42.9,99.2,20.5,8.8,0,0,1,7.1,18,57.0,61.5,81.7,60.0,82.2,74.1,0,23,10.0,1,1,0,63.7,6,130,131,1,8,14,0,87,39,0.7,14.5
Robert Quinn,6166,ED,CHI,3,0,,,1.3,,,1,0,0,,6,60.0,55.0,51.7,56.1,57.4,74.1,0,,,0,0,1,0.0,0,1,79,1,0,0,0,0,0,0.0,
Justin Houston,6222,ED,BLT,3,0,,,6.5,,,0,0,0,,3,66.8,76.3,81.1,72.7,62.0,55.9,0,,50.0,2,0,0,0.0,0,6,93,2,2,0,0,0,0,0.0,
Josh Bynes,6503,LB,BLT,3,2,4.7,57.1,90.0,15.0,8.6,0,0,0,0.0,3,81.0,65.8,78.3,61.6,41.2,45.5,1,14,14.3,1,0,0,31.5,4,63,70,1,4,7,0,36,27,0.6,9.0
Stephon Gilmore,7016,CB,IND,3,0,8.2,59.1,100.0,8.5,5.0,0,1,3,13.6,14,74.6,74.9,81.3,,69.3,68.5,0,53,7.1,1,2,0,78.2,13,115,115,3,13,22,0,142,78,1.3,10.9
Melvin Ingram III,7024,ED,MIA,4,0,0.0,100.0,25.7,9.0,9.0,0,0,0,0.0,17,55.8,72.0,0.0,80.0,76.2,38.8,0,19,50.0,2,0,3,113.9,3,28,109,4,2,3,0,34,34,1.3,11.3
Chandler Jones,7027,ED,LV,3,0,6.0,100.0,11.8,11.0,11.0,0,0,0,0.0,23,53.7,52.5,81.9,59.7,46.2,27.7,0,11,0.0,0,0,0,112.5,1,13,110,0,1,1,0,11,5,1.0,11.0
Bobby Wagner,7050,LB,LA,3,1,-1.0,100.0,80.0,26.0,26.0,0,0,0,0.0,26,69.5,85.6,81.5,81.0,84.8,76.0,0,8,14.3,1,0,0,87.5,4,108,135,4,5,4,0,20,24,0.2,5.0
Lavonte David,7060,LB,TB,3,2,3.8,88.2,91.9,7.9,6.9,0,0,1,5.9,30,90.7,81.9,5.3,70.2,49.0,84.5,0,13,0.0,0,1,1,86.0,15,125,136,8,9,17,0,79,29,0.7,5.3
Casey Hayward Jr.,7064,CB,ATL,3,1,13.4,78.6,100.0,10.3,8.1,0,0,0,0.0,2,57.2,57.4,81.1,,56.2,52.8,1,40,18.2,2,0,0,112.8,11,116,116,0,8,14,1,187,62,1.7,17.0
Demario Davis,7079,LB,NO,3,3,1.9,60.0,88.6,14.8,8.9,0,0,3,30.0,20,74.1,77.6,83.0,75.5,67.5,48.1,0,23,28.6,2,2,0,76.3,6,93,105,2,2,10,0,58,57,0.7,9.7
Rodney McLeod,7271,S,IND,3,1,7.0,75.0,98.4,18.7,14.0,0,0,1,25.0,14,66.3,62.1,76.2,60.0,48.8,62.8,1,11,16.7,1,1,0,87.5,3,60,61,0,4,4,1,22,9,0.4,7.3
Tashaun Gipson Sr.,7288,S,SF,3,0,12.0,0.0,100.0,,48.0,0,1,0,0.0,28,74.4,82.5,80.5,,81.4,88.2,1,,0.0,0,0,0,0.0,0,103,103,1,5,2,0,0,0,0.0,
Harrison Smith,7641,S,MIN,2,1,9.0,88.9,100.0,9.9,8.8,0,0,0,0.0,18,67.1,64.9,82.2,,48.2,86.3,1,16,0.0,0,0,0,56.3,8,84,84,3,15,9,0,63,24,0.8,7.9
Darius Slay,7817,CB,PHI,3,1,14.0,34.8,100.0,15.6,5.4,0,3,1,4.3,24,76.9,74.1,82.0,,46.9,69.6,2,29,0.0,0,1,0,29.3,8,131,131,1,5,23,1,110,24,0.9,13.8
Johnathan Hankins,7830,DI,LV,3,0,,,2.0,,,0,0,0,,23,60.0,46.2,80.3,53.0,46.3,33.4,0,,,0,0,0,0.0,0,1,50,0,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,3,1,3.3,50.0,97.1,49.5,24.8,0,0,0,0.0,20,74.4,73.5,81.2,54.6,62.1,75.6,0,5,12.5,1,0,0,56.3,2,102,105,1,6,4,0,6,5,0.1,3.0
John Jenkins,7863,DI,MIA,4,0,,,2.3,,,0,0,0,,17,59.8,69.0,78.5,62.5,68.7,72.3,0,,,0,0,0,0.0,0,1,44,0,0,0,0,0,0,0.0,
Logan Ryan,7864,S,TB,3,1,13.0,50.0,99.1,33.7,16.8,0,0,1,16.7,30,66.4,75.0,80.3,59.2,89.3,85.6,1,17,0.0,0,1,0,34.7,3,108,109,1,3,6,0,44,1,0.4,14.7
Duron Harmon,7872,S,LV,3,1,4.0,100.0,97.3,49.0,49.0,0,0,1,50.0,23,73.0,74.9,81.7,55.1,64.8,77.6,1,10,0.0,0,1,0,64.6,2,109,112,1,7,2,0,18,10,0.2,9.0
William Gholston,7908,DI,TB,3,0,,,4.3,,,0,0,0,,30,59.3,59.2,79.6,56.7,60.8,69.9,0,,,0,0,0,0.0,0,2,47,0,0,0,0,0,0,0.0,
Steven Means,7929,ED,BLT,1,0,,,5.3,,,0,0,0,,3,60.0,75.7,75.6,65.1,73.2,72.4,0,,,0,0,0,0.0,0,1,19,0,0,0,0,0,0,0.0,
Micah Hyde,7941,S,BUF,2,2,6.0,100.0,98.6,22.7,22.7,0,0,0,0.0,4,69.1,68.4,81.7,59.1,52.5,63.0,0,19,0.0,0,0,0,102.8,3,70,71,1,4,3,0,26,8,0.4,8.7
Jordan Poyer,8000,S,BUF,2,0,13.7,100.0,100.0,24.3,24.3,0,1,1,33.3,4,65.7,70.5,78.8,,71.4,80.3,2,23,0.0,0,1,0,112.5,3,76,76,1,1,3,1,33,1,0.5,11.0
Tony Jefferson,8361,S,NYG,2,0,2.0,100.0,60.9,12.0,12.0,0,0,0,0.0,21,62.4,56.5,77.5,49.0,,69.9,0,4,0.0,0,0,0,83.3,1,14,23,1,1,1,0,4,2,0.3,4.0
Brandon Copeland,8378,ED,BLT,1,0,,,4.8,,,0,0,0,,3,60.0,59.0,76.6,56.6,61.2,72.0,0,,,0,0,0,0.0,0,1,21,1,0,0,0,0,0,0.0,
Jadeveon Clowney,8636,ED,CLV,2,0,-6.0,100.0,3.8,2.0,2.0,0,0,0,0.0,8,45.4,89.2,82.3,89.7,72.0,74.8,0,21,,0,0,0,118.8,1,2,53,1,0,1,0,21,27,10.5,21.0
Khalil Mack,8640,ED,LAC,3,0,12.0,100.0,10.0,11.0,11.0,0,0,0,0.0,27,51.9,86.8,83.6,78.4,84.2,65.7,0,19,,0,0,0,118.8,1,11,110,4,0,1,0,19,7,1.7,19.0
Anthony Barr,8644,LB,DAL,3,1,3.3,57.1,89.9,18.8,10.7,0,0,0,0.0,9,51.0,53.0,7.3,79.7,57.0,58.1,0,12,0.0,0,0,2,65.2,4,80,89,2,2,7,0,26,25,0.3,6.5
Kyle Fuller,8649,CB,BLT,1,0,10.2,60.0,98.4,19.0,11.4,0,0,0,0.0,3,61.0,55.3,79.1,59.1,30.0,53.1,0,12,0.0,0,0,1,71.3,3,61,62,0,2,5,0,23,0,0.4,7.7
C.J. Mosley,8652,LB,NYJ,3,2,3.8,64.3,92.7,10.9,7.0,0,0,1,7.1,22,57.3,61.5,79.5,48.9,67.2,80.8,0,22,7.7,1,1,0,85.1,9,101,109,3,10,14,0,99,70,1.0,11.0
Bradley Roby,8666,CB,NO,3,2,12.3,45.5,99.0,10.0,4.5,0,0,2,9.1,20,55.2,52.8,8.6,58.8,53.9,51.3,0,24,8.3,1,2,2,62.9,10,104,105,3,9,22,0,121,25,1.2,12.1
Demarcus Lawrence,8669,ED,DAL,3,0,,,3.4,,,0,0,0,,9,63.0,77.6,83.1,71.8,69.1,51.3,0,,33.3,1,0,0,0.0,0,3,88,4,2,0,0,0,0,0.0,
Kyle Van Noy,8675,LB,LAC,3,1,7.0,100.0,61.3,18.5,18.5,0,0,1,50.0,27,61.8,57.9,0.0,61.5,59.0,67.8,0,18,0.0,0,1,1,156.3,2,38,62,0,1,2,1,24,10,0.6,12.0
Lamarcus Joyner,8676,S,NYJ,3,3,12.7,83.3,97.2,20.4,17.0,0,0,0,0.0,22,33.0,29.9,1.0,88.1,43.0,33.7,0,55,8.3,1,0,2,158.3,5,106,109,0,8,6,2,76,7,0.7,15.2
