player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Derrick Nnadi,49970,DI,KC,10,1,0,16,50.9,0,2,127,98.5,2.4,3,0,0.8,0,135,133,2,0,49.7,0,0,29,100.0,0.0,0,0.0,0,30,30,0
Broderick Washington Jr.,50049,DI,BLT,10,4,0,3,68.7,1,10,151,98.8,9.3,14,0,3.6,0,165,163,11,4,81.2,1,7,59,98.5,16.9,10,6.8,0,67,66,8
Uchenna Nwosu,50084,ED,SEA,10,2,0,29,71.8,8,20,251,83.1,14.3,36,5,8.4,7,320,266,35,2,69.1,3,10,134,84.7,15.7,21,8.6,5,170,144,18
John Franklin-Myers,50088,ED,NYJ,10,0,0,22,79.3,8,15,222,99.1,20.7,46,3,7.4,5,235,233,28,0,85.4,3,13,94,100.0,31.9,30,12.8,4,102,102,20
Wyatt Ray,50115,ED,TEN,1,0,0,31,54.9,0,0,14,100.0,7.1,1,0,0.0,0,14,14,0,0,51.5,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Josh Sweat,50120,ED,PHI,10,0,0,24,78.1,6,20,230,96.4,17.0,39,1,7.4,4,253,244,30,0,83.2,6,16,122,98.5,24.6,30,11.5,3,132,130,25
Lorenzo Carter,50126,ED,ATL,11,1,0,2,52.6,4,15,281,78.9,9.3,26,1,4.8,4,370,292,23,0,53.3,2,11,135,81.4,12.6,17,6.3,2,172,140,15
Ogbonnia Okoronkwo,50130,ED,HST,10,0,0,13,66.0,5,5,111,99.2,14.4,16,1,4.5,0,120,119,10,0,59.0,1,4,41,100.0,14.6,6,6.1,0,45,45,5
Jacob Martin,50152,ED,DEN,10,0,0,10,59.8,1,13,110,92.9,14.5,16,1,9.1,3,126,117,17,0,66.1,0,11,54,98.3,25.9,14,15.7,3,58,57,14
Olasunkanmi Adeniyi,50154,ED,TEN,2,0,0,31,55.3,0,1,24,86.7,8.3,2,1,2.1,0,30,26,1,0,59.9,0,1,13,100.0,15.4,2,3.8,0,14,14,1
Tashawn Bower,50170,ED,LV,4,0,0,23,49.8,0,0,17,100.0,0.0,0,0,0.0,0,19,19,0,0,54.1,0,0,4,100.0,0.0,0,0.0,0,5,5,0
Delontae Scott,50185,ED,PIT,2,0,0,25,53.3,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,54.2,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Malcolm Roach,50191,DI,NO,7,0,0,20,54.2,0,5,80,98.9,7.5,6,1,3.1,0,89,88,5,0,57.7,0,3,29,100.0,13.8,4,5.2,0,35,35,3
LaDarius Hamilton,50192,ED,GB,3,0,0,12,58.1,0,1,10,100.0,10.0,1,0,5.0,0,10,10,1,0,56.5,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Benning Potoa'e,50195,DI,WAS,1,0,0,32,70.6,0,0,4,100.0,25.0,1,0,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
Arden Key,50201,ED,JAX,10,1,0,15,66.3,4,14,164,94.1,13.4,22,0,6.7,2,188,177,20,1,58.4,3,13,114,99.2,14.9,17,7.9,1,122,121,17
Oren Burks,50203,LB,SF,4,0,0,28,65.8,0,0,6,9.2,16.7,1,0,16.7,1,65,6,1,0,68.1,0,0,4,20.0,25.0,1,25.0,1,20,4,1
Rashaan Evans,50213,LB,ATL,11,1,0,2,69.9,0,6,45,10.9,15.6,7,1,8.9,1,449,49,7,0,70.7,0,3,22,12.3,22.7,5,11.4,1,203,25,4
Gerri Green,50228,ED,CHI,1,0,0,6,58.2,0,0,1,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Josh Allen,50235,ED,JAX,10,1,1,15,74.3,11,23,269,85.0,16.0,43,3,7.4,3,339,288,37,0,80.4,9,17,151,93.0,20.5,31,10.6,3,172,160,29
