player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Geoff Swaim,9679,TE,TEN,10,11,0,31,3.0,0,100.0,100.0,1,1,0.0,0,1,0,68.3,60.4,0,5,38.7,12,31,2,54.8,17,120.8,2,18.2,1,7,1,0.5,3.5,0.41,0,1.3,0,71.4,0.0,0,1,28.6,2,2,0,29.2,51.2,0,13,36.7,29,79,5,60.8,48,83.6,7,63.6,0,37,32,6.4,7.4,0.77
Tre' McKitty,60896,TE,LAC,10,11,0,27,,0,,,0,0,,0,0,0,,46.4,0,0,32.3,10,31,0,64.5,20,0.0,0,0.0,0,0,0,,,0.0,0,5.7,0,60.0,0.0,0,1,25.0,2,0,0,29.7,39.8,0,12,18.4,23,125,6,79.2,99,71.3,10,90.9,0,46,25,4.2,7.7,0.46
Jelani Woods,60509,TE,IND,9,11,0,14,13.6,0,57.1,33.3,1,3,0.0,0,4,0,72.1,68.1,0,17,0.0,0,34,4,91.2,31,114.9,7,63.6,2,43,3,0.8,10.8,1.39,0,12.7,2,66.7,100.0,1,1,33.3,1,1,0,36.2,54.2,0,33,1.8,1,57,2,93.0,53,106.3,3,27.3,0,35,17,8.5,17.5,0.66
Josh Oliver,47083,TE,BLT,10,11,0,3,6.2,0,40.0,0.0,0,1,0.0,0,1,0,68.3,63.8,0,19,15.6,5,32,2,81.3,26,58.8,5,45.5,0,28,18,9.0,14.0,1.08,0,3.2,0,80.0,,0,0,0.0,0,1,0,72.1,53.6,0,12,20.3,14,69,4,76.8,53,87.5,5,45.5,0,25,13,3.3,6.3,0.47
Cordarrelle Patterson,7810,HB,ATL,7,11,0,2,,0,,,0,0,,0,0,0,,52.7,0,0,15.4,2,13,0,84.6,11,0.0,0,0.0,0,0,0,,,0.0,0,1.4,2,70.0,,0,0,12.5,1,1,0,52.1,63.7,1,10,16.2,11,68,7,77.9,53,35.0,10,90.9,0,34,32,4.6,4.9,0.64
Isaiah Hodgins,52130,WR,NYG,4,11,0,21,6.8,1,80.0,66.7,2,3,0.0,0,3,0,73.4,74.9,0,20,0.0,0,27,4,92.6,25,100.8,5,45.5,0,41,13,3.3,10.3,1.64,0,11.2,0,83.3,,0,0,0.0,0,3,1,74.6,66.3,0,26,0.0,0,26,5,96.2,25,118.1,6,54.5,0,74,24,4.8,14.8,2.96
Dare Ogunbowale,12329,HB,HST,4,10,0,13,,0,,,0,0,,0,0,0,,59.1,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,-0.1,1,77.8,,0,0,0.0,0,3,0,77.3,91.5,0,23,0.0,0,12,7,83.3,10,97.2,9,90.0,0,66,76,10.9,9.4,6.6
Cedrick Wilson,48170,WR,MIA,9,10,0,17,0.0,0,100.0,,0,0,0.0,0,1,0,64.7,63.8,0,14,0.0,0,23,1,100.0,23,118.8,1,10.0,0,14,14,14.0,14.0,0.61,0,10.3,0,75.0,50.0,1,2,0.0,0,2,0,74.6,62.3,0,12,0.0,0,54,6,94.4,51,93.8,8,80.0,0,56,23,3.8,9.3,1.1
JaMycal Hasty,25582,HB,JAX,8,10,0,15,-3.0,0,100.0,,0,0,0.0,0,0,0,64.7,54.3,0,-1,30.0,3,10,1,70.0,7,79.2,1,10.0,0,-1,2,2.0,-1.0,-0.14,0,-3.9,1,62.5,,0,0,28.6,2,1,0,29.2,55.7,0,15,9.1,3,33,5,90.9,30,68.8,8,80.0,0,28,40,8.0,5.6,0.93
Craig Reynolds,94383,HB,DET,7,10,0,11,5.0,0,100.0,,0,0,0.0,0,1,0,68.3,66.1,0,25,34.4,11,32,2,59.4,19,118.8,2,20.0,0,30,20,10.0,15.0,1.58,0,-0.3,7,87.5,,0,0,12.5,1,4,0,54.9,72.1,0,36,16.1,5,31,7,80.6,25,111.5,8,80.0,0,86,91,13.0,12.3,3.44
Albert Okwuegbunam,41933,TE,DEN,4,10,0,10,,0,,,0,0,,0,0,0,,47.1,0,0,0.0,0,19,0,94.7,18,0.0,0,0.0,0,0,0,,,0.0,0,3.5,2,62.5,0.0,0,1,16.7,1,1,0,45.8,49.0,0,12,5.5,3,55,5,89.1,49,72.4,8,80.0,0,35,26,5.2,7.0,0.71
Mike Boone,31615,HB,DEN,7,10,0,10,11.0,1,33.3,,0,0,50.0,1,0,0,28.8,35.5,0,3,14.3,2,14,1,85.7,12,42.4,3,30.0,0,3,7,7.0,3.0,0.25,0,0.2,0,80.0,,0,0,20.0,1,1,0,41.6,50.0,0,34,21.4,12,56,4,75.0,42,113.3,5,50.0,0,56,58,14.5,14.0,1.33
