player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,15,63,63,4.26,40.86,47.13,9.0,0,0,6,15,1,64.3,19,65,3,0,55.6,315,35,63,268.55,2574,4,2969
Brett Kern,4580,P,PHI,1,2,2,3.19,33.0,45.0,12.0,0,0,0,0,24,59.5,0,50,0,0,100.0,24,2,2,6.38,66,0,90
Kevin Huber,5066,P,CIN,9,31,31,4.27,37.42,43.23,14.5,0,0,3,13,7,54.4,10,63,3,0,35.5,160,11,31,132.43,1160,1,1340
Thomas Morstead,5088,P,MIA,14,52,52,4.33,41.27,47.29,10.5,0,0,11,13,17,69.4,24,66,0,0,50.0,273,26,53,224.93,2146,2,2459
Bryan Anger,7072,P,DAL,15,55,55,4.5,42.71,48.95,8.5,0,0,5,18,9,75.5,20,83,1,0,43.6,203,24,55,247.32,2349,7,2692
Johnny Hekker,7252,P,CAR,15,70,70,4.33,43.7,48.43,8.6,0,0,10,23,5,73.0,32,67,5,0,38.6,231,27,70,303.26,3059,5,3390
Sam Martin,7947,P,BUF,14,42,42,4.23,42.88,48.12,9.2,1,0,5,13,4,66.2,16,67,6,0,31.0,120,13,43,177.52,1801,5,2021
Tress Way,8358,P,WAS,15,74,74,4.33,43.18,46.89,6.7,0,0,13,23,32,59.7,37,68,5,0,39.2,195,29,74,320.65,3195,4,3470
Pat O'Donnell,8826,P,GB,15,49,49,4.11,40.51,44.8,10.0,1,0,8,17,12,61.1,25,72,4,0,38.8,190,19,50,201.61,1985,1,2195
Michael Palardy,9277,P,NE,6,33,33,4.12,37.94,42.67,7.4,1,0,3,9,19,50.5,11,56,5,0,39.4,96,13,34,135.86,1252,3,1408
Bradley Pinion,9598,P,ATL,15,56,56,4.49,40.68,45.39,9.7,0,0,7,20,2,75.7,23,73,4,0,41.1,224,23,56,251.56,2278,2,2542
Riley Dixon,10862,P,LA,14,60,60,4.24,42.65,48.68,10.4,2,0,4,13,26,79.7,15,65,10,0,51.7,322,31,62,254.24,2559,2,2921
Jake Elliott,11908,K,PHI,1,1,1,4.26,35.0,35.0,,0,0,1,0,24,60.0,0,35,0,0,0.0,0,0,1,4.26,35,0,35
Matt Haack,12212,P,IND,15,64,64,4.37,40.19,44.83,9.5,1,0,9,19,14,63.5,28,70,8,0,39.1,237,25,65,279.89,2572,3,2869
Cameron Johnston,12255,P,HST,15,78,78,4.22,42.91,48.51,9.2,0,0,10,19,13,63.3,35,67,6,0,50.0,357,39,78,328.78,3347,4,3784
Corey Bojorquez,27626,P,CLV,15,53,53,4.35,40.7,48.43,13.2,0,0,9,9,8,75.7,24,76,7,0,41.5,290,22,53,230.31,2157,6,2567
Logan Cooke,29214,P,JAX,15,49,49,4.27,43.37,49.59,6.9,0,0,6,7,15,70.4,17,70,3,0,55.1,185,27,49,209.05,2125,6,2430
Tommy Townsend,33007,P,KC,15,44,44,4.7,45.5,50.3,7.7,0,0,6,14,16,85.6,20,76,3,0,38.6,131,17,44,206.99,2002,4,2213
Jake Bailey,33963,P,NE,9,37,37,4.14,35.27,42.08,9.5,0,0,3,8,19,57.5,13,62,5,0,43.2,152,16,37,153.15,1305,5,1557
Jack Fox,34735,P,DET,14,45,45,4.24,41.38,48.6,10.6,0,0,6,8,11,56.4,14,66,3,0,55.6,265,25,45,190.95,1862,3,2187
Michael Dickson,35381,P,SEA,14,57,57,4.26,44.84,48.98,5.9,0,0,7,12,29,62.4,22,68,5,0,52.6,176,30,57,243.08,2556,3,2792
A.J. Cole III,36038,P,LV,15,55,55,4.34,43.49,48.75,11.2,0,0,9,15,23,80.8,26,67,6,0,43.6,269,24,55,238.88,2392,1,2681
J.K. Scott,38809,P,LAC,15,64,64,4.73,41.0,42.84,3.4,0,0,8,30,27,67.9,25,55,6,0,26.6,58,17,64,302.77,2624,3,2742
Corliss Waitman,39620,P,DEN,15,86,86,4.34,41.44,46.22,7.8,0,0,13,25,10,60.1,30,58,3,0,46.5,311,40,86,373.55,3564,5,3975
Mitch Wishnowsky,44663,P,SF,15,54,54,4.29,39.43,43.8,9.1,0,0,15,13,28,73.2,28,74,6,0,27.8,136,15,54,231.59,2129,5,2365
Braden Mann,44664,P,NYJ,15,74,74,4.34,40.5,47.46,11.8,1,0,10,13,22,74.5,24,72,13,0,40.5,355,30,75,320.93,2997,8,3512
Drue Chrisman,44787,P,CIN,6,21,21,3.86,41.67,46.33,7.5,0,0,0,6,7,54.5,10,65,2,0,61.9,98,13,21,81.06,875,0,973
Blake Gillikin,45045,P,NO,15,66,66,4.26,41.64,46.83,9.3,0,0,11,19,20,67.3,27,63,6,0,36.4,223,24,66,281.24,2748,6,3091
