player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Alex Cappa,66578,G,CIN,2,0,7,70.0,1,2,110,100.0,100.0,97.7,0,4,1,117,117,74.2,1,1,53,100.0,100.0,96.2,3,1,58,58
La'el Collins,9719,T,CIN,2,0,7,43.3,2,3,110,100.0,100.0,96.8,0,6,1,117,117,48.7,0,1,53,100.0,100.0,97.2,2,1,58,58
Cordell Volson,30614,G,CIN,2,0,7,62.0,2,3,110,100.0,100.0,95.9,0,7,2,117,117,78.7,1,1,53,100.0,100.0,98.1,2,0,58,58
Ted Karras,10855,C,CIN,2,0,7,75.6,0,3,110,100.0,100.0,98.6,0,3,0,117,117,75.0,0,3,53,100.0,100.0,97.2,3,0,58,58
Jonah Williams,41651,T,CIN,2,0,7,58.7,2,5,110,100.0,100.0,94.1,0,10,3,117,117,75.8,0,1,53,100.0,100.0,93.4,4,3,58,58
Laken Tomlinson,9461,G,NYJ,2,0,22,55.3,0,10,109,100.0,100.0,95.4,0,10,0,115,115,46.0,0,9,57,100.0,100.0,92.1,9,0,61,61
Alijah Vera-Tucker,57107,G,NYJ,2,0,22,57.9,0,6,109,100.0,100.0,97.2,0,6,0,115,115,70.1,0,4,57,100.0,100.0,96.5,4,0,61,61
George Fant,11282,T,NYJ,2,0,22,49.3,2,6,109,100.0,100.0,95.4,0,9,1,115,115,65.7,1,4,57,100.0,100.0,95.6,5,0,61,61
Max Mitchell,81707,T,NYJ,2,0,22,52.7,1,4,109,100.0,100.0,95.9,0,7,2,115,115,52.4,1,4,57,100.0,100.0,93.9,6,1,61,61
Connor McGovern,10778,C,NYJ,2,0,22,67.0,1,2,109,100.0,100.0,98.6,2,3,0,115,115,62.7,1,1,57,100.0,100.0,98.2,2,0,61,61
Charles Leno Jr.,8880,T,WAS,2,0,32,81.9,0,4,98,100.0,100.0,96.9,0,5,1,107,107,66.0,0,4,38,100.0,100.0,92.1,5,1,41,41
Samuel Cosmi,60114,T,WAS,2,0,32,65.8,0,2,98,100.0,100.0,98.0,0,3,1,107,107,48.3,0,2,38,100.0,100.0,94.7,3,1,41,41
Chase Roullier,11954,C,WAS,2,0,32,55.9,0,3,97,100.0,100.0,98.5,0,3,0,106,106,55.9,0,1,37,100.0,100.0,98.6,1,0,40,40
D.J. Humphries,9457,T,ARZ,2,0,1,86.2,1,2,96,100.0,100.0,98.4,0,3,0,106,106,90.6,0,0,35,100.0,100.0,100.0,0,0,41,41
Andrew Norwell,9126,G,WAS,2,1,32,80.1,1,1,96,100.0,100.0,97.9,2,3,1,105,105,74.5,0,1,36,100.0,100.0,95.8,2,1,39,39
Kelvin Beachum,7229,T,ARZ,2,0,1,71.5,1,3,89,100.0,100.0,96.6,2,5,1,99,99,54.4,1,2,29,100.0,100.0,91.4,4,1,35,35
Will Hernandez,46180,G,ARZ,2,0,1,80.5,0,2,89,100.0,100.0,98.9,0,2,0,99,99,63.5,0,2,29,100.0,100.0,96.6,2,0,35,35
Rodney Hudson,6207,C,ARZ,2,0,1,74.9,0,3,89,100.0,100.0,98.3,0,3,0,99,99,60.4,0,3,29,100.0,100.0,94.8,3,0,35,35
Danny Pinter,47339,G,IND,2,0,14,39.1,1,1,89,100.0,100.0,98.9,0,2,0,92,92,43.7,1,1,41,100.0,100.0,97.6,2,0,42,42
Ryan Kelly,10652,C,IND,2,0,14,75.1,0,1,89,100.0,100.0,99.4,0,1,0,92,92,85.6,0,0,41,100.0,100.0,100.0,0,0,42,42
Quenton Nelson,12954,G,IND,2,0,14,72.0,1,1,89,100.0,100.0,97.8,1,3,1,92,92,57.2,1,1,41,100.0,100.0,95.1,3,1,42,42
Braden Smith,46794,T,IND,2,0,14,58.3,2,2,89,100.0,100.0,96.6,0,5,1,92,92,69.5,1,2,41,100.0,100.0,96.3,3,0,42,42
James Hurst,9001,T,NO,2,0,20,90.9,1,0,85,100.0,100.0,99.4,0,1,0,91,91,87.3,1,0,50,100.0,100.0,99.0,1,0,53,53
Cesar Ruiz,59857,G,NO,2,0,20,56.9,0,1,85,100.0,100.0,98.2,0,2,1,91,91,35.1,0,1,50,100.0,100.0,97.0,2,1,53,53
Erik McCoy,37347,C,NO,2,0,20,84.6,0,1,85,100.0,100.0,99.4,0,1,0,91,91,79.8,0,1,50,100.0,100.0,99.0,1,0,53,53
Andrus Peat,9446,G,NO,2,0,20,54.8,0,4,85,100.0,100.0,96.5,0,5,1,91,91,59.1,0,3,50,100.0,100.0,97.0,3,0,53,53
Ryan Ramczyk,11787,T,NO,2,0,20,74.2,1,3,85,100.0,100.0,95.3,0,6,2,91,91,69.7,0,3,50,100.0,100.0,93.0,5,2,53,53
Connor Williams,46216,C,MIA,2,0,17,50.8,0,3,88,100.0,100.0,98.3,1,3,0,90,90,18.4,0,3,24,100.0,100.0,93.7,3,0,24,24
Liam Eichenberg,41851,G,MIA,2,0,17,18.6,2,4,88,100.0,100.0,96.6,0,6,0,90,90,6.6,1,1,24,100.0,100.0,95.8,2,0,24,24
Trai Turner,8727,G,WAS,2,0,32,64.8,1,2,82,100.0,100.0,98.2,0,3,0,90,90,69.0,1,0,33,100.0,100.0,98.5,1,0,36,36
Robert Hunt,46139,G,MIA,2,1,17,75.6,0,1,88,100.0,100.0,98.3,1,2,1,90,90,45.4,0,1,24,100.0,100.0,93.7,2,1,24,24
John Simpson,41715,G,LV,2,1,23,55.1,2,1,84,100.0,100.0,98.2,1,3,0,89,89,58.6,1,1,42,100.0,100.0,97.6,2,0,43,43
Kolton Miller,47013,T,LV,2,0,23,71.2,1,2,84,100.0,100.0,97.0,0,4,1,89,89,78.7,0,2,42,100.0,100.0,95.2,3,1,43,43
David Edwards,35941,G,LA,2,0,26,27.1,2,2,87,100.0,100.0,95.4,0,6,2,88,88,3.9,2,2,43,100.0,100.0,90.7,6,2,44,44
Zion Johnson,99681,G,LAC,2,0,27,50.2,1,2,86,100.0,100.0,98.3,0,3,0,88,88,35.5,1,0,33,100.0,100.0,98.5,1,0,34,34
Lloyd Cushenberry III,41924,C,DEN,2,0,10,74.7,0,0,80,100.0,100.0,98.7,0,1,1,88,88,64.0,0,0,30,100.0,100.0,96.7,1,1,34,34
Dalton Risner,47008,G,DEN,2,0,10,83.3,0,2,80,100.0,100.0,97.5,0,3,1,88,88,83.1,0,1,30,100.0,100.0,98.3,1,0,34,34
Terron Armstead,7856,T,MIA,2,0,17,83.3,0,3,86,100.0,100.0,98.3,0,3,0,88,88,90.2,0,0,22,100.0,100.0,100.0,0,0,22,22
Rashawn Slater,59971,T,LAC,2,0,27,73.1,1,1,86,100.0,100.0,98.8,0,2,0,88,88,64.4,1,0,33,100.0,100.0,98.5,1,0,34,34
Garett Bolles,11775,T,DEN,2,1,10,78.0,0,3,80,100.0,100.0,98.1,1,3,0,88,88,64.9,0,3,30,100.0,100.0,95.0,3,0,34,34
Cameron Fleming,8775,T,DEN,2,0,10,67.2,2,2,80,100.0,100.0,96.2,0,5,1,88,88,74.7,1,0,30,100.0,100.0,95.0,2,1,34,34
Matt Feiler,9289,G,LAC,2,0,27,41.2,0,6,86,100.0,100.0,95.3,0,7,1,88,88,22.1,0,5,33,100.0,100.0,89.4,6,1,34,34
Coleman Shelton,39316,G,LA,2,0,26,74.1,0,3,87,100.0,100.0,98.3,0,3,0,88,88,78.4,0,2,43,100.0,100.0,97.7,2,0,44,44
Rob Havenstein,9490,T,LA,2,0,26,60.1,0,3,87,100.0,100.0,97.1,0,4,1,88,88,60.6,0,3,43,100.0,100.0,96.5,3,0,44,44
Joseph Noteboom,46249,T,LA,2,0,26,57.4,4,4,87,100.0,100.0,92.0,0,11,3,88,88,31.6,4,4,43,100.0,100.0,83.7,11,3,44,44
Jordan Mailata,66916,T,PHI,2,0,24,64.9,0,4,80,100.0,100.0,97.5,2,4,0,87,87,59.6,0,1,33,100.0,100.0,98.5,1,0,35,35
Jason Kelce,6343,C,PHI,2,1,24,73.3,0,3,80,100.0,100.0,98.1,1,3,0,87,87,62.0,0,2,33,100.0,100.0,97.0,2,0,35,35
Landon Dickerson,41712,G,PHI,2,0,24,82.4,0,1,80,100.0,100.0,99.4,2,1,0,87,87,74.6,0,1,33,100.0,100.0,98.5,1,0,35,35
Isaac Seumalo,10713,G,PHI,2,0,24,74.2,1,1,80,100.0,100.0,98.7,1,2,0,87,87,54.4,1,1,33,100.0,100.0,97.0,2,0,35,35
Lane Johnson,7786,T,PHI,2,1,24,81.1,0,2,80,100.0,100.0,98.7,1,2,0,87,87,81.5,0,1,33,100.0,100.0,98.5,1,0,35,35
Terence Steele,39461,T,DAL,2,0,9,76.9,1,2,79,100.0,100.0,98.1,0,3,0,86,86,70.3,1,2,43,100.0,100.0,96.5,3,0,45,45
Tyler Biadasz,41178,C,DAL,2,0,9,77.5,0,1,79,100.0,100.0,99.4,1,1,0,86,86,73.0,0,1,43,100.0,100.0,98.8,1,0,45,45
Laremy Tunsil,10647,T,HST,2,0,13,82.6,0,2,82,100.0,100.0,97.6,1,3,1,86,86,78.6,0,2,34,100.0,100.0,97.1,2,0,37,37
A.J. Cann,9500,G,HST,2,0,13,58.3,0,1,82,100.0,100.0,98.2,0,2,1,86,86,44.3,0,1,34,100.0,100.0,95.6,2,1,37,37
Tytus Howard,25472,T,HST,2,0,13,77.5,1,1,82,100.0,100.0,97.6,0,3,1,86,86,77.8,1,0,34,100.0,100.0,98.5,1,0,37,37
Ezra Cleveland,41973,G,MIN,2,1,18,56.3,3,4,83,100.0,100.0,94.6,1,8,1,86,86,60.8,1,3,43,100.0,100.0,95.3,4,0,45,45
Garrett Bradbury,46013,C,MIN,2,0,18,52.0,2,4,83,100.0,100.0,96.4,1,6,0,86,86,43.8,1,3,43,100.0,100.0,95.3,4,0,45,45
Christian Darrisaw,77373,T,MIN,2,0,18,64.5,1,4,83,100.0,100.0,97.0,0,5,0,86,86,75.1,0,1,43,100.0,100.0,98.8,1,0,45,45
Zack Martin,8651,G,DAL,2,0,9,84.7,0,2,79,100.0,100.0,98.7,0,2,0,86,86,78.7,0,2,43,100.0,100.0,97.7,2,0,45,45
Brian O'Neill,46854,T,MIN,2,0,18,68.6,2,1,83,100.0,100.0,97.0,0,4,1,86,86,58.7,2,1,43,100.0,100.0,94.2,4,1,45,45
Tyler Smith,98385,T,DAL,2,0,9,65.6,1,1,79,100.0,100.0,97.5,0,3,1,86,86,68.8,0,1,43,100.0,100.0,98.8,1,0,45,45
Ed Ingram,59819,G,MIN,2,0,18,47.5,2,4,83,100.0,100.0,95.2,0,7,1,86,86,39.8,2,4,43,100.0,100.0,90.7,7,1,45,45
Ryan Bates,28300,G,BUF,2,0,4,37.8,0,4,80,100.0,100.0,96.2,0,5,1,83,83,20.0,0,2,27,100.0,100.0,92.6,3,1,29,29
Luke Fortner,42028,C,JAX,2,0,15,41.8,2,4,76,100.0,100.0,96.1,0,6,0,83,83,26.6,1,3,30,100.0,100.0,93.3,4,0,35,35
Ben Bartch,84236,G,JAX,2,0,15,52.3,3,1,76,100.0,100.0,97.4,0,4,0,83,83,21.3,2,1,30,100.0,100.0,95.0,3,0,35,35
Matt Farniok,41585,G,DAL,2,0,9,22.3,5,7,76,100.0,100.0,92.1,0,12,0,83,83,9.0,4,7,42,100.0,100.0,86.9,11,0,44,44
Brandon Scherff,9438,G,JAX,2,0,15,60.6,0,1,76,100.0,100.0,98.0,0,2,1,83,83,49.7,0,0,30,100.0,100.0,96.7,1,1,35,35
