player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Patrick Mahomes,11765,QB,KC,9,125,9.6,0,16,5,18,10.4,26.4,76.8,5.6,0,24,12,13,33,125,96,7,23,31,24,4,18.4,24.8,1,19.2,3.2
Kirk Cousins,7102,QB,MIN,9,112,15.2,0,18,1,4,25.0,10.7,86.6,8.0,0,7,17,28,12,112,97,9,37,13,7,9,33.0,11.6,2,6.3,8.0
Davis Mills,52269,QB,HST,9,111,21.6,0,13,3,6,31.5,5.4,84.7,3.6,0,13,24,35,6,111,94,4,20,20,13,4,18.0,18.0,4,11.7,3.6
Justin Fields,82118,QB,CHI,10,109,11.9,0,6,4,12,18.3,26.6,72.5,5.5,0,26,13,20,29,109,79,6,15,14,26,4,13.8,12.8,10,23.9,3.7
Josh Allen,46601,QB,BUF,9,107,15.9,0,4,2,8,19.6,15.9,80.4,7.5,0,15,17,21,17,107,86,8,17,31,15,0,15.9,29.0,5,14.0,0.0
Justin Herbert,28237,QB,LAC,9,106,7.5,0,27,1,8,19.8,25.5,80.2,7.5,0,14,8,21,27,106,85,8,21,23,14,3,19.8,21.7,5,13.2,2.8
Daniel Jones,39395,QB,NYG,9,102,14.7,0,21,3,9,17.6,8.8,77.5,5.9,0,17,15,18,9,102,79,6,20,24,17,4,19.6,23.5,5,16.7,3.9
Derek Carr,8671,QB,LV,9,101,16.8,0,23,2,5,22.8,20.8,85.1,5.0,0,11,17,23,21,101,86,5,21,18,10,2,20.8,17.8,4,9.9,2.0
Kyler Murray,38334,QB,ARZ,9,100,15.0,0,1,2,3,31.0,18.0,89.0,3.0,0,12,15,31,18,100,89,3,16,28,12,3,16.0,28.0,7,12.0,3.0
Geno Smith,7820,QB,SEA,10,99,12.1,0,29,4,4,14.1,25.3,77.8,9.1,0,13,12,14,25,99,77,9,26,15,13,8,26.3,15.2,5,13.1,8.1
Matt Ryan,4317,QB,IND,8,95,13.7,0,14,2,6,8.4,25.3,80.0,8.4,0,11,13,8,24,95,76,8,22,20,11,2,23.2,21.1,3,11.6,2.1
