player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
George Pickens,99229,WR,PIT,10,3,0,1,91.7,22,0,24,3,5,0,7,32.4,1,2,25,0,0,78.1,64.3,87.7,,,64.3,62.5,48.1,22,1,453,33,375,140,0,0,54,36,1,24,7,2.33,8.0,1.21,0
Tyrod Taylor,6332,QB,NYG,1,1,1,0,0.0,0,0,13,0,0,0,4,0.0,1,2,21,1,0,16.2,47.3,72.9,54.1,,,50.4,60.0,13,0,0,0,0,7,17,2,0,1,0,30,18,6.0,10.0,,1
Chad Henne,4371,QB,KC,2,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,16,1,0,69.1,67.0,72.6,58.7,,,60.5,60.0,-1,0,0,0,0,9,0,0,0,3,0,-3,0,0.0,-1.0,,0
Garrett Wilson,97405,WR,NYJ,10,3,1,0,0.0,0,1,-7,2,12,1,5,46.1,0,0,22,1,0,29.2,75.2,44.5,,35.6,78.9,32.8,48.2,0,3,534,44,302,130,0,0,66,47,0,-7,5,1.67,-2.3,1.77,0
Trent Taylor,11932,WR,CIN,9,3,1,0,0.0,0,0,18,0,0,1,8,38.1,0,0,7,0,0,25.1,53.7,0.0,,,51.7,65.0,71.3,9,1,20,4,39,38,0,0,4,7,0,18,8,2.67,6.0,0.51,0
Christian Kirk,47546,WR,JAX,10,3,1,0,0.0,0,0,12,5,4,1,7,21.2,0,0,15,1,0,81.9,74.3,71.5,60.3,62.3,76.5,48.7,50.3,5,1,679,52,363,219,0,0,76,55,0,12,7,2.33,4.0,1.87,0
Montrell Washington,64310,WR,DEN,9,3,3,1,63.3,19,0,30,0,1,3,35,777.8,1,1,10,0,0,27.3,63.1,78.1,,,52.8,87.5,55.9,19,0,5,3,36,17,0,0,6,6,0,30,35,11.67,10.0,0.14,0
Tyquan Thornton,78092,WR,NE,6,3,0,1,118.8,19,0,16,1,1,0,3,7.7,1,1,19,0,0,72.9,53.8,84.1,,,53.4,59.8,54.7,19,0,86,10,140,79,0,0,19,13,1,16,3,1.0,5.3,0.61,0
Chris Godwin,11839,WR,TB,8,3,0,0,0.0,0,0,5,2,3,0,6,11.8,0,0,30,0,0,79.4,72.1,64.1,,65.8,73.0,56.6,55.6,2,1,475,48,297,128,0,0,68,51,0,5,6,2.0,1.7,1.6,0
Zay Jones,11792,WR,JAX,9,3,1,0,0.0,0,0,21,1,3,1,10,26.7,1,1,15,0,0,79.5,67.9,88.8,,69.0,67.2,68.1,55.4,14,0,417,47,324,205,0,0,63,50,0,21,10,3.33,7.0,1.29,0
Brandon Allen,10835,QB,CIN,1,3,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,1,7,0,0,70.5,74.9,73.9,70.1,,,65.7,60.0,2,0,0,0,0,12,0,0,0,3,0,-1,1,0.33,-0.3,,0
Derek Watt,10832,FB,PIT,10,3,0,0,0.0,0,0,7,0,0,0,5,0.0,0,3,25,0,0,69.7,76.6,79.5,,73.4,75.9,72.2,59.6,3,0,7,3,9,33,0,0,3,6,0,7,5,1.67,2.3,0.78,0
Velus Jones Jr.,40573,WR,CHI,5,3,0,2,80.5,33,0,41,1,0,0,30,0.0,2,3,6,0,0,79.4,67.2,77.3,,,61.9,71.9,57.6,18,0,24,3,14,35,0,0,4,6,0,41,30,10.0,13.7,1.71,0
John Wolford,46454,QB,LA,1,3,0,0,0.0,0,0,4,0,0,0,0,0.0,0,1,26,2,1,79.3,45.0,78.6,44.2,,,62.8,60.0,4,0,0,0,0,16,0,0,0,3,0,4,0,0.0,1.3,,1
Brett Rypien,46487,QB,DEN,1,2,0,0,0.0,0,0,3,0,0,0,1,0.0,0,2,10,1,0,32.6,46.0,79.7,44.5,,,64.3,60.0,6,0,0,0,0,29,6,1,0,2,0,9,1,0.33,3.0,,0
Mark Andrews,47436,TE,BLT,9,2,0,0,0.0,0,0,7,3,3,0,6,18.0,0,2,3,0,0,79.6,83.8,87.0,,,81.5,68.1,76.5,4,1,551,48,260,187,0,0,72,50,0,7,6,3.0,3.5,2.12,1
Jakobi Meyers,47468,WR,NE,8,2,0,0,0.0,0,0,9,1,1,0,3,3.3,0,2,19,1,0,34.1,76.4,42.4,,,75.8,69.2,70.3,7,3,509,44,252,168,0,0,56,46,0,9,3,1.5,4.5,2.02,0
Parris Campbell,47940,WR,IND,11,2,2,1,96.6,28,0,29,1,13,2,16,260.9,1,1,14,0,0,78.9,62.3,71.5,,,62.5,69.1,48.9,28,1,440,44,406,201,0,0,56,46,0,29,16,8.0,14.5,1.08,0
Dante Pettis,48113,WR,CHI,11,2,0,1,78.4,29,0,37,2,3,0,0,0.0,1,2,6,0,0,81.7,56.2,30.9,,65.6,56.9,67.4,53.1,29,3,176,12,184,130,0,0,19,14,0,37,0,0.0,18.5,0.96,0
C.J. Ham,11347,FB,MIN,10,2,0,0,0.0,0,0,6,0,2,0,2,40.0,0,2,18,0,0,68.7,48.0,82.6,,46.4,61.3,66.7,39.6,3,0,21,3,22,53,0,0,5,5,1,6,2,1.0,3.0,0.95,0
Jeff Driskel,10841,QB,HST,2,1,2,0,0.0,0,0,10,0,0,0,0,0.0,1,2,13,0,0,64.5,75.0,69.9,,,,70.3,60.0,10,0,0,0,0,4,5,1,0,1,0,15,15,7.5,7.5,,1
Trayveon Williams,45775,HB,CIN,1,2,0,0,0.0,0,0,7,0,0,0,8,0.0,0,0,7,0,1,72.9,66.6,71.6,,73.0,55.8,66.2,60.0,8,0,0,0,3,4,0,0,0,2,0,7,8,4.0,3.5,0.0,1
