player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Joe Thomas,9272,LB,CHI,11,0,6,0,0,0,0,0,0,37.5,6,1,16.7,1,1,0,0,14.2,16,113,1,6.3,0,0,0,0,62.5,10,0,0.0,0,0,0,1,1,0
Kamu Grugier-Hill,10842,LB,ARZ,9,0,1,0,2,0,0,0,0,26.7,4,0,0.0,0,0,0,0,7.5,16,213,2,6.3,0,0,2,0,73.3,11,2,9.1,0,0,0,0,0,0
Dayo Odeyingbo,56923,ED,IND,15,0,14,4,11,0,4,10,0,87.9,189,18,5.8,4,7,5,0,99.5,216,217,21,6.3,0,0,1,0,12.1,26,3,9.6,2,2,0,6,9,5
Kyzir White,44485,LB,PHI,15,0,24,1,0,0,1,0,0,50.0,12,2,12.5,1,1,0,0,5.4,24,445,2,6.3,0,0,0,0,50.0,12,0,0.0,0,0,0,1,1,0
Essang Bassey,45258,CB,DEN,8,0,10,0,1,0,0,1,0,62.5,5,1,10.0,0,0,0,0,6.0,8,133,1,6.3,0,0,0,0,37.5,3,0,0.0,0,0,0,0,0,0
Tyquan Lewis,48475,ED,IND,7,0,14,3,13,0,2,9,1,72.2,104,12,6.3,1,1,0,1,98.6,144,146,17,6.3,0,1,4,0,27.8,40,5,6.3,0,0,0,1,1,0
Vita Vea,48956,DI,TB,13,0,30,5,18,0,2,2,0,34.7,85,5,3.5,1,1,0,0,96.4,295,306,30,6.3,0,2,12,0,65.3,160,19,7.5,5,4,0,7,7,1
Jessie Bates III,49162,S,CIN,15,0,7,0,2,0,0,0,0,25.0,4,0,0.0,0,0,0,0,2.9,16,549,2,6.3,0,0,2,0,75.0,12,2,8.3,0,0,0,0,0,0
Jordan Whitehead,49196,S,NYJ,15,0,22,0,1,0,0,1,0,37.5,3,1,16.7,0,0,0,0,1.4,8,562,1,6.3,0,0,0,0,62.5,5,0,0.0,0,0,0,0,0,0
Taron Johnson,49511,CB,BUF,15,0,4,0,3,0,0,2,0,37.5,9,2,11.1,0,0,0,0,4.3,24,554,3,6.3,0,0,1,0,62.5,15,1,3.3,0,0,0,0,0,0
Isaiah Oliver,50393,CB,ATL,10,0,2,1,0,0,0,0,0,12.5,1,0,0.0,0,0,0,0,5.7,8,140,1,6.3,0,1,0,0,87.5,7,1,7.1,0,0,0,0,0,0
Jonathan Allen,11772,DI,WAS,15,0,32,9,30,0,0,1,0,4.5,20,1,2.5,0,0,0,2,98.5,445,452,47,6.2,0,9,29,2,95.5,424,46,6.4,8,11,3,8,11,3
Kwity Paye,56713,ED,IND,10,0,14,4,16,0,4,14,1,91.5,237,24,6.3,6,8,4,2,99.6,260,261,26,6.2,0,0,2,1,8.5,22,2,4.5,0,0,0,6,8,4
Joe Tryon-Shoyinka,58272,ED,TB,15,0,30,7,27,0,5,14,0,54.9,197,22,6.3,3,4,2,2,81.2,359,442,39,6.1,0,2,13,2,45.1,162,17,5.9,2,3,1,5,7,3
Chris Rumph II,56345,ED,LAC,13,1,27,4,10,0,2,5,1,30.6,45,8,10.0,1,1,0,3,89.1,147,165,16,6.1,1,2,5,2,69.4,102,8,4.4,1,1,0,2,2,0
Dre'Mont Jones,28075,DI,DEN,13,0,10,5,33,0,4,19,0,59.8,253,28,6.5,5,5,0,0,100.0,424,424,45,6.1,0,1,14,0,40.2,170,17,5.6,2,2,1,7,7,1
Ben Stille,43555,DI,CLV,7,0,8,1,3,0,0,2,0,51.5,17,2,5.9,0,0,0,0,100.0,33,33,4,6.1,0,1,1,0,48.5,16,2,6.3,0,0,0,0,0,0
Ndamukong Suh,5527,DI,PHI,6,0,24,0,5,0,0,5,1,98.6,73,7,6.2,2,0,0,1,100.0,74,74,7,6.1,0,0,0,0,1.4,1,0,0.0,0,0,0,2,0,0
Brandon Copeland,8378,ED,BLT,3,0,3,0,2,0,0,1,0,75.8,25,2,6.0,1,1,0,0,94.3,33,35,3,6.1,0,0,1,0,24.2,8,1,6.3,0,0,0,1,1,0
Joseph Ossai,77205,ED,CIN,15,0,7,5,11,0,2,3,0,19.1,34,5,7.4,0,0,0,0,94.2,179,190,19,6.1,0,3,8,0,80.9,144,14,5.9,3,2,0,3,2,0
Bud Dupree,9455,ED,TEN,11,0,31,4,21,0,1,8,0,17.8,49,10,11.2,1,1,0,1,92.3,276,299,29,6.0,0,3,13,1,82.2,227,19,4.8,3,3,1,4,4,1
Quinton Jefferson,10781,DI,SEA,15,1,29,4,25,1,4,22,0,73.9,226,28,6.6,2,3,1,0,100.0,306,306,33,6.0,0,0,3,0,26.1,80,5,4.4,2,2,0,4,5,1
Myjai Sanders,76816,ED,ARZ,11,2,1,1,10,0,0,3,0,32.6,46,5,7.6,2,4,2,1,91.0,141,155,14,6.0,2,1,7,1,67.4,95,9,5.3,1,1,0,3,5,2
Chuck Clark,11941,S,BLT,15,0,3,0,3,0,0,1,0,52.0,13,1,3.8,0,0,0,0,4.2,25,593,3,6.0,0,0,2,0,48.0,12,2,8.3,0,0,0,0,0,0
Romeo Okwara,11250,ED,DET,3,0,11,0,2,0,0,2,0,82.0,41,4,7.3,2,2,0,0,94.3,50,53,4,6.0,0,0,0,0,18.0,9,0,0.0,0,0,0,2,2,0
George Karlaftis,98319,ED,KC,15,1,16,4,32,0,1,13,1,40.3,152,18,7.2,4,5,1,5,93.3,387,415,41,5.9,1,3,19,4,59.7,225,23,5.3,1,3,3,5,8,4
Aaron Donald,8648,DI,LA,11,0,26,7,28,0,4,14,1,49.1,184,20,6.0,2,2,1,1,100.0,382,382,40,5.9,0,3,14,0,50.9,191,20,6.0,3,5,2,5,7,3
Chandler Jones,7027,ED,LV,15,1,23,10,32,0,0,0,0,1.4,6,0,0.0,0,0,0,2,93.1,442,475,47,5.9,1,10,32,2,98.6,436,47,6.0,5,5,3,5,5,3
Mario Addison,6558,ED,HST,10,0,13,1,15,0,0,2,0,27.1,46,2,2.2,0,0,0,0,99.4,170,171,18,5.9,0,1,13,0,72.9,124,16,7.3,2,1,1,2,1,1
Arnold Ebiketie,56862,ED,ATL,14,3,2,9,16,3,5,13,4,80.6,212,20,5.2,2,3,1,4,89.8,263,293,28,5.9,0,4,3,0,19.4,51,8,8.8,1,1,0,3,4,1
Patrick Jones II,43974,ED,MIN,14,0,18,0,8,0,0,5,0,78.8,89,6,3.9,1,1,0,0,89.4,118,132,11,5.9,0,0,2,0,21.2,24,4,12.5,2,2,0,3,3,0
Myles Jack,10670,LB,PIT,13,0,25,0,4,0,0,3,0,33.3,10,3,15.0,0,0,0,0,9.6,34,356,4,5.9,0,0,1,0,66.7,20,1,2.5,0,1,1,0,1,1
T.J. Watt,11785,ED,PIT,8,0,25,2,14,0,2,13,1,100.0,222,20,5.6,5,7,4,1,94.5,223,236,21,5.8,0,0,0,0,0.0,0,0,,0,0,0,5,8,5
Cole Holcomb,49753,LB,WAS,7,0,32,1,2,0,0,1,0,64.0,16,1,3.1,0,0,0,1,10.1,26,258,3,5.8,0,0,1,1,36.0,9,1,5.6,0,0,0,0,0,0
Dane Belton,101398,S,NYG,11,0,21,1,2,0,1,1,0,68.4,13,2,7.7,0,0,0,0,12.4,26,209,3,5.8,0,0,0,0,31.6,6,0,0.0,0,0,0,0,0,0
Jordan Willis,11828,ED,SF,7,0,28,3,7,0,2,3,0,59.2,61,5,4.1,0,0,0,0,100.0,103,103,11,5.8,0,1,4,0,40.8,42,6,8.3,1,1,0,1,1,0
Maliek Collins,10701,DI,HST,13,0,13,5,23,0,3,15,0,54.5,158,19,6.3,1,0,1,0,100.0,291,291,31,5.8,0,2,8,0,45.5,132,12,5.3,2,4,3,3,4,4
Marquis Haynes,50244,ED,CAR,15,2,5,10,10,1,6,7,0,73.1,177,17,5.9,4,5,2,0,87.7,242,276,24,5.8,1,4,3,0,26.9,65,7,5.4,0,0,1,4,5,3
Kenny Clark,10661,DI,GB,15,4,12,6,29,3,4,19,0,60.5,213,24,5.9,1,1,0,1,100.0,379,379,39,5.7,0,2,10,1,39.5,139,15,6.5,3,2,1,4,3,1
Ed Oliver,42200,DI,BUF,12,1,4,11,15,1,5,12,0,42.5,125,19,8.4,2,1,0,0,100.0,298,298,30,5.7,0,6,2,0,57.5,169,10,3.6,2,3,1,4,4,1
Mike Hilton,10898,CB,CIN,13,0,7,3,1,0,1,1,0,45.7,16,2,6.3,0,0,0,0,8.2,35,425,4,5.7,0,2,0,0,54.3,19,2,5.3,0,1,1,0,1,1
Grady Jarrett,9570,DI,ATL,15,2,2,7,26,1,5,10,1,45.5,168,19,6.8,4,5,2,2,99.8,409,410,40,5.7,1,1,14,1,54.5,201,18,5.2,3,3,2,7,8,4
Leonard Williams,9439,DI,NYG,11,0,21,11,17,0,6,6,0,48.7,150,14,5.3,2,3,2,1,100.0,314,314,32,5.7,0,5,11,1,51.3,158,18,6.3,2,2,4,4,5,6
Deadrin Senat,48815,DI,TB,9,0,30,1,2,0,0,0,0,51.4,18,0,0.0,0,0,0,0,100.0,44,44,4,5.7,0,1,1,0,48.6,17,2,5.9,0,0,0,1,1,0
Mykal Walker,57834,LB,ATL,14,0,2,0,4,0,0,3,0,50.0,24,3,6.3,0,1,1,0,12.8,53,414,5,5.7,0,0,1,0,50.0,24,2,6.3,1,1,0,1,2,1
Micheal Clemons,56872,ED,NYJ,14,1,22,4,5,0,1,0,0,6.1,7,1,7.1,0,0,0,0,98.3,115,117,11,5.7,1,3,5,0,93.9,108,10,5.6,2,2,0,2,2,0
Jahlani Tavai,51055,LB,NE,15,0,19,2,2,0,0,2,0,48.1,26,3,7.7,1,1,0,0,21.6,54,250,5,5.6,0,2,0,0,51.9,28,2,3.6,0,0,0,1,1,0
Kingsley Enagbare,82409,ED,GB,14,0,12,3,14,0,1,10,1,62.6,127,13,5.9,2,3,2,1,94.9,204,215,20,5.6,0,2,4,0,37.4,76,7,5.3,1,3,2,3,6,4
Joshua Kalu,51203,S,TEN,12,0,31,0,1,0,0,1,1,66.7,6,1,8.3,0,0,0,1,3.3,9,274,1,5.6,0,0,0,0,33.3,3,0,0.0,0,0,0,0,0,0
Christopher Hinton,101418,DI,LAC,2,0,27,1,0,0,0,0,0,11.1,1,0,0.0,0,0,0,0,100.0,9,9,1,5.6,0,1,0,0,88.9,8,1,6.3,0,0,0,0,0,0
Jadeveon Clowney,8636,ED,CLV,11,0,8,1,22,0,0,22,0,85.9,219,25,6.4,3,2,1,0,98.5,257,261,26,5.6,0,1,0,0,14.1,36,1,1.4,0,0,0,3,2,1
Rashad Weaver,42495,ED,TEN,14,0,31,9,19,0,5,13,1,61.8,210,21,5.7,3,3,0,2,91.4,340,372,33,5.6,0,4,6,1,38.2,130,12,5.4,2,2,0,5,5,0
Kayvon Thibodeaux,98444,ED,NYG,13,2,21,10,25,2,0,11,0,43.7,160,12,4.1,1,1,1,2,85.9,367,427,38,5.6,0,10,14,2,56.3,206,26,6.8,2,3,3,3,4,4
Isaac Rochell,11980,ED,CLV,6,0,8,2,4,0,0,2,1,63.0,34,2,2.9,0,1,1,1,91.5,54,59,6,5.6,0,2,2,0,37.0,20,4,10.0,0,1,1,0,2,2
Tanner Vallejo,11950,LB,ARZ,14,0,1,1,0,0,1,0,0,57.1,4,1,12.5,0,0,0,0,9.4,9,96,1,5.6,0,0,0,0,42.9,3,0,0.0,0,0,0,0,0,0
Isaiah McDuffie,57754,LB,GB,7,0,12,0,1,0,0,1,1,44.4,4,1,12.5,0,0,0,1,10.7,9,84,1,5.6,0,0,0,0,55.6,5,0,0.0,0,0,0,0,0,0
Deangelo Malone,56941,ED,ATL,13,1,2,1,5,0,1,2,0,36.1,26,4,9.6,1,2,1,0,83.7,72,86,7,5.6,1,0,3,0,63.9,46,3,3.3,0,0,0,1,2,1
Ross Blacklock,44526,DI,MIN,11,0,18,0,10,0,0,10,3,68.3,69,10,7.2,0,0,0,3,100.0,107,107,11,5.6,0,0,0,0,31.7,32,1,3.1,1,1,0,1,1,0
Nik Bonitto,77196,ED,DEN,12,0,10,2,11,0,0,6,0,46.7,64,6,4.7,0,1,1,1,80.1,137,171,14,5.5,0,2,5,1,53.3,73,8,6.2,1,1,0,1,2,1
Osa Odighizuwa,42754,DI,DAL,15,1,9,7,19,0,2,8,0,36.9,103,12,6.8,2,2,0,0,99.3,291,293,29,5.5,1,5,10,0,63.1,176,16,4.8,1,1,0,3,3,0
Al Woods,5646,DI,SEA,12,0,29,0,10,0,0,2,0,57.1,52,3,3.8,1,2,1,0,100.0,128,128,12,5.5,0,0,4,0,42.9,39,4,5.1,0,0,1,2,3,2
Daron Payne,48698,DI,WAS,15,1,32,7,23,1,5,21,0,93.0,410,35,5.4,9,10,4,0,97.8,452,462,40,5.5,0,2,1,0,7.0,31,4,8.1,1,1,0,10,11,4
Frank Clark,9496,ED,KC,13,2,16,7,25,0,5,12,0,43.8,174,21,7.2,4,3,0,4,96.6,397,411,38,5.5,2,2,13,4,56.2,223,17,4.3,2,3,1,6,6,1
Markus Golden,9491,ED,ARZ,15,3,1,17,21,1,14,11,0,62.3,256,26,5.3,1,4,4,1,91.9,411,447,41,5.4,2,3,10,1,37.7,155,15,5.5,2,2,0,3,6,4
Jeffery Simmons,43742,DI,TEN,14,3,31,7,35,1,5,19,3,60.3,305,28,5.2,4,5,2,3,98.9,516,522,49,5.4,2,2,16,0,39.7,201,21,6.0,3,4,5,7,9,7
Pete Werner,58093,LB,NO,10,0,20,0,4,0,0,3,1,43.2,16,3,9.4,0,1,1,1,13.0,37,284,4,5.4,0,0,1,0,56.8,21,1,2.4,0,1,1,0,2,2
D.J. Reader,10800,DI,CIN,9,0,7,6,13,0,0,5,0,37.1,63,5,4.0,0,0,0,1,99.5,195,196,20,5.4,0,6,8,0,62.9,107,15,7.5,1,1,0,1,1,0
Matt Ioannidis,10786,DI,CAR,12,0,5,7,24,0,1,12,1,50.0,150,14,5.0,1,2,1,2,99.3,303,305,32,5.4,0,6,12,1,50.0,150,18,6.0,0,0,0,1,2,1
Benito Jones,44035,DI,DET,15,0,11,0,10,0,0,2,0,48.7,58,4,5.2,2,1,0,1,100.0,129,129,12,5.4,0,0,8,1,51.3,61,8,6.6,0,0,0,2,1,0
Tanoh Kpassagnon,11814,ED,NO,14,0,20,2,9,0,1,5,0,71.3,114,10,6.1,4,1,2,0,99.4,177,178,15,5.4,0,0,4,0,28.8,46,4,4.3,0,0,0,4,1,2
Calais Campbell,4364,DI,BLT,13,0,3,10,14,0,6,6,2,57.0,180,17,6.1,5,4,0,5,95.7,331,346,30,5.4,0,3,6,3,43.0,136,9,3.3,0,0,0,6,5,0
Bobby Okereke,50954,LB,IND,15,0,14,0,2,0,0,1,1,42.1,8,1,6.3,0,0,0,1,4.0,19,471,2,5.3,0,0,1,0,57.9,11,1,4.5,0,0,0,0,0,0
Trevis Gipson,35241,ED,CHI,15,0,6,6,18,0,6,16,1,90.9,241,24,5.4,2,4,2,1,96.4,265,275,26,5.3,0,0,2,0,9.1,24,2,4.2,0,0,1,2,4,3
