player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Josh Palmer,62979,WR,LAC,4,20,0,27,0,-6.0,0,100.0,,0,0,0.0,0,0,0,78.7,48.7,0,-3,0.0,0,11,1,100.0,11,79.2,1,5.0,0,-3,3,3.0,-3.0,-0.27,4.6,0,60.0,0.0,0,1,0.0,0,2,0,84.5,60.3,0,17,0.0,0,49,6,100.0,49,66.7,10,50.0,0,35,16,2.7,5.8,0.71
Rex Burkhead,7971,HB,HST,4,20,0,13,0,-3.0,0,85.7,,0,0,14.3,1,1,0,33.2,48.3,0,13,0.0,0,10,6,100.0,10,89.9,7,35.0,0,39,60,10.0,6.5,3.9,2.8,0,83.3,,0,0,0.0,0,1,0,63.2,61.3,0,9,0.0,0,14,5,92.9,13,89.6,6,30.0,0,33,35,7.0,6.6,2.54
Deebo Samuel,48274,WR,SF,3,20,0,28,0,-2.4,4,77.8,,0,0,0.0,0,1,0,91.1,95.5,0,10,0.0,0,14,7,100.0,14,88.9,9,45.0,0,48,63,9.0,6.9,3.43,3.0,1,25.0,,0,0,66.7,2,0,0,54.3,64.8,1,6,0.0,0,24,1,91.7,22,0.0,4,20.0,0,6,10,10.0,6.0,0.27
Nyheim Hines,48103,HB,IND,4,19,0,14,0,-4.8,3,100.0,,0,0,0.0,0,1,0,90.9,84.9,0,11,0.0,0,11,6,100.0,11,85.4,6,31.6,0,27,56,9.3,4.5,2.45,4.2,0,100.0,,0,0,0.0,0,3,0,70.8,82.7,0,19,0.0,0,19,5,100.0,19,110.0,5,26.3,0,52,31,6.2,10.4,2.74
Chase Claypool,42312,WR,PIT,4,19,0,25,0,,0,,,0,0,,0,0,0,,44.3,0,0,0.0,0,11,0,90.9,10,0.0,0,0.0,0,0,0,,,0.0,12.9,0,55.6,57.1,4,7,0.0,0,4,0,80.0,54.8,2,20,0.0,0,123,10,93.5,115,24.5,18,94.7,0,68,4,0.4,6.8,0.59
Devin Singletary,40485,HB,BUF,4,19,0,4,0,-3.5,1,100.0,,0,0,0.0,0,2,0,84.5,95.6,0,16,16.7,2,12,2,83.3,10,118.8,2,10.5,0,30,37,18.5,15.0,3.0,3.5,1,100.0,,0,0,0.0,0,2,0,67.3,78.9,0,22,0.0,0,9,2,88.9,8,118.8,2,10.5,0,30,23,11.5,15.0,3.75
Leonard Fournette,11759,HB,TB,4,19,0,30,0,-4.3,1,83.3,,0,0,16.7,1,2,0,29.2,64.8,0,25,6.7,1,15,5,93.3,14,95.1,6,31.6,0,41,64,12.8,8.2,2.93,,0,,,0,0,,0,0,0,77.8,72.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Richie James Jr.,28991,WR,NYG,4,19,0,21,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,48.6,0,-2,0.0,0,9,1,77.8,7,79.2,1,5.3,0,-2,1,1.0,-2.0,-0.29,9.4,0,73.3,33.3,1,3,8.3,1,6,0,71.5,62.9,0,16,1.1,1,89,11,91.0,81,96.3,15,78.9,0,119,22,2.0,10.8,1.47
Jarvis Landry,8698,WR,NO,4,19,0,20,0,1.0,0,100.0,100.0,1,1,0.0,0,0,0,78.7,51.5,0,1,0.0,0,6,1,66.7,4,79.2,1,5.3,0,1,0,0.0,1.0,0.25,10.0,3,78.6,50.0,1,2,0.0,0,4,0,86.9,65.9,1,31,0.0,0,89,11,92.1,82,69.9,14,73.7,0,111,22,2.0,10.1,1.35
Logan Thomas,8755,TE,WAS,4,19,0,32,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,46.1,0,0,9.1,1,11,1,90.9,10,79.2,1,5.3,0,0,3,3.0,0.0,0.0,8.6,0,75.0,,0,0,0.0,0,6,0,84.9,60.6,0,27,3.0,3,100,9,92.0,92,127.1,12,63.2,1,100,36,4.0,11.1,1.09
